actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
255,PT04M29.00S,2022-11-02T00:25:09.8Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1630172,91.93495400788436,21.323529411764707,1610612741,45,45,2022-11-02T00:25:36Z,2530000,-143.0,23.0,1,right,P. Williams 14' turnaround Jump Shot (8 PTS),[1630172],1610612741.0,CHI,turnaround,,,Williams,P. Williams,,,,,Mid-Range,8-16 Left,14.53,Made,,,,,,,8.0,,,,,,,,,,,
256,PT04M14.00S,2022-11-02T00:25:28.0Z,2,REGULAR,foul,personal,[],1629750,,,1610612751,45,45,2022-11-02T00:25:58Z,2540000,,,0,,J. Green personal FOUL (2 PF),"[1629750, 1630561]",1610612741.0,CHI,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202058.0,,,,,,2.0,0.0,Duke Jr.,1630561.0,,,,
258,PT04M06.00S,2022-11-02T00:26:01.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628410,9.017739816031538,41.42156862745098,1610612751,45,45,2022-11-02T00:26:07Z,2560000,43.0,32.0,1,left,MISS E. Sumner driving floating bank Shot,[1628410],1610612751.0,BKN,driving floating bank,,,Sumner,E. Sumner,,,,,In The Paint (Non-RA),0-8 Center,5.37,Missed,,,,,,,,,,,,,,,,,,
259,PT04M04.00S,2022-11-02T00:26:03.7Z,2,REGULAR,rebound,defensive,[],202696,,,1610612741,45,45,2022-11-02T00:26:07Z,2570000,,,0,,N. Vucevic REBOUND (Off:2 Def:5),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,258.0,7.0,5.0,2.0,,,,,,,,,,,,,,
260,PT03M54.00S,2022-11-02T00:26:14.5Z,2,REGULAR,turnover,bad pass,[],1630172,,,1610612741,45,45,2022-11-02T00:26:21Z,2580000,,,0,,P. Williams bad pass TURNOVER (1 TO),"[1630172, 1630561]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,,,,,,,,,Duke Jr.,1630561.0,,
261,PT03M54.00S,2022-11-02T00:26:14.5Z,2,REGULAR,steal,,[],1630561,,,1610612751,45,45,2022-11-02T00:26:21Z,2590000,,,0,,D. Duke Jr. STEAL (1 STL),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
262,PT03M47.00S,2022-11-02T00:26:21.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203925,19.004599211563733,93.87254901960785,1610612751,48,45,2022-11-02T00:26:25Z,2600000,-219.0,126.0,1,left,J. Harris 25' 3PT  (6 PTS) (K. Durant 2 AST),"[203925, 201142]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,Above the Break 3,24+ Left Center,25.31,Made,,,,,,,6.0,K. Durant,201142.0,2.0,,,,,,,,
264,PT03M46.00S,2022-11-02T00:26:27.7Z,2,REGULAR,timeout,full,['team'],0,,,1610612741,48,45,2022-11-02T00:26:27Z,2620000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT03M46.00S,2022-11-02T00:26:31.9Z,2,REGULAR,substitution,out,[],1630245,,,1610612741,48,45,2022-11-02T00:27:53Z,2630000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT03M46.00S,2022-11-02T00:26:31.9Z,2,REGULAR,substitution,out,[],1629750,,,1610612741,48,45,2022-11-02T00:27:53Z,2640000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT03M46.00S,2022-11-02T00:26:31.9Z,2,REGULAR,substitution,in,[],1627936,,,1610612741,48,45,2022-11-02T00:27:53Z,2650000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT03M46.00S,2022-11-02T00:26:31.9Z,2,REGULAR,substitution,in,[],203897,,,1610612741,48,45,2022-11-02T00:27:53Z,2660000,,,0,,SUB in: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT03M26.00S,2022-11-02T00:28:20.3Z,2,REGULAR,3pt,Jump Shot,[],1630172,72.22404730617609,81.37254901960785,1610612741,48,45,2022-11-02T00:28:25Z,2670000,157.0,209.0,1,right,MISS P. Williams 26' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,26.1,Missed,,,,,,,,,,,,,,,,,,
270,PT03M23.00S,2022-11-02T00:28:23.3Z,2,REGULAR,rebound,offensive,[],1630172,,,1610612741,48,45,2022-11-02T00:28:25Z,2680000,,,0,,P. Williams REBOUND (Off:1 Def:2),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,269.0,3.0,2.0,1.0,,,,,,,,,,,,,,
271,PT03M17.00S,2022-11-02T00:28:30.7Z,2,REGULAR,turnover,out-of-bounds,[],1630172,,,1610612741,48,45,2022-11-02T00:28:44Z,2690000,,,0,,P. Williams step out-of-bounds TURNOVER (2 TO),[1630172],1610612741.0,CHI,step,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,,,,,,,201246.0,2.0,,,,,,,,,,,,
272,PT03M06.00S,2022-11-02T00:28:51.1Z,2,REGULAR,foul,personal,[],203897,,,1610612751,48,45,2022-11-02T00:29:01Z,2700000,,,0,,Z. LaVine personal FOUL (2 PF),"[203897, 203925]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Right,,,,,,,203593.0,,,,,,2.0,0.0,Harris,203925.0,,,,
274,PT02M56.00S,2022-11-02T00:29:18.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630561,5.995400788436268,50.0,1610612751,50,45,2022-11-02T00:29:23Z,2720000,0.0,4.0,1,left,D. Duke Jr. driving DUNK (2 PTS) (J. Harris 2 AST),"[1630561, 203925]",1610612751.0,BKN,driving,,,Duke Jr.,D. Duke Jr.,,,,,Restricted Area,0-8 Center,0.39,Made,,,,,,,2.0,J. Harris,203925.0,2.0,,,,,,,,
276,PT02M45.00S,2022-11-02T00:29:31.2Z,2,REGULAR,foul,personal,[],1630561,,,1610612741,50,45,2022-11-02T00:29:37Z,2740000,,,0,,D. Duke Jr. personal FOUL (1 PF),"[1630561, 201942]",1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,Above the Break 3,24+ Center,,,,,,,202058.0,,,,,,1.0,0.0,DeRozan,201942.0,,,,
278,PT02M40.00S,2022-11-02T00:29:52.9Z,2,REGULAR,2pt,Jump Shot,[],201942,79.84559789750328,75.73529411764706,1610612741,50,47,2022-11-02T00:29:56Z,2760000,129.0,137.0,1,right,D. DeRozan 18' pullup Jump Shot (6 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,18.8,Made,,,,,,,6.0,,,,,,,,,,,
279,PT02M31.00S,2022-11-02T00:30:04.6Z,2,REGULAR,violation,kicked ball,[],202696,,,1610612751,50,47,2022-11-02T00:31:01Z,2770000,,,0,,N. Vucevic kicked ball VIOLATION,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,203593.0,,,,,,,,,,,,,
280,PT02M17.00S,2022-11-02T00:30:32.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,5.338370565045992,47.05882352941176,1610612751,52,47,2022-11-02T00:30:36Z,2780000,15.0,-2.0,1,left,N. Claxton DUNK (4 PTS) (E. Sumner 2 AST),"[1629651, 1628410]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.49,Made,,,,,,,4.0,E. Sumner,1628410.0,2.0,,,,,,,,
282,PT02M04.00S,2022-11-02T00:30:50.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628410,,,1610612741,52,47,2022-11-02T00:31:00Z,2800000,,,0,,E. Sumner personal FOUL (2 PF) (DeRozan 2 FT),"[1628410, 201942]",1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,Mid-Range,16-24 Center,,,,,,,201246.0,,,,,,2.0,0.0,DeRozan,201942.0,,,,
284,PT02M04.00S,2022-11-02T00:31:11.0Z,2,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,52,48,2022-11-02T00:31:11Z,2820000,,,0,,D. DeRozan Free Throw 1 of 2 (7 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
285,PT02M04.00S,2022-11-02T00:31:12.1Z,2,REGULAR,substitution,out,[],203925,,,1610612741,52,48,2022-11-02T00:31:17Z,2830000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT02M04.00S,2022-11-02T00:31:12.1Z,2,REGULAR,substitution,out,[],1627936,,,1610612741,52,48,2022-11-02T00:31:17Z,2840000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT02M04.00S,2022-11-02T00:31:12.1Z,2,REGULAR,substitution,in,[],1626220,,,1610612741,52,48,2022-11-02T00:31:17Z,2850000,,,0,,SUB in: R. O'Neale,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT02M04.00S,2022-11-02T00:31:12.1Z,2,REGULAR,substitution,in,[],201609,,,1610612741,52,48,2022-11-02T00:31:17Z,2860000,,,0,,SUB in: G. Dragic,[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT02M04.00S,2022-11-02T00:31:31.9Z,2,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,52,49,2022-11-02T00:31:31Z,2870000,,,0,,D. DeRozan Free Throw 2 of 2 (8 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
290,PT01M48.00S,2022-11-02T00:31:52.8Z,2,REGULAR,turnover,traveling,[],1629651,,,1610612751,52,49,2022-11-02T00:31:57Z,2880000,,,0,,N. Claxton traveling TURNOVER (1 TO),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,201246.0,1.0,,,,,,,,,,,,
291,PT01M37.00S,2022-11-02T00:32:17.1Z,2,REGULAR,turnover,lost ball,[],1630172,,,1610612741,52,49,2022-11-02T00:32:22Z,2890000,,,0,,P. Williams lost ball TURNOVER (3 TO),"[1630172, 1630561]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,3.0,,,,,,,,,Duke Jr.,1630561.0,,
292,PT01M37.00S,2022-11-02T00:32:17.1Z,2,REGULAR,steal,,[],1630561,,,1610612751,52,49,2022-11-02T00:32:22Z,2900000,,,0,,D. Duke Jr. STEAL (2 STL),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
293,PT01M34.00S,2022-11-02T00:32:22.9Z,2,REGULAR,foul,offensive,['inpenalty'],1629651,,,1610612751,52,49,2022-11-02T00:32:56Z,2910000,,,0,,N. Claxton charge offensive FOUL (1 PF),"[1629651, 201609]",1610612751.0,BKN,charge,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,,,,,,1.0,0.0,Dragic,201609.0,,,,
295,PT01M34.00S,2022-11-02T00:32:22.9Z,2,REGULAR,turnover,offensive foul,[],1629651,,,1610612751,52,49,2022-11-02T00:32:22Z,2930000,,,0,,N. Claxton offensive foul TURNOVER (2 TO),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,2.0,,,,,,,,,,,,
296,PT01M25.00S,2022-11-02T00:33:12.7Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],201942,82.60512483574244,27.696078431372552,1610612741,52,49,2022-11-02T00:33:17Z,2940000,-112.0,111.0,1,right,MISS D. DeRozan 15' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,15.73,Missed,,,,,,,,,,,,,,,,,,
297,PT01M22.00S,2022-11-02T00:33:15.7Z,2,REGULAR,rebound,defensive,[],1629651,,,1610612751,52,49,2022-11-02T00:33:17Z,2950000,,,0,,N. Claxton REBOUND (Off:0 Def:4),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,,,296.0,4.0,4.0,0.0,,,,,,,,,,,,,,
298,PT01M13.00S,2022-11-02T00:33:24.2Z,2,REGULAR,turnover,lost ball,[],201142,,,1610612751,52,49,2022-11-02T00:33:32Z,2960000,,,0,,K. Durant lost ball TURNOVER (3 TO),"[201142, 202696]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,3.0,,,,,,,,,Vucevic,202696.0,,
299,PT01M13.00S,2022-11-02T00:33:24.2Z,2,REGULAR,steal,,[],202696,,,1610612741,52,49,2022-11-02T00:33:52Z,2970000,,,0,,N. Vucevic STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
300,PT01M11.00S,2022-11-02T00:33:29.1Z,2,REGULAR,turnover,out-of-bounds,[],201609,,,1610612741,52,49,2022-11-02T00:33:43Z,2980000,,,0,,G. Dragic bad pass out-of-bounds TURNOVER (1 TO),[201609],1610612741.0,CHI,bad pass,,,Dragic,G. Dragic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202058.0,1.0,,,,,,,,,,,,
301,PT00M58.40S,2022-11-02T00:33:50.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630172,,,1610612751,52,49,2022-11-02T00:34:01Z,2990000,,,0,,P. Williams personal FOUL (2 PF) (Durant 2 FT),"[1630172, 201142]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right,,,,,,,203593.0,,,,,,2.0,0.0,Durant,201142.0,,,,
303,PT00M58.40S,2022-11-02T00:34:20.7Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],201142,,,1610612751,53,49,2022-11-02T00:34:20Z,3010000,,,0,,K. Durant Free Throw 1 of 2 (17 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,17.0,,,,,,,,,,,
304,PT00M58.40S,2022-11-02T00:34:35.6Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],201142,,,1610612751,54,49,2022-11-02T00:34:35Z,3020000,,,0,,K. Durant Free Throw 2 of 2 (18 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,18.0,,,,,,,,,,,
305,PT00M47.50S,2022-11-02T00:34:48.7Z,2,REGULAR,2pt,Jump Shot,[],201942,79.31997371879106,59.31372549019608,1610612741,54,51,2022-11-02T00:34:59Z,3030000,47.0,142.0,1,right,D. DeRozan 14' pullup Jump Shot (10 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Center,14.94,Made,,,,,,,10.0,,,,,,,,,,,
306,PT00M47.50S,2022-11-02T00:34:54.7Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",201142,,,1610612741,54,51,2022-11-02T00:35:03Z,3040000,,,0,,K. Durant shooting personal FOUL (2 PF) (DeRozan 1 FT),"[201142, 201942]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,Mid-Range,8-16 Center,,,,,,,202058.0,,,,,,2.0,0.0,DeRozan,201942.0,,,,
308,PT00M47.50S,2022-11-02T00:35:18.3Z,2,REGULAR,substitution,out,[],201609,,,1610612741,54,51,2022-11-02T00:36:25Z,3060000,,,0,,SUB out: G. Dragic,[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT00M47.50S,2022-11-02T00:35:18.3Z,2,REGULAR,substitution,in,[],1627936,,,1610612741,54,51,2022-11-02T00:36:25Z,3070000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT00M47.50S,2022-11-02T00:35:30.2Z,2,REGULAR,freethrow,1 of 1,[],201942,,,1610612741,54,52,2022-11-02T00:35:30Z,3080000,,,0,,D. DeRozan Free Throw 1 of 1 (11 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,,,11.0,,,,,,,,,,,
311,PT00M28.10S,2022-11-02T00:35:55.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628410,4.944152431011826,42.64705882352941,1610612751,56,52,2022-11-02T00:35:59Z,3090000,37.0,-6.0,1,left,E. Sumner driving Layup (2 PTS) (N. Claxton 1 AST),"[1628410, 1629651]",1610612751.0,BKN,driving,,,Sumner,E. Sumner,,,,,Restricted Area,0-8 Center,3.73,Made,,,,,,,2.0,N. Claxton,1629651.0,1.0,,,,,,,,
313,PT00M04.90S,2022-11-02T00:36:21.7Z,2,REGULAR,3pt,Jump Shot,[],1630172,94.03745072273325,95.34313725490196,1610612741,56,52,2022-11-02T00:36:29Z,3110000,227.0,4.0,1,right,MISS P. Williams 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,22.67,Missed,,,,,,,,,,,,,,,,,,
314,PT00M02.30S,2022-11-02T00:36:24.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612751,56,52,2022-11-02T00:36:30Z,3120000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Right Corner 3,24+ Right,,,313.0,,,,,,,,,,,,,,,,,
315,PT00M02.30S,2022-11-02T00:36:32.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202696,,,1610612751,56,52,2022-11-02T00:36:40Z,3130000,,,0,,N. Vucevic loose ball personal FOUL (2 PF) (Durant 2 FT),"[202696, 201142]",1610612741.0,CHI,loose ball,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right,,,,,,,202058.0,,,,,,2.0,0.0,Durant,201142.0,,,,
317,PT00M02.30S,2022-11-02T00:37:05.4Z,2,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,57,52,2022-11-02T00:37:05Z,3150000,,,0,,K. Durant Free Throw 1 of 2 (19 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,19.0,,,,,,,,,,,
318,PT00M02.30S,2022-11-02T00:37:24.9Z,2,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,58,52,2022-11-02T00:37:24Z,3160000,,,0,,K. Durant Free Throw 2 of 2 (20 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,20.0,,,,,,,,,,,
319,PT00M00.00S,2022-11-02T00:37:33.1Z,2,REGULAR,period,end,[],0,,,1610612741,58,52,2022-11-02T00:37:33Z,3170000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT12M00.00S,2022-11-02T00:53:14.6Z,3,REGULAR,substitution,out,['startperiod'],1628410,,,1610612741,58,52,2022-11-02T00:53:41Z,3180000,,,0,,SUB out: E. Sumner,[1628410],1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT12M00.00S,2022-11-02T00:53:14.6Z,3,REGULAR,substitution,out,['startperiod'],1630561,,,1610612741,58,52,2022-11-02T00:53:41Z,3190000,,,0,,SUB out: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT12M00.00S,2022-11-02T00:53:14.6Z,3,REGULAR,substitution,out,['startperiod'],1627936,,,1610612741,58,52,2022-11-02T00:53:41Z,3200000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT12M00.00S,2022-11-02T00:53:14.6Z,3,REGULAR,substitution,in,['startperiod'],203925,,,1610612741,58,52,2022-11-02T00:53:41Z,3210000,,,0,,SUB in: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT12M00.00S,2022-11-02T00:53:14.6Z,3,REGULAR,substitution,in,['startperiod'],202681,,,1610612741,58,52,2022-11-02T00:53:41Z,3220000,,,0,,SUB in: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT12M00.00S,2022-11-02T00:53:14.6Z,3,REGULAR,substitution,in,['startperiod'],1630245,,,1610612741,58,52,2022-11-02T00:53:41Z,3230000,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT12M00.00S,2022-11-02T00:53:59.1Z,3,REGULAR,period,start,[],0,,,1610612751,58,52,2022-11-02T00:53:59Z,3240000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,PT11M39.00S,2022-11-02T00:54:19.1Z,3,REGULAR,2pt,Jump Shot,[],201142,83.919185282523,30.14705882352941,1610612751,60,52,2022-11-02T00:54:28Z,3260000,-99.0,99.0,1,right,K. Durant 14' turnaround Jump Shot (22 PTS) (K. Irving 4 AST),"[201142, 202681]",1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,14.0,Made,,,,,,,22.0,K. Irving,202681.0,4.0,,,,,,,,
330,PT11M25.00S,2022-11-02T00:54:33.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630172,8.754927726675426,61.51960784313726,1610612741,60,52,2022-11-02T00:54:37Z,3280000,-58.0,30.0,1,left,MISS P. Williams 6' Layup - blocked,"[1630172, 1629651]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,6.49,Missed,,,,,,,,,,,,,,,,,Claxton,1629651.0
331,PT11M25.00S,2022-11-02T00:54:33.1Z,3,REGULAR,block,,[],1629651,,,1610612741,60,52,2022-11-02T00:54:34Z,3290000,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
332,PT11M23.00S,2022-11-02T00:54:35.1Z,3,REGULAR,rebound,defensive,[],1626220,,,1610612751,60,52,2022-11-02T00:54:37Z,3300000,,,0,,R. O'Neale REBOUND (Off:2 Def:3),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,330.0,5.0,3.0,2.0,,,,,,,,,,,,,,
333,PT11M10.00S,2022-11-02T00:54:51.6Z,3,REGULAR,foul,personal,['2freethrow'],201942,,,1610612751,60,52,2022-11-02T00:55:02Z,3310000,,,0,,D. DeRozan shooting personal FOUL (2 PF) (Claxton 2 FT),"[201942, 1629651]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,203593.0,,,,,,2.0,0.0,Claxton,1629651.0,,,,
335,PT11M10.00S,2022-11-02T00:55:16.1Z,3,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,60,52,2022-11-02T00:55:16Z,3330000,,,0,,MISS N. Claxton Free Throw 1 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
336,PT11M10.00S,2022-11-02T00:55:16.1Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,60,52,2022-11-02T00:55:16Z,3340000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,335.0,,,,,,,,,,,,,,,,,
337,PT11M10.00S,2022-11-02T00:55:30.8Z,3,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,61,52,2022-11-02T00:55:30Z,3350000,,,0,,N. Claxton Free Throw 2 of 2 (5 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
338,PT10M52.00S,2022-11-02T00:55:50.5Z,3,REGULAR,2pt,Jump Shot,[],201942,5.206964520367937,24.019607843137255,1610612741,61,52,2022-11-02T00:55:53Z,3360000,130.0,-4.0,1,left,MISS D. DeRozan 12' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,12.99,Missed,,,,,,,,,,,,,,,,,,
339,PT10M50.00S,2022-11-02T00:55:52.5Z,3,REGULAR,rebound,defensive,[],203925,,,1610612751,61,52,2022-11-02T00:55:53Z,3370000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,Mid-Range,8-16 Right,,,338.0,1.0,1.0,0.0,,,,,,,,,,,,,,
340,PT10M44.00S,2022-11-02T00:55:57.7Z,3,REGULAR,3pt,Jump Shot,[],202681,65.39093298291722,50.0,1610612751,61,52,2022-11-02T00:56:05Z,3380000,0.0,273.0,1,right,MISS K. Irving 27' running pullup 3PT,[202681],1610612751.0,BKN,running pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Center,27.28,Missed,,,,,,,,,,,,,,,,,,
341,PT10M41.00S,2022-11-02T00:56:00.7Z,3,REGULAR,rebound,defensive,[],202696,,,1610612741,61,52,2022-11-02T00:56:05Z,3390000,,,0,,N. Vucevic REBOUND (Off:2 Def:6),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,340.0,8.0,6.0,2.0,,,,,,,,,,,,,,
342,PT10M27.00S,2022-11-02T00:56:15.1Z,3,REGULAR,3pt,Jump Shot,[],1630245,9.411957950065702,95.83333333333334,1610612741,61,52,2022-11-02T00:56:19Z,3400000,-229.0,36.0,1,left,MISS A. Dosunmu 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Left Corner 3,24+ Left,23.2,Missed,,,,,,,,,,,,,,,,,,
