actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
262,PT06M17.00S,2023-11-09T02:01:13.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630224,93.51182654402102,52.20588235294118,1610612745,51,29,2023-11-09T02:01:20Z,2560000,False,11.0,8.0,1,right,J. Green cutting Layup (15 PTS) (A. Sengun 3 AST),"[1630224, 1630578]",1610612745.0,HOU,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.39,Made,,,,15.0,,,,A. Sengun,1630578.0,3.0,,,,,,,,
264,PT06M03.00S,2023-11-09T02:01:27.2Z,2,REGULAR,3pt,Jump Shot,[],1627752,31.61957950065703,64.4607843137255,1610612747,51,32,2023-11-09T02:01:32Z,2580000,False,-72.0,245.0,1,left,T. Prince 25' 3PT  (5 PTS) (D. Russell 3 AST),"[1627752, 1626156]",1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Center,25.52,Made,,,,5.0,,,,D. Russell,1626156.0,3.0,,,,,,,,
266,PT05M45.00S,2023-11-09T02:01:44.6Z,2,REGULAR,3pt,Jump Shot,[],1630224,69.46452036793693,28.921568627450984,1610612745,54,32,2023-11-09T02:01:50Z,2600000,False,-105.0,235.0,1,right,J. Green 25' 3PT  (18 PTS) (A. Sengun 4 AST),"[1630224, 1630578]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,25.71,Made,,,,18.0,,,,A. Sengun,1630578.0,4.0,,,,,,,,
268,PT05M35.00S,2023-11-09T02:01:58.7Z,2,REGULAR,timeout,full,['team'],0,,,1610612747,54,32,2023-11-09T02:01:58Z,2620000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT05M35.00S,2023-11-09T02:03:14.5Z,2,REGULAR,substitution,out,[],1627832,,,1610612747,54,32,2023-11-09T02:04:03Z,2630000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT05M35.00S,2023-11-09T02:03:14.5Z,2,REGULAR,substitution,out,[],2544,,,1610612747,54,32,2023-11-09T02:04:03Z,2640000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT05M35.00S,2023-11-09T02:03:14.5Z,2,REGULAR,substitution,in,[],1628988,,,1610612747,54,32,2023-11-09T02:04:03Z,2650000,False,,,0,,SUB in: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT05M35.00S,2023-11-09T02:03:14.5Z,2,REGULAR,substitution,in,[],1629060,,,1610612747,54,32,2023-11-09T02:04:03Z,2660000,False,,,0,,SUB in: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT05M22.00S,2023-11-09T02:04:22.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629060,8.492115637319317,61.51960784313726,1610612747,54,32,2023-11-09T02:04:32Z,2670000,False,-58.0,27.0,1,left,MISS R. Hachimura 6' turnaround fadeaway Shot,[1629060],1610612747.0,LAL,turnaround fadeaway,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,6.37,Missed,,,,,,,,,,,,,,,,,,
274,PT05M21.00S,2023-11-09T02:04:23.8Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,54,32,2023-11-09T02:04:32Z,2680000,False,,,0,,A. Sengun REBOUND (Off:0 Def:3),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,273.0,,3.0,3.0,0.0,,,,,,,,,,,
275,PT05M14.00S,2023-11-09T02:04:31.1Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fastbreak']",1630578,88.38699080157687,47.30392156862745,1610612745,56,32,2023-11-09T02:04:38Z,2690000,False,-13.0,57.0,1,right,A. Sengun driving Hook (13 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.83,Made,,,,13.0,,,,,,,,,,,,,,
276,PT04M55.00S,2023-11-09T02:04:50.6Z,2,REGULAR,foul,personal,['2freethrow'],1630224,,,1610612747,56,32,2023-11-09T02:04:58Z,2700000,False,,,0,,J. Green shooting personal FOUL (3 PF) (Reaves 2 FT),"[1630224, 1630559]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,2002.0,3.0,0.0,Reaves,1630559.0,,,
278,PT04M55.00S,2023-11-09T02:05:17.0Z,2,REGULAR,freethrow,1 of 2,[],1630559,,,1610612747,56,33,2023-11-09T02:05:17Z,2720000,False,,,0,,A. Reaves Free Throw 1 of 2 (4 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,,,,4.0,,,,,,,,,,,,,,
279,PT04M55.00S,2023-11-09T02:05:17.4Z,2,REGULAR,substitution,out,[],1630224,,,1610612747,56,33,2023-11-09T02:05:21Z,2730000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT04M55.00S,2023-11-09T02:05:17.4Z,2,REGULAR,substitution,in,[],1630256,,,1610612747,56,33,2023-11-09T02:05:21Z,2740000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT04M55.00S,2023-11-09T02:05:37.6Z,2,REGULAR,freethrow,2 of 2,[],1630559,,,1610612747,56,34,2023-11-09T02:05:37Z,2750000,False,,,0,,A. Reaves Free Throw 2 of 2 (5 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,,,,5.0,,,,,,,,,,,,,,
282,PT04M36.00S,2023-11-09T02:06:02.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628988,91.80354796320631,60.049019607843135,1610612745,56,34,2023-11-09T02:06:09Z,2760000,False,50.0,25.0,1,right,MISS A. Holiday driving Layup - blocked,"[1628988, 1629060]",1610612745.0,HOU,driving,,,Holiday,A. Holiday,,,,,In The Paint (Non-RA),0-8 Center,5.59,Missed,Hachimura,1629060.0,,,,,,,,,,,,,,,,
283,PT04M36.00S,2023-11-09T02:06:02.3Z,2,REGULAR,block,,[],1629060,,,1610612745,56,34,2023-11-09T02:06:04Z,2770000,False,,,0,,R. Hachimura BLOCK (1 BLK),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
284,PT04M35.00S,2023-11-09T02:06:03.3Z,2,REGULAR,rebound,defensive,[],1629060,,,1610612747,56,34,2023-11-09T02:06:09Z,2780000,False,,,0,,R. Hachimura REBOUND (Off:1 Def:3),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,282.0,,4.0,3.0,1.0,,,,,,,,,,,
285,PT04M30.00S,2023-11-09T02:06:08.2Z,2,REGULAR,turnover,lost ball,[],1627752,,,1610612747,56,34,2023-11-09T02:06:13Z,2790000,False,,,0,,T. Prince lost ball TURNOVER (1 TO),"[1627752, 1631095]",1610612747.0,LAL,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,1.0,Smith Jr.,1631095.0
286,PT04M30.00S,2023-11-09T02:06:08.2Z,2,REGULAR,steal,,[],1631095,,,1610612745,56,34,2023-11-09T02:06:10Z,2800000,False,,,0,,J. Smith Jr. STEAL (1 STL),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
287,PT04M25.00S,2023-11-09T02:06:14.9Z,2,REGULAR,foul,personal,['2freethrow'],1626174,,,1610612745,56,34,2023-11-09T02:06:28Z,2810000,False,,,0,,C. Wood shooting personal FOUL (2 PF) (Smith Jr. 2 FT),"[1626174, 1631095]",1610612747.0,LAL,shooting,,,Wood,C. Wood,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,202027.0,2.0,0.0,Smith Jr.,1631095.0,,,
289,PT04M25.00S,2023-11-09T02:06:48.7Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1631095,,,1610612745,57,34,2023-11-09T02:06:48Z,2830000,False,,,0,,J. Smith Jr. Free Throw 1 of 2 (5 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,,,,5.0,,,,,,,,,,,,,,
290,PT04M25.00S,2023-11-09T02:06:49.3Z,2,REGULAR,substitution,out,[],1630559,,,1610612745,57,34,2023-11-09T02:06:55Z,2840000,False,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT04M25.00S,2023-11-09T02:06:49.3Z,2,REGULAR,substitution,in,[],1631108,,,1610612745,57,34,2023-11-09T02:06:55Z,2850000,False,,,0,,SUB in: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT04M25.00S,2023-11-09T02:07:12.3Z,2,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1631095,,,1610612745,58,34,2023-11-09T02:07:12Z,2860000,False,,,0,,J. Smith Jr. Free Throw 2 of 2 (6 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,,,,6.0,,,,,,,,,,,,,,
293,PT04M11.00S,2023-11-09T02:07:26.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,10.5946123521682,48.28431372549019,1610612747,58,36,2023-11-09T02:07:32Z,2870000,False,9.0,47.0,1,left,R. Hachimura cutting Layup (15 PTS) (D. Russell 4 AST),"[1629060, 1626156]",1610612747.0,LAL,cutting,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,4.79,Made,,,,15.0,,,,D. Russell,1626156.0,4.0,,,,,,,,
295,PT03M58.00S,2023-11-09T02:07:39.0Z,2,REGULAR,2pt,Jump Shot,[],1630578,83.26215505913272,25.49019607843137,1610612745,58,36,2023-11-09T02:07:46Z,2890000,False,-123.0,105.0,1,right,MISS A. Sengun 16' Jump Shot,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,16.12,Missed,,,,,,,,,,,,,,,,,,
296,PT03M58.00S,2023-11-09T02:07:39.0Z,2,REGULAR,rebound,defensive,[],1629060,,,1610612747,58,36,2023-11-09T02:07:46Z,2900000,False,,,0,,R. Hachimura REBOUND (Off:1 Def:4),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Mid-Range,16-24 Left Center,,,,,295.0,,5.0,4.0,1.0,,,,,,,,,,,
297,PT03M46.00S,2023-11-09T02:07:51.8Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],1626156,24.26084099868594,63.48039215686274,1610612747,58,36,2023-11-09T02:10:26Z,2910000,False,-67.0,176.0,1,left,MISS D. Russell 18' Jump Shot,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Left Center,18.81,Missed,,,,,,,,,,,,,,,,,,
298,PT03M45.00S,2023-11-09T02:07:52.8Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,58,36,2023-11-09T02:08:00Z,2920000,False,,,0,,A. Sengun REBOUND (Off:0 Def:4),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,,,,,297.0,,4.0,4.0,0.0,,,,,,,,,,,
299,PT03M38.00S,2023-11-09T02:07:59.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,90.22667542706965,47.05882352941176,1610612745,58,36,2023-11-09T02:10:11Z,2930000,False,-15.0,39.0,1,right,MISS A. Sengun floating Shot,[1630578],1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,4.21,Missed,,,,,,,,,,,,,,,,,,
300,PT03M36.00S,2023-11-09T02:08:01.2Z,2,REGULAR,rebound,defensive,[],1631108,,,1610612747,58,36,2023-11-09T02:08:21Z,2940000,False,,,0,,M. Christie REBOUND (Off:0 Def:3),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Restricted Area,0-8 Center,,,,,299.0,,3.0,3.0,0.0,,,,,,,,,,,
301,PT03M28.00S,2023-11-09T02:08:10.4Z,2,REGULAR,3pt,Jump Shot,[],1626156,19.530223390275953,92.40196078431373,1610612747,58,39,2023-11-09T02:08:24Z,2950000,False,-212.0,131.0,1,left,D. Russell 24' 3PT  (5 PTS) (T. Prince 1 AST),"[1626156, 1627752]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,24.93,Made,,,,5.0,,,,T. Prince,1627752.0,1.0,,,,,,,,
303,PT03M26.00S,2023-11-09T02:08:18.4Z,2,REGULAR,timeout,full,['team'],0,,,1610612745,58,39,2023-11-09T02:08:18Z,2970000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT03M26.00S,2023-11-09T02:08:33.5Z,2,REGULAR,substitution,out,[],1628988,,,1610612745,58,39,2023-11-09T02:09:35Z,2980000,False,,,0,,SUB out: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT03M26.00S,2023-11-09T02:08:33.5Z,2,REGULAR,substitution,out,[],1630578,,,1610612745,58,39,2023-11-09T02:09:35Z,2990000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT03M26.00S,2023-11-09T02:08:33.5Z,2,REGULAR,substitution,in,[],1627832,,,1610612745,58,39,2023-11-09T02:09:35Z,3000000,False,,,0,,SUB in: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT03M26.00S,2023-11-09T02:08:33.5Z,2,REGULAR,substitution,in,[],201145,,,1610612745,58,39,2023-11-09T02:09:35Z,3010000,False,,,0,,SUB in: J. Green,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT03M12.00S,2023-11-09T02:10:08.4Z,2,REGULAR,foul,offensive,[],201145,,,1610612745,58,39,2023-11-09T02:10:14Z,3020000,False,,,0,,J. Green offensive FOUL (2 PF),"[201145, 1626156]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2002.0,2.0,0.0,Russell,1626156.0,,,
310,PT03M12.00S,2023-11-09T02:10:08.4Z,2,REGULAR,turnover,offensive foul,[],201145,,,1610612745,58,39,2023-11-09T02:10:08Z,3040000,False,,,0,,J. Green offensive foul TURNOVER (1 TO),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2002.0,,,,,1.0,,
311,PT03M12.00S,2023-11-09T02:10:14.5Z,2,REGULAR,substitution,out,[],1629060,,,1610612747,58,39,2023-11-09T02:10:20Z,3050000,False,,,0,,SUB out: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT03M12.00S,2023-11-09T02:10:14.5Z,2,REGULAR,substitution,in,[],2544,,,1610612747,58,39,2023-11-09T02:10:20Z,3060000,False,,,0,,SUB in: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT02M58.00S,2023-11-09T02:10:41.8Z,2,REGULAR,foul,personal,[],1630256,,,1610612747,58,39,2023-11-09T02:10:46Z,3070000,False,,,0,,J. Tate personal FOUL (2 PF),"[1630256, 1626174]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,202027.0,2.0,0.0,Wood,1626174.0,,,
315,PT02M46.00S,2023-11-09T02:11:10.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1626156,7.440867279894875,79.41176470588235,1610612747,58,39,2023-11-09T02:11:18Z,3090000,False,-147.0,17.0,1,left,MISS D. Russell 14' pullup Shot,[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,14.81,Missed,,,,,,,,,,,,,,,,,,
316,PT02M44.00S,2023-11-09T02:11:12.8Z,2,REGULAR,rebound,defensive,[],1628415,,,1610612745,58,39,2023-11-09T02:11:18Z,3100000,False,,,0,,D. Brooks REBOUND (Off:0 Def:4),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Left,,,,,315.0,,4.0,4.0,0.0,,,,,,,,,,,
317,PT02M40.00S,2023-11-09T02:11:19.4Z,2,REGULAR,foul,offensive,[],1631095,,,1610612745,58,39,2023-11-09T02:11:28Z,3110000,False,,,0,,J. Smith Jr. charge offensive FOUL (2 PF),"[1631095, 1627752]",1610612745.0,HOU,charge,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202027.0,2.0,0.0,Prince,1627752.0,,,
319,PT02M40.00S,2023-11-09T02:11:19.4Z,2,REGULAR,turnover,offensive foul,[],1631095,,,1610612745,58,39,2023-11-09T02:11:19Z,3130000,False,,,0,,J. Smith Jr. offensive foul TURNOVER (2 TO),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202027.0,,,,,2.0,,
320,PT02M24.00S,2023-11-09T02:11:51.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,12.171484888304862,3.6764705882352944,1610612747,58,39,2023-11-09T02:12:00Z,3140000,False,232.0,62.0,1,left,MISS D. Russell 3PT,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Right Corner 3,24+ Right,23.97,Missed,,,,,,,,,,,,,,,,,,
321,PT02M22.00S,2023-11-09T02:11:53.6Z,2,REGULAR,rebound,defensive,[],201145,,,1610612745,58,39,2023-11-09T02:12:00Z,3150000,False,,,0,,J. Green REBOUND (Off:2 Def:3),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,,,320.0,,5.0,3.0,2.0,,,,,,,,,,,
322,PT02M12.00S,2023-11-09T02:12:02.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,93.11760840998686,52.94117647058824,1610612745,60,39,2023-11-09T02:12:07Z,3160000,False,15.0,12.0,1,right,F. VanVleet driving finger roll Layup (4 PTS),[1627832],1610612745.0,HOU,driving finger roll,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,1.91,Made,,,,4.0,,,,,,,,,,,,,,
323,PT01M50.00S,2023-11-09T02:12:24.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,6.783837056504599,51.470588235294116,1610612747,60,41,2023-11-09T02:12:31Z,3170000,False,-7.0,11.0,1,left,D. Russell cutting Layup (7 PTS) (C. Wood 1 AST),"[1626156, 1626174]",1610612747.0,LAL,cutting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,1.35,Made,,,,7.0,,,,C. Wood,1626174.0,1.0,,,,,,,,
325,PT01M31.00S,2023-11-09T02:12:45.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,89.70105124835742,63.970588235294116,1610612745,60,41,2023-11-09T02:12:54Z,3190000,False,70.0,44.0,1,right,MISS F. VanVleet 8' fadeaway Shot,[1627832],1610612745.0,HOU,fadeaway,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Right,8.28,Missed,,,,,,,,,,,,,,,,,,
326,PT01M27.00S,2023-11-09T02:12:49.6Z,2,REGULAR,rebound,offensive,[],201145,,,1610612745,60,41,2023-11-09T02:12:54Z,3200000,False,,,0,,J. Green REBOUND (Off:3 Def:3),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Right,,,,,325.0,,6.0,3.0,3.0,,,,,,,,,,,
327,PT01M17.00S,2023-11-09T02:12:59.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630256,91.5407358738502,52.69607843137255,1610612745,62,41,2023-11-09T02:13:04Z,3210000,False,13.0,27.0,1,right,J. Tate driving finger roll Layup (6 PTS) (F. VanVleet 6 AST),"[1630256, 1627832]",1610612745.0,HOU,driving finger roll,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,3.02,Made,,,,6.0,,,,F. VanVleet,1627832.0,6.0,,,,,,,,
329,PT01M05.00S,2023-11-09T02:13:15.3Z,2,REGULAR,foul,offensive,[],1631108,,,1610612747,62,41,2023-11-09T02:13:28Z,3230000,False,,,0,,M. Christie offensive FOUL (2 PF),"[1631108, 1628415]",1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,202027.0,2.0,0.0,Brooks,1628415.0,,,
331,PT01M05.00S,2023-11-09T02:13:15.3Z,2,REGULAR,turnover,offensive foul,[],1631108,,,1610612747,62,41,2023-11-09T02:13:15Z,3250000,False,,,0,,M. Christie offensive foul TURNOVER (1 TO),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,202027.0,,,,,1.0,,
332,PT00M51.80S,2023-11-09T02:13:43.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201145,94.1688567674113,53.67647058823529,1610612745,64,41,2023-11-09T02:13:48Z,3260000,False,18.0,2.0,1,right,J. Green DUNK (7 PTS) (F. VanVleet 7 AST),"[201145, 1627832]",1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.85,Made,,,,7.0,,,,F. VanVleet,1627832.0,7.0,,,,,,,,
334,PT00M32.90S,2023-11-09T02:14:04.1Z,2,REGULAR,2pt,Jump Shot,[],1627752,19.267411300919843,72.54901960784314,1610612747,64,43,2023-11-09T02:39:56Z,3280000,False,-113.0,129.0,1,left,T. Prince 17' pullup Jump Shot (7 PTS),[1627752],1610612747.0,LAL,pullup,,,Prince,T. Prince,,,,,Mid-Range,16-24 Left Center,17.1,Made,,,,7.0,,,,,,,,,,,,,,
335,PT00M14.00S,2023-11-09T02:14:29.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201145,93.9060446780552,51.9607843137255,1610612745,66,43,2023-11-09T02:14:39Z,3290000,False,10.0,5.0,1,right,J. Green cutting Layup (9 PTS) (F. VanVleet 8 AST),"[201145, 1627832]",1610612745.0,HOU,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.09,Made,,,,9.0,,,,F. VanVleet,1627832.0,8.0,,,,,,,,
337,PT00M02.50S,2023-11-09T02:14:46.1Z,2,REGULAR,foul,personal,[],201145,,,1610612747,66,43,2023-11-09T02:14:53Z,3310000,False,,,0,,J. Green personal FOUL (3 PF),"[201145, 2544]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,202027.0,3.0,0.0,James,2544.0,,,
339,PT00M02.50S,2023-11-09T02:14:57.0Z,2,REGULAR,substitution,out,[],1627832,,,1610612747,66,43,2023-11-09T02:15:02Z,3330000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
340,PT00M02.50S,2023-11-09T02:14:57.0Z,2,REGULAR,substitution,in,[],1631106,,,1610612747,66,43,2023-11-09T02:15:02Z,3340000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
341,PT00M01.60S,2023-11-09T02:15:17.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628415,,,1610612747,66,43,2023-11-09T02:15:25Z,3350000,False,,,0,,D. Brooks shooting personal FOUL (3 PF) (James 2 FT),"[1628415, 2544]",1610612745.0,HOU,shooting,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1626300.0,3.0,0.0,James,2544.0,,,
343,PT00M01.60S,2023-11-09T02:15:43.1Z,2,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,66,44,2023-11-09T02:15:43Z,3370000,False,,,0,,L. James Free Throw 1 of 2 (8 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,,,,8.0,,,,,,,,,,,,,,
344,PT00M01.60S,2023-11-09T02:15:43.6Z,2,REGULAR,substitution,out,[],1631106,,,1610612747,66,44,2023-11-09T02:15:53Z,3380000,False,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT00M01.60S,2023-11-09T02:15:43.6Z,2,REGULAR,substitution,out,[],1626156,,,1610612747,66,44,2023-11-09T02:15:53Z,3390000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT00M01.60S,2023-11-09T02:15:43.6Z,2,REGULAR,substitution,in,[],1627832,,,1610612747,66,44,2023-11-09T02:15:53Z,3400000,False,,,0,,SUB in: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT00M01.60S,2023-11-09T02:15:43.6Z,2,REGULAR,substitution,in,[],1629629,,,1610612747,66,44,2023-11-09T02:15:53Z,3410000,False,,,0,,SUB in: C. Reddish,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
348,PT00M01.60S,2023-11-09T02:16:07.1Z,2,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,66,45,2023-11-09T02:16:07Z,3420000,False,,,0,,L. James Free Throw 2 of 2 (9 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,,,,9.0,,,,,,,,,,,,,,
349,PT00M00.00S,2023-11-09T02:16:15.0Z,2,REGULAR,period,end,[],0,,,1610612745,66,45,2023-11-09T02:16:15Z,3430000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
