actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
250,PT05M14.00S,2023-12-21T00:58:15.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,13.748357424441524,46.07843137254902,1610612755,44,41,2023-12-21T00:59:15Z,2480000,False,20.0,77.0,1,left,T. Maxey 7' driving floating Jump Shot (14 PTS) (T. Harris 1 AST),"[1630178, 202699]",1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,7.92,Made,,,,,,,,,,,14.0,T. Harris,202699.0,1.0,,,,
252,PT05M13.00S,2023-12-21T00:58:23.3Z,2,REGULAR,foul,technical,['1freethrow'],1630162,,,1610612750,44,41,2023-12-21T00:58:31Z,2500000,False,,,0,,A. Edwards technical FOUL (1 Tech),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,1627962.0,0.0,1.0,,,,,,,,,,,,,,
253,PT05M13.00S,2023-12-21T00:58:55.2Z,2,REGULAR,freethrow,1 of 1,[],1630178,,,1610612750,45,41,2023-12-21T00:58:55Z,2510000,False,,,0,,T. Maxey technical Free Throw 1 of 1 (15 PTS),[1630178],1610612755.0,PHI,technical,,,Maxey,T. Maxey,,,,,,,,Made,,,,,,,,,,,15.0,,,,,,,
254,PT05M13.00S,2023-12-21T00:59:00.4Z,2,REGULAR,substitution,out,[],1627863,,,1610612750,45,41,2023-12-21T00:59:02Z,2520000,False,,,0,,SUB out: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT05M13.00S,2023-12-21T00:59:00.4Z,2,REGULAR,substitution,in,[],1629001,,,1610612750,45,41,2023-12-21T00:59:02Z,2530000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT04M53.00S,2023-12-21T00:59:31.9Z,2,REGULAR,3pt,Jump Shot,[],1630183,70.25295663600527,18.872549019607842,1610612750,45,44,2023-12-21T00:59:37Z,2540000,False,-156.0,227.0,1,right,J. McDaniels 27' 3PT  (17 PTS) (S. Milton 2 AST),"[1630183, 1629003]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,27.53,Made,,,,,,,,,,,17.0,S. Milton,1629003.0,2.0,,,,
258,PT04M32.00S,2023-12-21T00:59:52.7Z,2,REGULAR,2pt,Jump Shot,[],203954,20.97568988173456,39.950980392156865,1610612755,47,44,2023-12-21T01:00:01Z,2560000,False,50.0,145.0,1,left,J. Embiid 15' fadeaway Jump Shot (14 PTS),[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,15.32,Made,,,,,,,,,,,14.0,,,,,,,
259,PT04M19.00S,2023-12-21T01:00:05.9Z,2,REGULAR,2pt,Jump Shot,[],1630183,90.22667542706965,32.1078431372549,1610612750,47,46,2023-12-21T01:00:16Z,2570000,False,-89.0,39.0,1,right,J. McDaniels 9' pullup bank Jump Shot (19 PTS),[1630183],1610612750.0,MIN,pullup bank,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,9.78,Made,,,,,,,,,,,19.0,,,,,,,
260,PT04M06.00S,2023-12-21T01:00:24.5Z,2,REGULAR,foul,personal,[],1629003,,,1610612755,47,46,2023-12-21T01:01:49Z,2580000,False,,,0,,S. Milton personal FOUL (1 PF),"[1629003, 1629001]",1610612750.0,MIN,,,,Milton,S. Milton,,,,,In The Paint (Non-RA),0-8 Center,,,,1179.0,1.0,0.0,Melton,1629001.0,,,,,,,,,,,,
262,PT03M55.00S,2023-12-21T01:00:52.6Z,2,REGULAR,foul,personal,['2freethrow'],203497,,,1610612755,47,46,2023-12-21T01:01:00Z,2600000,False,,,0,,R. Gobert shooting personal FOUL (3 PF) (Embiid 2 FT),"[203497, 203954]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,1627962.0,3.0,0.0,Embiid,203954.0,,,,,,,,,,,,
264,PT03M55.00S,2023-12-21T01:01:24.2Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,48,46,2023-12-21T01:01:24Z,2620000,False,,,0,,J. Embiid Free Throw 1 of 2 (15 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,15.0,,,,,,,
265,PT03M55.00S,2023-12-21T01:01:25.3Z,2,REGULAR,substitution,out,[],203497,,,1610612755,48,46,2023-12-21T01:01:28Z,2630000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT03M55.00S,2023-12-21T01:01:25.3Z,2,REGULAR,substitution,in,[],1629675,,,1610612755,48,46,2023-12-21T01:01:28Z,2640000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT03M55.00S,2023-12-21T01:01:50.6Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,49,46,2023-12-21T01:01:50Z,2650000,False,,,0,,J. Embiid Free Throw 2 of 2 (16 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,16.0,,,,,,,
268,PT03M42.00S,2023-12-21T01:02:05.6Z,2,REGULAR,2pt,Jump Shot,[],1630183,87.59855453350855,88.48039215686273,1610612750,49,46,2023-12-21T01:02:12Z,2660000,False,192.0,64.0,1,right,MISS J. McDaniels 20' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Right,20.28,Missed,,,,,,,,,,,,,,,,,,
269,PT03M39.00S,2023-12-21T01:02:08.6Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,49,46,2023-12-21T01:02:12Z,2670000,False,,,0,,J. Embiid REBOUND (Off:1 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right,,,268.0,,,,,,5.0,4.0,1.0,,,,,,,,,
270,PT03M24.00S,2023-12-21T01:02:23.5Z,2,REGULAR,2pt,Jump Shot,[],203954,21.23850197109067,43.38235294117647,1610612755,51,46,2023-12-21T01:02:27Z,2680000,False,33.0,147.0,1,left,J. Embiid 15' Jump Shot (18 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,15.08,Made,,,,,,,,,,,18.0,,,,,,,
271,PT03M23.00S,2023-12-21T01:02:34.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,51,46,2023-12-21T01:02:34Z,2690000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT03M23.00S,2023-12-21T01:05:07.8Z,2,REGULAR,substitution,out,[],1629003,,,1610612750,51,46,2023-12-21T01:05:20Z,2700000,False,,,0,,SUB out: S. Milton,[1629003],1610612750.0,MIN,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT03M23.00S,2023-12-21T01:05:07.8Z,2,REGULAR,substitution,in,[],201144,,,1610612750,51,46,2023-12-21T01:05:20Z,2710000,False,,,0,,SUB in: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT03M05.00S,2023-12-21T01:05:46.0Z,2,REGULAR,3pt,Jump Shot,[],1629675,96.5341655716163,3.431372549019608,1610612750,51,49,2023-12-21T01:05:53Z,2720000,False,-233.0,-20.0,1,right,N. Reid 3PT  (3 PTS) (A. Edwards 1 AST),"[1629675, 1630162]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Left Corner 3,24+ Left,23.36,Made,,,,,,,,,,,3.0,A. Edwards,1630162.0,1.0,,,,
276,PT02M52.00S,2023-12-21T01:06:02.9Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201144,,,1610612755,51,49,2023-12-21T01:06:08Z,2740000,False,,,0,,M. Conley personal FOUL (1 PF) (Maxey 2 FT),"[201144, 1630178]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,,,,1179.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,,,,
278,PT02M52.00S,2023-12-21T01:06:28.1Z,2,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,52,49,2023-12-21T01:06:28Z,2760000,False,,,0,,T. Maxey Free Throw 1 of 2 (16 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,,,,,,,,,,,16.0,,,,,,,
279,PT02M52.00S,2023-12-21T01:06:46.3Z,2,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,53,49,2023-12-21T01:06:46Z,2770000,False,,,0,,T. Maxey Free Throw 2 of 2 (17 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,,,,,,,,,,,17.0,,,,,,,
280,PT02M41.00S,2023-12-21T01:06:58.2Z,2,REGULAR,3pt,Jump Shot,[],1629675,66.70499342969777,54.90196078431373,1610612750,53,52,2023-12-21T01:07:03Z,2780000,False,25.0,260.0,1,right,N. Reid 26' 3PT  (6 PTS) (M. Conley 3 AST),"[1629675, 201144]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,26.16,Made,,,,,,,,,,,6.0,M. Conley,201144.0,3.0,,,,
282,PT02M30.00S,2023-12-21T01:07:09.5Z,2,REGULAR,3pt,Jump Shot,[],1630178,28.86005256241787,77.94117647058823,1610612755,56,52,2023-12-21T01:07:14Z,2800000,False,-140.0,219.0,1,left,T. Maxey 25' 3PT pullup (20 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,25.96,Made,,,,,,,,,,,20.0,,,,,,,
283,PT02M15.00S,2023-12-21T01:07:23.9Z,2,REGULAR,turnover,bad pass,[],201144,,,1610612750,56,52,2023-12-21T01:07:28Z,2810000,False,,,0,,M. Conley bad pass TURNOVER (2 TO),"[201144, 202699]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,2.0,,,,,,,Harris,202699.0
284,PT02M15.00S,2023-12-21T01:07:23.9Z,2,REGULAR,steal,,[],202699,,,1610612755,56,52,2023-12-21T01:07:25Z,2820000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
285,PT02M12.00S,2023-12-21T01:07:27.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,6.1268068331143235,50.0,1610612755,58,52,2023-12-21T01:07:33Z,2830000,False,0.0,5.0,1,left,K. Oubre Jr. running reverse Layup (5 PTS) (T. Harris 2 AST),"[1626162, 202699]",1610612755.0,PHI,running reverse,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,0.51,Made,,,,,,,,,,,5.0,T. Harris,202699.0,2.0,,,,
287,PT01M52.00S,2023-12-21T01:07:46.9Z,2,REGULAR,3pt,Jump Shot,[],201144,69.20170827858082,22.794117647058822,1610612750,58,55,2023-12-21T01:07:52Z,2850000,False,-136.0,237.0,1,right,M. Conley 27' 3PT  (5 PTS) (K. Towns 1 AST),"[201144, 1626157]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,27.32,Made,,,,,,,,,,,5.0,K. Towns,1626157.0,1.0,,,,
289,PT01M25.00S,2023-12-21T01:08:13.3Z,2,REGULAR,2pt,Jump Shot,[],203954,27.020367936925098,53.67647058823529,1610612755,60,55,2023-12-21T01:08:18Z,2870000,False,-18.0,201.0,1,left,J. Embiid 20' Jump Shot (20 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,20.23,Made,,,,,,,,,,,20.0,,,,,,,
290,PT01M22.00S,2023-12-21T01:08:21.1Z,2,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,60,55,2023-12-21T01:08:27Z,2880000,False,,,0,,A. Edwards lost ball out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,lost ball,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,1627962.0,,,,,,,,1.0,,,,,,,,
291,PT01M14.00S,2023-12-21T01:08:39.6Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626162,10.5946123521682,56.61764705882353,1610612755,62,55,2023-12-21T01:08:44Z,2890000,False,-33.0,47.0,1,left,K. Oubre Jr. Hook (7 PTS) (D. Melton 2 AST),"[1626162, 1629001]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.76,Made,,,,,,,,,,,7.0,D. Melton,1629001.0,2.0,,,,
293,PT00M51.60S,2023-12-21T01:09:03.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,89.30683311432325,59.55882352941176,1610612750,62,55,2023-12-21T01:09:10Z,2910000,False,48.0,48.0,1,right,MISS J. McDaniels 6' step back Shot,[1630183],1610612750.0,MIN,step back,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,6.77,Missed,,,,,,,,,,,,,,,,,,
294,PT00M49.00S,2023-12-21T01:09:05.8Z,2,REGULAR,rebound,offensive,[],1630162,,,1610612750,62,55,2023-12-21T01:09:05Z,2920000,False,,,0,,A. Edwards REBOUND (Off:1 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,293.0,,,,,,2.0,1.0,1.0,,,,,,,,,
319,PT00M47.70S,2023-12-21T01:09:09.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630162,93.24901445466492,50.98039215686274,1610612750,62,55,2023-12-21T01:20:25Z,2935000,False,5.0,11.0,1,right,MISS A. Edwards putback Layup,[1630162],1610612750.0,MIN,putback,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.2,Missed,,,,,,,,,,,,,,,,,,
320,PT00M46.70S,2023-12-21T01:09:10.7Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,62,55,2023-12-21T01:20:25Z,2942500,False,,,0,,T. Harris REBOUND (Off:1 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,319.0,,,,,,4.0,3.0,1.0,,,,,,,,,
297,PT00M44.90S,2023-12-21T01:09:16.3Z,2,REGULAR,foul,offensive,['inpenalty'],202699,,,1610612755,62,55,2023-12-21T01:20:25Z,2950000,False,,,0,,T. Harris charge offensive FOUL (3 PF),"[202699, 201144]",1610612755.0,PHI,charge,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,1627962.0,3.0,0.0,Conley,201144.0,,,,,,,,,,,,
299,PT00M44.90S,2023-12-21T01:09:16.3Z,2,REGULAR,turnover,offensive foul,[],202699,,,1610612755,62,55,2023-12-21T01:09:16Z,2970000,False,,,0,,T. Harris offensive foul TURNOVER (1 TO),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,1627962.0,,,,,,,,1.0,,,,,,,,
300,PT00M44.90S,2023-12-21T01:09:32.6Z,2,REGULAR,timeout,full,['team'],0,,,1610612750,62,55,2023-12-21T01:09:32Z,2980000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT00M44.90S,2023-12-21T01:10:06.7Z,2,REGULAR,substitution,out,[],1629001,,,1610612750,62,55,2023-12-21T01:10:49Z,2990000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT00M44.90S,2023-12-21T01:10:06.7Z,2,REGULAR,substitution,in,[],202694,,,1610612750,62,55,2023-12-21T01:10:49Z,3000000,False,,,0,,SUB in: M. Morris Sr.,[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
303,PT00M35.20S,2023-12-21T01:11:22.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626157,93.24901445466492,46.07843137254902,1610612750,62,57,2023-12-21T01:11:26Z,3010000,False,-20.0,11.0,1,right,K. Towns driving Layup (13 PTS) (M. Conley 4 AST),"[1626157, 201144]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,,,,,,,13.0,M. Conley,201144.0,4.0,,,,
305,PT00M35.20S,2023-12-21T01:11:24.8Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",203954,,,1610612750,62,57,2023-12-21T01:11:30Z,3030000,False,,,0,,J. Embiid shooting personal FOUL (2 PF) (Towns 1 FT),"[203954, 1626157]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,1179.0,2.0,0.0,Towns,1626157.0,,,,,,,,,,,,
307,PT00M35.20S,2023-12-21T01:11:37.5Z,2,REGULAR,substitution,out,[],201144,,,1610612750,62,57,2023-12-21T01:11:43Z,3050000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT00M35.20S,2023-12-21T01:11:37.5Z,2,REGULAR,substitution,in,[],1629638,,,1610612750,62,57,2023-12-21T01:11:43Z,3060000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT00M35.20S,2023-12-21T01:11:56.8Z,2,REGULAR,substitution,out,[],1629675,,,1610612750,62,57,2023-12-21T01:12:00Z,3070000,False,,,0,,SUB out: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT00M35.20S,2023-12-21T01:11:56.8Z,2,REGULAR,substitution,in,[],203937,,,1610612750,62,57,2023-12-21T01:12:00Z,3080000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT00M35.20S,2023-12-21T01:12:15.8Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1626157,,,1610612750,62,58,2023-12-21T01:12:15Z,3090000,False,,,0,,K. Towns Free Throw 1 of 1 (14 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,Made,,,,,,,,,,,14.0,,,,,,,
312,PT00M29.50S,2023-12-21T01:12:29.4Z,2,REGULAR,2pt,Jump Shot,[],202694,6.258212877792378,75.24509803921569,1610612755,64,58,2023-12-21T01:12:33Z,3100000,False,-126.0,6.0,1,left,M. Morris Sr. 12' pullup Jump Shot (5 PTS) (T. Maxey 3 AST),"[202694, 1630178]",1610612755.0,PHI,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,8-16 Left,12.64,Made,,,,,,,,,,,5.0,T. Maxey,1630178.0,3.0,,,,
314,PT00M08.10S,2023-12-21T01:12:56.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,93.38042049934296,48.28431372549019,1610612750,64,60,2023-12-21T01:12:59Z,3120000,False,-9.0,10.0,1,right,K. Towns driving Layup (16 PTS) (K. Anderson 1 AST),"[1626157, 203937]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.3,Made,,,,,,,,,,,16.0,K. Anderson,203937.0,1.0,,,,
316,PT00M01.00S,2023-12-21T01:13:05.4Z,2,REGULAR,3pt,Jump Shot,[],1630178,31.09395532194481,15.931372549019606,1610612755,64,60,2023-12-21T01:13:12Z,3140000,False,170.0,240.0,1,left,MISS T. Maxey 29' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,29.41,Missed,,,,,,,,,,,,,,,,,,
317,PT00M01.00S,2023-12-21T01:13:05.4Z,2,REGULAR,rebound,defensive,[],1630162,,,1610612750,64,60,2023-12-21T01:13:12Z,3150000,False,,,0,,A. Edwards REBOUND (Off:1 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,316.0,,,,,,3.0,2.0,1.0,,,,,,,,,
318,PT00M00.00S,2023-12-21T01:13:11.7Z,2,REGULAR,period,end,[],0,,,1610612750,64,60,2023-12-21T01:13:11Z,3160000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT12M00.00S,2023-12-21T01:27:57.4Z,3,REGULAR,substitution,out,['startperiod'],202694,,,1610612750,64,60,2023-12-21T01:28:35Z,3170000,False,,,0,,SUB out: M. Morris Sr.,[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT12M00.00S,2023-12-21T01:27:57.4Z,3,REGULAR,substitution,out,['startperiod'],1629638,,,1610612750,64,60,2023-12-21T01:28:35Z,3180000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT12M00.00S,2023-12-21T01:27:57.4Z,3,REGULAR,substitution,out,['startperiod'],203937,,,1610612750,64,60,2023-12-21T01:28:35Z,3190000,False,,,0,,SUB out: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT12M00.00S,2023-12-21T01:27:57.4Z,3,REGULAR,substitution,in,['startperiod'],201976,,,1610612750,64,60,2023-12-21T01:28:35Z,3200000,False,,,0,,SUB in: P. Beverley,[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT12M00.00S,2023-12-21T01:27:57.4Z,3,REGULAR,substitution,in,['startperiod'],201144,,,1610612750,64,60,2023-12-21T01:28:35Z,3210000,False,,,0,,SUB in: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT12M00.00S,2023-12-21T01:27:57.4Z,3,REGULAR,substitution,in,['startperiod'],203497,,,1610612750,64,60,2023-12-21T01:28:35Z,3220000,False,,,0,,SUB in: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT12M00.00S,2023-12-21T01:28:46.1Z,3,REGULAR,period,start,[],0,,,1610612755,64,60,2023-12-21T01:28:46Z,3230000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,PT12M00.00S,2023-12-21T01:28:47.5Z,3,REGULAR,violation,delay-of-game,['team'],0,,,1610612755,64,60,2023-12-21T01:29:00Z,3240000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612755.0,PHI,,,,,,,,,,,,,,,202056.0,,,,,,,,,,,,,,,,
329,PT11M41.00S,2023-12-21T01:29:03.5Z,3,REGULAR,2pt,Jump Shot,[],203954,82.47371879106439,26.96078431372549,1610612755,66,60,2023-12-21T01:29:08Z,3250000,False,-115.0,112.0,1,right,J. Embiid 16' fadeaway Jump Shot (22 PTS),[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Left Center,16.08,Made,,,,,,,,,,,22.0,,,,,,,
330,PT11M30.00S,2023-12-21T01:29:15.3Z,3,REGULAR,3pt,Jump Shot,[],201144,32.013797634691194,36.51960784313725,1610612750,66,60,2023-12-21T01:29:20Z,3260000,False,67.0,248.0,1,left,MISS M. Conley 25' pullup 3PT,[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,25.74,Missed,,,,,,,,,,,,,,,,,,
331,PT11M27.00S,2023-12-21T01:29:18.3Z,3,REGULAR,rebound,defensive,[],203954,,,1610612755,66,60,2023-12-21T01:29:20Z,3270000,False,,,0,,J. Embiid REBOUND (Off:1 Def:5),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,330.0,,,,,,6.0,5.0,1.0,,,,,,,,,
332,PT11M20.00S,2023-12-21T01:29:34.3Z,3,REGULAR,foul,offensive,[],1630178,,,1610612755,66,60,2023-12-21T01:29:40Z,3280000,False,,,0,,T. Maxey offensive FOUL (3 PF),"[1630178, 1630183]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,1627962.0,3.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,
334,PT11M20.00S,2023-12-21T01:29:34.3Z,3,REGULAR,turnover,offensive foul,[],1630178,,,1610612755,66,60,2023-12-21T01:29:34Z,3300000,False,,,0,,T. Maxey offensive foul TURNOVER (2 TO),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,1627962.0,,,,,,,,2.0,,,,,,,,
335,PT11M05.00S,2023-12-21T01:29:52.1Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1626157,26.49474375821288,30.637254901960787,1610612750,66,62,2023-12-21T01:31:15Z,3310000,False,97.0,197.0,1,left,K. Towns 21' pullup Jump Shot (18 PTS) (A. Edwards 2 AST),"[1626157, 1630162]",1610612750.0,MIN,pullup,,,Towns,K. Towns,,,,,Mid-Range,16-24 Right Center,21.91,Made,,,,,,,,,,,18.0,A. Edwards,1630162.0,2.0,,,,
337,PT10M49.00S,2023-12-21T01:30:07.0Z,3,REGULAR,2pt,Jump Shot,[],202699,73.80091984231275,62.5,1610612755,66,62,2023-12-21T01:30:11Z,3330000,False,62.0,194.0,1,right,MISS T. Harris 20' pullup Shot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right Center,20.36,Missed,,,,,,,,,,,,,,,,,,
338,PT10M47.00S,2023-12-21T01:30:09.0Z,3,REGULAR,rebound,defensive,[],203497,,,1610612750,66,62,2023-12-21T01:30:11Z,3340000,False,,,0,,R. Gobert REBOUND (Off:1 Def:5),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Right Center,,,337.0,,,,,,6.0,5.0,1.0,,,,,,,,,
