actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
341,PT11M13.00S,2024-11-05T01:53:33.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629674,92.46057818659659,50.245098039215684,1610612738,53,75,2024-11-05T01:53:38Z,3380000,False,1.0,18.0,1,right,MISS N. Queta alley-oop Layup,[1629674],1610612738.0,BOS,alley-oop,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,1.84,,,,,,,,
342,PT11M11.00S,2024-11-05T01:53:36.0Z,3,REGULAR,rebound,defensive,[],203991,,,1610612737,53,75,2024-11-05T01:53:36Z,3390000,False,,,0,,C. Capela REBOUND (Off:0 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,341.0,4.0,4.0,0.0,,,,,,,,,
343,PT10M56.00S,2024-11-05T01:53:50.5Z,3,REGULAR,3pt,Jump Shot,[],1642258,31.488173455978973,28.921568627450984,1610612737,53,75,2024-11-05T01:53:55Z,3400000,False,105.0,243.0,1,left,MISS Z. Risacher 26' pullup 3PT,[1642258],1610612737.0,ATL,pullup,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,26.53,,,,,,,,
344,PT10M54.00S,2024-11-05T01:53:52.5Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,53,75,2024-11-05T01:53:55Z,3410000,False,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,,,343.0,3.0,3.0,0.0,,,,,,,,,
345,PT10M41.00S,2024-11-05T01:54:08.0Z,3,REGULAR,foul,personal,['2freethrow'],1629027,,,1610612738,53,75,2024-11-05T01:54:28Z,3420000,False,,,0,,T. Young shooting personal FOUL (2 PF) (Horford 2 FT),"[1629027, 201143]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,Restricted Area,0-8 Center,200832.0,2.0,0.0,Horford,201143.0,,,,,,,,,,,,,,,
347,PT10M41.00S,2024-11-05T01:54:38.9Z,3,REGULAR,freethrow,1 of 2,[],201143,,,1610612738,53,76,2024-11-05T01:54:38Z,3440000,False,,,0,,A. Horford Free Throw 1 of 2 (4 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
348,PT10M41.00S,2024-11-05T01:54:54.9Z,3,REGULAR,freethrow,2 of 2,[],201143,,,1610612738,53,77,2024-11-05T01:54:54Z,3450000,False,,,0,,A. Horford Free Throw 2 of 2 (5 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
349,PT10M24.00S,2024-11-05T01:55:13.8Z,3,REGULAR,3pt,Jump Shot,[],1630552,29.517082785808146,73.77450980392157,1610612737,53,77,2024-11-05T01:55:19Z,3460000,False,-119.0,225.0,1,left,MISS J. Johnson 25' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.45,,,,,,,,
350,PT10M20.00S,2024-11-05T01:55:17.8Z,3,REGULAR,rebound,defensive,[],201950,,,1610612738,53,77,2024-11-05T01:55:19Z,3470000,False,,,0,,J. Holiday REBOUND (Off:0 Def:3),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,,349.0,3.0,3.0,0.0,,,,,,,,,
351,PT10M14.00S,2024-11-05T01:55:22.6Z,3,REGULAR,3pt,Jump Shot,[],1628401,77.34888304862024,88.72549019607843,1610612738,53,77,2024-11-05T01:56:17Z,3480000,False,194.0,160.0,1,right,MISS D. White 25' running 3PT,[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.14,,,,,,,,
352,PT10M13.00S,2024-11-05T01:55:23.6Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612737,53,77,2024-11-05T01:55:36Z,3490000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,351.0,,,,,,,,,,,,
354,PT09M58.00S,2024-11-05T01:55:52.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203991,6.783837056504599,50.49019607843137,1610612737,53,77,2024-11-05T01:55:57Z,3510000,False,-2.0,11.0,1,left,MISS C. Capela alley-oop Layup,[203991],1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,1.16,,,,,,,,
355,PT09M55.00S,2024-11-05T01:55:55.6Z,3,REGULAR,rebound,defensive,[],1629674,,,1610612738,53,77,2024-11-05T01:55:57Z,3520000,False,,,0,,N. Queta REBOUND (Off:0 Def:5),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,354.0,5.0,5.0,0.0,,,,,,,,,
356,PT09M50.00S,2024-11-05T01:56:00.6Z,3,REGULAR,3pt,Jump Shot,[],201950,88.51839684625493,95.34313725490196,1610612738,53,77,2024-11-05T01:57:18Z,3530000,False,227.0,55.0,1,right,MISS J. Holiday 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.34,,,,,,,,
357,PT09M46.00S,2024-11-05T01:56:04.6Z,3,REGULAR,rebound,defensive,[],1630552,,,1610612737,53,77,2024-11-05T01:56:09Z,3540000,False,,,0,,J. Johnson REBOUND (Off:2 Def:6),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Right Corner 3,24+ Right,,,,,,,,356.0,8.0,6.0,2.0,,,,,,,,,
358,PT09M39.00S,2024-11-05T01:56:12.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642258,9.806176084099869,50.0,1610612737,55,77,2024-11-05T01:58:22Z,3550000,False,0.0,40.0,1,left,Z. Risacher turnaround Jump Shot (8 PTS) (J. Johnson 4 AST),"[1642258, 1630552]",1610612737.0,ATL,turnaround,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,Made,8.0,,,,,3.97,,,,J. Johnson,1630552.0,4.0,,
360,PT09M39.00S,2024-11-05T01:56:18.4Z,3,REGULAR,foul,personal,['1freethrow'],1628401,,,1610612737,55,77,2024-11-05T01:56:31Z,3570000,False,,,0,,D. White shooting personal FOUL (1 PF) (Risacher 1 FT),"[1628401, 1642258]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,200832.0,1.0,0.0,Risacher,1642258.0,,,,,,,,,,,,,,,
362,PT09M39.00S,2024-11-05T01:56:33.7Z,3,REGULAR,freethrow,1 of 1,[],1642258,,,1610612737,56,77,2024-11-05T01:56:33Z,3590000,False,,,0,,Z. Risacher Free Throw 1 of 1 (9 PTS),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,
363,PT09M17.00S,2024-11-05T01:56:55.9Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1629674,85.49605781865965,48.77450980392157,1610612738,56,77,2024-11-05T01:57:01Z,3600000,False,-6.0,84.0,1,right,MISS N. Queta 8' turnaround Hook,[1629674],1610612738.0,BOS,turnaround,,,Queta,N. Queta,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,8.4,,,,,,,,
364,PT09M15.00S,2024-11-05T01:56:57.9Z,3,REGULAR,rebound,defensive,[],1630552,,,1610612737,56,77,2024-11-05T01:57:01Z,3610000,False,,,0,,J. Johnson REBOUND (Off:2 Def:7),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,363.0,9.0,7.0,2.0,,,,,,,,,
365,PT09M10.00S,2024-11-05T01:57:05.3Z,3,REGULAR,turnover,traveling,[],1630552,,,1610612737,56,77,2024-11-05T01:57:12Z,3620000,False,,,0,,J. Johnson traveling TURNOVER (4 TO),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1204.0,,,,,,,,,,,,4.0,,,,,,,
366,PT08M56.00S,2024-11-05T01:57:34.1Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,93.64323258869908,23.52941176470588,1610612738,56,77,2024-11-05T01:57:38Z,3630000,False,-132.0,7.0,1,right,MISS J. Tatum 13' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,,,,13.26,,,,,,,,
367,PT08M53.00S,2024-11-05T01:57:37.1Z,3,REGULAR,rebound,defensive,[],203991,,,1610612737,56,77,2024-11-05T01:57:38Z,3640000,False,,,0,,C. Capela REBOUND (Off:0 Def:5),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,,,,,,,,366.0,5.0,5.0,0.0,,,,,,,,,
368,PT08M47.00S,2024-11-05T01:57:44.2Z,3,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612737,56,77,2024-11-05T01:58:07Z,3650000,False,,,0,,D. White shooting personal FOUL (2 PF) (Johnson 2 FT),"[1628401, 1630552]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,200833.0,2.0,0.0,Johnson,1630552.0,,,,,,,,,,,,,,,
370,PT08M47.00S,2024-11-05T01:58:10.0Z,3,REGULAR,freethrow,1 of 2,[],1630552,,,1610612737,57,77,2024-11-05T01:58:10Z,3670000,False,,,0,,J. Johnson Free Throw 1 of 2 (17 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,Made,17.0,,,,,,,,,,,,,
371,PT08M47.00S,2024-11-05T01:58:24.5Z,3,REGULAR,freethrow,2 of 2,[],1630552,,,1610612737,58,77,2024-11-05T01:58:24Z,3680000,False,,,0,,J. Johnson Free Throw 2 of 2 (18 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,Made,18.0,,,,,,,,,,,,,
372,PT08M38.00S,2024-11-05T01:58:39.2Z,3,REGULAR,3pt,Jump Shot,[],1628401,67.7562417871222,60.5392156862745,1610612738,58,80,2024-11-05T01:58:44Z,3690000,False,53.0,251.0,1,right,D. White 25' 3PT  (17 PTS) (J. Tatum 5 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,Made,17.0,,,,,25.61,,,,J. Tatum,1628369.0,5.0,,
374,PT08M14.00S,2024-11-05T01:59:02.6Z,3,REGULAR,3pt,Jump Shot,[],1630552,27.677398160315374,20.588235294117645,1610612737,58,80,2024-11-05T01:59:08Z,3710000,False,147.0,208.0,1,left,MISS J. Johnson 25' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.45,,,,,,,,
375,PT08M12.00S,2024-11-05T01:59:04.6Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,58,80,2024-11-05T01:59:08Z,3720000,False,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,374.0,5.0,5.0,0.0,,,,,,,,,
376,PT08M08.00S,2024-11-05T01:59:09.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201143,92.59198423127464,49.01960784313725,1610612738,58,82,2024-11-05T01:59:15Z,3730000,False,-5.0,17.0,1,right,A. Horford running Layup (7 PTS) (J. Tatum 6 AST),"[201143, 1628369]",1610612738.0,BOS,running,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,Made,7.0,,,,,1.78,,,,J. Tatum,1628369.0,6.0,,
378,PT07M50.00S,2024-11-05T01:59:27.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,5.995400788436268,51.470588235294116,1610612737,60,82,2024-11-05T01:59:32Z,3750000,False,-7.0,4.0,1,left,Z. Risacher driving reverse Layup (11 PTS) (T. Young 5 AST),"[1642258, 1629027]",1610612737.0,ATL,driving reverse,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,Made,11.0,,,,,0.84,,,,T. Young,1629027.0,5.0,,
380,PT07M39.00S,2024-11-05T01:59:38.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],201950,92.46057818659659,51.225490196078425,1610612738,60,84,2024-11-05T01:59:44Z,3770000,False,6.0,18.0,1,right,J. Holiday driving Layup (14 PTS),[201950],1610612738.0,BOS,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,Made,14.0,,,,,1.94,,,,,,,,
381,PT07M16.00S,2024-11-05T02:00:01.1Z,3,REGULAR,turnover,bad pass,[],1630552,,,1610612737,60,84,2024-11-05T02:00:05Z,3780000,False,,,0,,J. Johnson bad pass TURNOVER (5 TO),"[1630552, 201143]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,5.0,Horford,201143.0,,,,,
382,PT07M16.00S,2024-11-05T02:00:01.1Z,3,REGULAR,steal,,[],201143,,,1610612738,60,84,2024-11-05T02:00:03Z,3790000,False,,,0,,A. Horford STEAL (2 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
383,PT07M11.00S,2024-11-05T02:00:06.1Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201143,74.85216819973719,12.745098039215685,1610612738,60,84,2024-11-05T02:00:12Z,3800000,False,-186.0,184.0,1,right,MISS A. Horford 26' running pullup 3PT,[201143],1610612738.0,BOS,running pullup,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,26.18,,,,,,,,
384,PT07M07.00S,2024-11-05T02:00:10.1Z,3,REGULAR,rebound,offensive,[],1629674,,,1610612738,60,84,2024-11-05T02:00:12Z,3810000,False,,,0,,N. Queta REBOUND (Off:1 Def:5),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Left Center,,,,,,,,383.0,6.0,5.0,1.0,,,,,,,,,
385,PT07M07.00S,2024-11-05T02:00:10.0Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629674,94.40999984741211,50.0,1610612738,60,86,2024-11-05T02:00:10Z,3820000,False,0.0,0.0,1,right,N. Queta tip DUNK (8 PTS),[1629674],1610612738.0,BOS,tip,,,Queta,N. Queta,,,,,Mid-Range,8-16 Left,,,,,,Made,8.0,,,,,0.0,,,,,,,,
386,PT06M57.00S,2024-11-05T02:00:24.2Z,3,REGULAR,foul,personal,[],1628401,,,1610612737,60,86,2024-11-05T02:07:29Z,3830000,False,,,0,,D. White personal FOUL (3 PF),"[1628401, 203991]",1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,200832.0,3.0,0.0,Capela,203991.0,,,,,,,,,,,,,,,
388,PT06M57.00S,2024-11-05T02:00:40.9Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,60,86,2024-11-05T02:00:40Z,3850000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,PT06M57.00S,2024-11-05T02:02:16.8Z,3,REGULAR,substitution,out,[],1630552,,,1610612737,60,86,2024-11-05T02:03:29Z,3860000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
390,PT06M57.00S,2024-11-05T02:02:16.8Z,3,REGULAR,substitution,out,[],1642258,,,1610612737,60,86,2024-11-05T02:03:29Z,3870000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
391,PT06M57.00S,2024-11-05T02:02:16.8Z,3,REGULAR,substitution,in,[],1631223,,,1610612737,60,86,2024-11-05T02:03:29Z,3880000,False,,,0,,SUB in: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
392,PT06M57.00S,2024-11-05T02:02:16.8Z,3,REGULAR,substitution,in,[],1629726,,,1610612737,60,86,2024-11-05T02:03:29Z,3890000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
402,PT06M57.00S,2024-11-05T02:02:16.8Z,3,REGULAR,substitution,out,[],203991,,,1610612737,60,86,2024-11-05T02:05:37Z,3895000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
403,PT06M57.00S,2024-11-05T02:02:16.8Z,3,REGULAR,substitution,in,[],1630168,,,1610612737,60,86,2024-11-05T02:05:37Z,3897500,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
419,PT06M51.00S,2024-11-05T02:03:06.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,9.116294349540084,49.26470588235294,1610612737,60,86,2024-11-05T03:46:36Z,3898750,False,4.0,33.0,1,left,MISS D. Daniels driving Layup,[1630700],1610612737.0,ATL,driving,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.34,,,,,,,,
420,PT06M51.00S,2024-11-05T02:03:06.9Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,60,86,2024-11-05T02:06:55Z,3899375,False,,,0,,J. Tatum REBOUND (Off:0 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,,419.0,6.0,6.0,0.0,,,,,,,,,
393,PT06M36.00S,2024-11-05T02:03:57.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201143,89.56964520367937,48.28431372549019,1610612738,60,88,2024-11-05T02:04:34Z,3900000,False,-9.0,46.0,1,right,A. Horford running reverse Layup (9 PTS) (J. Tatum 7 AST),"[201143, 1628369]",1610612738.0,BOS,running reverse,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,9.0,,,,,4.63,,,,J. Tatum,1628369.0,7.0,,
395,PT06M31.00S,2024-11-05T02:04:06.4Z,3,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,60,88,2024-11-05T02:04:46Z,3920000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (2 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,Mid-Range,8-16 Right,200832.0,,,,,,,,,,,,2.0,,,,,,,
396,PT06M10.00S,2024-11-05T02:04:40.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201950,92.19776609724047,48.77450980392157,1610612738,60,90,2024-11-05T02:04:51Z,3930000,False,-6.0,21.0,1,right,J. Holiday running finger roll Layup (16 PTS) (J. Tatum 8 AST),"[201950, 1628369]",1610612738.0,BOS,running finger roll,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,Made,16.0,,,,,2.17,,,,J. Tatum,1628369.0,8.0,,
398,PT05M54.00S,2024-11-05T02:04:56.3Z,3,REGULAR,3pt,Jump Shot,[],1630168,8.492115637319317,94.36274509803921,1610612737,60,90,2024-11-05T02:05:02Z,3950000,False,-222.0,27.0,1,left,MISS O. Okongwu 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,22.35,,,,,,,,
399,PT05M50.00S,2024-11-05T02:05:00.3Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,60,90,2024-11-05T02:05:02Z,3960000,False,,,0,,A. Horford REBOUND (Off:0 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,,,,,,,,398.0,4.0,4.0,0.0,,,,,,,,,
400,PT05M44.00S,2024-11-05T02:05:06.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,92.19776609724047,52.20588235294118,1610612738,60,90,2024-11-05T02:05:12Z,3970000,False,11.0,21.0,1,right,MISS D. White driving Layup,[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.35,,,,,,,,
401,PT05M40.00S,2024-11-05T02:05:10.3Z,3,REGULAR,rebound,offensive,[],1629674,,,1610612738,60,90,2024-11-05T02:05:10Z,3980000,False,,,0,,N. Queta REBOUND (Off:2 Def:5),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,400.0,7.0,5.0,2.0,,,,,,,,,
404,PT05M36.00S,2024-11-05T02:05:43.3Z,3,REGULAR,substitution,out,[],201950,,,1610612738,60,90,2024-11-05T02:05:49Z,3990000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
405,PT05M36.00S,2024-11-05T02:05:43.3Z,3,REGULAR,substitution,out,[],1628401,,,1610612738,60,90,2024-11-05T02:05:49Z,4000000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
406,PT05M36.00S,2024-11-05T02:05:43.3Z,3,REGULAR,substitution,in,[],1630202,,,1610612738,60,90,2024-11-05T02:05:49Z,4010000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
407,PT05M36.00S,2024-11-05T02:05:43.3Z,3,REGULAR,substitution,in,[],1630573,,,1610612738,60,90,2024-11-05T02:05:49Z,4020000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
408,PT05M30.00S,2024-11-05T02:05:51.5Z,3,REGULAR,jumpball,recovered,[],1629674,,,1610612738,60,90,2024-11-05T02:05:51Z,4030000,False,,,0,,Jump Ball A. Horford vs. D. Roddy: Tip to N. Queta,"[1629674, 201143, 1631223]",1610612738.0,BOS,heldball,N. Queta,1629674.0,Queta,N. Queta,Horford,201143.0,Roddy,1631223.0,,,,,,,,,,,,,,,,,,,,,,
411,PT05M29.00S,2024-11-05T02:05:52.3Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629674,93.24901445466492,50.49019607843137,1610612738,60,92,2024-11-05T02:05:56Z,4060000,False,2.0,11.0,1,right,N. Queta DUNK (10 PTS) (A. Horford 2 AST),"[1629674, 201143]",1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,Made,10.0,,,,,1.13,,,,A. Horford,201143.0,2.0,,
413,PT05M18.00S,2024-11-05T02:06:06.7Z,3,REGULAR,violation,kicked ball,[],1629674,,,1610612737,60,92,2024-11-05T02:06:14Z,4080000,False,,,0,,N. Queta kicked ball VIOLATION,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,1204.0,,,,,,,,,,,,,,,,,,,
414,PT05M12.00S,2024-11-05T02:06:26.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,6.389618922470433,49.26470588235294,1610612737,62,92,2024-11-05T02:06:30Z,4090000,False,4.0,8.0,1,left,O. Okongwu alley-oop Layup (10 PTS) (T. Young 6 AST),"[1630168, 1629027]",1610612737.0,ATL,alley-oop,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,Made,10.0,,,,,0.85,,,,T. Young,1629027.0,6.0,,
416,PT04M58.00S,2024-11-05T02:06:40.8Z,3,REGULAR,2pt,Jump Shot,[],1628369,76.5604467805519,56.86274509803921,1610612738,62,92,2024-11-05T02:06:48Z,4110000,False,34.0,168.0,1,right,MISS J. Tatum 17' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Center,,,,,,Missed,,,,,,17.13,,,,,,,,
417,PT04M56.00S,2024-11-05T02:06:42.8Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612737,62,92,2024-11-05T02:06:48Z,4120000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,416.0,,,,,,,,,,,,
421,PT04M47.00S,2024-11-05T02:06:55.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,7.178055190538765,45.34313725490196,1610612737,62,92,2024-11-05T02:12:31Z,4140000,False,23.0,15.0,1,left,MISS D. Daniels driving Layup - blocked,"[1630700, 1629674]",1610612737.0,ATL,driving,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.77,,,,,,,Queta,1629674.0
422,PT04M47.00S,2024-11-05T02:06:55.6Z,3,REGULAR,block,,[],1629674,,,1610612737,62,92,2024-11-05T02:06:59Z,4150000,False,,,0,,N. Queta BLOCK (1 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
423,PT04M47.00S,2024-11-05T02:06:55.6Z,3,REGULAR,rebound,offensive,[],1630168,,,1610612737,62,92,2024-11-05T02:07:03Z,4160000,False,,,0,,O. Okongwu REBOUND (Off:3 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,421.0,5.0,2.0,3.0,,,,,,,,,
424,PT04M41.00S,2024-11-05T02:07:00.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,5.590000152587891,50.0,1610612737,64,92,2024-11-05T02:07:00Z,4170000,False,0.0,0.0,1,left,O. Okongwu putback Layup (12 PTS),[1630168],1610612737.0,ATL,putback,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,,,,Made,12.0,,,,,0.0,,,,,,,,
425,PT04M26.00S,2024-11-05T02:07:16.0Z,3,REGULAR,3pt,Jump Shot,[],1628369,71.96123521681997,22.30392156862745,1610612738,64,92,2024-11-05T02:07:21Z,4180000,False,-138.0,211.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.25,,,,,,,,
