actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
334,PT09M24.00S,2025-04-13T18:21:49.1Z,3,REGULAR,3pt,Jump Shot,[],1629130,74.19513797634691,13.970588235294118,1610612748,65,72,2025-04-13T18:24:01Z,3270000,False,-180.0,190.0,1,right,MISS D. Robinson 26' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,26.19,Missed,,,,,,,,,,,,,,,
335,PT09M21.00S,2025-04-13T18:21:52.1Z,3,REGULAR,rebound,offensive,[],1631170,,,1610612748,65,72,2025-04-13T18:22:01Z,3280000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:3),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,334.0,,,,,,,,,4.0,3.0,1.0,,
336,PT09M19.00S,2025-04-13T18:21:54.7Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1629130,85.23324572930355,4.6568627450980395,1610612748,65,72,2025-04-13T18:24:26Z,3290000,False,-227.0,86.0,1,right,MISS D. Robinson 24' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Left Corner 3,24+ Left,,,,24.26,Missed,,,,,,,,,,,,,,,
337,PT09M16.00S,2025-04-13T18:21:57.7Z,3,REGULAR,rebound,defensive,[],1642259,,,1610612764,65,72,2025-04-13T18:22:00Z,3300000,False,,,0,,A. Sarr REBOUND (Off:1 Def:6),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Left Corner 3,24+ Left,,,,,,,336.0,,,,,,,,,7.0,6.0,1.0,,
338,PT09M03.00S,2025-04-13T18:22:10.9Z,3,REGULAR,3pt,Jump Shot,[],1641774,6.1268068331143235,96.56862745098039,1610612764,65,75,2025-04-13T18:22:22Z,3310000,False,-233.0,5.0,1,left,T. Vukcevic 3PT  (20 PTS) (A. Johnson 6 AST),"[1641774, 1642358]",1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Left Corner 3,24+ Left,,,,23.29,Made,20.0,,,,,,,A. Johnson,1642358.0,6.0,,,,,
340,PT08M48.00S,2025-04-13T18:22:25.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,93.11760840998686,46.07843137254902,1610612748,65,75,2025-04-13T18:22:29Z,3330000,False,-20.0,12.0,1,right,MISS D. Mitchell driving Layup,[1630558],1610612748.0,MIA,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,2.31,Missed,,,,,,,,,,,,,,,
341,PT08M47.00S,2025-04-13T18:22:26.5Z,3,REGULAR,rebound,defensive,[],1642259,,,1610612764,65,75,2025-04-13T18:22:29Z,3340000,False,,,0,,A. Sarr REBOUND (Off:1 Def:7),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,340.0,,,,,,,,,8.0,7.0,1.0,,
342,PT08M42.00S,2025-04-13T18:22:31.9Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1642259,6.783837056504599,35.294117647058826,1610612764,65,77,2025-04-13T18:25:33Z,3350000,False,74.0,11.0,1,left,A. Sarr 7' driving floating Jump Shot (10 PTS),[1642259],1610612764.0,WAS,driving floating,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,7.44,Made,10.0,,,,,,,,,,,,,,
343,PT08M22.00S,2025-04-13T18:22:50.9Z,3,REGULAR,3pt,Jump Shot,[],1642276,66.96780551905388,47.549019607843135,1610612748,65,77,2025-04-13T18:22:54Z,3360000,False,-12.0,258.0,1,right,MISS K. Ware 25' 3PT,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Center,,,,25.83,Missed,,,,,,,,,,,,,,,
344,PT08M19.00S,2025-04-13T18:22:53.9Z,3,REGULAR,rebound,defensive,[],1641774,,,1610612764,65,77,2025-04-13T18:22:54Z,3370000,False,,,0,,T. Vukcevic REBOUND (Off:1 Def:6),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Above the Break 3,24+ Center,,,,,,,343.0,,,,,,,,,7.0,6.0,1.0,,
345,PT08M02.00S,2025-04-13T18:23:11.4Z,3,REGULAR,turnover,bad pass,[],1641732,,,1610612764,65,77,2025-04-13T18:23:15Z,3380000,False,,,0,,C. Jones bad pass TURNOVER (2 TO),"[1641732, 1642276]",1610612764.0,WAS,,,,Jones,C. Jones,,,,,In The Paint (Non-RA),8-16 Center,2.0,Ware,1642276.0,,,,,,,,,,,,,,,,,
346,PT08M02.00S,2025-04-13T18:23:11.4Z,3,REGULAR,steal,,[],1642276,,,1610612748,65,77,2025-04-13T18:23:13Z,3390000,False,,,0,,K. Ware STEAL (1 STL),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
347,PT07M55.00S,2025-04-13T18:23:18.9Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1631170,90.48948751642575,3.6764705882352944,1610612748,65,77,2025-04-13T18:23:23Z,3400000,False,-232.0,37.0,1,right,MISS J. Jaquez Jr. 3PT,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Left Corner 3,24+ Left,,,,23.45,Missed,,,,,,,,,,,,,,,
348,PT07M50.00S,2025-04-13T18:23:23.9Z,3,REGULAR,rebound,defensive,[],1642273,,,1610612764,65,77,2025-04-13T18:23:23Z,3410000,False,,,0,,K. George REBOUND (Off:0 Def:2),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Left Corner 3,24+ Left,,,,,,,347.0,,,,,,,,,2.0,2.0,0.0,,
349,PT07M29.00S,2025-04-13T18:23:50.0Z,3,REGULAR,turnover,shot clock,['team'],0,,,1610612764,65,77,2025-04-13T18:23:57Z,3420000,False,,,0,,WAS shot clock Team TURNOVER,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,101283.0,,,,,,,,,,,,
350,PT07M20.00S,2025-04-13T18:24:10.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631170,92.32917214191852,49.50980392156863,1610612748,67,77,2025-04-13T18:24:13Z,3430000,False,-2.0,20.0,1,right,J. Jaquez Jr. driving Layup (21 PTS),[1631170],1610612748.0,MIA,driving,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,1.98,Made,21.0,,,,,,,,,,,,,,
351,PT07M04.00S,2025-04-13T18:24:26.0Z,3,REGULAR,2pt,Jump Shot,[],1641732,7.046649145860711,67.15686274509804,1610612764,67,77,2025-04-13T18:24:30Z,3440000,False,-86.0,14.0,1,left,MISS C. Jones 8' driving floating bank Shot,[1641732],1610612764.0,WAS,driving floating bank,,,Jones,C. Jones,,,,,Mid-Range,8-16 Left,,,,8.69,Missed,,,,,,,,,,,,,,,
352,PT07M02.00S,2025-04-13T18:24:28.0Z,3,REGULAR,rebound,defensive,[],1631170,,,1610612748,67,77,2025-04-13T18:24:30Z,3450000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:4),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,8-16 Left,,,,,,,351.0,,,,,,,,,5.0,4.0,1.0,,
353,PT06M59.00S,2025-04-13T18:24:31.7Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631170,93.24901445466492,49.50980392156863,1610612748,69,77,2025-04-13T18:24:37Z,3460000,False,-2.0,11.0,1,right,J. Jaquez Jr. running DUNK (23 PTS),[1631170],1610612748.0,MIA,running,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,1.13,Made,23.0,,,,,,,,,,,,,,
354,PT06M39.00S,2025-04-13T18:24:51.0Z,3,REGULAR,2pt,Jump Shot,[],1642259,20.18725361366623,30.392156862745097,1610612764,69,77,2025-04-13T18:29:40Z,3470000,False,98.0,137.0,1,left,MISS A. Sarr 16' Jump Shot,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Mid-Range,16-24 Right Center,,,,16.87,Missed,,,,,,,,,,,,,,,
355,PT06M37.00S,2025-04-13T18:24:53.0Z,3,REGULAR,rebound,defensive,[],1631170,,,1610612748,69,77,2025-04-13T18:24:54Z,3480000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:5),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,354.0,,,,,,,,,6.0,5.0,1.0,,
356,PT06M21.00S,2025-04-13T18:25:08.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,90.22667542706965,45.83333333333333,1610612748,71,77,2025-04-13T18:25:13Z,3490000,False,-21.0,39.0,1,right,J. Jaquez Jr. driving finger roll Layup (25 PTS),[1631170],1610612748.0,MIA,driving finger roll,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,4.46,Made,25.0,,,,,,,,,,,,,,
357,PT06M00.00S,2025-04-13T18:25:32.0Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1642358,5.338370565045992,48.77450980392157,1610612764,71,79,2025-04-13T18:26:13Z,3500000,False,6.0,-2.0,1,left,A. Johnson driving DUNK (6 PTS) (C. Jones 3 AST),"[1642358, 1641732]",1610612764.0,WAS,driving,,,Johnson,A. Johnson,,,,,Restricted Area,0-8 Center,,,,0.65,Made,6.0,,,,,,,C. Jones,1641732.0,3.0,,,,,
359,PT05M49.00S,2025-04-13T18:25:43.6Z,3,REGULAR,foul,personal,['2freethrow'],1642259,,,1610612748,71,79,2025-04-13T18:26:06Z,3520000,False,,,0,,A. Sarr shooting personal FOUL (2 PF) (Jaquez Jr. 2 FT),"[1642259, 1631170]",1610612764.0,WAS,shooting,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Left,,,,,,,,202058.0,2.0,0.0,Jaquez Jr.,1631170.0,,,,,,,,
361,PT05M49.00S,2025-04-13T18:25:56.2Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,71,79,2025-04-13T18:25:56Z,3540000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,PT05M49.00S,2025-04-13T18:28:39.0Z,3,REGULAR,substitution,out,[],1642259,,,1610612748,71,79,2025-04-13T18:28:56Z,3550000,False,,,0,,SUB out: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
363,PT05M49.00S,2025-04-13T18:28:39.0Z,3,REGULAR,substitution,out,[],1642273,,,1610612748,71,79,2025-04-13T18:28:56Z,3560000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
364,PT05M49.00S,2025-04-13T18:28:39.0Z,3,REGULAR,substitution,in,[],1642267,,,1610612748,71,79,2025-04-13T18:28:56Z,3570000,False,,,0,,SUB in: B. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
365,PT05M49.00S,2025-04-13T18:28:39.0Z,3,REGULAR,substitution,in,[],1630551,,,1610612748,71,79,2025-04-13T18:28:56Z,3580000,False,,,0,,SUB in: J. Champagnie,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
366,PT05M49.00S,2025-04-13T18:29:07.1Z,3,REGULAR,freethrow,1 of 2,[],1631170,,,1610612748,71,79,2025-04-13T18:29:07Z,3590000,False,,,0,,MISS J. Jaquez Jr. Free Throw 1 of 2,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
367,PT05M49.00S,2025-04-13T18:29:07.1Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,71,79,2025-04-13T18:29:07Z,3600000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,366.0,,,,,,,,,,,,,
368,PT05M49.00S,2025-04-13T18:29:20.9Z,3,REGULAR,freethrow,2 of 2,[],1631170,,,1610612748,72,79,2025-04-13T18:29:20Z,3610000,False,,,0,,J. Jaquez Jr. Free Throw 2 of 2 (26 PTS),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,Made,26.0,,,,,,,,,,,,,,
369,PT05M35.00S,2025-04-13T18:29:35.7Z,3,REGULAR,2pt,Jump Shot,[],1642267,14.668199737187912,85.29411764705883,1610612764,72,81,2025-04-13T18:30:45Z,3620000,False,-176.0,85.0,1,left,B. Carrington 19' Jump Shot (13 PTS) (T. Vukcevic 4 AST),"[1642267, 1641774]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Left,,,,19.61,Made,13.0,,,,,,,T. Vukcevic,1641774.0,4.0,,,,,
371,PT05M14.00S,2025-04-13T18:29:56.1Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1642276,92.9862023653088,53.67647058823529,1610612748,72,81,2025-04-13T18:31:34Z,3640000,False,18.0,13.0,1,right,MISS K. Ware driving Hook,[1642276],1610612748.0,MIA,driving,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,2.28,Missed,,,,,,,,,,,,,,,
372,PT05M13.00S,2025-04-13T18:29:57.1Z,3,REGULAR,rebound,defensive,[],1641732,,,1610612764,72,81,2025-04-13T18:30:01Z,3650000,False,,,0,,C. Jones REBOUND (Off:0 Def:4),[1641732],1610612764.0,WAS,,,,Jones,C. Jones,,,,,Restricted Area,0-8 Center,,,,,,,371.0,,,,,,,,,4.0,4.0,0.0,,
373,PT05M02.00S,2025-04-13T18:30:08.7Z,3,REGULAR,2pt,Jump Shot,[],1641732,20.318659658344284,33.82352941176471,1610612764,72,83,2025-04-13T18:30:16Z,3660000,False,81.0,138.0,1,left,C. Jones 16' step back Jump Shot (12 PTS),[1641732],1610612764.0,WAS,step back,,,Jones,C. Jones,,,,,Mid-Range,8-16 Right,,,,16.04,Made,12.0,,,,,,,,,,,,,,
374,PT04M50.00S,2025-04-13T18:30:20.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,93.64323258869908,57.84313725490197,1610612748,74,83,2025-04-13T18:32:19Z,3670000,False,39.0,7.0,1,right,J. Jaquez Jr. driving floating bank Jump Shot (28 PTS),[1631170],1610612748.0,MIA,driving floating bank,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,3.99,Made,28.0,,,,,,,,,,,,,,
375,PT04M30.00S,2025-04-13T18:30:39.9Z,3,REGULAR,3pt,Jump Shot,[],1642358,33.85348226018397,32.1078431372549,1610612764,74,86,2025-04-13T18:30:46Z,3680000,False,89.0,266.0,1,left,A. Johnson 28' 3PT step back (9 PTS),[1642358],1610612764.0,WAS,step back,,,Johnson,A. Johnson,,,,,Above the Break 3,24+ Right Center,,,,28.04,Made,9.0,,,,,,,,,,,,,,
376,PT04M23.00S,2025-04-13T18:30:51.0Z,3,REGULAR,foul,personal,[],1630551,,,1610612748,74,86,2025-04-13T18:32:47Z,3690000,False,,,0,,J. Champagnie personal FOUL (1 PF),"[1630551, 1629130]",1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,,,,,202058.0,1.0,0.0,Robinson,1629130.0,,,,,,,,
378,PT04M23.00S,2025-04-13T18:31:00.1Z,3,REGULAR,substitution,out,[],1631170,,,1610612748,74,86,2025-04-13T18:31:03Z,3710000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
379,PT04M23.00S,2025-04-13T18:31:00.1Z,3,REGULAR,substitution,in,[],1626179,,,1610612748,74,86,2025-04-13T18:31:03Z,3720000,False,,,0,,SUB in: T. Rozier,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
380,PT04M17.00S,2025-04-13T18:31:15.8Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,93.24901445466492,48.28431372549019,1610612748,76,86,2025-04-13T18:31:20Z,3730000,False,-9.0,11.0,1,right,K. Ware alley-oop DUNK (11 PTS) (D. Robinson 2 AST),"[1642276, 1629130]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,1.4,Made,11.0,,,,,,,D. Robinson,1629130.0,2.0,,,,,
382,PT03M55.00S,2025-04-13T18:31:36.5Z,3,REGULAR,2pt,Jump Shot,[],1642358,11.12023653088042,26.715686274509803,1610612764,76,86,2025-04-13T18:31:40Z,3750000,False,116.0,52.0,1,left,MISS A. Johnson 12' pullup Shot,[1642358],1610612764.0,WAS,pullup,,,Johnson,A. Johnson,,,,,Mid-Range,8-16 Right,,,,12.75,Missed,,,,,,,,,,,,,,,
383,PT03M53.00S,2025-04-13T18:31:38.5Z,3,REGULAR,rebound,defensive,[],1630558,,,1610612748,76,86,2025-04-13T18:31:40Z,3760000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,,,,,,,382.0,,,,,,,,,2.0,2.0,0.0,,
384,PT03M50.00S,2025-04-13T18:31:43.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",1629312,92.59198423127464,54.65686274509803,1610612748,78,86,2025-04-13T18:31:56Z,3770000,False,23.0,17.0,1,right,H. Highsmith running Layup (9 PTS) (D. Mitchell 7 AST),"[1629312, 1630558]",1610612748.0,MIA,running,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,,,,2.89,Made,9.0,,,,,,,D. Mitchell,1630558.0,7.0,,,,,
386,PT03M50.00S,2025-04-13T18:31:51.1Z,3,REGULAR,violation,defensive goaltending,[],1630551,,,1610612748,78,86,2025-04-13T18:32:17Z,3790000,False,,,0,,J. Champagnie defensive goaltending VIOLATION,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,101283.0,,,,,,,,,,,,
387,PT03M41.00S,2025-04-13T18:32:03.1Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1641732,5.863994743758213,50.73529411764706,1610612764,78,88,2025-04-13T18:32:09Z,3800000,False,-4.0,3.0,1,left,C. Jones cutting DUNK (14 PTS) (B. Carrington 5 AST),"[1641732, 1642267]",1610612764.0,WAS,cutting,,,Jones,C. Jones,,,,,Restricted Area,0-8 Center,,,,0.45,Made,14.0,,,,,,,B. Carrington,1642267.0,5.0,,,,,
389,PT03M21.00S,2025-04-13T18:32:22.2Z,3,REGULAR,3pt,Jump Shot,[],1629312,76.95466491458606,11.519607843137255,1610612748,81,88,2025-04-13T18:32:26Z,3820000,False,-192.0,164.0,1,right,H. Highsmith 25' 3PT pullup (12 PTS),[1629312],1610612748.0,MIA,pullup,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Left Center,,,,25.29,Made,12.0,,,,,,,,,,,,,,
391,PT02M53.00S,2025-04-13T18:32:50.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1642358,5.995400788436268,49.01960784313725,1610612764,81,90,2025-04-13T18:32:54Z,3840000,False,5.0,4.0,1,left,A. Johnson driving finger roll Layup (11 PTS) (B. Carrington 6 AST),"[1642358, 1642267]",1610612764.0,WAS,driving finger roll,,,Johnson,A. Johnson,,,,,Restricted Area,0-8 Center,,,,0.63,Made,11.0,,,,,,,B. Carrington,1642267.0,6.0,,,,,
393,PT02M41.00S,2025-04-13T18:33:02.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,93.51182654402102,52.20588235294118,1610612748,81,90,2025-04-13T18:33:05Z,3860000,False,11.0,8.0,1,right,MISS D. Mitchell driving Layup,[1630558],1610612748.0,MIA,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,1.39,Missed,,,,,,,,,,,,,,,
394,PT02M39.00S,2025-04-13T18:33:04.3Z,3,REGULAR,rebound,defensive,[],1641732,,,1610612764,81,90,2025-04-13T18:33:05Z,3870000,False,,,0,,C. Jones REBOUND (Off:0 Def:5),[1641732],1610612764.0,WAS,,,,Jones,C. Jones,,,,,Restricted Area,0-8 Center,,,,,,,393.0,,,,,,,,,5.0,5.0,0.0,,
395,PT02M31.00S,2025-04-13T18:33:13.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1641732,7.178055190538765,54.65686274509803,1610612764,81,90,2025-04-13T18:33:15Z,3880000,False,-23.0,15.0,1,left,MISS C. Jones driving Layup,[1641732],1610612764.0,WAS,driving,,,Jones,C. Jones,,,,,Restricted Area,0-8 Center,,,,2.77,Missed,,,,,,,,,,,,,,,
396,PT02M29.00S,2025-04-13T18:33:15.1Z,3,REGULAR,rebound,defensive,[],1642276,,,1610612748,81,90,2025-04-13T18:33:15Z,3890000,False,,,0,,K. Ware REBOUND (Off:0 Def:4),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,395.0,,,,,,,,,4.0,4.0,0.0,,
397,PT02M23.00S,2025-04-13T18:33:20.2Z,3,REGULAR,turnover,bad pass,[],1629312,,,1610612748,81,90,2025-04-13T18:33:23Z,3900000,False,,,0,,H. Highsmith bad pass TURNOVER (1 TO),"[1629312, 1630551]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,1.0,Champagnie,1630551.0,,,,,,,,,,,,,,,,,
398,PT02M23.00S,2025-04-13T18:33:20.2Z,3,REGULAR,steal,,[],1630551,,,1610612764,81,90,2025-04-13T18:33:22Z,3910000,False,,,0,,J. Champagnie STEAL (1 STL),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
399,PT02M18.00S,2025-04-13T18:33:25.5Z,3,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1642358,22.026938239159,12.254901960784313,1610612764,81,90,2025-04-13T18:36:41Z,3920000,False,189.0,155.0,1,left,MISS A. Johnson 24' running 3PT,[1642358],1610612764.0,WAS,running,,,Johnson,A. Johnson,,,,,Above the Break 3,24+ Right Center,,,,24.39,Missed,,,,,,,,,,,,,,,
400,PT02M15.00S,2025-04-13T18:33:28.5Z,3,REGULAR,rebound,defensive,[],1630558,,,1610612748,81,90,2025-04-13T18:33:31Z,3930000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:3),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,399.0,,,,,,,,,3.0,3.0,0.0,,
401,PT02M07.00S,2025-04-13T18:33:36.7Z,3,REGULAR,3pt,Jump Shot,[],1629312,93.38042049934296,4.166666666666666,1610612748,81,90,2025-04-13T18:33:42Z,3940000,False,-229.0,10.0,1,right,MISS H. Highsmith 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Left Corner 3,24+ Left,,,,22.94,Missed,,,,,,,,,,,,,,,
402,PT02M01.00S,2025-04-13T18:33:42.7Z,3,REGULAR,rebound,defensive,[],1641732,,,1610612764,81,90,2025-04-13T18:33:42Z,3950000,False,,,0,,C. Jones REBOUND (Off:0 Def:6),[1641732],1610612764.0,WAS,,,,Jones,C. Jones,,,,,Left Corner 3,24+ Left,,,,,,,401.0,,,,,,,,,6.0,6.0,0.0,,
403,PT01M50.00S,2025-04-13T18:33:52.5Z,3,REGULAR,3pt,Jump Shot,[],1642267,31.488173455978973,61.76470588235294,1610612764,81,90,2025-04-13T18:38:01Z,3960000,False,-59.0,243.0,1,left,MISS B. Carrington 25' pullup 3PT,[1642267],1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,,,,25.05,Missed,,,,,,,,,,,,,,,
404,PT01M48.00S,2025-04-13T18:33:54.5Z,3,REGULAR,rebound,defensive,[],1630558,,,1610612748,81,90,2025-04-13T18:33:57Z,3970000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:4),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,,403.0,,,,,,,,,4.0,4.0,0.0,,
405,PT01M44.00S,2025-04-13T18:33:59.5Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642276,92.72339027595268,48.28431372549019,1610612748,83,90,2025-04-13T18:34:06Z,3980000,False,-9.0,16.0,1,right,K. Ware running alley-oop Layup (13 PTS) (D. Mitchell 8 AST),"[1642276, 1630558]",1610612748.0,MIA,running alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,1.81,Made,13.0,,,,,,,D. Mitchell,1630558.0,8.0,,,,,
407,PT01M29.00S,2025-04-13T18:34:16.4Z,3,REGULAR,foul,personal,[],1642276,,,1610612764,83,90,2025-04-13T18:34:24Z,4000000,False,,,0,,K. Ware personal FOUL (2 PF),"[1642276, 1641774]",1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Center,,,,,,,,202058.0,2.0,0.0,Vukcevic,1641774.0,,,,,,,,
409,PT01M29.00S,2025-04-13T18:34:25.8Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,83,90,2025-04-13T18:34:25Z,4020000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,PT01M29.00S,2025-04-13T18:36:54.3Z,3,REGULAR,substitution,out,[],1642276,,,1610612764,83,90,2025-04-13T18:37:07Z,4030000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
411,PT01M29.00S,2025-04-13T18:36:54.3Z,3,REGULAR,substitution,out,[],1629312,,,1610612764,83,90,2025-04-13T18:37:07Z,4040000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
412,PT01M29.00S,2025-04-13T18:36:54.3Z,3,REGULAR,substitution,out,[],1630558,,,1610612764,83,90,2025-04-13T18:37:07Z,4050000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
