actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
594,PT09M19.00S,2022-10-20T02:04:22.4Z,4,REGULAR,freethrow,1 of 2,[],1630544,,,1610612760,93,90,2022-10-20T02:04:22Z,5880000,,,0,,T. Mann Free Throw 1 of 2 (9 PTS),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,,
595,PT09M19.00S,2022-10-20T02:04:38.1Z,4,REGULAR,freethrow,2 of 2,[],1630544,,,1610612760,93,91,2022-10-20T02:04:38Z,5890000,,,0,,T. Mann Free Throw 2 of 2 (10 PTS),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
596,PT09M03.00S,2022-10-20T02:04:55.5Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,92.85479632063075,47.30392156862745,1610612750,95,91,2022-10-20T02:04:59Z,5900000,-13.0,15.0,1,right,D. Russell driving Layup (12 PTS) (J. McDaniels 2 AST),"[1626156, 1630183]",1610612750.0,MIN,driving,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,2.0,Made,,,,,,,12.0,,,,J. McDaniels,1630183.0,2.0,,,,,
597,PT08M49.00S,2022-10-20T02:05:09.1Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,14.536793692509855,46.81372549019608,1610612760,95,91,2022-10-20T02:05:14Z,5910000,16.0,84.0,1,left,MISS T. Mann 8' driving floating Shot,[1630544],1610612760.0,OKC,driving floating,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,8.56,Missed,,,,,,,,,,,,,,,,,,
598,PT08M47.00S,2022-10-20T02:05:11.4Z,4,REGULAR,rebound,offensive,[],1630647,,,1610612760,95,91,2022-10-20T02:05:11Z,5920000,,,0,,E. Omoruyi REBOUND (Off:2 Def:0),[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,In The Paint (Non-RA),8-16 Center,,,,,597.0,2.0,0.0,2.0,,,,,,,,,,,,
599,PT08M47.00S,2022-10-20T02:05:12.2Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630647,7.046649145860711,50.49019607843137,1610612760,95,91,2022-10-20T02:05:19Z,5930000,-2.0,14.0,1,left,MISS E. Omoruyi putback Layup,[1630647],1610612760.0,OKC,putback,,,Omoruyi,E. Omoruyi,,,,,Restricted Area,0-8 Center,1.39,Missed,,,,,,,,,,,,,,,,,,
600,PT08M47.00S,2022-10-20T02:05:12.2Z,4,REGULAR,rebound,defensive,[],1630183,,,1610612750,95,91,2022-10-20T02:05:19Z,5940000,,,0,,J. McDaniels REBOUND (Off:4 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,599.0,6.0,2.0,4.0,,,,,,,,,,,,
601,PT08M32.00S,2022-10-20T02:05:26.4Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203497,89.35611038107753,51.27144607843137,1610612750,95,91,2022-10-20T02:05:35Z,5950000,6.0,48.0,1,right,MISS R. Gobert turnaround Shot,[203497],1610612750.0,MIN,turnaround,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,4.8,Missed,,,,,,,,,,,,,,,,,,
602,PT08M30.00S,2022-10-20T02:05:28.4Z,4,REGULAR,rebound,defensive,[],1630581,,,1610612760,95,91,2022-10-20T02:05:35Z,5960000,,,0,,J. Giddey REBOUND (Off:1 Def:7),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,601.0,8.0,7.0,1.0,,,,,,,,,,,,
603,PT08M25.00S,2022-10-20T02:05:33.3Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],1630647,5.995400788436268,3.6764705882352944,1610612760,95,91,2022-10-20T02:12:16Z,5970000,232.0,4.0,1,left,MISS E. Omoruyi running 3PT,[1630647],1610612760.0,OKC,running,,,Omoruyi,E. Omoruyi,,,,,Right Corner 3,24+ Right,23.16,Missed,,,,,,,,,,,,,,,,,,
604,PT08M23.00S,2022-10-20T02:05:35.3Z,4,REGULAR,rebound,defensive,[],1626156,,,1610612750,95,91,2022-10-20T02:05:44Z,5980000,,,0,,D. Russell REBOUND (Off:0 Def:3),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Right Corner 3,24+ Right,,,,,603.0,3.0,3.0,0.0,,,,,,,,,,,,
605,PT08M10.00S,2022-10-20T02:05:53.4Z,4,REGULAR,foul,personal,[],1630647,,,1610612750,95,91,2022-10-20T02:06:05Z,5990000,,,0,,E. Omoruyi personal FOUL (2 PF),"[1630647, 1629669]",1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,2.0,0.0,Nowell,1629669.0
607,PT08M10.00S,2022-10-20T02:06:01.2Z,4,REGULAR,substitution,out,[],1630183,,,1610612750,95,91,2022-10-20T02:06:17Z,6010000,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
608,PT08M10.00S,2022-10-20T02:06:01.2Z,4,REGULAR,substitution,out,[],1630581,,,1610612750,95,91,2022-10-20T02:06:17Z,6020000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
609,PT08M10.00S,2022-10-20T02:06:01.2Z,4,REGULAR,substitution,out,[],1630544,,,1610612750,95,91,2022-10-20T02:06:17Z,6030000,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
610,PT08M10.00S,2022-10-20T02:06:01.2Z,4,REGULAR,substitution,out,[],1629647,,,1610612750,95,91,2022-10-20T02:06:17Z,6040000,,,0,,SUB out: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,,
611,PT08M10.00S,2022-10-20T02:06:01.2Z,4,REGULAR,substitution,in,[],1626157,,,1610612750,95,91,2022-10-20T02:06:17Z,6050000,,,0,,SUB in: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
612,PT08M10.00S,2022-10-20T02:06:01.2Z,4,REGULAR,substitution,in,[],1628983,,,1610612750,95,91,2022-10-20T02:06:17Z,6060000,,,0,,SUB in: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
613,PT08M10.00S,2022-10-20T02:06:01.2Z,4,REGULAR,substitution,in,[],1629652,,,1610612750,95,91,2022-10-20T02:06:17Z,6070000,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
614,PT08M10.00S,2022-10-20T02:06:01.2Z,4,REGULAR,substitution,in,[],1630197,,,1610612750,95,91,2022-10-20T02:06:17Z,6080000,,,0,,SUB in: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
615,PT07M58.00S,2022-10-20T02:06:34.5Z,4,REGULAR,2pt,Jump Shot,[],1626156,76.42904073587385,68.13725490196079,1610612750,95,91,2022-10-20T02:06:40Z,6090000,91.0,169.0,1,right,MISS D. Russell 19' pullup Shot,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Mid-Range,16-24 Right Center,19.19,Missed,,,,,,,,,,,,,,,,,,
616,PT07M53.00S,2022-10-20T02:06:39.5Z,4,REGULAR,rebound,offensive,[],203497,,,1610612750,95,91,2022-10-20T02:06:40Z,6100000,,,0,,R. Gobert REBOUND (Off:5 Def:8),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Right Center,,,,,615.0,13.0,8.0,5.0,,,,,,,,,,,,
617,PT07M53.00S,2022-10-20T02:06:38.8Z,4,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203497,94.40999984741211,50.0,1610612750,97,91,2022-10-20T02:06:38Z,6110000,0.0,0.0,1,right,R. Gobert putback DUNK (21 PTS),[203497],1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,21.0,,,,,,,,,,,
618,PT07M42.00S,2022-10-20T02:06:50.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629026,7.5722733245729295,49.01960784313725,1610612760,97,91,2022-10-20T02:06:56Z,6120000,5.0,19.0,1,left,MISS K. Williams cutting Layup,[1629026],1610612760.0,OKC,cutting,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,1.93,Missed,,,,,,,,,,,,,,,,,,
619,PT07M38.00S,2022-10-20T02:06:53.4Z,4,REGULAR,rebound,offensive,[],1629652,,,1610612760,97,91,2022-10-20T02:06:53Z,6130000,,,0,,L. Dort REBOUND (Off:3 Def:2),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,618.0,5.0,2.0,3.0,,,,,,,,,,,,
620,PT07M30.00S,2022-10-20T02:07:05.3Z,4,REGULAR,foul,personal,['2freethrow'],1629669,,,1610612760,97,91,2022-10-20T02:07:28Z,6140000,,,0,,J. Nowell shooting personal FOUL (1 PF) (Dort 2 FT),"[1629669, 1629652]",1610612750.0,MIN,shooting,,,Nowell,J. Nowell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Dort,1629652.0
622,PT07M30.00S,2022-10-20T02:07:37.6Z,4,REGULAR,freethrow,1 of 2,['2ndchance'],1629652,,,1610612760,97,92,2022-10-20T02:07:37Z,6160000,,,0,,L. Dort Free Throw 1 of 2 (7 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
623,PT07M30.00S,2022-10-20T02:07:38.2Z,4,REGULAR,substitution,out,[],1629026,,,1610612760,97,92,2022-10-20T02:07:42Z,6170000,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
624,PT07M30.00S,2022-10-20T02:07:38.2Z,4,REGULAR,substitution,in,[],203488,,,1610612760,97,92,2022-10-20T02:07:42Z,6180000,,,0,,SUB in: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,,
626,PT07M30.00S,2022-10-20T02:07:56.9Z,4,REGULAR,freethrow,2 of 2,['2ndchance'],1629652,,,1610612760,97,93,2022-10-20T02:07:56Z,6190000,,,0,,L. Dort Free Throw 2 of 2 (8 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
627,PT07M17.00S,2022-10-20T02:08:11.6Z,4,REGULAR,3pt,Jump Shot,[],1626157,80.3712220762155,90.44117647058823,1610612750,97,93,2022-10-20T02:08:18Z,6200000,202.0,132.0,1,right,MISS K. Towns 24' step back 3PT,[1626157],1610612750.0,MIN,step back,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,24.15,Missed,,,,,,,,,,,,,,,,,,
628,PT07M13.00S,2022-10-20T02:08:15.6Z,4,REGULAR,rebound,defensive,[],1629652,,,1610612760,97,93,2022-10-20T02:08:18Z,6210000,,,0,,L. Dort REBOUND (Off:3 Def:3),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,,,627.0,6.0,3.0,3.0,,,,,,,,,,,,
629,PT06M59.00S,2022-10-20T02:08:33.1Z,4,REGULAR,turnover,out-of-bounds,[],1629652,,,1610612760,97,93,2022-10-20T02:08:44Z,6220000,,,0,,L. Dort step out-of-bounds TURNOVER (1 TO),[1629652],1610612760.0,OKC,step,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,,,,,,,,,,1.0,,,,,,1830.0,,,,
630,PT06M59.00S,2022-10-20T02:08:41.9Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,97,93,2022-10-20T02:08:41Z,6230000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,PT06M59.00S,2022-10-20T02:10:34.8Z,4,REGULAR,substitution,out,[],203497,,,1610612750,97,93,2022-10-20T02:11:31Z,6240000,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
633,PT06M59.00S,2022-10-20T02:10:34.8Z,4,REGULAR,substitution,in,[],1630183,,,1610612750,97,93,2022-10-20T02:11:31Z,6250000,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
634,PT06M48.00S,2022-10-20T02:11:40.0Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626157,93.38042049934296,50.73529411764706,1610612750,97,93,2022-10-20T02:11:44Z,6260000,4.0,10.0,1,right,MISS K. Towns driving Layup,[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.04,Missed,,,,,,,,,,,,,,,,,,
635,PT06M46.00S,2022-10-20T02:11:42.0Z,4,REGULAR,rebound,defensive,[],1630647,,,1610612760,97,93,2022-10-20T02:11:44Z,6270000,,,0,,E. Omoruyi REBOUND (Off:2 Def:1),[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,Restricted Area,0-8 Center,,,,,634.0,3.0,1.0,2.0,,,,,,,,,,,,
637,PT06M46.00S,2022-10-20T02:11:47.0Z,4,REGULAR,turnover,out-of-bounds,[],1630647,,,1610612760,97,93,2022-10-20T02:11:56Z,6290000,,,0,,E. Omoruyi bad pass out-of-bounds TURNOVER (1 TO),[1630647],1610612760.0,OKC,bad pass,,,Omoruyi,E. Omoruyi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,,,,,,1830.0,,,,
638,PT06M36.00S,2022-10-20T02:12:07.3Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,81.94809461235218,92.64705882352942,1610612750,100,93,2022-10-20T02:12:13Z,6300000,213.0,117.0,1,right,D. Russell 24' 3PT  (15 PTS) (J. McDaniels 3 AST),"[1626156, 1630183]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,24.33,Made,,,,,,,15.0,,,,J. McDaniels,1630183.0,3.0,,,,,
640,PT06M20.00S,2022-10-20T02:12:22.5Z,4,REGULAR,3pt,Jump Shot,[],1630647,21.23850197109067,90.44117647058823,1610612760,100,93,2022-10-20T02:12:27Z,6320000,-202.0,147.0,1,left,MISS E. Omoruyi 25' 3PT,[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,Above the Break 3,24+ Left Center,25.0,Missed,,,,,,,,,,,,,,,,,,
641,PT06M18.00S,2022-10-20T02:12:24.5Z,4,REGULAR,rebound,defensive,[],203937,,,1610612750,100,93,2022-10-20T02:12:27Z,6330000,,,0,,K. Anderson REBOUND (Off:2 Def:4),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Left Center,,,,,640.0,6.0,4.0,2.0,,,,,,,,,,,,
642,PT06M08.00S,2022-10-20T02:12:38.0Z,4,REGULAR,foul,personal,['2freethrow'],1630647,,,1610612750,100,93,2022-10-20T02:12:51Z,6340000,,,0,,E. Omoruyi shooting personal FOUL (3 PF) (Russell 2 FT),"[1630647, 1626156]",1610612760.0,OKC,shooting,,,Omoruyi,E. Omoruyi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,203591.0,3.0,0.0,Russell,1626156.0
644,PT06M08.00S,2022-10-20T02:13:04.1Z,4,REGULAR,freethrow,1 of 2,[],1626156,,,1610612750,101,93,2022-10-20T02:13:24Z,6360000,,,0,,D. Russell Free Throw 1 of 2 (16 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,Made,,,,,,,16.0,,,,,,,,,,,
645,PT06M08.00S,2022-10-20T02:13:06.1Z,4,REGULAR,substitution,out,[],1630647,,,1610612750,101,93,2022-10-20T02:13:11Z,6370000,,,0,,SUB out: E. Omoruyi,[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,,,,,,,,,,,,,,,,,,,,,,
646,PT06M08.00S,2022-10-20T02:13:06.1Z,4,REGULAR,substitution,in,[],1630581,,,1610612750,101,93,2022-10-20T02:13:11Z,6380000,,,0,,SUB in: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
647,PT06M08.00S,2022-10-20T02:13:04.1Z,4,REGULAR,freethrow,2 of 2,[],1626156,,,1610612750,101,93,2022-10-20T02:13:24Z,6390000,,,0,,MISS D. Russell Free Throw 2 of 2,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
648,PT06M06.00S,2022-10-20T02:13:06.1Z,4,REGULAR,rebound,defensive,[],203488,,,1610612760,101,93,2022-10-20T02:13:24Z,6400000,,,0,,M. Muscala REBOUND (Off:0 Def:2),[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,647.0,2.0,2.0,0.0,,,,,,,,,,,,
649,PT05M44.00S,2022-10-20T02:13:44.1Z,4,REGULAR,2pt,Jump Shot,[],1629652,16.507884362680684,12.254901960784313,1610612760,101,95,2022-10-20T02:13:51Z,6410000,189.0,103.0,1,left,L. Dort 21' step back Jump Shot (10 PTS),[1629652],1610612760.0,OKC,step back,,,Dort,L. Dort,,,,,Mid-Range,16-24 Right,21.48,Made,,,,,,,10.0,,,,,,,,,,,
650,PT05M24.00S,2022-10-20T02:14:04.0Z,4,REGULAR,turnover,bad pass,[],1626157,,,1610612750,101,95,2022-10-20T02:14:09Z,6420000,,,0,,K. Towns bad pass TURNOVER (2 TO),"[1626157, 1628983]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,2.0,Gilgeous-Alexander,1628983.0,,,,,,,,
651,PT05M24.00S,2022-10-20T02:14:04.0Z,4,REGULAR,steal,,[],1628983,,,1610612760,101,95,2022-10-20T02:15:23Z,6430000,,,0,,S. Gilgeous-Alexander STEAL (3 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
652,PT05M19.00S,2022-10-20T02:14:09.0Z,4,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630581,18.610381077529567,7.352941176470589,1610612760,101,98,2022-10-20T02:17:19Z,6440000,213.0,122.0,1,left,J. Giddey 24' 3PT running (14 PTS) (L. Dort 2 AST),"[1630581, 1629652]",1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,24.58,Made,,,,,,,14.0,,,,L. Dort,1629652.0,2.0,,,,,
654,PT05M07.00S,2022-10-20T02:14:22.4Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629652,,,1610612750,101,98,2022-10-20T02:14:36Z,6460000,,,0,,L. Dort personal FOUL (2 PF) (Towns 2 FT),"[1629652, 1626157]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1830.0,2.0,0.0,Towns,1626157.0
656,PT05M07.00S,2022-10-20T02:14:56.5Z,4,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,102,98,2022-10-20T02:14:56Z,6480000,,,0,,K. Towns Free Throw 1 of 2 (9 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,,
657,PT05M07.00S,2022-10-20T02:14:57.2Z,4,REGULAR,substitution,out,[],203937,,,1610612750,102,98,2022-10-20T02:15:00Z,6490000,,,0,,SUB out: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
658,PT05M07.00S,2022-10-20T02:14:57.2Z,4,REGULAR,substitution,in,[],1630162,,,1610612750,102,98,2022-10-20T02:15:00Z,6500000,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
659,PT05M07.00S,2022-10-20T02:15:21.6Z,4,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,103,98,2022-10-20T02:15:21Z,6510000,,,0,,K. Towns Free Throw 2 of 2 (10 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
660,PT04M52.00S,2022-10-20T02:15:37.6Z,4,REGULAR,3pt,Jump Shot,[],203488,30.56833114323259,32.1078431372549,1610612760,103,98,2022-10-20T02:15:44Z,6520000,89.0,235.0,1,left,MISS M. Muscala 25' 3PT,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,Above the Break 3,24+ Right Center,25.13,Missed,,,,,,,,,,,,,,,,,,
661,PT04M47.00S,2022-10-20T02:15:42.6Z,4,REGULAR,rebound,defensive,[],1629669,,,1610612750,103,98,2022-10-20T02:15:44Z,6530000,,,0,,J. Nowell REBOUND (Off:0 Def:3),[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,Above the Break 3,24+ Right Center,,,,,660.0,3.0,3.0,0.0,,,,,,,,,,,,
662,PT04M40.00S,2022-10-20T02:15:49.3Z,4,REGULAR,2pt,Jump Shot,[],1626157,85.41392904073587,12.277879901960784,1610612750,103,98,2022-10-20T02:15:56Z,6540000,-189.0,85.0,1,right,MISS K. Towns 20' Jump Shot,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left,20.67,Missed,,,,,,,,,,,,,,,,,,
663,PT04M38.00S,2022-10-20T02:15:51.3Z,4,REGULAR,rebound,defensive,[],1630581,,,1610612760,103,98,2022-10-20T02:15:56Z,6550000,,,0,,J. Giddey REBOUND (Off:1 Def:8),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Left,,,,,662.0,9.0,8.0,1.0,,,,,,,,,,,,
664,PT04M32.00S,2022-10-20T02:15:57.9Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,7.440867279894875,49.754901960784316,1610612760,103,100,2022-10-20T02:16:10Z,6560000,1.0,17.0,1,left,S. Gilgeous-Alexander driving Layup (26 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.74,Made,,,,,,,26.0,,,,,,,,,,,
665,PT04M32.00S,2022-10-20T02:16:01.9Z,4,REGULAR,timeout,full,['team'],0,,,1610612750,103,100,2022-10-20T02:16:01Z,6570000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,PT04M32.00S,2022-10-20T02:17:05.3Z,4,REGULAR,substitution,out,[],1629669,,,1610612750,103,100,2022-10-20T02:17:46Z,6580000,,,0,,SUB out: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
667,PT04M32.00S,2022-10-20T02:17:05.3Z,4,REGULAR,substitution,out,[],203488,,,1610612750,103,100,2022-10-20T02:17:46Z,6590000,,,0,,SUB out: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,,
668,PT04M32.00S,2022-10-20T02:17:05.3Z,4,REGULAR,substitution,in,[],203085,,,1610612750,103,100,2022-10-20T02:17:46Z,6600000,,,0,,SUB in: A. Rivers,[203085],1610612750.0,MIN,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,,,,,,,,,
669,PT04M32.00S,2022-10-20T02:17:05.3Z,4,REGULAR,substitution,in,[],1630647,,,1610612750,103,100,2022-10-20T02:17:46Z,6610000,,,0,,SUB in: E. Omoruyi,[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,,,,,,,,,,,,,,,,,,,,,,
670,PT04M27.00S,2022-10-20T02:17:56.3Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630647,,,1610612750,103,100,2022-10-20T02:18:08Z,6620000,,,0,,E. Omoruyi personal FOUL (4 PF) (Towns 2 FT),"[1630647, 1626157]",1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,203591.0,4.0,0.0,Towns,1626157.0
672,PT04M27.00S,2022-10-20T02:18:25.5Z,4,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,104,100,2022-10-20T02:18:25Z,6640000,,,0,,K. Towns Free Throw 1 of 2 (11 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,Made,,,,,,,11.0,,,,,,,,,,,
673,PT04M27.00S,2022-10-20T02:18:26.1Z,4,REGULAR,substitution,out,[],203085,,,1610612750,104,100,2022-10-20T02:18:33Z,6650000,,,0,,SUB out: A. Rivers,[203085],1610612750.0,MIN,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,,,,,,,,,
674,PT04M27.00S,2022-10-20T02:18:26.1Z,4,REGULAR,substitution,in,[],203497,,,1610612750,104,100,2022-10-20T02:18:33Z,6660000,,,0,,SUB in: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
675,PT04M27.00S,2022-10-20T02:18:49.8Z,4,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,105,100,2022-10-20T02:18:49Z,6670000,,,0,,K. Towns Free Throw 2 of 2 (12 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,Made,,,,,,,12.0,,,,,,,,,,,
676,PT04M07.00S,2022-10-20T02:19:12.9Z,4,REGULAR,foul,personal,[],1626156,,,1610612760,105,100,2022-10-20T02:19:21Z,6680000,,,0,,D. Russell personal FOUL (4 PF),"[1626156, 1630581]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1830.0,4.0,0.0,Giddey,1630581.0
