actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
339,PT08M26.00S,2021-11-21T04:22:10.7Z,3,REGULAR,turnover,bad pass,[],1626220,,,1610612762,59,64,2021-11-21T04:22:26Z,3350000,,,0,,R. O'Neale bad pass TURNOVER (1 TO),"[1626220, 1630169]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,1.0,Haliburton,1630169.0,
340,PT08M26.00S,2021-11-21T04:22:10.7Z,3,REGULAR,steal,,[],1630169,,,1610612758,59,64,2021-11-21T04:22:13Z,3360000,,,0,,T. Haliburton STEAL (3 STL),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
341,PT08M25.00S,2021-11-21T04:22:20.0Z,3,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612758,59,64,2021-11-21T04:26:26Z,3370000,,,0,,R. O'Neale clear-path personal FOUL (2 PF) (Haliburton 2 FT),"[1626220, 1630169]",1610612762.0,UTA,clear-path,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,202027.0,2.0,0.0,Haliburton,1630169.0,,,,
343,PT08M25.00S,2021-11-21T04:23:06.2Z,3,REGULAR,instantreplay,request,[],0,,,1610612758,59,64,2021-11-21T04:23:59Z,3390000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,,,,,,,202027.0,,,,,,,,Clear Path - Overturn Call
352,PT08M25.00S,2021-11-21T04:24:30.1Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1630169,,,1610612758,59,64,2021-11-21T04:33:13Z,3395000,,,0,,MISS T. Haliburton clear-path Free Throw 1 of 2,[1630169],1610612758.0,SAC,clear-path,,,Haliburton,T. Haliburton,,,,,,Missed,,,,,,,,,,,,,,,,,,,
353,PT08M25.00S,2021-11-21T04:24:30.1Z,3,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,59,64,2021-11-21T04:33:13Z,3397500,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,352.0,,,,,,,,,,,,,,,,,,
354,PT08M25.00S,2021-11-21T04:24:30.1Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1630169,,,1610612758,60,64,2021-11-21T04:33:13Z,3398750,,,0,,T. Haliburton clear-path Free Throw 2 of 2 (10 PTS),[1630169],1610612758.0,SAC,clear-path,,,Haliburton,T. Haliburton,,,,,,Made,,,,,,,10.0,,,,,,,,,,,,
345,PT08M17.00S,2021-11-21T04:24:51.0Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630169,8.229303547963205,63.970588235294116,1610612758,60,64,2021-11-21T04:34:43Z,3400000,-70.0,25.0,1,left,MISS T. Haliburton 7' driving floating bank Shot,[1630169],1610612758.0,SAC,driving floating bank,,,Haliburton,T. Haliburton,,,,,7.42,Missed,,,,,,,,,,,,,,,,,,,
347,PT08M12.00S,2021-11-21T04:24:56.0Z,3,REGULAR,rebound,offensive,[],1626158,,,1610612758,60,64,2021-11-21T04:25:03Z,3410000,,,0,,R. Holmes REBOUND (Off:4 Def:3),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,345.0,,,7.0,3.0,4.0,,,,,,,,,,,,,
348,PT08M12.00S,2021-11-21T04:24:55.6Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626158,5.590000152587891,50.0,1610612758,62,64,2021-11-21T04:24:55Z,3420000,0.0,0.0,1,left,R. Holmes tip Layup (16 PTS),[1626158],1610612758.0,SAC,tip,,,Holmes,R. Holmes,,,,,0.0,Made,,,,,,,16.0,,,,,,,,,,,,
349,PT07M53.00S,2021-11-21T04:25:17.1Z,3,REGULAR,turnover,traveling,[],201144,,,1610612762,62,64,2021-11-21T04:25:26Z,3430000,,,0,,M. Conley traveling TURNOVER (2 TO),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,1628159.0,,,,,2.0,,,
350,PT07M42.00S,2021-11-21T04:25:39.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203084,6.915243101182654,45.09803921568628,1610612758,64,64,2021-11-21T04:35:29Z,3440000,25.0,13.0,1,left,H. Barnes driving Layup (15 PTS),[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,2.75,Made,,,,,,,15.0,,,,,,,,,,,,
351,PT07M41.00S,2021-11-21T04:25:47.7Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,64,64,2021-11-21T04:25:47Z,3450000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,PT07M18.00S,2021-11-21T04:29:02.7Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1628378,92.46057818659659,56.372549019607845,1610612762,64,64,2021-11-21T04:36:04Z,3490000,32.0,18.0,1,right,MISS D. Mitchell driving Hook,[1628378],1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,3.68,Missed,,,,,,,,,,,,,,,,,,,
356,PT07M13.00S,2021-11-21T04:29:07.7Z,3,REGULAR,rebound,offensive,[],203497,,,1610612762,64,64,2021-11-21T04:36:04Z,3500000,,,0,,R. Gobert REBOUND (Off:5 Def:5),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,355.0,,,10.0,5.0,5.0,,,,,,,,,,,,,
357,PT07M13.00S,2021-11-21T04:29:07.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,94.40999984741211,50.0,1610612762,64,66,2021-11-21T04:29:07Z,3510000,0.0,0.0,1,right,R. Gobert tip Layup (13 PTS),[203497],1610612762.0,UTA,tip,,,Gobert,R. Gobert,,,,,0.0,Made,,,,,,,13.0,,,,,,,,,,,,
358,PT06M54.00S,2021-11-21T04:29:27.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203084,7.178055190538765,54.166666666666664,1610612758,66,66,2021-11-21T04:29:37Z,3520000,-21.0,15.0,1,left,H. Barnes Layup (17 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,2.56,Made,,,,,,,17.0,,,,,,,,,,,,
360,PT06M41.00S,2021-11-21T04:29:40.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,93.77463863337714,45.588235294117645,1610612762,66,68,2021-11-21T04:29:51Z,3540000,-22.0,6.0,1,right,R. O'Neale driving Layup (6 PTS) (M. Conley 2 AST),"[1626220, 201144]",1610612762.0,UTA,driving,,,O'Neale,R. O'Neale,,,,,2.29,Made,,,,,,,6.0,M. Conley,201144.0,2.0,,,,,,,,,
362,PT06M28.00S,2021-11-21T04:29:53.2Z,3,REGULAR,2pt,Jump Shot,[],1628368,23.99802890932983,49.26470588235294,1610612758,68,68,2021-11-21T04:30:00Z,3560000,4.0,173.0,1,left,D. Fox 17' pullup Jump Shot (9 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,17.31,Made,,,,,,,9.0,,,,,,,,,,,,
363,PT06M05.00S,2021-11-21T04:30:19.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,82.9993429697766,50.98039215686274,1610612762,68,70,2021-11-21T04:30:37Z,3570000,5.0,107.0,1,right,D. Mitchell 10' turnaround Jump Shot (14 PTS),[1628378],1610612762.0,UTA,turnaround,,,Mitchell,D. Mitchell,,,,,10.74,Made,,,,,,,14.0,,,,,,,,,,,,
364,PT06M05.00S,2021-11-21T04:30:23.5Z,3,REGULAR,foul,personal,['1freethrow'],1629002,,,1610612762,68,70,2021-11-21T04:31:07Z,3580000,,,0,,C. Metu shooting personal FOUL (3 PF) (Mitchell 1 FT),"[1629002, 1628378]",1610612758.0,SAC,shooting,,,Metu,C. Metu,,,,,,,,,,,,,,,,,202027.0,3.0,0.0,Mitchell,1628378.0,,,,
366,PT06M05.00S,2021-11-21T04:30:36.3Z,3,REGULAR,substitution,out,[],1626158,,,1610612762,68,70,2021-11-21T04:31:33Z,3600000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
367,PT06M05.00S,2021-11-21T04:30:36.3Z,3,REGULAR,substitution,out,[],1630169,,,1610612762,68,70,2021-11-21T04:31:33Z,3610000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
368,PT06M05.00S,2021-11-21T04:30:36.3Z,3,REGULAR,substitution,out,[],1629002,,,1610612762,68,70,2021-11-21T04:31:33Z,3620000,,,0,,SUB out: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
369,PT06M05.00S,2021-11-21T04:30:36.3Z,3,REGULAR,substitution,out,[],201144,,,1610612762,68,70,2021-11-21T04:31:33Z,3630000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
370,PT06M05.00S,2021-11-21T04:30:36.3Z,3,REGULAR,substitution,out,[],203497,,,1610612762,68,70,2021-11-21T04:31:33Z,3640000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
371,PT06M05.00S,2021-11-21T04:30:36.3Z,3,REGULAR,substitution,in,[],203090,,,1610612762,68,70,2021-11-21T04:31:33Z,3650000,,,0,,SUB in: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
372,PT06M05.00S,2021-11-21T04:30:36.3Z,3,REGULAR,substitution,in,[],1627741,,,1610612762,68,70,2021-11-21T04:31:33Z,3660000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
373,PT06M05.00S,2021-11-21T04:30:36.3Z,3,REGULAR,substitution,in,[],203458,,,1610612762,68,70,2021-11-21T04:31:33Z,3670000,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
374,PT06M05.00S,2021-11-21T04:30:36.3Z,3,REGULAR,substitution,in,[],202355,,,1610612762,68,70,2021-11-21T04:31:33Z,3680000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
375,PT06M05.00S,2021-11-21T04:30:36.3Z,3,REGULAR,substitution,in,[],204060,,,1610612762,68,70,2021-11-21T04:31:33Z,3690000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
376,PT06M05.00S,2021-11-21T04:31:08.9Z,3,REGULAR,freethrow,1 of 1,[],1628378,,,1610612762,68,71,2021-11-21T04:31:09Z,3700000,,,0,,D. Mitchell Free Throw 1 of 1 (15 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,,,,,,,15.0,,,,,,,,,,,,
377,PT05M58.00S,2021-11-21T04:31:14.8Z,3,REGULAR,foul,personal,[],1628378,,,1610612758,68,71,2021-11-21T04:39:26Z,3710000,,,0,,D. Mitchell personal FOUL (2 PF),"[1628378, 1628368]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,1628159.0,2.0,0.0,Fox,1628368.0,,,,
379,PT05M45.00S,2021-11-21T04:31:46.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.995400788436268,53.92156862745098,1610612758,68,71,2021-11-21T04:31:52Z,3730000,-20.0,4.0,1,left,MISS D. Fox driving Layup,[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,2.0,Missed,,,,,,,,,,,,,,,,,,,
380,PT05M42.00S,2021-11-21T04:31:49.0Z,3,REGULAR,rebound,defensive,[],1628378,,,1610612762,68,71,2021-11-21T04:31:52Z,3740000,,,0,,D. Mitchell REBOUND (Off:0 Def:3),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,379.0,,,3.0,3.0,0.0,,,,,,,,,,,,,
381,PT05M39.00S,2021-11-21T04:31:51.9Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1626220,87.46714848883047,96.32352941176471,1610612762,68,74,2021-11-21T04:40:26Z,3750000,232.0,65.0,1,right,R. O'Neale 24' 3PT running (9 PTS) (J. Ingles 2 AST),"[1626220, 204060]",1610612762.0,UTA,running,,,O'Neale,R. O'Neale,,,,,24.06,Made,,,,,,,9.0,J. Ingles,204060.0,2.0,,,,,,,,,
383,PT05M25.00S,2021-11-21T04:32:05.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627741,17.69053876478318,37.254901960784316,1610612758,68,74,2021-11-21T04:32:12Z,3770000,64.0,114.0,1,left,MISS B. Hield 13' floating Shot,[1627741],1610612758.0,SAC,floating,,,Hield,B. Hield,,,,,13.04,Missed,,,,,,,,,,,,,,,,,,,
384,PT05M23.00S,2021-11-21T04:32:07.8Z,3,REGULAR,rebound,offensive,[],203458,,,1610612758,68,74,2021-11-21T04:32:07Z,3780000,,,0,,A. Len REBOUND (Off:1 Def:5),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,383.0,,,6.0,5.0,1.0,,,,,,,,,,,,,
385,PT05M11.00S,2021-11-21T04:32:19.0Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628368,30.436925098554536,68.38235294117648,1610612758,68,74,2021-11-21T04:41:16Z,3790000,-92.0,234.0,1,left,MISS D. Fox 25' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,25.1,Missed,,,,,,,,,,,,,,,,,,,
386,PT05M09.00S,2021-11-21T04:32:21.0Z,3,REGULAR,rebound,offensive,[],203084,,,1610612758,68,74,2021-11-21T04:32:27Z,3800000,,,0,,H. Barnes REBOUND (Off:1 Def:5),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,385.0,,,6.0,5.0,1.0,,,,,,,,,,,,,
387,PT05M02.00S,2021-11-21T04:32:28.7Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],203084,5.469776609724048,95.83333333333334,1610612758,68,74,2021-11-21T04:32:35Z,3810000,-229.0,-1.0,1,left,MISS H. Barnes 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
388,PT04M59.00S,2021-11-21T04:32:31.7Z,3,REGULAR,rebound,defensive,[],1628378,,,1610612762,68,74,2021-11-21T04:32:35Z,3820000,,,0,,D. Mitchell REBOUND (Off:0 Def:4),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,387.0,,,4.0,4.0,0.0,,,,,,,,,,,,,
389,PT04M45.00S,2021-11-21T04:32:46.0Z,3,REGULAR,3pt,Jump Shot,[],204060,93.24901445466492,3.431372549019608,1610612762,68,74,2021-11-21T04:32:53Z,3830000,-233.0,11.0,1,right,MISS J. Ingles 3PT,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,23.31,Missed,,,,,,,,,,,,,,,,,,,
390,PT04M41.00S,2021-11-21T04:32:50.0Z,3,REGULAR,rebound,defensive,[],203458,,,1610612758,68,74,2021-11-21T04:32:53Z,3840000,,,0,,A. Len REBOUND (Off:1 Def:6),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,389.0,,,7.0,6.0,1.0,,,,,,,,,,,,,
391,PT04M39.00S,2021-11-21T04:32:56.1Z,3,REGULAR,foul,personal,['2freethrow'],202355,,,1610612758,68,74,2021-11-21T04:33:11Z,3850000,,,0,,H. Whiteside shooting personal FOUL (1 PF) (Harkless 2 FT),"[202355, 203090]",1610612762.0,UTA,shooting,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Harkless,203090.0,,,,
393,PT04M39.00S,2021-11-21T04:33:24.2Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],203090,,,1610612758,69,74,2021-11-21T04:33:24Z,3870000,,,0,,M. Harkless Free Throw 1 of 2 (1 PTS),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
394,PT04M39.00S,2021-11-21T04:33:45.6Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],203090,,,1610612758,69,74,2021-11-21T04:33:45Z,3880000,,,0,,MISS M. Harkless Free Throw 2 of 2,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,Missed,,,,,,,,,,,,,,,,,,,
395,PT04M37.00S,2021-11-21T04:33:47.4Z,3,REGULAR,rebound,defensive,[],1628378,,,1610612762,69,74,2021-11-21T04:33:47Z,3890000,,,0,,D. Mitchell REBOUND (Off:0 Def:5),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,394.0,,,5.0,5.0,0.0,,,,,,,,,,,,,
396,PT04M27.00S,2021-11-21T04:33:57.1Z,3,REGULAR,3pt,Jump Shot,[],204060,74.58935611038108,12.5,1610612762,69,77,2021-11-21T04:34:05Z,3900000,-188.0,186.0,1,right,J. Ingles 26' 3PT  (9 PTS) (D. Mitchell 3 AST),"[204060, 1628378]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,26.44,Made,,,,,,,9.0,D. Mitchell,1628378.0,3.0,,,,,,,,,
398,PT04M00.00S,2021-11-21T04:34:23.9Z,3,REGULAR,3pt,Jump Shot,[],203458,31.488173455978973,55.88235294117647,1610612758,72,77,2021-11-21T04:34:31Z,3920000,-29.0,243.0,1,left,A. Len 24' 3PT  (5 PTS) (B. Hield 2 AST),"[203458, 1627741]",1610612758.0,SAC,,,,Len,A. Len,,,,,24.53,Made,,,,,,,5.0,B. Hield,1627741.0,2.0,,,,,,,,,
400,PT03M40.00S,2021-11-21T04:34:44.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,86.67871222076215,40.68627450980392,1610612762,72,77,2021-11-21T04:43:23Z,3940000,-47.0,73.0,1,right,MISS B. Bogdanovic 8' turnaround fadeaway Shot,[202711],1610612762.0,UTA,turnaround fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,8.64,Missed,,,,,,,,,,,,,,,,,,,
401,PT03M39.00S,2021-11-21T04:34:45.3Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612758,72,77,2021-11-21T04:34:54Z,3950000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,
402,PT03M39.00S,2021-11-21T04:34:52.2Z,3,REGULAR,foul,personal,[],202355,,,1610612758,72,77,2021-11-21T04:35:39Z,3960000,,,0,,H. Whiteside loose ball personal FOUL (2 PF),"[202355, 203458]",1610612762.0,UTA,loose ball,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,202027.0,2.0,0.0,Len,203458.0,,,,
404,PT03M39.00S,2021-11-21T04:35:34.8Z,3,REGULAR,substitution,out,[],1628368,,,1610612758,72,77,2021-11-21T04:35:51Z,3980000,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
405,PT03M39.00S,2021-11-21T04:35:34.8Z,3,REGULAR,substitution,out,[],1626220,,,1610612758,72,77,2021-11-21T04:35:51Z,3990000,,,0,,SUB out: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
406,PT03M39.00S,2021-11-21T04:35:34.8Z,3,REGULAR,substitution,out,[],202711,,,1610612758,72,77,2021-11-21T04:35:51Z,4000000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
407,PT03M39.00S,2021-11-21T04:35:34.8Z,3,REGULAR,substitution,in,[],1630558,,,1610612758,72,77,2021-11-21T04:35:51Z,4010000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
408,PT03M39.00S,2021-11-21T04:35:34.8Z,3,REGULAR,substitution,in,[],200752,,,1610612758,72,77,2021-11-21T04:35:51Z,4020000,,,0,,SUB in: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,
409,PT03M39.00S,2021-11-21T04:35:34.8Z,3,REGULAR,substitution,in,[],203903,,,1610612758,72,77,2021-11-21T04:35:51Z,4030000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,
410,PT03M22.00S,2021-11-21T04:35:57.1Z,3,REGULAR,3pt,Jump Shot,[],203458,21.23850197109067,88.97058823529412,1610612758,72,77,2021-11-21T04:36:03Z,4040000,-195.0,147.0,1,left,MISS A. Len 24' 3PT,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,24.42,Missed,,,,,,,,,,,,,,,,,,,
411,PT03M18.00S,2021-11-21T04:36:01.1Z,3,REGULAR,rebound,defensive,[],202355,,,1610612762,72,77,2021-11-21T04:36:03Z,4050000,,,0,,H. Whiteside REBOUND (Off:1 Def:8),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,410.0,,,9.0,8.0,1.0,,,,,,,,,,,,,
412,PT03M12.00S,2021-11-21T04:36:07.0Z,3,REGULAR,3pt,Jump Shot,[],1628378,72.35545335085413,79.41176470588235,1610612762,72,80,2021-11-21T04:36:14Z,4060000,147.0,207.0,1,right,D. Mitchell 25' 3PT  (18 PTS) (J. Clarkson 1 AST),"[1628378, 203903]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,25.43,Made,,,,,,,18.0,J. Clarkson,203903.0,1.0,,,,,,,,,
414,PT03M05.00S,2021-11-21T04:36:16.9Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",200752,,,1610612758,72,80,2021-11-21T04:36:39Z,4080000,,,0,,R. Gay shooting personal FOUL (1 PF) (Barnes 2 FT),"[200752, 203084]",1610612762.0,UTA,shooting,,,Gay,R. Gay,,,,,,,,,,,,,,,,,202027.0,1.0,0.0,Barnes,203084.0,,,,
416,PT03M05.00S,2021-11-21T04:36:47.7Z,3,REGULAR,freethrow,1 of 2,[],203084,,,1610612758,72,80,2021-11-21T04:37:17Z,4100000,,,0,,MISS H. Barnes Free Throw 1 of 2,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Missed,,,,,,,,,,,,,,,,,,,
417,PT03M05.00S,2021-11-21T04:36:47.7Z,3,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,72,80,2021-11-21T04:37:17Z,4110000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,416.0,,,,,,,,,,,,,,,,,,
418,PT03M05.00S,2021-11-21T04:36:47.7Z,3,REGULAR,freethrow,2 of 2,[],203084,,,1610612758,72,80,2021-11-21T04:37:17Z,4120000,,,0,,MISS H. Barnes Free Throw 2 of 2,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Missed,,,,,,,,,,,,,,,,,,,
419,PT03M02.00S,2021-11-21T04:36:50.7Z,3,REGULAR,rebound,defensive,[],200752,,,1610612762,72,80,2021-11-21T04:37:17Z,4130000,,,0,,R. Gay REBOUND (Off:0 Def:3),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,418.0,,,3.0,3.0,0.0,,,,,,,,,,,,,
420,PT02M54.00S,2021-11-21T04:37:21.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,93.9060446780552,55.88235294117647,1610612762,72,80,2021-11-21T04:37:34Z,4140000,29.0,5.0,1,right,MISS D. Mitchell driving Layup - blocked,"[1628378, 203458]",1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,2.98,Missed,,Len,203458.0,,,,,,,,,,,,,,,,
455,PT02M54.00S,2021-11-21T04:37:21.9Z,3,REGULAR,block,,[],203458,,,1610612762,72,80,2021-11-21T04:47:01Z,4145000,,,0,,A. Len BLOCK (1 BLK),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
421,PT02M54.00S,2021-11-21T04:37:21.9Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612758,72,80,2021-11-21T04:37:34Z,4150000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,,,,
422,PT02M54.00S,2021-11-21T04:37:34.1Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,72,80,2021-11-21T04:37:34Z,4160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,PT02M54.00S,2021-11-21T04:37:46.3Z,3,REGULAR,foul,technical,"['inpenalty', '1freethrow']",202439,,,1610612758,72,80,2021-11-21T05:47:43Z,4170000,,,0,,TEAM foul technical,[202439],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,203177.0,,,,,,,,
424,PT02M54.00S,2021-11-21T04:38:07.4Z,3,REGULAR,freethrow,1 of 1,[],1627741,,,1610612758,73,80,2021-11-21T04:38:07Z,4180000,,,0,,B. Hield technical Free Throw 1 of 1 (7 PTS),[1627741],1610612758.0,SAC,technical,,,Hield,B. Hield,,,,,,Made,,,,,,,7.0,,,,,,,,,,,,
425,PT02M54.00S,2021-11-21T04:38:21.0Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,73,80,2021-11-21T04:38:21Z,4190000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,PT02M54.00S,2021-11-21T04:39:04.1Z,3,REGULAR,substitution,out,[],203458,,,1610612758,73,80,2021-11-21T04:41:00Z,4200000,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
427,PT02M54.00S,2021-11-21T04:39:04.1Z,3,REGULAR,substitution,out,[],202355,,,1610612758,73,80,2021-11-21T04:41:00Z,4210000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
428,PT02M54.00S,2021-11-21T04:39:04.1Z,3,REGULAR,substitution,out,[],1628378,,,1610612758,73,80,2021-11-21T04:41:00Z,4220000,,,0,,SUB out: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
