actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
262,PT07M43.00S,2025-10-31T23:56:43.9Z,2,REGULAR,freethrow,1 of 2,[],1641716,,,1610612754,39,41,2025-10-31T23:56:43Z,2530000,False,,,0,,MISS J. Walker Free Throw 1 of 2,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
263,PT07M43.00S,2025-10-31T23:56:43.9Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,39,41,2025-10-31T23:56:43Z,2540000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,
264,PT07M43.00S,2025-10-31T23:56:44.6Z,2,REGULAR,substitution,out,[],1631243,,,1610612754,39,41,2025-10-31T23:56:48Z,2550000,False,,,0,,SUB out: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT07M43.00S,2025-10-31T23:56:44.6Z,2,REGULAR,substitution,in,[],1642258,,,1610612754,39,41,2025-10-31T23:56:48Z,2560000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT07M43.00S,2025-10-31T23:57:04.3Z,2,REGULAR,freethrow,2 of 2,[],1641716,,,1610612754,40,41,2025-10-31T23:57:04Z,2570000,False,,,0,,J. Walker Free Throw 2 of 2 (6 PTS),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
267,PT07M32.00S,2025-10-31T23:57:17.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,7.966491458607096,55.14705882352941,1610612737,40,43,2025-10-31T23:57:23Z,2580000,False,-26.0,22.0,1,left,N. Alexander-Walker driving Layup (7 PTS),[1629638],1610612737.0,ATL,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,3.41,Made,7.0,,,,,,,,,,,,,,,,,
268,PT07M19.00S,2025-10-31T23:57:31.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630174,92.85479632063075,50.98039215686274,1610612754,42,43,2025-10-31T23:57:35Z,2590000,False,5.0,15.0,1,right,A. Nesmith driving DUNK (9 PTS) (Q. Jackson 3 AST),"[1630174, 1631245]",1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,1.55,Made,9.0,,,,,,,,,,Q. Jackson,1631245.0,3.0,,,,,
271,PT06M54.00S,2025-10-31T23:58:14.1Z,2,REGULAR,2pt,Jump Shot,[],1629638,11.12023653088042,66.66666666666666,1610612737,42,45,2025-11-01T00:03:34Z,2620000,False,-83.0,52.0,1,left,N. Alexander-Walker 9' driving floating Jump Shot (9 PTS),[1629638],1610612737.0,ATL,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,8-16 Left,9.82,Made,9.0,,,,,,,,,,,,,,,,,
272,PT06M35.00S,2025-10-31T23:58:32.4Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630543,88.91261498028909,47.05882352941176,1610612754,44,45,2025-10-31T23:58:35Z,2630000,False,-15.0,52.0,1,right,I. Jackson Hook (2 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,5.37,Made,2.0,,,,,,,,,,,,,,,,,
273,PT06M26.00S,2025-10-31T23:58:42.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,11.645860709592641,46.81372549019608,1610612737,44,47,2025-10-31T23:58:47Z,2640000,False,16.0,57.0,1,left,J. Johnson driving finger roll Layup (8 PTS),[1630552],1610612737.0,ATL,driving finger roll,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,5.92,Made,8.0,,,,,,,,,,,,,,,,,
274,PT06M17.00S,2025-10-31T23:58:51.3Z,2,REGULAR,foul,personal,['2freethrow'],1642258,,,1610612754,44,47,2025-10-31T23:59:02Z,2650000,False,,,0,,Z. Risacher shooting personal FOUL (3 PF) (Jackson 2 FT),"[1642258, 1631245]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,204059.0,3.0,0.0,Jackson,1631245.0
276,PT06M17.00S,2025-10-31T23:59:21.8Z,2,REGULAR,freethrow,1 of 2,[],1631245,,,1610612754,45,47,2025-10-31T23:59:50Z,2670000,False,,,0,,Q. Jackson Free Throw 1 of 2 (5 PTS),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
277,PT06M17.00S,2025-10-31T23:59:22.4Z,2,REGULAR,substitution,out,[],1630168,,,1610612754,45,47,2025-10-31T23:59:28Z,2680000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT06M17.00S,2025-10-31T23:59:22.4Z,2,REGULAR,substitution,out,[],1642258,,,1610612754,45,47,2025-10-31T23:59:28Z,2690000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
279,PT06M17.00S,2025-10-31T23:59:22.4Z,2,REGULAR,substitution,in,[],1630811,,,1610612754,45,47,2025-10-31T23:59:28Z,2700000,False,,,0,,SUB in: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT06M17.00S,2025-10-31T23:59:22.4Z,2,REGULAR,substitution,in,[],204001,,,1610612754,45,47,2025-10-31T23:59:28Z,2710000,False,,,0,,SUB in: K. Porziņģis,[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT06M17.00S,2025-10-31T23:59:21.8Z,2,REGULAR,freethrow,2 of 2,[],1631245,,,1610612754,45,47,2025-10-31T23:59:50Z,2720000,False,,,0,,MISS Q. Jackson Free Throw 2 of 2,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
282,PT06M17.00S,2025-10-31T23:59:21.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612754,45,47,2025-10-31T23:59:50Z,2730000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,281.0,,,,,,,,,,,,,,
283,PT06M17.00S,2025-10-31T23:59:50.0Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",204001,,,1610612754,45,47,2025-11-01T00:00:09Z,2740000,False,,,0,,K. Porziņģis loose ball personal FOUL (1 PF) (Jackson 2 FT),"[204001, 1630543]",1610612737.0,ATL,loose ball,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Jackson,1630543.0
285,PT06M17.00S,2025-11-01T00:00:44.4Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630543,,,1610612754,45,47,2025-11-01T00:00:44Z,2760000,False,,,0,,MISS I. Jackson Free Throw 1 of 2,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
286,PT06M17.00S,2025-11-01T00:00:44.4Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,45,47,2025-11-01T00:00:44Z,2770000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,285.0,,,,,,,,,,,,,,
287,PT06M17.00S,2025-11-01T00:00:51.9Z,2,REGULAR,substitution,out,[],1641767,,,1610612754,45,47,2025-11-01T00:00:59Z,2780000,False,,,0,,SUB out: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT06M17.00S,2025-11-01T00:00:51.9Z,2,REGULAR,substitution,in,[],1627783,,,1610612754,45,47,2025-11-01T00:00:59Z,2790000,False,,,0,,SUB in: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT06M17.00S,2025-11-01T00:01:06.2Z,2,REGULAR,substitution,out,[],1630811,,,1610612754,45,47,2025-11-01T00:01:13Z,2800000,False,,,0,,SUB out: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT06M17.00S,2025-11-01T00:01:06.2Z,2,REGULAR,substitution,in,[],1630700,,,1610612754,45,47,2025-11-01T00:01:13Z,2810000,False,,,0,,SUB in: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT06M17.00S,2025-11-01T00:01:34.4Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630543,,,1610612754,46,47,2025-11-01T00:01:34Z,2820000,False,,,0,,I. Jackson Free Throw 2 of 2 (3 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
292,PT06M00.00S,2025-11-01T00:01:53.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,8.09789750328515,55.14705882352941,1610612737,46,49,2025-11-01T00:01:57Z,2830000,False,-26.0,24.0,1,left,N. Alexander-Walker cutting Layup (11 PTS) (D. Daniels 2 AST),"[1629638, 1630700]",1610612737.0,ATL,cutting,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,3.49,Made,11.0,,,,,,,,,,D. Daniels,1630700.0,2.0,,,,,
294,PT05M35.00S,2025-11-01T00:02:18.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641716,84.97043363994744,57.84313725490197,1610612754,46,49,2025-11-01T00:02:25Z,2850000,False,39.0,89.0,1,right,MISS J. Walker 9' turnaround Shot,[1641716],1610612754.0,IND,turnaround,,,Walker,J. Walker,,,,,In The Paint (Non-RA),8-16 Center,9.71,Missed,,,,,,,,,,,,,,,,,,
295,PT05M31.00S,2025-11-01T00:02:22.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612754,46,49,2025-11-01T00:02:25Z,2860000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,294.0,,,,,,,,,,,,,,
297,PT05M23.00S,2025-11-01T00:02:46.5Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1631245,76.95466491458606,48.77450980392157,1610612754,46,49,2025-11-01T00:02:52Z,2880000,False,-6.0,164.0,1,right,MISS Q. Jackson 16' step back Shot,[1631245],1610612754.0,IND,step back,,,Jackson,Q. Jackson,,,,,Mid-Range,16-24 Center,16.42,Missed,,,,,,,,,,,,,,,,,,
298,PT05M19.00S,2025-11-01T00:02:50.5Z,2,REGULAR,rebound,offensive,[],1630543,,,1610612754,46,49,2025-11-01T00:03:42Z,2890000,False,,,0,,I. Jackson REBOUND (Off:2 Def:3),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Mid-Range,16-24 Center,,,,,,297.0,5.0,3.0,2.0,,,,,,,,,,,
299,PT05M10.00S,2025-11-01T00:02:58.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,73.40670170827858,9.803921568627452,1610612754,49,49,2025-11-01T00:03:01Z,2900000,False,-201.0,197.0,1,right,P. Siakam 28' 3PT  (17 PTS) (A. Nesmith 1 AST),"[1627783, 1630174]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,28.18,Made,17.0,,,,,,,,,,A. Nesmith,1630174.0,1.0,,,,,
301,PT05M01.00S,2025-11-01T00:03:08.5Z,2,REGULAR,3pt,Jump Shot,[],1629638,35.03613666228647,63.725490196078425,1610612737,49,49,2025-11-01T00:03:13Z,2920000,False,-69.0,277.0,1,left,MISS N. Alexander-Walker 28' 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,28.52,Missed,,,,,,,,,,,,,,,,,,
302,PT04M56.00S,2025-11-01T00:03:13.5Z,2,REGULAR,rebound,defensive,[],1631245,,,1610612754,49,49,2025-11-01T00:03:13Z,2930000,False,,,0,,Q. Jackson REBOUND (Off:0 Def:2),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Above the Break 3,24+ Center,,,,,,301.0,2.0,2.0,0.0,,,,,,,,,,,
303,PT04M53.00S,2025-11-01T00:03:16.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,91.80354796320631,0.49019607843137253,1610612754,49,49,2025-11-01T00:03:21Z,2940000,False,-248.0,25.0,1,right,MISS A. Nesmith 24' running 3PT,[1630174],1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Left Corner 3,24+ Left,24.87,Missed,,,,,,,,,,,,,,,,,,
304,PT04M50.00S,2025-11-01T00:03:19.6Z,2,REGULAR,rebound,offensive,[],1631245,,,1610612754,49,49,2025-11-01T00:03:19Z,2950000,False,,,0,,Q. Jackson REBOUND (Off:1 Def:2),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Left Corner 3,24+ Left,,,,,,303.0,3.0,2.0,1.0,,,,,,,,,,,
305,PT04M48.00S,2025-11-01T00:03:21.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631245,90.62089356110381,47.794117647058826,1610612754,49,49,2025-11-01T00:03:25Z,2960000,False,-11.0,36.0,1,right,MISS Q. Jackson pullup Shot,[1631245],1610612754.0,IND,pullup,,,Jackson,Q. Jackson,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,,,,,,
306,PT04M45.00S,2025-11-01T00:03:24.4Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612737,49,49,2025-11-01T00:03:24Z,2970000,False,,,0,,D. Daniels REBOUND (Off:0 Def:4),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,305.0,4.0,4.0,0.0,,,,,,,,,,,
307,PT04M42.00S,2025-11-01T00:03:27.5Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630552,5.601182654402102,52.450980392156865,1610612737,49,51,2025-11-01T00:03:32Z,2980000,False,-12.0,0.0,1,left,J. Johnson running DUNK (10 PTS) (D. Daniels 3 AST),"[1630552, 1630700]",1610612737.0,ATL,running,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.23,Made,10.0,,,,,,,,,,D. Daniels,1630700.0,3.0,,,,,
309,PT04M40.00S,2025-11-01T00:03:31.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,49,51,2025-11-01T00:03:31Z,3000000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT04M40.00S,2025-11-01T00:06:05.9Z,2,REGULAR,substitution,out,[],1630543,,,1610612754,49,51,2025-11-01T00:06:25Z,3010000,False,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT04M40.00S,2025-11-01T00:06:05.9Z,2,REGULAR,substitution,out,[],1630174,,,1610612754,49,51,2025-11-01T00:06:25Z,3020000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT04M40.00S,2025-11-01T00:06:05.9Z,2,REGULAR,substitution,out,[],1631245,,,1610612754,49,51,2025-11-01T00:06:25Z,3030000,False,,,0,,SUB out: Q. Jackson,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT04M40.00S,2025-11-01T00:06:05.9Z,2,REGULAR,substitution,in,[],1642484,,,1610612754,49,51,2025-11-01T00:06:25Z,3040000,False,,,0,,SUB in: R. Dennis,[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,,,,,,,,,,,,,,,,,,,,,,
314,PT04M40.00S,2025-11-01T00:06:05.9Z,2,REGULAR,substitution,in,[],1641767,,,1610612754,49,51,2025-11-01T00:06:25Z,3050000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT04M40.00S,2025-11-01T00:06:05.9Z,2,REGULAR,substitution,in,[],1628396,,,1610612754,49,51,2025-11-01T00:06:25Z,3060000,False,,,0,,SUB in: T. Bradley,[1628396],1610612754.0,IND,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT04M19.00S,2025-11-01T00:07:01.4Z,2,REGULAR,3pt,Jump Shot,[],1641767,78.53153745072274,92.8921568627451,1610612754,49,51,2025-11-01T00:07:04Z,3070000,False,214.0,149.0,1,right,MISS B. Sheppard 26' 3PT,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Right Center,26.13,Missed,,,,,,,,,,,,,,,,,,
317,PT04M18.00S,2025-11-01T00:07:02.3Z,2,REGULAR,rebound,offensive,[],1628396,,,1610612754,49,51,2025-11-01T00:07:02Z,3080000,False,,,0,,T. Bradley REBOUND (Off:1 Def:0),[1628396],1610612754.0,IND,,,,Bradley,T. Bradley,,,,,Above the Break 3,24+ Right Center,,,,,,316.0,1.0,0.0,1.0,,,,,,,,,,,
318,PT04M04.00S,2025-11-01T00:07:14.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642484,72.48685939553219,7.598039215686274,1610612754,49,51,2025-11-01T00:07:18Z,3090000,False,-212.0,206.0,1,right,MISS R. Dennis 29' 3PT,[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,Above the Break 3,24+ Left Center,29.57,Missed,,,,,,,,,,,,,,,,,,
319,PT04M03.00S,2025-11-01T00:07:15.6Z,2,REGULAR,rebound,offensive,[],1641716,,,1610612754,49,51,2025-11-01T00:07:18Z,3100000,False,,,0,,J. Walker REBOUND (Off:1 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,,,,,,318.0,2.0,1.0,1.0,,,,,,,,,,,
320,PT04M01.00S,2025-11-01T00:07:18.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641716,92.9862023653088,47.05882352941176,1610612754,51,51,2025-11-01T00:07:20Z,3110000,False,-15.0,13.0,1,right,J. Walker putback Layup (8 PTS),[1641716],1610612754.0,IND,putback,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,1.99,Made,8.0,,,,,,,,,,,,,,,,,
321,PT03M43.00S,2025-11-01T00:07:37.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,12.171484888304862,47.05882352941176,1610612737,51,51,2025-11-01T00:07:42Z,3120000,False,15.0,62.0,1,left,MISS L. Kennard 6' driving floating Shot,[1628379],1610612737.0,ATL,driving floating,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),0-8 Center,6.36,Missed,,,,,,,,,,,,,,,,,,
322,PT03M39.00S,2025-11-01T00:07:41.2Z,2,REGULAR,rebound,offensive,[],204001,,,1610612737,51,51,2025-11-01T00:07:42Z,3130000,False,,,0,,K. Porziņģis REBOUND (Off:2 Def:2),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,321.0,4.0,2.0,2.0,,,,,,,,,,,
323,PT03M39.00S,2025-11-01T00:07:40.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",204001,5.590000152587891,50.0,1610612737,51,53,2025-11-01T00:07:40Z,3140000,False,0.0,0.0,1,left,K. Porziņģis tip Layup (4 PTS),[204001],1610612737.0,ATL,tip,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
325,PT03M18.00S,2025-11-01T00:08:07.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,82.7365308804205,51.470588235294116,1610612754,51,53,2025-11-01T00:08:11Z,3160000,False,7.0,110.0,1,right,MISS P. Siakam 11' pullup Shot,[1627783],1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,11.0,Missed,,,,,,,,,,,,,,,,,,
326,PT03M17.00S,2025-11-01T00:08:08.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612754,51,53,2025-11-01T00:08:11Z,3170000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,325.0,,,,,,,,,,,,,,
328,PT03M17.00S,2025-11-01T00:08:12.3Z,2,REGULAR,substitution,out,[],1641716,,,1610612754,51,53,2025-11-01T00:08:16Z,3190000,False,,,0,,SUB out: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT03M17.00S,2025-11-01T00:08:12.3Z,2,REGULAR,substitution,in,[],1630174,,,1610612754,51,53,2025-11-01T00:08:16Z,3200000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT03M16.00S,2025-11-01T00:08:30.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630174,86.81011826544021,2.450980392156863,1610612754,51,53,2025-11-01T00:08:34Z,3210000,False,-238.0,71.0,1,right,MISS A. Nesmith 24' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Left Corner 3,24+ Left,24.82,Missed,,,,,,,,,,,,,,,,,,
331,PT03M13.00S,2025-11-01T00:08:33.4Z,2,REGULAR,rebound,defensive,[],1630552,,,1610612737,51,53,2025-11-01T00:08:34Z,3220000,False,,,0,,J. Johnson REBOUND (Off:1 Def:3),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Left Corner 3,24+ Left,,,,,,330.0,4.0,3.0,1.0,,,,,,,,,,,
332,PT03M09.00S,2025-11-01T00:08:38.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630552,6.1268068331143235,49.26470588235294,1610612737,51,55,2025-11-01T00:08:43Z,3230000,False,4.0,5.0,1,left,J. Johnson running Layup (12 PTS),[1630552],1610612737.0,ATL,running,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,0.63,Made,12.0,,,,,,,,,,,,,,,,,
333,PT02M55.00S,2025-11-01T00:08:52.0Z,2,REGULAR,turnover,bad pass,[],1627783,,,1610612754,51,55,2025-11-01T00:08:54Z,3240000,False,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1630700]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,Daniels,1630700.0,,,,,,,,
334,PT02M55.00S,2025-11-01T00:08:52.0Z,2,REGULAR,steal,,[],1630700,,,1610612737,51,55,2025-11-01T00:08:53Z,3250000,False,,,0,,D. Daniels STEAL (3 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
335,PT02M43.00S,2025-11-01T00:09:02.7Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629638,20.581471747700395,64.95098039215686,1610612737,51,55,2025-11-01T00:09:06Z,3260000,False,-75.0,141.0,1,left,MISS N. Alexander-Walker 15' pullup Shot,[1629638],1610612737.0,ATL,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,8-16 Center,15.96,Missed,,,,,,,,,,,,,,,,,,
336,PT02M41.00S,2025-11-01T00:09:04.7Z,2,REGULAR,rebound,defensive,[],1641767,,,1610612754,51,55,2025-11-01T00:09:06Z,3270000,False,,,0,,B. Sheppard REBOUND (Off:0 Def:3),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Mid-Range,8-16 Center,,,,,,335.0,3.0,3.0,0.0,,,,,,,,,,,
337,PT02M36.00S,2025-11-01T00:09:10.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1642484,92.46057818659659,96.56862745098039,1610612754,51,55,2025-11-01T00:09:16Z,3280000,False,233.0,18.0,1,right,MISS R. Dennis running 3PT,[1642484],1610612754.0,IND,running,,,Dennis,R. Dennis,,,,,Right Corner 3,24+ Right,23.35,Missed,,,,,,,,,,,,,,,,,,
338,PT02M32.00S,2025-11-01T00:09:14.6Z,2,REGULAR,rebound,offensive,[],1628396,,,1610612754,51,55,2025-11-01T00:09:14Z,3290000,False,,,0,,T. Bradley REBOUND (Off:2 Def:0),[1628396],1610612754.0,IND,,,,Bradley,T. Bradley,,,,,Right Corner 3,24+ Right,,,,,,337.0,2.0,0.0,2.0,,,,,,,,,,,
339,PT02M32.00S,2025-11-01T00:09:14.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628396,94.40999984741211,50.0,1610612754,53,55,2025-11-01T00:09:14Z,3300000,False,0.0,0.0,1,right,T. Bradley putback Layup (2 PTS),[1628396],1610612754.0,IND,putback,,,Bradley,T. Bradley,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
340,PT02M23.00S,2025-11-01T00:09:23.4Z,2,REGULAR,3pt,Jump Shot,[],204001,26.888961892247043,13.23529411764706,1610612737,53,58,2025-11-01T00:09:27Z,3310000,False,184.0,200.0,1,left,K. Porziņģis 27' 3PT  (7 PTS) (J. Johnson 3 AST),"[204001, 1630552]",1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,27.19,Made,7.0,,,,,,,,,,J. Johnson,1630552.0,3.0,,,,,
342,PT01M56.00S,2025-11-01T00:09:49.0Z,2,REGULAR,3pt,Jump Shot,[],1630174,72.35545335085413,84.06862745098039,1610612754,56,58,2025-11-01T00:09:53Z,3330000,False,170.0,207.0,1,right,A. Nesmith 26' 3PT  (12 PTS) (P. Siakam 3 AST),"[1630174, 1627783]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,26.84,Made,12.0,,,,,,,,,,P. Siakam,1627783.0,3.0,,,,,
