actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
261,PT06M56.00S,2026-02-06T01:21:22.6Z,2,REGULAR,substitution,in,[],1642262,,,1610612737,37,42,2026-02-06T01:22:57Z,2590000,False,,,0,,SUB in: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT06M56.00S,2026-02-06T01:21:22.6Z,2,REGULAR,substitution,in,[],1628374,,,1610612737,37,42,2026-02-06T01:22:57Z,2600000,False,,,0,,SUB in: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT06M47.00S,2026-02-06T01:23:10.2Z,2,REGULAR,2pt,Jump Shot,[],1629638,19.793035479632064,31.862745098039213,1610612737,39,42,2026-02-06T01:23:15Z,2610000,False,91.0,134.0,1,left,N. Alexander-Walker 16' step back Jump Shot (6 PTS),[1629638],1610612737.0,ATL,step back,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,16-24 Right Center,16.15,Made,,,,,,,,,,,6.0,,,,,,,
264,PT06M22.00S,2026-02-06T01:23:34.7Z,2,REGULAR,2pt,Jump Shot,[],1642268,78.0059132720105,67.8921568627451,1610612762,39,44,2026-02-06T01:23:39Z,2620000,False,89.0,154.0,1,right,I. Collier 17' pullup Jump Shot (11 PTS),[1642268],1610612762.0,UTA,pullup,,,Collier,I. Collier,,,,,Mid-Range,16-24 Right Center,17.83,Made,,,,,,,,,,,11.0,,,,,,,
265,PT06M12.00S,2026-02-06T01:23:46.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642262,,,1610612737,39,44,2026-02-06T01:24:10Z,2630000,False,,,0,,C. Williams shooting personal FOUL (1 PF) (Kispert 2 FT),"[1642262, 1630557]",1610612762.0,UTA,shooting,,,Williams,C. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204058.0,,1.0,0.0,Kispert,1630557.0,,,,,,,,
267,PT06M12.00S,2026-02-06T01:24:16.9Z,2,REGULAR,freethrow,1 of 2,[],1630557,,,1610612737,40,44,2026-02-06T01:24:16Z,2650000,False,,,0,,C. Kispert Free Throw 1 of 2 (10 PTS),[1630557],1610612737.0,ATL,,,,Kispert,C. Kispert,,,,,,,,Made,,,,,,,,,,,10.0,,,,,,,
268,PT06M12.00S,2026-02-06T01:24:32.0Z,2,REGULAR,freethrow,2 of 2,[],1630557,,,1610612737,41,44,2026-02-06T01:24:32Z,2660000,False,,,0,,C. Kispert Free Throw 2 of 2 (11 PTS),[1630557],1610612737.0,ATL,,,,Kispert,C. Kispert,,,,,,,,Made,,,,,,,,,,,11.0,,,,,,,
269,PT05M53.00S,2026-02-06T01:24:53.4Z,2,REGULAR,2pt,Jump Shot,[],1628374,74.58935611038108,41.17647058823529,1610612762,41,46,2026-02-06T01:25:01Z,2670000,False,-44.0,186.0,1,right,L. Markkanen 19' step back Jump Shot (7 PTS),[1628374],1610612762.0,UTA,step back,,,Markkanen,L. Markkanen,,,,,Mid-Range,16-24 Center,19.15,Made,,,,,,,,,,,7.0,,,,,,,
270,PT05M38.00S,2026-02-06T01:25:08.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629111,8.886333771353483,50.98039215686274,1610612737,43,46,2026-02-06T01:26:02Z,2680000,False,-5.0,31.0,1,left,J. Landale driving Layup (8 PTS) (J. Johnson 6 AST),"[1629111, 1630552]",1610612737.0,ATL,driving,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,3.14,Made,,,,,,,,,,,8.0,,,J. Johnson,1630552.0,6.0,,
272,PT05M22.00S,2026-02-06T01:25:23.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628374,89.17542706964521,55.88235294117647,1610612762,43,48,2026-02-06T01:25:30Z,2700000,False,29.0,49.0,1,right,L. Markkanen driving Hook (9 PTS) (I. Collier 7 AST),"[1628374, 1642268]",1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,5.74,Made,,,,,,,,,,,9.0,,,I. Collier,1642268.0,7.0,,
274,PT05M13.00S,2026-02-06T01:25:35.1Z,2,REGULAR,foul,offensive,[],1629111,,,1610612737,43,48,2026-02-06T01:26:02Z,2720000,False,,,0,,J. Landale offensive FOUL (1 PF),"[1629111, 1642262]",1610612737.0,ATL,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,,1.0,0.0,Williams,1642262.0,,,,,,,,
276,PT05M13.00S,2026-02-06T01:25:35.1Z,2,REGULAR,turnover,offensive foul,[],1629111,,,1610612737,43,48,2026-02-06T01:25:35Z,2740000,False,,,0,,J. Landale offensive foul TURNOVER (2 TO),[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,2.0,,,,,,,,,,,,
277,PT05M13.00S,2026-02-06T01:25:52.0Z,2,REGULAR,substitution,out,[],1630557,,,1610612762,43,48,2026-02-06T01:25:57Z,2750000,False,,,0,,SUB out: C. Kispert,[1630557],1610612737.0,ATL,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT05M13.00S,2026-02-06T01:25:52.0Z,2,REGULAR,substitution,in,[],203468,,,1610612762,43,48,2026-02-06T01:25:57Z,2760000,False,,,0,,SUB in: C. McCollum,[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
279,PT04M53.00S,2026-02-06T01:26:20.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629004,66.70499342969777,52.94117647058824,1610612762,43,48,2026-02-06T01:26:25Z,2770000,False,15.0,260.0,1,right,MISS S. Mykhailiuk 26' 3PT,[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Center,26.09,Missed,,,,,,,,,,,,,,,,,,
280,PT04M50.00S,2026-02-06T01:26:23.7Z,2,REGULAR,rebound,defensive,[],1629111,,,1610612737,43,48,2026-02-06T01:26:25Z,2780000,False,,,0,,J. Landale REBOUND (Off:3 Def:1),[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Center,,,279.0,4.0,1.0,3.0,,,,,,,,,,,,,,
281,PT04M43.00S,2026-02-06T01:26:32.3Z,2,REGULAR,foul,offensive,[],1630552,,,1610612737,43,48,2026-02-06T01:26:48Z,2790000,False,,,0,,J. Johnson offensive FOUL (2 PF),"[1630552, 1642262]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204058.0,,2.0,0.0,Williams,1642262.0,,,,,,,,
283,PT04M43.00S,2026-02-06T01:26:32.3Z,2,REGULAR,turnover,offensive foul,[],1630552,,,1610612737,43,48,2026-02-06T01:26:32Z,2810000,False,,,0,,J. Johnson offensive foul TURNOVER (1 TO),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204058.0,1.0,,,,,,,,,,,,
284,PT04M43.00S,2026-02-06T01:27:00.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,43,48,2026-02-06T01:27:00Z,2820000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT04M43.00S,2026-02-06T01:29:36.1Z,2,REGULAR,substitution,out,[],1629004,,,1610612762,43,48,2026-02-06T01:29:56Z,2840000,False,,,0,,SUB out: S. Mykhailiuk,[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT04M43.00S,2026-02-06T01:29:36.1Z,2,REGULAR,substitution,in,[],1641729,,,1610612762,43,48,2026-02-06T01:29:56Z,2850000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT04M28.00S,2026-02-06T01:30:07.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642846,81.8166885676741,55.63725490196079,1610612762,43,48,2026-02-06T01:30:13Z,2860000,False,28.0,118.0,1,right,MISS A. Bailey 12' pullup Shot,[1642846],1610612762.0,UTA,pullup,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),8-16 Center,12.17,Missed,,,,,,,,,,,,,,,,,,
289,PT04M25.00S,2026-02-06T01:30:10.2Z,2,REGULAR,rebound,offensive,[],1642846,,,1610612762,43,48,2026-02-06T01:30:13Z,2870000,False,,,0,,A. Bailey REBOUND (Off:1 Def:2),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),8-16 Center,,,288.0,3.0,2.0,1.0,,,,,,,,,,,,,,
290,PT04M24.00S,2026-02-06T01:30:10.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1642846,92.9862023653088,50.73529411764706,1610612762,43,50,2026-02-06T01:30:17Z,2880000,False,4.0,13.0,1,right,A. Bailey putback Layup (4 PTS),[1642846],1610612762.0,UTA,putback,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,,,,,,,4.0,,,,,,,
291,PT04M11.00S,2026-02-06T01:30:24.2Z,2,REGULAR,turnover,bad pass,[],1630552,,,1610612737,43,50,2026-02-06T01:30:28Z,2890000,False,,,0,,J. Johnson bad pass TURNOVER (2 TO),"[1630552, 1642846]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,2.0,,,,,,,,,,,Bailey,1642846.0
292,PT04M11.00S,2026-02-06T01:30:24.2Z,2,REGULAR,steal,,[],1642846,,,1610612762,43,50,2026-02-06T01:30:26Z,2900000,False,,,0,,A. Bailey STEAL (1 STL),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
293,PT04M01.00S,2026-02-06T01:30:33.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628374,87.20433639947439,3.1862745098039214,1610612762,43,53,2026-02-06T01:30:39Z,2910000,False,-234.0,68.0,1,right,L. Markkanen 24' 3PT  (12 PTS) (B. Sensabaugh 1 AST),"[1628374, 1641729]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,24.37,Made,,,,,,,,,,,12.0,,,B. Sensabaugh,1641729.0,1.0,,
295,PT03M53.00S,2026-02-06T01:30:42.6Z,2,REGULAR,3pt,Jump Shot,[],1629111,5.601182654402102,96.56862745098039,1610612737,43,53,2026-02-06T01:30:47Z,2930000,False,-233.0,0.0,1,left,MISS J. Landale 3PT,[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,Left Corner 3,24+ Left,23.28,Missed,,,,,,,,,,,,,,,,,,
296,PT03M50.00S,2026-02-06T01:30:45.6Z,2,REGULAR,rebound,defensive,[],1641729,,,1610612762,43,53,2026-02-06T01:30:47Z,2940000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:3),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Left Corner 3,24+ Left,,,295.0,3.0,3.0,0.0,,,,,,,,,,,,,,
297,PT03M37.00S,2026-02-06T01:30:59.2Z,2,REGULAR,foul,personal,['2freethrow'],1642258,,,1610612762,43,53,2026-02-06T01:31:20Z,2950000,False,,,0,,Z. Risacher shooting personal FOUL (2 PF) (Markkanen 2 FT),"[1642258, 1628374]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,204058.0,,2.0,0.0,Markkanen,1628374.0,,,,,,,,
299,PT03M37.00S,2026-02-06T01:31:22.3Z,2,REGULAR,freethrow,1 of 2,[],1628374,,,1610612762,43,54,2026-02-06T01:31:22Z,2970000,False,,,0,,L. Markkanen Free Throw 1 of 2 (13 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,,,,,,,,,,,13.0,,,,,,,
300,PT03M37.00S,2026-02-06T01:31:24.2Z,2,REGULAR,substitution,out,[],1642258,,,1610612762,43,54,2026-02-06T01:31:28Z,2980000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT03M37.00S,2026-02-06T01:31:24.2Z,2,REGULAR,substitution,in,[],1630700,,,1610612762,43,54,2026-02-06T01:31:28Z,2990000,False,,,0,,SUB in: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT03M37.00S,2026-02-06T01:31:41.2Z,2,REGULAR,freethrow,2 of 2,[],1628374,,,1610612762,43,55,2026-02-06T01:31:41Z,3000000,False,,,0,,L. Markkanen Free Throw 2 of 2 (14 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,,,,,,,,,,,14.0,,,,,,,
303,PT03M27.00S,2026-02-06T01:31:52.3Z,2,REGULAR,3pt,Jump Shot,[],1629111,6.258212877792378,3.6764705882352944,1610612737,46,55,2026-02-06T01:31:57Z,3010000,False,232.0,6.0,1,left,J. Landale 3PT  (11 PTS) (N. Alexander-Walker 3 AST),"[1629111, 1629638]",1610612737.0,ATL,,,,Landale,J. Landale,,,,,Right Corner 3,24+ Right,23.17,Made,,,,,,,,,,,11.0,,,N. Alexander-Walker,1629638.0,3.0,,
305,PT03M07.00S,2026-02-06T01:32:14.4Z,2,REGULAR,turnover,out-of-bounds,[],1642268,,,1610612762,46,55,2026-02-06T01:32:22Z,3030000,False,,,0,,I. Collier bad pass out-of-bounds TURNOVER (2 TO),[1642268],1610612762.0,UTA,bad pass,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1628172.0,2.0,,,,,,,,,,,,
306,PT02M57.00S,2026-02-06T01:32:29.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629638,30.17411300919842,31.127450980392158,1610612737,46,55,2026-02-06T01:33:33Z,3040000,False,94.0,231.0,1,left,MISS N. Alexander-Walker 24' 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,24.96,Missed,,,,,,,,,,,,,,,,,,
307,PT02M53.00S,2026-02-06T01:32:33.2Z,2,REGULAR,rebound,offensive,[],1629638,,,1610612737,46,55,2026-02-06T01:55:07Z,3050000,False,,,0,,N. Alexander-Walker REBOUND (Off:1 Def:1),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,,,306.0,2.0,1.0,1.0,,,,,,,,,,,,,,
308,PT02M46.00S,2026-02-06T01:32:39.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629638,18.610381077529567,41.911764705882355,1610612737,48,55,2026-02-06T01:32:44Z,3060000,False,40.0,122.0,1,left,N. Alexander-Walker 12' step back Jump Shot (8 PTS),[1629638],1610612737.0,ATL,step back,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Center,12.89,Made,,,,,,,,,,,8.0,,,,,,,
309,PT02M33.00S,2026-02-06T01:32:52.4Z,2,REGULAR,3pt,Jump Shot,[],1641729,76.2976346911958,88.23529411764706,1610612762,48,55,2026-02-06T01:32:58Z,3070000,False,191.0,170.0,1,right,MISS B. Sensabaugh 25' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Right Center,25.6,Missed,,,,,,,,,,,,,,,,,,
310,PT02M30.00S,2026-02-06T01:32:55.4Z,2,REGULAR,rebound,defensive,[],1629111,,,1610612737,48,55,2026-02-06T01:55:27Z,3080000,False,,,0,,J. Landale REBOUND (Off:3 Def:2),[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Right Center,,,309.0,5.0,2.0,3.0,,,,,,,,,,,,,,
311,PT02M23.00S,2026-02-06T01:33:06.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,6.1268068331143235,44.36274509803921,1610612737,50,55,2026-02-06T01:33:12Z,3090000,False,28.0,5.0,1,left,J. Johnson driving Layup (4 PTS),[1630552],1610612737.0,ATL,driving,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,2.87,Made,,,,,,,,,,,4.0,,,,,,,
312,PT02M23.00S,2026-02-06T01:33:10.4Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1642846,,,1610612737,50,55,2026-02-06T01:33:23Z,3100000,False,,,0,,A. Bailey shooting personal FOUL (2 PF) (Johnson 1 FT),"[1642846, 1630552]",1610612762.0,UTA,shooting,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,,2.0,0.0,Johnson,1630552.0,,,,,,,,
314,PT02M23.00S,2026-02-06T01:33:30.6Z,2,REGULAR,freethrow,1 of 1,[],1630552,,,1610612737,51,55,2026-02-06T01:33:30Z,3120000,False,,,0,,J. Johnson Free Throw 1 of 1 (5 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,,,,,,,,,,,5.0,,,,,,,
315,PT02M06.00S,2026-02-06T01:33:50.1Z,2,REGULAR,2pt,Jump Shot,[],1641729,86.15308804204993,66.42156862745098,1610612762,51,55,2026-02-06T01:33:58Z,3130000,False,82.0,78.0,1,right,MISS B. Sensabaugh 11' driving floating Shot,[1641729],1610612762.0,UTA,driving floating,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,8-16 Right,11.3,Missed,,,,,,,,,,,,,,,,,,
316,PT02M04.00S,2026-02-06T01:33:52.1Z,2,REGULAR,rebound,offensive,[],1642262,,,1610612762,51,55,2026-02-06T01:34:03Z,3140000,False,,,0,,C. Williams REBOUND (Off:1 Def:1),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Mid-Range,8-16 Right,,,315.0,2.0,1.0,1.0,,,,,,,,,,,,,,
317,PT02M04.00S,2026-02-06T01:33:54.9Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642262,94.40999984741211,50.0,1610612762,51,55,2026-02-06T01:34:07Z,3150000,False,0.0,0.0,1,right,MISS C. Williams tip Layup,[1642262],1610612762.0,UTA,tip,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
318,PT02M03.00S,2026-02-06T01:33:55.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612762,51,55,2026-02-06T01:34:07Z,3160000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Restricted Area,0-8 Center,,,317.0,,,,,,,,,,,,,,,,,
320,PT01M57.00S,2026-02-06T01:34:14.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642268,66.5735873850197,48.77450980392157,1610612762,51,55,2026-02-06T01:38:14Z,3180000,False,-6.0,262.0,1,right,MISS I. Collier 26' step back 3PT,[1642268],1610612762.0,UTA,step back,,,Collier,I. Collier,,,,,Above the Break 3,24+ Center,26.18,Missed,,,,,,,,,,,,,,,,,,
321,PT01M53.00S,2026-02-06T01:34:18.6Z,2,REGULAR,rebound,offensive,[],1628374,,,1610612762,51,55,2026-02-06T01:34:22Z,3190000,False,,,0,,L. Markkanen REBOUND (Off:1 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,,,320.0,3.0,2.0,1.0,,,,,,,,,,,,,,
322,PT01M52.00S,2026-02-06T01:34:20.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628374,92.59198423127464,4.411764705882353,1610612762,51,58,2026-02-06T01:34:25Z,3200000,False,-228.0,17.0,1,right,L. Markkanen 3PT  (17 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,22.85,Made,,,,,,,,,,,17.0,,,,,,,
323,PT01M34.00S,2026-02-06T01:34:38.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,5.338370565045992,50.49019607843137,1610612737,53,58,2026-02-06T01:34:46Z,3210000,False,-2.0,-2.0,1,left,D. Daniels cutting Layup (7 PTS) (J. Landale 2 AST),"[1630700, 1629111]",1610612737.0,ATL,cutting,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,0.34,Made,,,,,,,,,,,7.0,,,J. Landale,1629111.0,2.0,,
325,PT01M20.00S,2026-02-06T01:34:51.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1642262,93.64323258869908,48.529411764705884,1610612762,53,60,2026-02-06T01:34:57Z,3230000,False,-7.0,7.0,1,right,C. Williams alley-oop DUNK (3 PTS) (B. Sensabaugh 2 AST),"[1642262, 1641729]",1610612762.0,UTA,alley-oop,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,1.04,Made,,,,,,,,,,,3.0,,,B. Sensabaugh,1641729.0,2.0,,
327,PT01M10.00S,2026-02-06T01:35:01.2Z,2,REGULAR,3pt,Jump Shot,[],1629111,28.07161629434954,75.0,1610612737,56,60,2026-02-06T01:35:07Z,3250000,False,-125.0,211.0,1,left,J. Landale 24' 3PT  (14 PTS) (D. Daniels 3 AST),"[1629111, 1630700]",1610612737.0,ATL,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Left Center,24.56,Made,,,,,,,,,,,14.0,,,D. Daniels,1630700.0,3.0,,
329,PT00M51.70S,2026-02-06T01:35:21.3Z,2,REGULAR,3pt,Jump Shot,[],1628374,66.5735873850197,46.07843137254902,1610612762,56,60,2026-02-06T01:35:27Z,3270000,False,-20.0,262.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,26.24,Missed,,,,,,,,,,,,,,,,,,
330,PT00M48.00S,2026-02-06T01:35:25.0Z,2,REGULAR,rebound,defensive,[],1630552,,,1610612737,56,60,2026-02-06T01:35:27Z,3280000,False,,,0,,J. Johnson REBOUND (Off:1 Def:5),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,329.0,6.0,5.0,1.0,,,,,,,,,,,,,,
331,PT00M41.80S,2026-02-06T01:35:31.1Z,2,REGULAR,3pt,Jump Shot,[],1629111,12.302890932982917,4.6568627450980395,1610612737,59,60,2026-02-06T01:35:36Z,3290000,False,227.0,63.0,1,left,J. Landale 3PT  (17 PTS) (J. Johnson 7 AST),"[1629111, 1630552]",1610612737.0,ATL,,,,Landale,J. Landale,,,,,Right Corner 3,24+ Right,23.53,Made,,,,,,,,,,,17.0,,,J. Johnson,1630552.0,7.0,,
333,PT00M21.80S,2026-02-06T01:35:55.5Z,2,REGULAR,turnover,bad pass,[],1628374,,,1610612762,59,60,2026-02-06T01:36:02Z,3310000,False,,,0,,L. Markkanen bad pass TURNOVER (1 TO),"[1628374, 1629638]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,,,,,,,,,,,Alexander-Walker,1629638.0
334,PT00M21.80S,2026-02-06T01:35:55.5Z,2,REGULAR,steal,,[],1629638,,,1610612737,59,60,2026-02-06T01:55:45Z,3320000,False,,,0,,N. Alexander-Walker STEAL (1 STL),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
335,PT00M17.50S,2026-02-06T01:36:00.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629638,4.944152431011826,50.49019607843137,1610612737,61,60,2026-02-06T01:36:07Z,3330000,False,-2.0,-6.0,1,left,N. Alexander-Walker running Layup (10 PTS) (J. Johnson 8 AST),"[1629638, 1630552]",1610612737.0,ATL,running,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,0.65,Made,,,,,,,,,,,10.0,,,J. Johnson,1630552.0,8.0,,
337,PT00M01.50S,2026-02-06T01:36:21.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642268,90.62089356110381,58.82352941176471,1610612762,61,60,2026-02-06T01:36:50Z,3350000,False,44.0,36.0,1,right,MISS I. Collier driving floating Shot - blocked,"[1642268, 203468]",1610612762.0,UTA,driving floating,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,5.67,Missed,,,,,,,,,,,,McCollum,203468.0,,,,,
338,PT00M01.50S,2026-02-06T01:36:21.8Z,2,REGULAR,block,,[],203468,,,1610612762,61,60,2026-02-06T01:36:24Z,3360000,False,,,0,,C. McCollum BLOCK (2 BLK),[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
342,PT00M01.50S,2026-02-06T01:36:21.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612737,61,60,2026-02-06T01:37:47Z,3370000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,337.0,,,,,,,,,,,,,,,,,
339,PT00M01.50S,2026-02-06T01:36:45.9Z,2,REGULAR,jumpball,recovered,[],1630552,,,1610612737,61,60,2026-02-06T01:37:41Z,3380000,False,,,0,,Jump Ball C. McCollum vs. I. Collier: Tip to J. Johnson,"[1630552, 203468, 1642268]",1610612737.0,ATL,heldball,J. Johnson,1630552.0,Johnson,J. Johnson,McCollum,203468.0,Collier,1642268.0,,,,,,,,,,,,,,,,,,,,,,
343,PT00M00.00S,2026-02-06T01:36:48.2Z,2,REGULAR,period,end,[],0,,,1610612737,61,60,2026-02-06T01:36:48Z,3410000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT12M00.00S,2026-02-06T01:51:22.5Z,3,REGULAR,substitution,out,['startperiod'],203468,,,1610612737,61,60,2026-02-06T01:51:54Z,3420000,False,,,0,,SUB out: C. McCollum,[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT12M00.00S,2026-02-06T01:51:22.5Z,3,REGULAR,substitution,out,['startperiod'],1641729,,,1610612737,61,60,2026-02-06T01:51:54Z,3430000,False,,,0,,SUB out: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT12M00.00S,2026-02-06T01:51:22.5Z,3,REGULAR,substitution,in,['startperiod'],1642258,,,1610612737,61,60,2026-02-06T01:51:54Z,3440000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
