actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
257,PT08M36.00S,2025-12-21T00:52:57.7Z,2,REGULAR,3pt,Jump Shot,[],1642348,20.71287779237845,93.87254901960785,1610612755,45,41,2025-12-21T00:53:02Z,2530000,False,-219.0,142.0,1,left,MISS J. Edwards 26' 3PT,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Left Center,26.15,Missed,,,,,,,,,,,,,,,,,,
258,PT08M33.00S,2025-12-21T00:53:00.6Z,2,REGULAR,rebound,offensive,[],203083,,,1610612755,45,41,2025-12-21T00:53:00Z,2540000,False,,,0,,A. Drummond REBOUND (Off:4 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,257.0,6.0,2.0,4.0,,,,,,,,,,,,,,
259,PT08M22.00S,2025-12-21T00:53:12.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629656,8.09789750328515,54.90196078431373,1610612755,45,41,2025-12-21T00:53:32Z,2550000,False,-25.0,24.0,1,left,MISS Q. Grimes driving Layup - blocked,"[1629656, 203076]",1610612755.0,PHI,driving,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,3.4,Missed,,,,,,,,,,,,,,,,,Davis,203076.0
262,PT08M22.00S,2025-12-21T00:53:12.8Z,2,REGULAR,block,,[],203076,,,1610612755,45,41,2025-12-21T00:53:32Z,2555000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
260,PT08M22.00S,2025-12-21T00:53:12.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612755,45,41,2025-12-21T00:53:32Z,2560000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,259.0,,,,,,,,,,,,,,,,,
261,PT08M22.00S,2025-12-21T00:53:18.1Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612755,45,41,2025-12-21T00:53:48Z,2570000,False,,,0,,PHI shot clock Team TURNOVER,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,2534.0,,,,,,,,,,,,,
263,PT08M22.00S,2025-12-21T00:53:29.6Z,2,REGULAR,substitution,out,[],1629656,,,1610612742,45,41,2025-12-21T00:53:34Z,2580000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT08M22.00S,2025-12-21T00:53:29.6Z,2,REGULAR,substitution,in,[],1642845,,,1610612742,45,41,2025-12-21T00:53:34Z,2590000,False,,,0,,SUB in: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT08M06.00S,2025-12-21T00:53:46.6Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1642948,93.77463863337714,16.176470588235293,1610612742,45,41,2025-12-21T00:55:42Z,2600000,False,-169.0,6.0,1,right,MISS R. Nembhard 16' step back Shot,[1642948],1610612742.0,DAL,step back,,,Nembhard,R. Nembhard,,,,,Mid-Range,16-24 Left,16.92,Missed,,,,,,,,,,,,,,,,,,
266,PT08M02.00S,2025-12-21T00:53:50.6Z,2,REGULAR,rebound,offensive,[],203076,,,1610612742,45,41,2025-12-21T00:53:52Z,2610000,False,,,0,,A. Davis REBOUND (Off:2 Def:5),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left,,,265.0,7.0,5.0,2.0,,,,,,,,,,,,,,
267,PT08M02.00S,2025-12-21T00:53:51.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203076,94.40999984741211,50.0,1610612742,45,43,2025-12-21T00:53:51Z,2620000,False,0.0,0.0,1,right,A. Davis tip Layup (8 PTS),[203076],1610612742.0,DAL,tip,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,8.0,,,,,,,,,,,
268,PT07M52.00S,2025-12-21T00:54:00.7Z,2,REGULAR,3pt,Jump Shot,[],203083,16.90210249671485,4.411764705882353,1610612755,48,43,2025-12-21T00:54:04Z,2630000,False,228.0,106.0,1,left,A. Drummond 25' 3PT  (5 PTS) (D. Barlow 1 AST),"[203083, 1631230]",1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Right Center,25.15,Made,,,,,,,5.0,,,,,,,D. Barlow,1631230.0,1.0,,
270,PT07M45.00S,2025-12-21T00:54:07.0Z,2,REGULAR,turnover,bad pass,[],1642843,,,1610612742,48,43,2025-12-21T00:54:13Z,2650000,False,,,0,,C. Flagg bad pass TURNOVER (2 TO),"[1642843, 1642348]",1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Mid-Range,16-24 Left,,,,,,,,2.0,,Edwards,1642348.0,,,,,,,,,
271,PT07M45.00S,2025-12-21T00:54:07.0Z,2,REGULAR,steal,,[],1642348,,,1610612755,48,43,2025-12-21T00:54:11Z,2660000,False,,,0,,J. Edwards STEAL (1 STL),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
272,PT07M38.00S,2025-12-21T00:54:16.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,6.783837056504599,49.01960784313725,1610612755,50,43,2025-12-21T00:54:19Z,2670000,False,5.0,11.0,1,left,T. Maxey driving Layup (13 PTS),[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,,,13.0,,,,,,,,,,,
273,PT07M38.00S,2025-12-21T00:54:18.8Z,2,REGULAR,foul,personal,['1freethrow'],1642948,,,1610612755,50,43,2025-12-21T00:54:24Z,2680000,False,,,0,,R. Nembhard shooting personal FOUL (2 PF) (Maxey 1 FT),"[1642948, 1630178]",1610612742.0,DAL,shooting,,,Nembhard,R. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,2534.0,,,,,2.0,0.0,Maxey,1630178.0,,,,,
275,PT07M38.00S,2025-12-21T00:54:52.8Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1630178,,,1610612755,51,43,2025-12-21T00:54:52Z,2700000,False,,,0,,T. Maxey Free Throw 1 of 1 (14 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,,,,,,,14.0,,,,,,,,,,,
276,PT07M18.00S,2025-12-21T00:55:15.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203076,93.64323258869908,51.9607843137255,1610612742,51,45,2025-12-21T00:55:19Z,2710000,False,10.0,7.0,1,right,A. Davis driving Hook (10 PTS),[203076],1610612742.0,DAL,driving,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,,,10.0,,,,,,,,,,,
277,PT07M05.00S,2025-12-21T00:55:28.3Z,2,REGULAR,turnover,lost ball,[],1642845,,,1610612755,51,45,2025-12-21T00:55:31Z,2720000,False,,,0,,V. Edgecombe lost ball TURNOVER (1 TO),"[1642845, 1626156]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,,Russell,1626156.0,,,,,,,,,
278,PT07M05.00S,2025-12-21T00:55:28.3Z,2,REGULAR,steal,,[],1626156,,,1610612742,51,45,2025-12-21T00:55:30Z,2730000,False,,,0,,D. Russell STEAL (1 STL),[1626156],1610612742.0,DAL,,,,Russell,D. Russell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
279,PT06M58.00S,2025-12-21T00:55:35.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642948,82.21090670170827,53.67647058823529,1610612742,51,47,2025-12-21T00:55:39Z,2740000,False,18.0,115.0,1,right,R. Nembhard 11' pullup Jump Shot (2 PTS) (D. Russell 1 AST),"[1642948, 1626156]",1610612742.0,DAL,pullup,,,Nembhard,R. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,11.62,Made,,,,,,,2.0,,,,,,,D. Russell,1626156.0,1.0,,
281,PT06M33.00S,2025-12-21T00:55:59.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631230,5.469776609724048,48.77450980392157,1610612755,53,47,2025-12-21T00:56:02Z,2760000,False,6.0,-1.0,1,left,D. Barlow driving Layup (10 PTS) (V. Edgecombe 1 AST),"[1631230, 1642845]",1610612755.0,PHI,driving,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,0.62,Made,,,,,,,10.0,,,,,,,V. Edgecombe,1642845.0,1.0,,
283,PT06M18.00S,2025-12-21T00:56:14.6Z,2,REGULAR,3pt,Jump Shot,[],1642948,72.09264126149803,16.42156862745098,1610612742,53,50,2025-12-21T00:56:18Z,2780000,False,-168.0,210.0,1,right,R. Nembhard 26' 3PT  (5 PTS) (C. Flagg 1 AST),"[1642948, 1642843]",1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,Above the Break 3,24+ Left Center,26.87,Made,,,,,,,5.0,,,,,,,C. Flagg,1642843.0,1.0,,
285,PT06M03.00S,2025-12-21T00:56:30.4Z,2,REGULAR,turnover,bad pass,[],1642348,,,1610612755,53,50,2025-12-21T00:56:35Z,2800000,False,,,0,,J. Edwards bad pass TURNOVER (1 TO),"[1642348, 1630230]",1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,,Marshall,1630230.0,,,,,,,,,
286,PT06M03.00S,2025-12-21T00:56:30.4Z,2,REGULAR,steal,,[],1630230,,,1610612742,53,50,2025-12-21T00:56:32Z,2810000,False,,,0,,N. Marshall STEAL (1 STL),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
287,PT06M00.00S,2025-12-21T00:56:36.5Z,2,REGULAR,foul,personal,['2freethrow'],1642845,,,1610612742,53,50,2025-12-21T00:56:43Z,2820000,False,,,0,,V. Edgecombe shooting personal FOUL (3 PF) (Flagg 2 FT),"[1642845, 1642843]",1610612755.0,PHI,shooting,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2534.0,,,,,3.0,0.0,Flagg,1642843.0,,,,,
289,PT06M00.00S,2025-12-21T00:56:48.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,53,50,2025-12-21T00:56:48Z,2840000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT06M00.00S,2025-12-21T00:59:22.8Z,2,REGULAR,substitution,out,[],1642845,,,1610612742,53,50,2025-12-21T00:59:42Z,2850000,False,,,0,,SUB out: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT06M00.00S,2025-12-21T00:59:22.8Z,2,REGULAR,substitution,out,[],203076,,,1610612742,53,50,2025-12-21T00:59:42Z,2860000,False,,,0,,SUB out: A. Davis,[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT06M00.00S,2025-12-21T00:59:22.8Z,2,REGULAR,substitution,out,[],1626156,,,1610612742,53,50,2025-12-21T00:59:42Z,2870000,False,,,0,,SUB out: D. Russell,[1626156],1610612742.0,DAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT06M00.00S,2025-12-21T00:59:22.8Z,2,REGULAR,substitution,in,[],1642272,,,1610612742,53,50,2025-12-21T00:59:42Z,2880000,False,,,0,,SUB in: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT06M00.00S,2025-12-21T00:59:22.8Z,2,REGULAR,substitution,in,[],1631108,,,1610612742,53,50,2025-12-21T00:59:42Z,2890000,False,,,0,,SUB in: M. Christie,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT06M00.00S,2025-12-21T00:59:22.8Z,2,REGULAR,substitution,in,[],1629655,,,1610612742,53,50,2025-12-21T00:59:42Z,2900000,False,,,0,,SUB in: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
296,PT06M00.00S,2025-12-21T00:59:57.6Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1642843,,,1610612742,53,51,2025-12-21T00:59:57Z,2910000,False,,,0,,C. Flagg Free Throw 1 of 2 (9 PTS),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,,
297,PT06M00.00S,2025-12-21T01:00:20.6Z,2,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1642843,,,1610612742,53,52,2025-12-21T01:00:20Z,2920000,False,,,0,,C. Flagg Free Throw 2 of 2 (10 PTS),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
298,PT05M41.00S,2025-12-21T01:00:44.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,12.828515111695138,41.911764705882355,1610612755,53,52,2025-12-21T01:00:48Z,2930000,False,40.0,68.0,1,left,MISS T. Maxey 7' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,7.92,Missed,,,,,,,,,,,,,,,,,,
299,PT05M39.00S,2025-12-21T01:00:46.4Z,2,REGULAR,rebound,defensive,[],1642843,,,1610612742,53,52,2025-12-21T01:00:46Z,2940000,False,,,0,,C. Flagg REBOUND (Off:0 Def:2),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,In The Paint (Non-RA),0-8 Center,,,298.0,2.0,2.0,0.0,,,,,,,,,,,,,,
300,PT05M35.00S,2025-12-21T01:00:50.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642843,93.77463863337714,51.9607843137255,1610612742,53,54,2025-12-21T01:00:56Z,2950000,False,10.0,6.0,1,right,C. Flagg running finger roll Layup (12 PTS),[1642843],1610612742.0,DAL,running finger roll,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,,,12.0,,,,,,,,,,,
301,PT05M13.00S,2025-12-21T01:01:12.2Z,2,REGULAR,3pt,Jump Shot,[],1631230,7.5722733245729295,96.07843137254902,1610612755,53,54,2025-12-21T01:01:19Z,2960000,False,-230.0,19.0,1,left,MISS D. Barlow 3PT,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Left Corner 3,24+ Left,23.12,Missed,,,,,,,,,,,,,,,,,,
302,PT05M09.00S,2025-12-21T01:01:16.2Z,2,REGULAR,rebound,offensive,[],203083,,,1610612755,53,54,2025-12-21T01:01:19Z,2970000,False,,,0,,A. Drummond REBOUND (Off:5 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Left Corner 3,24+ Left,,,301.0,7.0,2.0,5.0,,,,,,,,,,,,,,
303,PT05M08.00S,2025-12-21T01:01:18.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631230,6.258212877792378,51.225490196078425,1610612755,55,54,2025-12-21T01:01:22Z,2980000,False,-6.0,6.0,1,left,D. Barlow cutting DUNK (12 PTS) (A. Drummond 1 AST),"[1631230, 203083]",1610612755.0,PHI,cutting,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,0.88,Made,,,,,,,12.0,,,,,,,A. Drummond,203083.0,1.0,,
305,PT04M45.00S,2025-12-21T01:01:39.9Z,2,REGULAR,3pt,Jump Shot,[],1631108,70.25295663600527,20.098039215686274,1610612742,55,54,2025-12-21T01:01:44Z,3000000,False,-150.0,227.0,1,right,MISS M. Christie 27' 3PT,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,27.19,Missed,,,,,,,,,,,,,,,,,,
306,PT04M43.00S,2025-12-21T01:01:41.9Z,2,REGULAR,rebound,defensive,[],203083,,,1610612755,55,54,2025-12-21T01:01:44Z,3010000,False,,,0,,A. Drummond REBOUND (Off:5 Def:3),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,305.0,8.0,3.0,5.0,,,,,,,,,,,,,,
307,PT04M26.00S,2025-12-21T01:01:58.5Z,2,REGULAR,3pt,Jump Shot,[],1630178,24.52365308804205,8.57843137254902,1610612755,55,54,2025-12-21T01:02:05Z,3020000,False,207.0,178.0,1,left,MISS T. Maxey 27' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,27.31,Missed,,,,,,,,,,,,,,,,,,
308,PT04M26.00S,2025-12-21T01:01:58.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612755,55,54,2025-12-21T01:02:05Z,3030000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,307.0,,,,,,,,,,,,,,,,,
309,PT04M26.00S,2025-12-21T01:02:06.0Z,2,REGULAR,foul,personal,[],1629655,,,1610612755,55,54,2025-12-21T01:02:13Z,3040000,False,,,0,,D. Gafford loose ball personal FOUL (1 PF),"[1629655, 203083]",1610612742.0,DAL,loose ball,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,2534.0,,,,,1.0,0.0,Drummond,203083.0,,,,,
311,PT04M26.00S,2025-12-21T01:02:16.7Z,2,REGULAR,substitution,out,[],1630230,,,1610612755,55,54,2025-12-21T01:02:23Z,3060000,False,,,0,,SUB out: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT04M26.00S,2025-12-21T01:02:16.7Z,2,REGULAR,substitution,out,[],1631108,,,1610612755,55,54,2025-12-21T01:02:23Z,3070000,False,,,0,,SUB out: M. Christie,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT04M26.00S,2025-12-21T01:02:16.7Z,2,REGULAR,substitution,in,[],1629023,,,1610612755,55,54,2025-12-21T01:02:23Z,3080000,False,,,0,,SUB in: P. Washington,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
314,PT04M26.00S,2025-12-21T01:02:16.7Z,2,REGULAR,substitution,in,[],202691,,,1610612755,55,54,2025-12-21T01:02:23Z,3090000,False,,,0,,SUB in: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT04M13.00S,2025-12-21T01:02:44.5Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1630178,11.645860709592641,29.901960784313726,1610612755,57,54,2025-12-21T01:02:50Z,3100000,False,100.0,57.0,1,left,T. Maxey 11' pullup Jump Shot (16 PTS) (A. Drummond 2 AST),"[1630178, 203083]",1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,11.55,Made,,,,,,,16.0,,,,,,,A. Drummond,203083.0,2.0,,
317,PT04M00.00S,2025-12-21T01:02:58.8Z,2,REGULAR,3pt,Jump Shot,[],1642948,74.06373193166885,15.441176470588236,1610612742,57,54,2025-12-21T01:03:03Z,3120000,False,-173.0,191.0,1,right,MISS R. Nembhard 25' 3PT,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,Above the Break 3,24+ Left Center,25.78,Missed,,,,,,,,,,,,,,,,,,
318,PT03M56.00S,2025-12-21T01:03:01.6Z,2,REGULAR,rebound,defensive,[],1642272,,,1610612755,57,54,2025-12-21T01:03:01Z,3130000,False,,,0,,J. McCain REBOUND (Off:0 Def:1),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Above the Break 3,24+ Left Center,,,317.0,1.0,1.0,0.0,,,,,,,,,,,,,,
319,PT03M45.00S,2025-12-21T01:03:13.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.5722733245729295,46.07843137254902,1610612755,59,54,2025-12-21T01:03:17Z,3140000,False,20.0,19.0,1,left,T. Maxey driving Layup (18 PTS),[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.71,Made,,,,,,,18.0,,,,,,,,,,,
321,PT03M37.00S,2025-12-21T01:03:31.4Z,2,REGULAR,substitution,out,[],1642948,,,1610612742,59,54,2025-12-21T01:03:35Z,3160000,False,,,0,,SUB out: R. Nembhard,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT03M37.00S,2025-12-21T01:03:31.4Z,2,REGULAR,substitution,in,[],1630314,,,1610612742,59,54,2025-12-21T01:03:35Z,3170000,False,,,0,,SUB in: B. Williams,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT03M37.00S,2025-12-21T01:03:55.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,59,54,2025-12-21T01:03:55Z,3190000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT03M37.00S,2025-12-21T01:04:47.3Z,2,REGULAR,turnover,out-of-bounds,[],202691,,,1610612742,59,54,2025-12-21T01:05:35Z,3210000,False,,,0,,K. Thompson bad pass out-of-bounds TURNOVER (3 TO),[202691],1610612742.0,DAL,bad pass,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Left,,,,,,,2534.0,3.0,,,,,,,,,,,,
327,PT03M19.00S,2025-12-21T01:06:47.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,8.09789750328515,48.28431372549019,1610612755,61,54,2025-12-21T01:07:08Z,3220000,False,9.0,24.0,1,left,T. Maxey driving finger roll Layup (20 PTS),[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.51,Made,,,,,,,20.0,,,,,,,,,,,
328,PT03M14.00S,2025-12-21T01:06:52.1Z,2,REGULAR,3pt,Jump Shot,[],202691,67.09921156373193,31.127450980392158,1610612742,61,54,2025-12-21T01:06:57Z,3230000,False,-94.0,257.0,1,right,MISS K. Thompson 27' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,27.36,Missed,,,,,,,,,,,,,,,,,,
329,PT03M14.00S,2025-12-21T01:06:52.1Z,2,REGULAR,rebound,defensive,[],1642272,,,1610612755,61,54,2025-12-21T01:06:57Z,3240000,False,,,0,,J. McCain REBOUND (Off:0 Def:2),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Above the Break 3,24+ Left Center,,,328.0,2.0,2.0,0.0,,,,,,,,,,,,,,
330,PT03M09.00S,2025-12-21T01:06:56.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1642272,30.962549277266753,71.56862745098039,1610612755,61,54,2025-12-21T01:07:01Z,3250000,False,-108.0,239.0,1,left,MISS J. McCain 26' running pullup 3PT,[1642272],1610612755.0,PHI,running pullup,,,McCain,J. McCain,,,,,Above the Break 3,24+ Left Center,26.17,Missed,,,,,,,,,,,,,,,,,,
331,PT03M06.00S,2025-12-21T01:06:59.3Z,2,REGULAR,rebound,defensive,[],1629023,,,1610612742,61,54,2025-12-21T01:06:59Z,3260000,False,,,0,,P. Washington REBOUND (Off:0 Def:3),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,,,330.0,3.0,3.0,0.0,,,,,,,,,,,,,,
332,PT02M56.00S,2025-12-21T01:07:09.5Z,2,REGULAR,turnover,bad pass,[],1630314,,,1610612742,61,54,2025-12-21T01:07:13Z,3270000,False,,,0,,B. Williams bad pass TURNOVER (2 TO),"[1630314, 1642272]",1610612742.0,DAL,,,,Williams,B. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,2.0,,McCain,1642272.0,,,,,,,,,
333,PT02M56.00S,2025-12-21T01:07:09.5Z,2,REGULAR,steal,,[],1642272,,,1610612755,61,54,2025-12-21T01:07:11Z,3280000,False,,,0,,J. McCain STEAL (2 STL),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
334,PT02M51.00S,2025-12-21T01:07:15.1Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1642272,28.86005256241787,79.65686274509804,1610612755,61,54,2025-12-21T01:07:22Z,3290000,False,-148.0,219.0,1,left,MISS J. McCain 26' running pullup 3PT,[1642272],1610612755.0,PHI,running pullup,,,McCain,J. McCain,,,,,Above the Break 3,24+ Left Center,26.43,Missed,,,,,,,,,,,,,,,,,,
335,PT02M48.00S,2025-12-21T01:07:18.4Z,2,REGULAR,rebound,offensive,[],1631230,,,1610612755,61,54,2025-12-21T01:07:18Z,3300000,False,,,0,,D. Barlow REBOUND (Off:1 Def:2),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Left Center,,,334.0,3.0,2.0,1.0,,,,,,,,,,,,,,
336,PT02M46.00S,2025-12-21T01:07:20.3Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630178,7.046649145860711,5.147058823529411,1610612755,61,54,2025-12-21T01:07:25Z,3310000,False,224.0,14.0,1,left,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Right Corner 3,24+ Right,22.47,Missed,,,,,,,,,,,,,,,,,,
337,PT02M46.00S,2025-12-21T01:07:20.3Z,2,REGULAR,rebound,defensive,[],1642843,,,1610612742,61,54,2025-12-21T01:07:25Z,3320000,False,,,0,,C. Flagg REBOUND (Off:0 Def:3),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Right Corner 3,24+ Right,,,336.0,3.0,3.0,0.0,,,,,,,,,,,,,,
338,PT02M34.00S,2025-12-21T01:07:31.6Z,2,REGULAR,turnover,lost ball,[],1642843,,,1610612742,61,54,2025-12-21T01:07:36Z,3330000,False,,,0,,C. Flagg lost ball TURNOVER (3 TO),"[1642843, 1631230]",1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Mid-Range,16-24 Left,,,,,,,,3.0,,Barlow,1631230.0,,,,,,,,,
