actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
262,PT05M22.00S,2024-12-14T00:56:33.5Z,2,REGULAR,rebound,defensive,[],1630167,,,1610612754,40,45,2024-12-14T00:56:35Z,2600000,False,,,0,,O. Toppin REBOUND (Off:0 Def:2),[1630167],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,,,,Toppin,O. Toppin,,,,261.0,2.0,2.0,0.0,,,,,,,,,,
263,PT05M07.00S,2024-12-14T00:56:48.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,94.13600525624179,56.61764705882353,1610612754,40,47,2024-12-14T00:56:53Z,2610000,False,33.0,3.0,1,right,T. Haliburton driving finger roll Layup (14 PTS) (M. Turner 2 AST),"[1630169, 1626167]",1610612754.0,IND,driving finger roll,,,,,,Restricted Area,0-8 Center,3.32,Made,14.0,Haliburton,T. Haliburton,M. Turner,1626167.0,2.0,,,,,,,,,,,,,,
265,PT04M51.00S,2024-12-14T00:57:07.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203954,5.568331143232584,46.568627450980394,1610612755,40,47,2024-12-14T01:02:00Z,2630000,False,17.0,0.0,1,left,MISS J. Embiid driving Layup,[203954],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,1.72,Missed,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
266,PT04M50.00S,2024-12-14T00:57:08.8Z,2,REGULAR,rebound,offensive,[],203954,,,1610612755,40,47,2024-12-14T01:02:00Z,2640000,False,,,0,,J. Embiid REBOUND (Off:1 Def:2),[203954],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Embiid,J. Embiid,,,,265.0,3.0,2.0,1.0,,,,,,,,,,
267,PT04M49.00S,2024-12-14T00:57:11.4Z,2,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612755,40,47,2024-12-14T01:04:05Z,2655000,False,,,0,,M. Turner shooting personal FOUL (3 PF) (Embiid 2 FT),"[1626167, 203954]",1610612754.0,IND,shooting,,,,,,Restricted Area,0-8 Center,,,,Turner,M. Turner,,,,,,,,203591.0,,3.0,0.0,Embiid,203954.0,,,,
269,PT04M49.00S,2024-12-14T00:57:43.6Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],203954,,,1610612755,40,47,2024-12-14T01:03:28Z,2670000,False,,,0,,MISS J. Embiid Free Throw 1 of 2,[203954],1610612755.0,PHI,,,,,,,,,,Missed,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
270,PT04M49.00S,2024-12-14T00:57:43.6Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,40,47,2024-12-14T00:57:43Z,2680000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,269.0,,,,,,,,,,,,,
271,PT04M49.00S,2024-12-14T00:57:44.8Z,2,REGULAR,substitution,out,[],1642272,,,1610612755,40,47,2024-12-14T00:57:51Z,2690000,False,,,0,,SUB out: J. McCain,[1642272],1610612755.0,PHI,,,,,,,,,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,
272,PT04M49.00S,2024-12-14T00:57:44.8Z,2,REGULAR,substitution,out,[],1626167,,,1610612755,40,47,2024-12-14T00:57:51Z,2700000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,,,,,,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,
273,PT04M49.00S,2024-12-14T00:57:44.8Z,2,REGULAR,substitution,in,[],1630178,,,1610612755,40,47,2024-12-14T00:57:51Z,2710000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,,,,,,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
274,PT04M49.00S,2024-12-14T00:57:44.8Z,2,REGULAR,substitution,in,[],1627783,,,1610612755,40,47,2024-12-14T00:57:51Z,2720000,False,,,0,,SUB in: P. Siakam,[1627783],1610612754.0,IND,,,,,,,,,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
275,PT04M49.00S,2024-12-14T00:58:10.9Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],203954,,,1610612755,41,47,2024-12-14T01:03:28Z,2730000,False,,,0,,J. Embiid Free Throw 2 of 2 (8 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Made,8.0,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
276,PT04M33.00S,2024-12-14T00:58:27.2Z,2,REGULAR,3pt,Jump Shot,[],1631097,73.76806833114324,17.64705882352942,1610612754,41,50,2024-12-14T00:58:32Z,2740000,False,-162.0,194.0,1,right,B. Mathurin 25' 3PT  (5 PTS) (T. Haliburton 5 AST),"[1631097, 1630169]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,25.27,Made,5.0,Mathurin,B. Mathurin,T. Haliburton,1630169.0,5.0,,,,,,,,,,,,,,
278,PT04M19.00S,2024-12-14T00:58:40.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,16.737844940867276,62.99019607843137,1610612755,43,50,2024-12-14T00:58:46Z,2760000,False,-65.0,105.0,1,left,J. Embiid 12' pullup Jump Shot (10 PTS),[203954],1610612755.0,PHI,pullup,,,,,,In The Paint (Non-RA),8-16 Left,12.33,Made,10.0,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
279,PT04M05.00S,2024-12-14T00:58:59.1Z,2,REGULAR,foul,personal,[],202704,,,1610612754,43,50,2024-12-14T00:59:10Z,2770000,False,,,0,,R. Jackson personal FOUL (1 PF),"[202704, 1631097]",1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Jackson,R. Jackson,,,,,,,,203591.0,,1.0,0.0,Mathurin,1631097.0,,,,
281,PT04M00.00S,2024-12-14T00:59:14.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,90.06241787122208,35.049019607843135,1610612754,43,50,2024-12-14T00:59:20Z,2790000,False,-75.0,41.0,1,right,MISS P. Siakam 8' turnaround fadeaway Shot,[1627783],1610612754.0,IND,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Left,8.53,Missed,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
282,PT03M57.00S,2024-12-14T00:59:17.6Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,43,50,2024-12-14T00:59:20Z,2800000,False,,,0,,J. Embiid REBOUND (Off:1 Def:3),[203954],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Embiid,J. Embiid,,,,281.0,4.0,3.0,1.0,,,,,,,,,,
283,PT03M50.00S,2024-12-14T00:59:23.9Z,2,REGULAR,turnover,lost ball,[],203954,,,1610612755,43,50,2024-12-14T00:59:28Z,2810000,False,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 1631097]",1610612755.0,PHI,,,,,,,Mid-Range,8-16 Center,,,,Embiid,J. Embiid,,,,,,,,,1.0,,,,,Mathurin,1631097.0,,
284,PT03M50.00S,2024-12-14T00:59:23.9Z,2,REGULAR,steal,,[],1631097,,,1610612754,43,50,2024-12-14T01:07:00Z,2820000,False,,,0,,B. Mathurin STEAL (2 STL),[1631097],1610612754.0,IND,,,,,,,Mid-Range,8-16 Center,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
285,PT03M46.00S,2024-12-14T00:59:29.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,95.18725361366623,51.470588235294116,1610612754,43,52,2024-12-14T00:59:40Z,2830000,False,7.0,-7.0,1,right,P. Siakam running reverse Layup (9 PTS) (T. Haliburton 6 AST),"[1627783, 1630169]",1610612754.0,IND,running reverse,,,,,,Restricted Area,0-8 Center,1.04,Made,9.0,Siakam,P. Siakam,T. Haliburton,1630169.0,6.0,,,,,,,,,,,,,,
287,PT03M20.00S,2024-12-14T00:59:59.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,17.526281208935615,58.57843137254902,1610612755,43,52,2024-12-14T01:02:04Z,2850000,False,-43.0,112.0,1,left,MISS T. Maxey 12' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,,,,In The Paint (Non-RA),8-16 Center,12.01,Missed,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
288,PT03M18.00S,2024-12-14T01:00:01.6Z,2,REGULAR,rebound,defensive,[],1630167,,,1610612754,43,52,2024-12-14T01:02:04Z,2860000,False,,,0,,O. Toppin REBOUND (Off:0 Def:3),[1630167],1610612754.0,IND,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Toppin,O. Toppin,,,,287.0,3.0,3.0,0.0,,,,,,,,,,
289,PT03M09.00S,2024-12-14T01:00:06.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630167,94.26741130091985,50.0,1610612754,43,54,2024-12-14T01:00:33Z,2870000,False,0.0,1.0,1,right,O. Toppin running DUNK (11 PTS) (T. Haliburton 7 AST),"[1630167, 1630169]",1610612754.0,IND,running,,,,,,Restricted Area,0-8 Center,0.14,Made,11.0,Toppin,O. Toppin,T. Haliburton,1630169.0,7.0,,,,,,,,,,,,,,
291,PT03M09.00S,2024-12-14T01:00:15.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,43,54,2024-12-14T01:00:18Z,2890000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT03M09.00S,2024-12-14T01:02:57.8Z,2,REGULAR,substitution,out,[],202704,,,1610612755,43,54,2024-12-14T01:03:02Z,2900000,False,,,0,,SUB out: R. Jackson,[202704],1610612755.0,PHI,,,,,,,,,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,
293,PT03M09.00S,2024-12-14T01:02:57.8Z,2,REGULAR,substitution,in,[],1627824,,,1610612755,43,54,2024-12-14T01:03:02Z,2910000,False,,,0,,SUB in: G. Yabusele,[1627824],1610612755.0,PHI,,,,,,,,,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,
294,PT02M49.00S,2024-12-14T01:03:25.4Z,2,REGULAR,turnover,lost ball,[],1630178,,,1610612755,43,54,2024-12-14T01:03:32Z,2920000,False,,,0,,T. Maxey lost ball TURNOVER (4 TO),"[1630178, 1630167]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,,Maxey,T. Maxey,,,,,,,,,4.0,,,,,Toppin,1630167.0,,
295,PT02M49.00S,2024-12-14T01:03:25.4Z,2,REGULAR,steal,,[],1630167,,,1610612754,43,54,2024-12-14T01:03:27Z,2930000,False,,,0,,O. Toppin STEAL (2 STL),[1630167],1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
296,PT02M45.00S,2024-12-14T01:03:29.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,94.13600525624179,51.96078431372549,1610612754,43,56,2024-12-14T01:03:37Z,2940000,False,10.0,3.0,1,right,P. Siakam running DUNK (11 PTS) (O. Toppin 2 AST),"[1627783, 1630167]",1610612754.0,IND,running,,,,,,Restricted Area,0-8 Center,1.01,Made,11.0,Siakam,P. Siakam,O. Toppin,1630167.0,2.0,,,,,,,,,,,,,,
298,PT02M33.00S,2024-12-14T01:03:43.6Z,2,REGULAR,turnover,traveling,[],1627824,,,1610612755,43,56,2024-12-14T01:03:50Z,2960000,False,,,0,,G. Yabusele traveling TURNOVER (2 TO),[1627824],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Left Center,,,,Yabusele,G. Yabusele,,,,,,,,1627539.0,2.0,,,,,,,,
299,PT02M15.00S,2024-12-14T01:04:11.5Z,2,REGULAR,turnover,out-of-bounds,[],1631097,,,1610612754,43,56,2024-12-14T01:04:18Z,2970000,False,,,0,,B. Mathurin bad pass out-of-bounds TURNOVER (1 TO),[1631097],1610612754.0,IND,bad pass,,,,,,In The Paint (Non-RA),8-16 Right,,,,Mathurin,B. Mathurin,,,,,,,,1627539.0,1.0,,,,,,,,
300,PT01M58.00S,2024-12-14T01:04:41.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,8.590670170827863,96.56862745098039,1610612755,46,56,2024-12-14T01:04:46Z,2980000,False,-233.0,28.0,1,left,T. Maxey 3PT  (10 PTS) (J. Embiid 5 AST),"[1630178, 203954]",1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,23.45,Made,10.0,Maxey,T. Maxey,J. Embiid,203954.0,5.0,,,,,,,,,,,,,,
302,PT01M42.00S,2024-12-14T01:04:57.2Z,2,REGULAR,2pt,Jump Shot,[],1630169,81.38961892247043,81.37254901960785,1610612754,46,58,2024-12-14T01:05:01Z,3000000,False,157.0,122.0,1,right,T. Haliburton 19' turnaround Jump Shot (16 PTS) (P. Siakam 2 AST),"[1630169, 1627783]",1610612754.0,IND,turnaround,,,,,,Mid-Range,16-24 Right Center,19.9,Made,16.0,Haliburton,T. Haliburton,P. Siakam,1627783.0,2.0,,,,,,,,,,,,,,
304,PT01M31.00S,2024-12-14T01:05:09.1Z,2,REGULAR,3pt,Jump Shot,[],1627824,7.539421813403408,3.67647058823529,1610612755,46,58,2024-12-14T01:05:14Z,3020000,False,232.0,18.0,1,left,MISS G. Yabusele 3PT,[1627824],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,23.23,Missed,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,
305,PT01M27.00S,2024-12-14T01:05:13.1Z,2,REGULAR,rebound,defensive,[],1631097,,,1610612754,46,58,2024-12-14T01:05:14Z,3030000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:4),[1631097],1610612754.0,IND,,,,,,,Right Corner 3,24+ Right,,,,Mathurin,B. Mathurin,,,,304.0,4.0,4.0,0.0,,,,,,,,,,
306,PT01M23.00S,2024-12-14T01:05:15.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631097,67.32917214191853,56.372549019607845,1610612754,46,58,2024-12-14T01:05:24Z,3040000,False,32.0,255.0,1,right,MISS B. Mathurin 25' running pullup 3PT,[1631097],1610612754.0,IND,running pullup,,,,,,Above the Break 3,24+ Center,25.66,Missed,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
307,PT01M19.00S,2024-12-14T01:05:19.6Z,2,REGULAR,rebound,defensive,[],1630178,,,1610612755,46,58,2024-12-14T01:05:24Z,3050000,False,,,0,,T. Maxey REBOUND (Off:0 Def:3),[1630178],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,,Maxey,T. Maxey,,,,306.0,3.0,3.0,0.0,,,,,,,,,,
308,PT01M12.00S,2024-12-14T01:05:27.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203954,7.670827858081481,52.69607843137255,1610612755,48,58,2024-12-14T01:05:38Z,3060000,False,-13.0,20.0,1,left,J. Embiid finger roll Layup (12 PTS) (P. George 1 AST),"[203954, 202331]",1610612755.0,PHI,finger roll,,,,,,Restricted Area,0-8 Center,2.38,Made,12.0,Embiid,J. Embiid,P. George,202331.0,1.0,,,,,,,,,,,,,,
310,PT01M05.00S,2024-12-14T01:05:34.6Z,2,REGULAR,3pt,Jump Shot,[],1630169,66.5407358738502,55.14705882352941,1610612754,48,61,2024-12-14T01:05:41Z,3080000,False,26.0,262.0,1,right,T. Haliburton 26' 3PT  (19 PTS) (A. Nembhard 3 AST),"[1630169, 1629614]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,26.33,Made,19.0,Haliburton,T. Haliburton,A. Nembhard,1629614.0,3.0,,,,,,,,,,,,,,
312,PT00M49.40S,2024-12-14T01:05:51.0Z,2,REGULAR,turnover,bad pass,[],1630178,,,1610612755,48,61,2024-12-14T01:05:55Z,3100000,False,,,0,,T. Maxey bad pass TURNOVER (5 TO),"[1630178, 1630169]",1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Maxey,T. Maxey,,,,,,,,,5.0,,,,,Haliburton,1630169.0,,
313,PT00M49.40S,2024-12-14T01:05:51.0Z,2,REGULAR,steal,,[],1630169,,,1610612754,48,61,2024-12-14T01:05:53Z,3110000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
314,PT00M38.20S,2024-12-14T01:06:02.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630169,68.9060446780552,88.97058823529412,1610612754,48,61,2024-12-14T01:06:06Z,3120000,False,195.0,240.0,1,right,MISS T. Haliburton 30' 3PT,[1630169],1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,30.9,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
315,PT00M34.60S,2024-12-14T01:06:05.9Z,2,REGULAR,rebound,defensive,[],1626162,,,1610612755,48,61,2024-12-14T01:06:06Z,3130000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:5),[1626162],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,Oubre Jr.,K. Oubre Jr.,,,,314.0,6.0,5.0,1.0,,,,,,,,,,
316,PT00M29.00S,2024-12-14T01:06:12.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630178,8.065045992115643,50.98039215686275,1610612755,50,61,2024-12-14T01:06:21Z,3140000,False,-5.0,23.0,1,left,T. Maxey running finger roll Layup (12 PTS),[1630178],1610612755.0,PHI,running finger roll,,,,,,Restricted Area,0-8 Center,2.38,Made,12.0,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
317,PT00M15.60S,2024-12-14T01:06:38.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,93.47897503285151,41.42156862745098,1610612754,50,61,2024-12-14T01:06:44Z,3150000,False,-43.0,9.0,1,right,MISS T. Haliburton driving floating bank Shot,[1630169],1610612754.0,IND,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,4.38,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
318,PT00M12.00S,2024-12-14T01:06:41.8Z,2,REGULAR,rebound,offensive,[],1631097,,,1610612754,50,61,2024-12-14T01:06:41Z,3160000,False,,,0,,B. Mathurin REBOUND (Off:1 Def:4),[1631097],1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Mathurin,B. Mathurin,,,,317.0,5.0,4.0,1.0,,,,,,,,,,
319,PT00M12.00S,2024-12-14T01:06:41.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631097,94.40999984741211,50.0,1610612754,50,61,2024-12-14T01:06:41Z,3170000,False,0.0,0.0,1,right,MISS B. Mathurin tip Layup,[1631097],1610612754.0,IND,tip,,,,,,Mid-Range,8-16 Left,0.0,Missed,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
320,PT00M11.30S,2024-12-14T01:06:42.5Z,2,REGULAR,rebound,defensive,[],1626162,,,1610612755,50,61,2024-12-14T01:06:42Z,3180000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:6),[1626162],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,,,,Oubre Jr.,K. Oubre Jr.,,,,319.0,7.0,6.0,1.0,,,,,,,,,,
321,PT00M06.50S,2024-12-14T01:06:52.2Z,2,REGULAR,timeout,full,['team'],0,,,1610612755,50,61,2024-12-14T01:06:52Z,3190000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT00M06.50S,2024-12-14T01:08:32.3Z,2,REGULAR,substitution,out,[],203954,,,1610612755,50,61,2024-12-14T01:08:56Z,3200000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,,,,,,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
323,PT00M06.50S,2024-12-14T01:08:32.3Z,2,REGULAR,substitution,out,[],1630169,,,1610612755,50,61,2024-12-14T01:08:56Z,3210000,False,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,,,,,,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
324,PT00M06.50S,2024-12-14T01:08:32.3Z,2,REGULAR,substitution,in,[],1642272,,,1610612755,50,61,2024-12-14T01:08:56Z,3220000,False,,,0,,SUB in: J. McCain,[1642272],1610612755.0,PHI,,,,,,,,,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,
325,PT00M06.50S,2024-12-14T01:08:32.3Z,2,REGULAR,substitution,in,[],204456,,,1610612755,50,61,2024-12-14T01:08:56Z,3230000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,,,,,,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
327,PT00M00.20S,2024-12-14T01:09:06.4Z,2,REGULAR,3pt,Jump Shot,[],1630178,28.95860709592641,20.09803921568627,1610612755,50,61,2024-12-14T01:12:22Z,3250000,False,150.0,220.0,1,left,MISS T. Maxey 26' step back 3PT,[1630178],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Right Center,26.57,Missed,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
328,PT00M00.10S,2024-12-14T01:09:06.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612755,50,61,2024-12-14T01:09:22Z,3260000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,327.0,,,,,,,,,,,,,
329,PT00M00.00S,2024-12-14T01:09:14.5Z,2,REGULAR,period,end,[],0,,,1610612755,50,61,2024-12-14T01:09:14Z,3270000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT12M00.00S,2024-12-14T01:19:02.1Z,3,REGULAR,substitution,out,['startperiod'],1630167,,,1610612755,50,61,2024-12-14T01:24:34Z,3280000,False,,,0,,SUB out: O. Toppin,[1630167],1610612754.0,IND,,,,,,,,,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
331,PT12M00.00S,2024-12-14T01:19:02.1Z,3,REGULAR,substitution,in,['startperiod'],1626167,,,1610612755,50,61,2024-12-14T01:24:34Z,3290000,False,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,,,,,,,,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,
343,PT12M00.00S,2024-12-14T01:19:02.1Z,3,REGULAR,substitution,out,['startperiod'],204456,,,1610612755,50,61,2024-12-14T01:26:07Z,3295000,False,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,,,,,,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
344,PT12M00.00S,2024-12-14T01:19:02.1Z,3,REGULAR,substitution,in,['startperiod'],1630169,,,1610612755,50,61,2024-12-14T01:26:07Z,3297500,False,,,0,,SUB in: T. Haliburton,[1630169],1610612754.0,IND,,,,,,,,,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
332,PT12M00.00S,2024-12-14T01:24:32.4Z,3,REGULAR,period,start,[],0,,,1610612754,50,61,2024-12-14T01:24:35Z,3300000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT11M35.00S,2024-12-14T01:24:55.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,8.327858081471746,47.30392156862745,1610612754,50,63,2024-12-14T01:25:03Z,3310000,False,13.0,26.0,1,left,B. Mathurin driving Layup (7 PTS) (A. Nembhard 4 AST),"[1631097, 1629614]",1610612754.0,IND,driving,,,,,,Restricted Area,0-8 Center,2.91,Made,7.0,Mathurin,B. Mathurin,A. Nembhard,1629614.0,4.0,,,,,,,,,,,,,,
335,PT11M15.00S,2024-12-14T01:25:15.4Z,3,REGULAR,3pt,Jump Shot,[],1627824,69.1688567674113,70.09803921568627,1610612755,50,63,2024-12-14T01:25:20Z,3330000,False,100.0,237.0,1,right,MISS G. Yabusele 25' 3PT,[1627824],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,25.77,Missed,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,
336,PT11M13.00S,2024-12-14T01:25:17.4Z,3,REGULAR,rebound,defensive,[],1627783,,,1610612754,50,63,2024-12-14T01:25:20Z,3340000,False,,,0,,P. Siakam REBOUND (Off:0 Def:5),[1627783],1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,,,,Siakam,P. Siakam,,,,335.0,5.0,5.0,0.0,,,,,,,,,,
337,PT11M05.00S,2024-12-14T01:25:26.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,7.145203679369246,49.01960784313726,1610612754,50,65,2024-12-14T01:25:41Z,3350000,False,5.0,15.0,1,left,P. Siakam cutting Layup (13 PTS) (T. Haliburton 8 AST),"[1627783, 1630169]",1610612754.0,IND,cutting,,,,,,Restricted Area,0-8 Center,1.55,Made,13.0,Siakam,P. Siakam,T. Haliburton,1630169.0,8.0,,,,,,,,,,,,,,
339,PT10M50.00S,2024-12-14T01:25:41.6Z,3,REGULAR,3pt,Jump Shot,[],202331,93.34756898817345,4.656862745098039,1610612755,50,65,2024-12-14T01:25:48Z,3370000,False,-227.0,10.0,1,right,MISS P. George step back 3PT,[202331],1610612755.0,PHI,step back,,,,,,Left Corner 3,24+ Left,22.69,Missed,,George,P. George,,,,,,,,,,,,,,,,,
340,PT10M45.00S,2024-12-14T01:25:46.6Z,3,REGULAR,rebound,defensive,[],1626167,,,1610612754,50,65,2024-12-14T01:25:48Z,3380000,False,,,0,,M. Turner REBOUND (Off:1 Def:4),[1626167],1610612754.0,IND,,,,,,,Left Corner 3,24+ Left,,,,Turner,M. Turner,,,,339.0,5.0,4.0,1.0,,,,,,,,,,
341,PT10M28.00S,2024-12-14T01:26:02.6Z,3,REGULAR,turnover,lost ball,[],1627783,,,1610612754,50,65,2024-12-14T01:26:11Z,3390000,False,,,0,,P. Siakam lost ball TURNOVER (1 TO),"[1627783, 202331]",1610612754.0,IND,,,,,,,Mid-Range,16-24 Left Center,,,,Siakam,P. Siakam,,,,,,,,,1.0,,,,,George,202331.0,,
342,PT10M28.00S,2024-12-14T01:26:02.6Z,3,REGULAR,steal,,[],202331,,,1610612755,50,65,2024-12-14T01:26:05Z,3400000,False,,,0,,P. George STEAL (2 STL),[202331],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Left Center,,,,George,P. George,,,,,,,,,,,,,,,,,
345,PT10M20.00S,2024-12-14T01:26:11.8Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,85.3318002628121,99.01960784313725,1610612755,53,65,2024-12-14T01:26:15Z,3410000,False,245.0,85.0,1,right,T. Maxey 25' 3PT  (15 PTS) (P. George 2 AST),"[1630178, 202331]",1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,25.96,Made,15.0,Maxey,T. Maxey,P. George,202331.0,2.0,,,,,,,,,,,,,,
