actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
169,PT12M00.00S,2022-10-20T00:10:21.4Z,2,REGULAR,substitution,in,['startperiod'],1630528,,,1610612737,26,20,2022-10-20T00:10:43Z,1690000,,,0,,SUB in: J. Christopher,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2022-10-20T00:10:56.1Z,2,REGULAR,period,start,[],0,,,1610612745,26,20,2022-10-20T00:10:56Z,1700000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M38.00S,2022-10-20T00:11:17.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,5.338370565045992,48.77450980392157,1610612745,26,22,2022-10-20T00:11:23Z,1710000,6.0,-2.0,1,left,A. Sengun Layup (4 PTS) (E. Gordon 1 AST),"[1630578, 201569]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.65,Made,4.0,,,,,,,E. Gordon,201569.0,1.0,,,,,,,,
173,PT11M22.00S,2022-10-20T00:11:36.0Z,2,REGULAR,foul,personal,[],201569,,,1610612737,26,22,2022-10-20T00:11:42Z,1730000,,,0,,E. Gordon personal FOUL (2 PF),"[201569, 1628988]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1628168.0,2.0,0.0,Holiday,1628988.0,,,
175,PT11M16.00S,2022-10-20T00:11:59.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,92.85479632063075,49.754901960784316,1610612737,28,22,2022-10-20T00:12:07Z,1750000,-1.0,15.0,1,right,O. Okongwu Layup (5 PTS) (D. Murray 2 AST),"[1630168, 1627749]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,1.47,Made,5.0,,,,,,,D. Murray,1627749.0,2.0,,,,,,,,
177,PT11M01.00S,2022-10-20T00:12:14.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1631106,5.206964520367937,49.50980392156863,1610612745,28,24,2022-10-20T00:12:23Z,1770000,2.0,-4.0,1,left,T. Eason cutting DUNK (2 PTS) (E. Gordon 2 AST),"[1631106, 201569]",1610612745.0,HOU,cutting,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,0.44,Made,2.0,,,,,,,E. Gordon,201569.0,2.0,,,,,,,,
179,PT10M47.00S,2022-10-20T00:12:28.3Z,2,REGULAR,3pt,Jump Shot,[],203200,96.5341655716163,4.166666666666666,1610612737,28,24,2022-10-20T00:12:33Z,1790000,-229.0,-20.0,1,right,MISS J. Holiday 3PT,[203200],1610612737.0,ATL,,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,23.01,Missed,,,,,,,,,,,,,,,,,,
180,PT10M44.00S,2022-10-20T00:12:31.3Z,2,REGULAR,rebound,defensive,[],1630528,,,1610612745,28,24,2022-10-20T00:12:33Z,1800000,,,0,,J. Christopher REBOUND (Off:0 Def:1),[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,Left Corner 3,24+ Left,,,,179.0,1.0,1.0,0.0,,,,,,,,,,,,,
181,PT10M40.00S,2022-10-20T00:12:35.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631106,6.258212877792378,49.50980392156863,1610612745,28,26,2022-10-20T00:12:42Z,1810000,2.0,6.0,1,left,T. Eason running DUNK (4 PTS) (J. Christopher 1 AST),"[1631106, 1630528]",1610612745.0,HOU,running,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,0.68,Made,4.0,,,,,,,J. Christopher,1630528.0,1.0,,,,,,,,
184,PT10M31.00S,2022-10-20T00:12:51.4Z,2,REGULAR,substitution,out,[],1630552,,,1610612737,28,26,2022-10-20T00:12:55Z,1840000,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT10M31.00S,2022-10-20T00:12:51.4Z,2,REGULAR,substitution,in,[],1628381,,,1610612737,28,26,2022-10-20T00:12:55Z,1850000,,,0,,SUB in: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT10M22.00S,2022-10-20T00:13:15.7Z,2,REGULAR,3pt,Jump Shot,[],203200,86.94152431011827,96.56862745098039,1610612737,28,26,2022-10-20T00:13:22Z,1860000,233.0,70.0,1,right,MISS J. Holiday 24' 3PT,[203200],1610612737.0,ATL,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,24.32,Missed,,,,,,,,,,,,,,,,,,
187,PT10M20.00S,2022-10-20T00:13:17.7Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,28,26,2022-10-20T00:13:22Z,1870000,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Right Corner 3,24+ Right,,,,186.0,3.0,2.0,1.0,,,,,,,,,,,,,
188,PT10M09.00S,2022-10-20T00:13:29.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,6.258212877792378,60.5392156862745,1610612745,28,26,2022-10-20T00:13:38Z,1880000,-53.0,6.0,1,left,MISS A. Sengun floating Shot,[1630578],1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.31,Missed,,,,,,,,,,,,,,,,,,
189,PT10M06.00S,2022-10-20T00:13:32.2Z,2,REGULAR,rebound,defensive,[],1630168,,,1610612737,28,26,2022-10-20T00:13:38Z,1890000,,,0,,O. Okongwu REBOUND (Off:0 Def:6),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,188.0,6.0,6.0,0.0,,,,,,,,,,,,,
190,PT10M01.00S,2022-10-20T00:13:36.9Z,2,REGULAR,2pt,Jump Shot,[],1627749,90.62089356110381,19.11764705882353,1610612737,28,26,2022-10-20T00:13:44Z,1900000,-154.0,36.0,1,right,MISS D. Murray 15' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,15.85,Missed,,,,,,,,,,,,,,,,,,
191,PT09M58.00S,2022-10-20T00:13:39.9Z,2,REGULAR,rebound,defensive,[],1631106,,,1610612745,28,26,2022-10-20T00:13:44Z,1910000,,,0,,T. Eason REBOUND (Off:0 Def:3),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Mid-Range,8-16 Left,,,,190.0,3.0,3.0,0.0,,,,,,,,,,,,,
192,PT09M46.00S,2022-10-20T00:13:52.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201569,5.863994743758213,52.69607843137255,1610612745,28,28,2022-10-20T00:14:02Z,1920000,-13.0,3.0,1,left,E. Gordon driving Layup (5 PTS),[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,1.37,Made,5.0,,,,,,,,,,,,,,,,,
193,PT09M32.00S,2022-10-20T00:14:06.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,92.32917214191852,64.2156862745098,1610612737,30,28,2022-10-20T00:14:11Z,1930000,71.0,20.0,1,right,J. Collins 7' turnaround Jump Shot (4 PTS) (D. Murray 3 AST),"[1628381, 1627749]",1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,7.38,Made,4.0,,,,,,,D. Murray,1627749.0,3.0,,,,,,,,
195,PT09M16.00S,2022-10-20T00:14:22.0Z,2,REGULAR,turnover,bad pass,[],1630578,,,1610612745,30,28,2022-10-20T00:26:53Z,1950000,,,0,,A. Sengun bad pass TURNOVER (2 TO),"[1630578, 1627749]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,2.0,Murray,1627749.0
196,PT09M16.00S,2022-10-20T00:14:22.0Z,2,REGULAR,steal,,[],1627749,,,1610612737,30,28,2022-10-20T00:14:31Z,1960000,,,0,,D. Murray STEAL (2 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
197,PT09M12.00S,2022-10-20T00:14:25.8Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627749,92.85479632063075,50.245098039215684,1610612737,32,28,2022-10-20T00:14:40Z,1970000,1.0,15.0,1,right,D. Murray running DUNK (6 PTS) (A. Holiday 1 AST),"[1627749, 1628988]",1610612737.0,ATL,running,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,1.47,Made,6.0,,,,,,,A. Holiday,1628988.0,1.0,,,,,,,,
199,PT08M58.00S,2022-10-20T00:14:45.8Z,2,REGULAR,foul,personal,[],1630168,,,1610612745,32,28,2022-10-20T00:14:53Z,1990000,,,0,,O. Okongwu personal FOUL (2 PF),"[1630168, 1630578]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,2530.0,2.0,0.0,Sengun,1630578.0,,,
201,PT08M58.00S,2022-10-20T00:14:53.3Z,2,REGULAR,substitution,out,[],1631106,,,1610612745,32,28,2022-10-20T00:14:55Z,2010000,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M58.00S,2022-10-20T00:14:53.3Z,2,REGULAR,substitution,in,[],1631095,,,1610612745,32,28,2022-10-20T00:14:55Z,2020000,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M52.00S,2022-10-20T00:15:09.7Z,2,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612745,32,28,2022-10-20T00:15:36Z,2030000,,,0,,J. Collins shooting personal FOUL (1 PF) (Smith Jr. 2 FT),"[1628381, 1631095]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,202049.0,1.0,0.0,Smith Jr.,1631095.0,,,
205,PT08M52.00S,2022-10-20T00:15:42.9Z,2,REGULAR,freethrow,1 of 2,[],1631095,,,1610612745,32,29,2022-10-20T00:15:43Z,2050000,,,0,,J. Smith Jr. Free Throw 1 of 2 (1 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
206,PT08M52.00S,2022-10-20T00:15:59.0Z,2,REGULAR,freethrow,2 of 2,[],1631095,,,1610612745,32,30,2022-10-20T00:15:59Z,2060000,,,0,,J. Smith Jr. Free Throw 2 of 2 (2 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
207,PT08M41.00S,2022-10-20T00:16:10.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,89.56964520367937,59.31372549019608,1610612737,34,30,2022-10-20T00:16:21Z,2070000,47.0,46.0,1,right,J. Collins 6' driving Layup (6 PTS) (D. Murray 4 AST),"[1628381, 1627749]",1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,6.51,Made,6.0,,,,,,,D. Murray,1627749.0,4.0,,,,,,,,
209,PT08M29.00S,2022-10-20T00:16:23.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630528,5.469776609724048,50.98039215686274,1610612745,34,32,2022-10-20T00:16:31Z,2090000,-5.0,-1.0,1,left,J. Christopher driving DUNK (2 PTS),[1630528],1610612745.0,HOU,driving,,,Christopher,J. Christopher,,,,,Restricted Area,0-8 Center,0.5,Made,2.0,,,,,,,,,,,,,,,,,
210,PT08M14.00S,2022-10-20T00:16:36.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,92.85479632063075,53.431372549019606,1610612737,36,32,2022-10-20T00:18:52Z,2100000,17.0,15.0,1,right,O. Okongwu cutting Layup (7 PTS) (D. Murray 5 AST),"[1630168, 1627749]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2.26,Made,7.0,,,,,,,D. Murray,1627749.0,5.0,,,,,,,,
212,PT08M06.00S,2022-10-20T00:16:45.2Z,2,REGULAR,3pt,Jump Shot,[],1631095,32.53942181340342,54.65686274509803,1610612745,36,35,2022-10-20T00:16:52Z,2120000,-23.0,253.0,1,left,J. Smith Jr. 25' 3PT pullup (5 PTS) (G. Mathews 1 AST),"[1631095, 1629726]",1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,25.45,Made,5.0,,,,,,,G. Mathews,1629726.0,1.0,,,,,,,,
214,PT07M44.00S,2022-10-20T00:17:06.8Z,2,REGULAR,2pt,Jump Shot,[],1630168,76.16622864651774,55.63725490196079,1610612737,36,35,2022-10-20T00:17:19Z,2140000,28.0,172.0,1,right,MISS O. Okongwu 17' Jump Shot,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,16-24 Center,17.38,Missed,,,,,,,,,,,,,,,,,,
215,PT07M41.00S,2022-10-20T00:17:09.8Z,2,REGULAR,rebound,defensive,[],1630528,,,1610612745,36,35,2022-10-20T00:17:19Z,2150000,,,0,,J. Christopher REBOUND (Off:0 Def:2),[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,Mid-Range,16-24 Center,,,,214.0,2.0,2.0,0.0,,,,,,,,,,,,,
216,PT07M37.00S,2022-10-20T00:17:14.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630528,28.86005256241787,75.24509803921569,1610612745,36,35,2022-10-20T00:17:30Z,2160000,-126.0,219.0,1,left,MISS J. Christopher 25' running 3PT,[1630528],1610612745.0,HOU,running,,,Christopher,J. Christopher,,,,,Above the Break 3,24+ Left Center,25.26,Missed,,,,,,,,,,,,,,,,,,
217,PT07M34.00S,2022-10-20T00:17:17.0Z,2,REGULAR,rebound,offensive,[],1631095,,,1610612745,36,35,2022-10-20T00:17:17Z,2170000,,,0,,J. Smith Jr. REBOUND (Off:1 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,216.0,2.0,1.0,1.0,,,,,,,,,,,,,
218,PT07M33.00S,2022-10-20T00:17:18.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631095,5.863994743758213,49.01960784313725,1610612745,36,37,2022-10-20T00:17:35Z,2180000,5.0,3.0,1,left,J. Smith Jr. putback Layup (7 PTS),[1631095],1610612745.0,HOU,putback,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,0.55,Made,7.0,,,,,,,,,,,,,,,,,
219,PT07M27.00S,2022-10-20T00:17:28.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,36,37,2022-10-20T00:17:28Z,2190000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT07M27.00S,2022-10-20T00:20:09.1Z,2,REGULAR,substitution,out,[],1628988,,,1610612737,36,37,2022-10-20T00:20:22Z,2200000,,,0,,SUB out: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M27.00S,2022-10-20T00:20:09.1Z,2,REGULAR,substitution,out,[],203200,,,1610612737,36,37,2022-10-20T00:20:22Z,2210000,,,0,,SUB out: J. Holiday,[203200],1610612737.0,ATL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M27.00S,2022-10-20T00:20:09.1Z,2,REGULAR,substitution,out,[],201569,,,1610612737,36,37,2022-10-20T00:20:22Z,2220000,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M27.00S,2022-10-20T00:20:09.1Z,2,REGULAR,substitution,out,[],1629726,,,1610612737,36,37,2022-10-20T00:20:22Z,2230000,,,0,,SUB out: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M27.00S,2022-10-20T00:20:09.1Z,2,REGULAR,substitution,in,[],1629027,,,1610612737,36,37,2022-10-20T00:20:22Z,2240000,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M27.00S,2022-10-20T00:20:09.1Z,2,REGULAR,substitution,in,[],1629631,,,1610612737,36,37,2022-10-20T00:20:22Z,2250000,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M27.00S,2022-10-20T00:20:09.1Z,2,REGULAR,substitution,in,[],1630224,,,1610612737,36,37,2022-10-20T00:20:22Z,2260000,,,0,,SUB in: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M27.00S,2022-10-20T00:20:09.1Z,2,REGULAR,substitution,in,[],1629645,,,1610612737,36,37,2022-10-20T00:20:22Z,2270000,,,0,,SUB in: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M19.00S,2022-10-20T00:20:37.4Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,87.59855453350855,48.03921568627451,1610612737,38,37,2022-10-20T00:20:45Z,2280000,-10.0,64.0,1,right,J. Collins 6' driving Hook (8 PTS),[1628381],1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,6.48,Made,8.0,,,,,,,,,,,,,,,,,
229,PT07M01.00S,2022-10-20T00:20:55.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,5.863994743758213,46.568627450980394,1610612745,38,39,2022-10-20T00:21:02Z,2290000,17.0,3.0,1,left,A. Sengun Layup (6 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.74,Made,6.0,,,,,,,,,,,,,,,,,
230,PT06M44.00S,2022-10-20T00:21:11.6Z,2,REGULAR,2pt,Jump Shot,[],1628381,93.11760840998686,75.49019607843137,1610612737,38,39,2022-10-20T00:21:19Z,2300000,127.0,12.0,1,right,MISS J. Collins 12' turnaround Shot,[1628381],1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,12.81,Missed,,,,,,,,,,,,,,,,,,
231,PT06M41.00S,2022-10-20T00:21:14.6Z,2,REGULAR,rebound,defensive,[],1630528,,,1610612745,38,39,2022-10-20T00:21:19Z,2310000,,,0,,J. Christopher REBOUND (Off:0 Def:3),[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,Mid-Range,8-16 Right,,,,230.0,3.0,3.0,0.0,,,,,,,,,,,,,
232,PT06M34.00S,2022-10-20T00:21:21.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,5.206964520367937,50.98039215686274,1610612745,38,39,2022-10-20T00:21:28Z,2320000,-5.0,-4.0,1,left,MISS J. Smith Jr. driving Layup,[1631095],1610612745.0,HOU,driving,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,0.61,Missed,,,,,,,,,,,,,,,,,,
233,PT06M31.00S,2022-10-20T00:21:24.5Z,2,REGULAR,rebound,offensive,[],1630578,,,1610612745,38,39,2022-10-20T00:21:28Z,2330000,,,0,,A. Sengun REBOUND (Off:2 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,232.0,4.0,2.0,2.0,,,,,,,,,,,,,
234,PT06M31.00S,2022-10-20T00:21:24.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,5.590000152587891,50.0,1610612745,38,39,2022-10-20T00:21:25Z,2340000,0.0,0.0,1,left,MISS A. Sengun tip Layup,[1630578],1610612745.0,HOU,tip,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
235,PT06M30.00S,2022-10-20T00:21:25.4Z,2,REGULAR,rebound,offensive,[],1630578,,,1610612745,38,39,2022-10-20T00:21:25Z,2350000,,,0,,A. Sengun REBOUND (Off:3 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,,,,234.0,5.0,2.0,3.0,,,,,,,,,,,,,
236,PT06M29.00S,2022-10-20T00:21:27.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630528,32.14520367936925,48.529411764705884,1610612745,38,39,2022-10-20T00:21:32Z,2360000,7.0,250.0,1,left,MISS J. Christopher 24' 3PT,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,Above the Break 3,24+ Center,24.98,Missed,,,,,,,,,,,,,,,,,,
237,PT06M25.00S,2022-10-20T00:21:31.2Z,2,REGULAR,rebound,defensive,[],1629631,,,1610612737,38,39,2022-10-20T00:21:32Z,2370000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,,,,236.0,1.0,1.0,0.0,,,,,,,,,,,,,
238,PT06M15.00S,2022-10-20T00:21:40.5Z,2,REGULAR,3pt,Jump Shot,[],1628381,75.3777923784494,12.254901960784313,1610612737,41,39,2022-10-20T00:21:45Z,2380000,-189.0,179.0,1,right,J. Collins 26' 3PT  (11 PTS) (T. Young 5 AST),"[1628381, 1629027]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,26.0,Made,11.0,,,,,,,T. Young,1629027.0,5.0,,,,,,,,
240,PT06M04.00S,2022-10-20T00:21:52.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,7.5722733245729295,47.05882352941176,1610612745,41,39,2022-10-20T00:21:59Z,2400000,15.0,19.0,1,left,MISS K. Porter Jr. driving Layup,[1629645],1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,,
241,PT06M00.00S,2022-10-20T00:21:55.3Z,2,REGULAR,rebound,defensive,[],1629027,,,1610612737,41,39,2022-10-20T00:21:55Z,2410000,,,0,,T. Young REBOUND (Off:0 Def:2),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,240.0,2.0,2.0,0.0,,,,,,,,,,,,,
242,PT05M59.00S,2022-10-20T00:21:57.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627749,93.11760840998686,50.245098039215684,1610612737,43,39,2022-10-20T00:22:29Z,2420000,1.0,12.0,1,right,D. Murray running Layup (8 PTS) (T. Young 6 AST),"[1627749, 1629027]",1610612737.0,ATL,running,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,1.23,Made,8.0,,,,,,,T. Young,1629027.0,6.0,,,,,,,,
244,PT05M59.00S,2022-10-20T00:22:14.8Z,2,REGULAR,foul,personal,['1freethrow'],1631095,,,1610612737,43,39,2022-10-20T00:22:40Z,2440000,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Murray 1 FT),"[1631095, 1627749]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2530.0,1.0,0.0,Murray,1627749.0,,,
246,PT05M59.00S,2022-10-20T00:22:22.5Z,2,REGULAR,substitution,out,[],1630168,,,1610612737,43,39,2022-10-20T00:22:52Z,2460000,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT05M59.00S,2022-10-20T00:22:22.5Z,2,REGULAR,substitution,out,[],1630528,,,1610612737,43,39,2022-10-20T00:22:52Z,2470000,,,0,,SUB out: J. Christopher,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT05M59.00S,2022-10-20T00:22:22.5Z,2,REGULAR,substitution,out,[],1630578,,,1610612737,43,39,2022-10-20T00:22:52Z,2480000,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT05M59.00S,2022-10-20T00:22:22.5Z,2,REGULAR,substitution,in,[],203991,,,1610612737,43,39,2022-10-20T00:22:52Z,2490000,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT05M59.00S,2022-10-20T00:22:22.5Z,2,REGULAR,substitution,in,[],1630231,,,1610612737,43,39,2022-10-20T00:22:52Z,2500000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M59.00S,2022-10-20T00:22:22.5Z,2,REGULAR,substitution,in,[],1628981,,,1610612737,43,39,2022-10-20T00:22:52Z,2510000,,,0,,SUB in: B. Fernando,[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT05M59.00S,2022-10-20T00:22:40.9Z,2,REGULAR,freethrow,1 of 1,[],1627749,,,1610612737,44,39,2022-10-20T00:22:40Z,2520000,,,0,,D. Murray Free Throw 1 of 1 (9 PTS),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
253,PT05M48.00S,2022-10-20T00:22:50.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630224,4.944152431011826,49.26470588235294,1610612745,44,39,2022-10-20T00:23:08Z,2530000,4.0,-6.0,1,left,MISS J. Green driving DUNK,[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.7,Missed,,,,,,,,,,,,,,,,,,
254,PT05M47.00S,2022-10-20T00:22:51.3Z,2,REGULAR,rebound,offensive,[],1628981,,,1610612745,44,39,2022-10-20T00:23:08Z,2540000,,,0,,B. Fernando REBOUND (Off:1 Def:2),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,,,,253.0,3.0,2.0,1.0,,,,,,,,,,,,,
