actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
178,PT00M06.20S,2023-01-19T01:38:52.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630174,22.815374507227332,6.372549019607843,1610612754,35,20,2023-01-19T01:38:59Z,1770000,False,218.0,162.0,1,left,MISS A. Nesmith 27' 3PT,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,Above the Break 3,24+ Right Center,27.17,Missed,,,,,,,,,,,,,,,,,
179,PT00M02.50S,2023-01-19T01:38:56.0Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,35,20,2023-01-19T01:38:56Z,1780000,False,,,0,,K. Williams REBOUND (Off:1 Def:1),[1629026],1610612760.0,OKC,,Williams,K. Williams,,Above the Break 3,24+ Right Center,,,,,,,178.0,2.0,1.0,1.0,,,,,,,,,
180,PT00M00.20S,2023-01-19T01:39:00.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630543,,,1610612760,35,20,2023-01-19T01:39:17Z,1790000,False,,,0,,I. Jackson shooting personal FOUL (2 PF) (Bazley 2 FT),"[1630543, 1629647]",1610612754.0,IND,203591.0,Jackson,I. Jackson,shooting,Restricted Area,0-8 Center,,,,,,,,,,,2.0,0.0,Bazley,1629647.0,,,,,
182,PT00M00.20S,2023-01-19T01:39:25.0Z,1,REGULAR,freethrow,1 of 2,[],1629647,,,1610612760,35,20,2023-01-19T01:39:25Z,1810000,False,,,0,,MISS D. Bazley Free Throw 1 of 2,[1629647],1610612760.0,OKC,,Bazley,D. Bazley,,,,,Missed,,,,,,,,,,,,,,,,,
183,PT00M00.20S,2023-01-19T01:39:25.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,35,20,2023-01-19T01:39:25Z,1820000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,182.0,,,,,,,,,,,,
184,PT00M00.20S,2023-01-19T01:39:46.1Z,1,REGULAR,freethrow,2 of 2,[],1629647,,,1610612760,36,20,2023-01-19T01:39:46Z,1830000,False,,,0,,D. Bazley Free Throw 2 of 2 (1 PTS),[1629647],1610612760.0,OKC,,Bazley,D. Bazley,,,,,Made,1.0,,,,,,,,,,,,,,,,
185,PT00M00.00S,2023-01-19T01:39:54.2Z,1,REGULAR,period,end,[],0,,,1610612754,36,20,2023-01-19T01:39:54Z,1840000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2023-01-19T01:39:56.8Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612754,36,20,2023-01-19T01:42:25Z,1850000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2023-01-19T01:39:56.8Z,2,REGULAR,substitution,out,['startperiod'],1629026,,,1610612754,36,20,2023-01-19T01:42:25Z,1860000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2023-01-19T01:39:56.8Z,2,REGULAR,substitution,out,['startperiod'],1630543,,,1610612754,36,20,2023-01-19T01:42:25Z,1870000,False,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2023-01-19T01:39:56.8Z,2,REGULAR,substitution,out,['startperiod'],1630174,,,1610612754,36,20,2023-01-19T01:42:25Z,1880000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2023-01-19T01:39:56.8Z,2,REGULAR,substitution,in,['startperiod'],1630544,,,1610612754,36,20,2023-01-19T01:42:25Z,1890000,False,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2023-01-19T01:39:56.8Z,2,REGULAR,substitution,in,['startperiod'],1630581,,,1610612754,36,20,2023-01-19T01:42:25Z,1900000,False,,,0,,SUB in: J. Giddey,[1630581],1610612760.0,OKC,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,
192,PT12M00.00S,2023-01-19T01:39:56.8Z,2,REGULAR,substitution,in,['startperiod'],1630678,,,1610612754,36,20,2023-01-19T01:42:25Z,1910000,False,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,
193,PT12M00.00S,2023-01-19T01:39:56.8Z,2,REGULAR,substitution,in,['startperiod'],1631097,,,1610612754,36,20,2023-01-19T01:42:25Z,1920000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,
194,PT12M00.00S,2023-01-19T01:42:29.2Z,2,REGULAR,period,start,[],0,,,1610612754,36,20,2023-01-19T01:42:29Z,1930000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT11M40.00S,2023-01-19T01:42:48.5Z,2,REGULAR,3pt,Jump Shot,[],1631097,6.783837056504599,96.56862745098039,1610612754,36,23,2023-01-19T01:42:52Z,1940000,False,-233.0,11.0,1,left,B. Mathurin 3PT  (3 PTS) (T. McConnell 2 AST),"[1631097, 204456]",1610612754.0,IND,,Mathurin,B. Mathurin,,Left Corner 3,24+ Left,23.31,Made,3.0,T. McConnell,204456.0,2.0,,,,,,,,,,,,,
198,PT11M21.00S,2023-01-19T01:43:07.6Z,2,REGULAR,turnover,bad pass,[],1630544,,,1610612760,36,23,2023-01-19T01:43:22Z,1960000,False,,,0,,T. Mann bad pass TURNOVER (1 TO),"[1630544, 1630243]",1610612760.0,OKC,,Mann,T. Mann,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,1.0,Queen,1630243.0,,
199,PT11M21.00S,2023-01-19T01:43:07.6Z,2,REGULAR,steal,,[],1630243,,,1610612754,36,23,2023-01-19T01:43:09Z,1970000,False,,,0,,T. Queen STEAL (1 STL),[1630243],1610612754.0,IND,,Queen,T. Queen,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
200,PT11M08.00S,2023-01-19T01:43:19.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631097,28.203022339027594,79.16666666666666,1610612754,36,23,2023-01-19T01:43:24Z,1980000,False,-146.0,213.0,1,left,MISS B. Mathurin 25' 3PT,[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,Above the Break 3,24+ Left Center,25.78,Missed,,,,,,,,,,,,,,,,,
201,PT11M06.00S,2023-01-19T01:43:21.8Z,2,REGULAR,rebound,defensive,[],1630544,,,1610612760,36,23,2023-01-19T01:47:07Z,1990000,False,,,0,,T. Mann REBOUND (Off:1 Def:1),[1630544],1610612760.0,OKC,,Mann,T. Mann,,Above the Break 3,24+ Left Center,,,,,,,200.0,2.0,1.0,1.0,,,,,,,,,
202,PT11M00.00S,2023-01-19T01:43:27.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,90.62089356110381,44.6078431372549,1610612760,36,23,2023-01-19T01:43:37Z,2000000,False,-27.0,36.0,1,right,MISS D. Bazley driving Layup - blocked,"[1629647, 1630243]",1610612760.0,OKC,,Bazley,D. Bazley,driving,In The Paint (Non-RA),0-8 Center,4.48,Missed,,,,,,,,,,,,,,,,Queen,1630243.0
203,PT11M00.00S,2023-01-19T01:43:27.8Z,2,REGULAR,block,,[],1630243,,,1610612760,36,23,2023-01-19T01:43:29Z,2010000,False,,,0,,T. Queen BLOCK (1 BLK),[1630243],1610612754.0,IND,,Queen,T. Queen,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
204,PT11M00.00S,2023-01-19T01:43:27.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612754,36,23,2023-01-19T01:43:37Z,2020000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202.0,,,,,,,,,,,,
206,PT10M49.00S,2023-01-19T01:43:49.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,10.988830486202366,65.19607843137256,1610612754,36,23,2023-01-19T01:44:00Z,2040000,False,-76.0,51.0,1,left,MISS T. McConnell 9' turnaround fadeaway Shot,[204456],1610612754.0,IND,,McConnell,T. McConnell,turnaround fadeaway,In The Paint (Non-RA),8-16 Left,9.14,Missed,,,,,,,,,,,,,,,,,
207,PT10M45.00S,2023-01-19T01:43:53.4Z,2,REGULAR,rebound,defensive,[],203488,,,1610612760,36,23,2023-01-19T01:43:54Z,2050000,False,,,0,,M. Muscala REBOUND (Off:0 Def:2),[203488],1610612760.0,OKC,,Muscala,M. Muscala,,In The Paint (Non-RA),8-16 Left,,,,,,,206.0,2.0,2.0,0.0,,,,,,,,,
209,PT10M31.00S,2023-01-19T01:44:12.4Z,2,REGULAR,substitution,out,[],204456,,,1610612760,36,23,2023-01-19T01:44:22Z,2070000,False,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,
210,PT10M31.00S,2023-01-19T01:44:12.4Z,2,REGULAR,substitution,in,[],1629614,,,1610612760,36,23,2023-01-19T01:44:22Z,2080000,False,,,0,,SUB in: A. Nembhard,[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,
211,PT10M22.00S,2023-01-19T01:44:36.0Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612760,36,23,2023-01-19T01:44:41Z,2090000,False,,,0,,OKC shot clock Team TURNOVER,[],1610612760.0,OKC,1627519.0,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
212,PT10M09.00S,2023-01-19T01:44:57.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629614,5.469776609724048,34.31372549019608,1610612754,36,25,2023-01-19T01:45:03Z,2100000,False,78.0,-1.0,1,left,A. Nembhard 7' Layup (2 PTS),[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,In The Paint (Non-RA),0-8 Center,7.84,Made,2.0,,,,,,,,,,,,,,,,
213,PT09M55.00S,2023-01-19T01:45:10.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,83.65637319316689,62.745098039215684,1610612760,36,25,2023-01-19T01:45:17Z,2110000,False,64.0,101.0,1,right,MISS T. Mann 11' floating Shot,[1630544],1610612760.0,OKC,,Mann,T. Mann,floating,In The Paint (Non-RA),8-16 Right,11.95,Missed,,,,,,,,,,,,,,,,,
214,PT09M51.00S,2023-01-19T01:45:14.7Z,2,REGULAR,rebound,defensive,[],1630678,,,1610612754,36,25,2023-01-19T01:45:17Z,2120000,False,,,0,,T. Taylor REBOUND (Off:0 Def:1),[1630678],1610612754.0,IND,,Taylor,T. Taylor,,In The Paint (Non-RA),8-16 Right,,,,,,,213.0,1.0,1.0,0.0,,,,,,,,,
215,PT09M46.00S,2023-01-19T01:45:23.4Z,2,REGULAR,turnover,out-of-bounds,[],1630243,,,1610612754,36,25,2023-01-19T01:45:30Z,2130000,False,,,0,,T. Queen step out-of-bounds TURNOVER (1 TO),[1630243],1610612754.0,IND,203591.0,Queen,T. Queen,step,Left Corner 3,24+ Left,,,,,,,,,,,,,,,1.0,,,,
216,PT09M28.00S,2023-01-19T01:45:48.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630598,94.30026281208936,3.1862745098039214,1610612760,36,25,2023-01-19T01:45:52Z,2140000,False,-234.0,1.0,1,right,MISS A. Wiggins 3PT,[1630598],1610612760.0,OKC,,Wiggins,A. Wiggins,,Left Corner 3,24+ Left,23.41,Missed,,,,,,,,,,,,,,,,,
217,PT09M25.00S,2023-01-19T01:45:51.1Z,2,REGULAR,rebound,defensive,[],1630243,,,1610612754,36,25,2023-01-19T01:45:52Z,2150000,False,,,0,,T. Queen REBOUND (Off:1 Def:1),[1630243],1610612754.0,IND,,Queen,T. Queen,,Left Corner 3,24+ Left,,,,,,,216.0,2.0,1.0,1.0,,,,,,,,,
218,PT09M11.00S,2023-01-19T01:46:05.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,10.33180026281209,45.83333333333333,1610612754,36,25,2023-01-19T01:46:08Z,2160000,False,21.0,45.0,1,left,MISS B. Mathurin Layup,[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,In The Paint (Non-RA),0-8 Center,4.92,Missed,,,,,,,,,,,,,,,,,
219,PT09M09.00S,2023-01-19T01:46:07.3Z,2,REGULAR,rebound,defensive,[],1630581,,,1610612760,36,25,2023-01-19T01:46:07Z,2170000,False,,,0,,J. Giddey REBOUND (Off:1 Def:1),[1630581],1610612760.0,OKC,,Giddey,J. Giddey,,In The Paint (Non-RA),0-8 Center,,,,,,,218.0,2.0,1.0,1.0,,,,,,,,,
220,PT09M03.00S,2023-01-19T01:46:16.0Z,2,REGULAR,turnover,traveling,[],1629647,,,1610612760,36,25,2023-01-19T01:46:21Z,2180000,False,,,0,,D. Bazley traveling TURNOVER (1 TO),[1629647],1610612760.0,OKC,201639.0,Bazley,D. Bazley,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,1.0,,,,
221,PT08M42.00S,2023-01-19T01:46:46.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629614,9.017739816031538,74.26470588235294,1610612754,36,27,2023-01-19T01:46:52Z,2190000,False,-121.0,32.0,1,left,A. Nembhard 12' pullup bank Jump Shot (4 PTS),[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,pullup bank,Mid-Range,8-16 Left,12.55,Made,4.0,,,,,,,,,,,,,,,,
222,PT08M40.00S,2023-01-19T01:46:52.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,36,27,2023-01-19T01:46:52Z,2200000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M40.00S,2023-01-19T01:49:06.3Z,2,REGULAR,substitution,out,[],1629647,,,1610612760,36,27,2023-01-19T01:49:22Z,2210000,False,,,0,,SUB out: D. Bazley,[1629647],1610612760.0,OKC,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,
224,PT08M40.00S,2023-01-19T01:49:06.3Z,2,REGULAR,substitution,in,[],1629652,,,1610612760,36,27,2023-01-19T01:49:22Z,2220000,False,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,
225,PT08M26.00S,2023-01-19T01:49:53.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203488,79.71419185282524,51.9607843137255,1610612760,36,27,2023-01-19T01:50:00Z,2230000,False,10.0,138.0,1,right,MISS M. Muscala 13' fadeaway Shot,[203488],1610612760.0,OKC,,Muscala,M. Muscala,fadeaway,In The Paint (Non-RA),8-16 Center,13.85,Missed,,,,,,,,,,,,,,,,,
226,PT08M23.00S,2023-01-19T01:49:56.8Z,2,REGULAR,rebound,defensive,[],1630243,,,1610612754,36,27,2023-01-19T01:50:00Z,2240000,False,,,0,,T. Queen REBOUND (Off:1 Def:2),[1630243],1610612754.0,IND,,Queen,T. Queen,,In The Paint (Non-RA),8-16 Center,,,,,,,225.0,3.0,2.0,1.0,,,,,,,,,
227,PT08M21.00S,2023-01-19T01:50:01.8Z,2,REGULAR,foul,offensive,[],1630678,,,1610612754,36,27,2023-01-19T01:50:08Z,2250000,False,,,0,,T. Taylor offensive FOUL (1 PF),"[1630678, 1630598]",1610612754.0,IND,203591.0,Taylor,T. Taylor,,Mid-Range,16-24 Right Center,,,,,,,,,,,1.0,0.0,Wiggins,1630598.0,,,,,
229,PT08M21.00S,2023-01-19T01:50:01.8Z,2,REGULAR,turnover,offensive foul,[],1630678,,,1610612754,36,27,2023-01-19T01:50:01Z,2270000,False,,,0,,T. Taylor offensive foul TURNOVER (1 TO),[1630678],1610612754.0,IND,203591.0,Taylor,T. Taylor,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,1.0,,,,
230,PT08M09.00S,2023-01-19T01:50:23.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630598,75.50919842312747,10.784313725490197,1610612760,36,27,2023-01-19T01:50:29Z,2280000,False,-196.0,178.0,1,right,MISS A. Wiggins 26' 3PT,[1630598],1610612760.0,OKC,,Wiggins,A. Wiggins,,Above the Break 3,24+ Left Center,26.46,Missed,,,,,,,,,,,,,,,,,
231,PT08M07.00S,2023-01-19T01:50:25.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612760,36,27,2023-01-19T01:50:29Z,2290000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,Above the Break 3,24+ Left Center,,,,,,,230.0,,,,,,,,,,,,
233,PT08M07.00S,2023-01-19T01:50:34.9Z,2,REGULAR,foul,technical,"['team', '1freethrow']",0,,,1610612760,36,27,2023-01-19T01:50:47Z,2310000,False,,,0,,TEAM foul technical,[],1610612754.0,IND,1627519.0,,,bench,,,,,,,,,,,,,,,,,,,,,
234,PT08M07.00S,2023-01-19T01:50:52.7Z,2,REGULAR,freethrow,1 of 1,[],203488,,,1610612760,36,27,2023-01-19T01:50:52Z,2320000,False,,,0,,MISS M. Muscala technical Free Throw 1 of 1,[203488],1610612760.0,OKC,,Muscala,M. Muscala,technical,,,,Missed,,,,,,,,,,,,,,,,,
235,PT08M07.00S,2023-01-19T01:50:52.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,36,27,2023-01-19T01:50:52Z,2330000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,234.0,,,,,,,,,,,,
236,PT07M56.00S,2023-01-19T01:51:16.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630598,92.85479632063075,45.34313725490196,1610612760,38,27,2023-01-19T01:51:20Z,2340000,False,-23.0,15.0,1,right,A. Wiggins driving Layup (2 PTS) (J. Giddey 4 AST),"[1630598, 1630581]",1610612760.0,OKC,,Wiggins,A. Wiggins,driving,Restricted Area,0-8 Center,2.75,Made,2.0,J. Giddey,1630581.0,4.0,,,,,,,,,,,,,
238,PT07M44.00S,2023-01-19T01:51:28.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629052,10.463206307490145,41.17647058823529,1610612754,38,27,2023-01-19T01:51:32Z,2360000,False,44.0,46.0,1,left,MISS O. Brissett 6' driving Layup,[1629052],1610612754.0,IND,,Brissett,O. Brissett,driving,In The Paint (Non-RA),0-8 Center,6.37,Missed,,,,,,,,,,,,,,,,,
239,PT07M42.00S,2023-01-19T01:51:30.0Z,2,REGULAR,rebound,defensive,[],1630581,,,1610612760,38,27,2023-01-19T01:51:32Z,2370000,False,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612760.0,OKC,,Giddey,J. Giddey,,In The Paint (Non-RA),0-8 Center,,,,,,,238.0,3.0,2.0,1.0,,,,,,,,,
240,PT07M38.00S,2023-01-19T01:51:41.5Z,2,REGULAR,foul,personal,[],1629614,,,1610612760,38,27,2023-01-19T01:51:48Z,2380000,False,,,0,,A. Nembhard personal FOUL (2 PF),"[1629614, 1629652]",1610612754.0,IND,203591.0,Nembhard,A. Nembhard,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,0.0,Dort,1629652.0,,,,,
242,PT07M38.00S,2023-01-19T01:51:47.9Z,2,REGULAR,substitution,out,[],1630678,,,1610612760,38,27,2023-01-19T01:51:57Z,2400000,False,,,0,,SUB out: T. Taylor,[1630678],1610612754.0,IND,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,
243,PT07M38.00S,2023-01-19T01:51:47.9Z,2,REGULAR,substitution,in,[],1626167,,,1610612760,38,27,2023-01-19T01:51:57Z,2410000,False,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,
244,PT07M30.00S,2023-01-19T01:52:09.9Z,2,REGULAR,3pt,Jump Shot,[],203488,65.39093298291722,40.931372549019606,1610612760,38,27,2023-01-19T01:52:14Z,2420000,False,-45.0,273.0,1,right,MISS M. Muscala 27' 3PT,[203488],1610612760.0,OKC,,Muscala,M. Muscala,,Above the Break 3,24+ Center,27.65,Missed,,,,,,,,,,,,,,,,,
245,PT07M27.00S,2023-01-19T01:52:12.9Z,2,REGULAR,rebound,defensive,[],1630243,,,1610612754,38,27,2023-01-19T01:52:14Z,2430000,False,,,0,,T. Queen REBOUND (Off:1 Def:3),[1630243],1610612754.0,IND,,Queen,T. Queen,,Above the Break 3,24+ Center,,,,,,,244.0,4.0,3.0,1.0,,,,,,,,,
246,PT07M21.00S,2023-01-19T01:52:18.9Z,2,REGULAR,3pt,Jump Shot,[],1629052,32.40801576872536,68.87254901960785,1610612754,38,30,2023-01-19T01:52:23Z,2440000,False,-94.0,252.0,1,left,O. Brissett 26' 3PT  (5 PTS) (A. Nembhard 1 AST),"[1629052, 1629614]",1610612754.0,IND,,Brissett,O. Brissett,,Above the Break 3,24+ Left Center,26.92,Made,5.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,
248,PT07M06.00S,2023-01-19T01:52:36.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,89.70105124835742,53.431372549019606,1610612760,38,30,2023-01-19T01:52:42Z,2460000,False,17.0,44.0,1,right,MISS A. Wiggins driving Layup - blocked,"[1630598, 1630243]",1610612760.0,OKC,,Wiggins,A. Wiggins,driving,In The Paint (Non-RA),0-8 Center,4.75,Missed,,,,,,,,,,,,,,,,Queen,1630243.0
249,PT07M06.00S,2023-01-19T01:52:36.2Z,2,REGULAR,block,,[],1630243,,,1610612760,38,30,2023-01-19T01:52:39Z,2470000,False,,,0,,T. Queen BLOCK (2 BLK),[1630243],1610612754.0,IND,,Queen,T. Queen,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
250,PT07M06.00S,2023-01-19T01:52:36.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612760,38,30,2023-01-19T01:52:42Z,2480000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,248.0,,,,,,,,,,,,
252,PT07M06.00S,2023-01-19T01:52:42.1Z,2,REGULAR,substitution,out,[],1630243,,,1610612760,38,30,2023-01-19T01:52:46Z,2500000,False,,,0,,SUB out: T. Queen,[1630243],1610612754.0,IND,,Queen,T. Queen,,,,,,,,,,,,,,,,,,,,,,
253,PT07M06.00S,2023-01-19T01:52:42.1Z,2,REGULAR,substitution,in,[],204456,,,1610612760,38,30,2023-01-19T01:52:46Z,2510000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,
254,PT07M01.00S,2023-01-19T01:52:58.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630581,93.77463863337714,55.88235294117647,1610612760,40,30,2023-01-19T01:53:02Z,2520000,False,29.0,6.0,1,right,J. Giddey Layup (6 PTS) (A. Wiggins 2 AST),"[1630581, 1630598]",1610612760.0,OKC,,Giddey,J. Giddey,,Restricted Area,0-8 Center,3.0,Made,6.0,A. Wiggins,1630598.0,2.0,,,,,,,,,,,,,
256,PT06M51.00S,2023-01-19T01:53:08.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,20.05584756898817,36.029411764705884,1610612754,40,32,2023-01-19T01:53:12Z,2540000,False,70.0,136.0,1,left,A. Nembhard 15' pullup Jump Shot (6 PTS),[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,pullup,In The Paint (Non-RA),8-16 Center,15.29,Made,6.0,,,,,,,,,,,,,,,,
257,PT06M33.00S,2023-01-19T01:53:25.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,84.05059132720105,55.63725490196079,1610612760,40,32,2023-01-19T01:53:30Z,2550000,False,28.0,97.0,1,right,MISS L. Dort 10' pullup Shot,[1629652],1610612760.0,OKC,,Dort,L. Dort,pullup,In The Paint (Non-RA),8-16 Center,10.14,Missed,,,,,,,,,,,,,,,,,
258,PT06M31.00S,2023-01-19T01:53:27.8Z,2,REGULAR,rebound,defensive,[],1629052,,,1610612754,40,32,2023-01-19T01:53:30Z,2560000,False,,,0,,O. Brissett REBOUND (Off:2 Def:1),[1629052],1610612754.0,IND,,Brissett,O. Brissett,,In The Paint (Non-RA),8-16 Center,,,,,,,257.0,3.0,1.0,2.0,,,,,,,,,
259,PT06M15.00S,2023-01-19T01:53:44.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629052,12.302890932982917,39.21568627450981,1610612754,40,32,2023-01-19T01:53:48Z,2570000,False,54.0,63.0,1,left,MISS O. Brissett 8' driving Layup - blocked,"[1629052, 1630581]",1610612754.0,IND,,Brissett,O. Brissett,driving,In The Paint (Non-RA),8-16 Right,8.3,Missed,,,,,,,,,,,,,,,,Giddey,1630581.0
260,PT06M15.00S,2023-01-19T01:53:44.8Z,2,REGULAR,block,,[],1630581,,,1610612754,40,32,2023-01-19T01:53:46Z,2580000,False,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612760.0,OKC,,Giddey,J. Giddey,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,
261,PT06M12.00S,2023-01-19T01:53:47.8Z,2,REGULAR,rebound,offensive,[],1629052,,,1610612754,40,32,2023-01-19T01:53:48Z,2590000,False,,,0,,O. Brissett REBOUND (Off:3 Def:1),[1629052],1610612754.0,IND,,Brissett,O. Brissett,,In The Paint (Non-RA),8-16 Right,,,,,,,259.0,4.0,1.0,3.0,,,,,,,,,
262,PT06M10.00S,2023-01-19T01:53:48.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626167,34.510512483574246,55.14705882352941,1610612754,40,35,2023-01-19T01:53:52Z,2600000,False,-26.0,272.0,1,left,M. Turner 27' 3PT  (3 PTS) (O. Brissett 3 AST),"[1626167, 1629052]",1610612754.0,IND,,Turner,M. Turner,,Above the Break 3,24+ Center,27.31,Made,3.0,O. Brissett,1629052.0,3.0,,,,,,,,,,,,,
264,PT05M52.00S,2023-01-19T01:54:06.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629652,92.46057818659659,51.470588235294116,1610612760,40,35,2023-01-19T01:54:18Z,2620000,False,7.0,18.0,1,right,MISS L. Dort cutting DUNK - blocked,"[1629652, 1626167]",1610612760.0,OKC,,Dort,L. Dort,cutting,Restricted Area,0-8 Center,1.98,Missed,,,,,,,,,,,,,,,,Turner,1626167.0
265,PT05M52.00S,2023-01-19T01:54:06.7Z,2,REGULAR,block,,[],1626167,,,1610612760,40,35,2023-01-19T01:54:09Z,2630000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,Turner,M. Turner,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
