actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
247,PT05M24.00S,2024-03-21T00:51:57.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,6.258212877792378,48.03921568627451,1610612762,43,41,2024-03-21T00:52:03Z,2440000,False,10.0,6.0,1,left,J. Collins cutting DUNK (5 PTS) (B. Sensabaugh 1 AST),"[1628381, 1641729]",1610612762.0,UTA,cutting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,1.17,B. Sensabaugh,1641729.0,1.0,,,,,,,,,
249,PT05M11.00S,2024-03-21T00:52:12.6Z,2,REGULAR,foul,personal,['2freethrow'],1627739,,,1610612760,43,41,2024-03-21T00:52:19Z,2460000,False,,,0,,K. Dunn shooting personal FOUL (2 PF) (Williams 2 FT),"[1627739, 1631114]",1610612762.0,UTA,shooting,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,1627541.0,2.0,0.0,Williams,1631114.0,,,,,,,,,,,,,,,
251,PT05M11.00S,2024-03-21T00:52:42.5Z,2,REGULAR,freethrow,1 of 2,[],1631114,,,1610612760,44,41,2024-03-21T00:53:46Z,2480000,False,,,0,,J. Williams Free Throw 1 of 2 (11 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,Made,11.0,,,,,,,,,,,,,
252,PT05M11.00S,2024-03-21T00:52:43.3Z,2,REGULAR,substitution,out,[],1641717,,,1610612760,44,41,2024-03-21T00:52:54Z,2490000,False,,,0,,SUB out: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT05M11.00S,2024-03-21T00:52:43.3Z,2,REGULAR,substitution,out,[],1631119,,,1610612760,44,41,2024-03-21T00:52:54Z,2500000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT05M11.00S,2024-03-21T00:52:43.3Z,2,REGULAR,substitution,in,[],1628983,,,1610612760,44,41,2024-03-21T00:52:54Z,2510000,False,,,0,,SUB in: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT05M11.00S,2024-03-21T00:52:43.3Z,2,REGULAR,substitution,in,[],1629652,,,1610612760,44,41,2024-03-21T00:52:54Z,2520000,False,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT05M11.00S,2024-03-21T00:52:42.5Z,2,REGULAR,freethrow,2 of 2,[],1631114,,,1610612760,44,41,2024-03-21T00:53:46Z,2540000,False,,,0,,MISS J. Williams Free Throw 2 of 2,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
258,PT05M08.00S,2024-03-21T00:52:45.5Z,2,REGULAR,rebound,defensive,[],1641729,,,1610612762,44,41,2024-03-21T00:53:46Z,2550000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:3),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,257.0,3.0,3.0,0.0,,,
259,PT04M58.00S,2024-03-21T00:54:00.0Z,2,REGULAR,foul,technical,['1freethrow'],1630581,,,1610612762,44,41,2024-03-21T00:54:11Z,2560000,False,,,0,,J. Giddey defensive-3-second technical FOUL (1 Tech),[1630581],1610612760.0,OKC,defensive-3-second,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,202056.0,1.0,1.0,,,,,,,,,,,,,,,,,
260,PT04M58.00S,2024-03-21T00:54:17.2Z,2,REGULAR,freethrow,1 of 1,[],1641718,,,1610612762,44,42,2024-03-21T00:54:17Z,2570000,False,,,0,,K. George technical Free Throw 1 of 1 (3 PTS),[1641718],1610612762.0,UTA,technical,,,George,K. George,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
261,PT04M58.00S,2024-03-21T00:54:18.2Z,2,REGULAR,substitution,out,[],1631114,,,1610612762,44,42,2024-03-21T00:54:21Z,2580000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT04M58.00S,2024-03-21T00:54:18.2Z,2,REGULAR,substitution,in,[],1631119,,,1610612762,44,42,2024-03-21T00:54:21Z,2590000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT04M46.00S,2024-03-21T00:54:50.0Z,2,REGULAR,2pt,Jump Shot,[],1641718,14.273981603153747,68.38235294117648,1610612762,44,44,2024-03-21T00:54:55Z,2610000,False,-92.0,82.0,1,left,K. George 12' pullup Jump Shot (5 PTS) (K. Dunn 2 AST),"[1641718, 1627739]",1610612762.0,UTA,pullup,,,George,K. George,,,,,Mid-Range,8-16 Left,,,,,,Made,5.0,12.3,K. Dunn,1627739.0,2.0,,,,,,,,,
266,PT04M29.00S,2024-03-21T00:55:06.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,85.62746386333771,37.00980392156863,1610612760,46,44,2024-03-21T00:55:29Z,2630000,False,-65.0,83.0,1,right,S. Gilgeous-Alexander 10' turnaround fadeaway Jump Shot (9 PTS),[1628983],1610612760.0,OKC,turnaround fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Made,9.0,10.51,,,,,,,,,,,,
267,PT04M16.00S,2024-03-21T00:55:18.5Z,2,REGULAR,3pt,Jump Shot,[],1641718,29.517082785808146,26.96078431372549,1610612762,46,44,2024-03-21T00:55:23Z,2640000,False,115.0,225.0,1,left,MISS K. George 25' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.28,,,,,,,,,,,,
268,PT04M15.00S,2024-03-21T00:55:19.5Z,2,REGULAR,rebound,defensive,[],1630581,,,1610612760,46,44,2024-03-21T00:55:23Z,2650000,False,,,0,,J. Giddey REBOUND (Off:1 Def:5),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,267.0,6.0,5.0,1.0,,,
269,PT04M09.00S,2024-03-21T00:55:27.0Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],1628983,94.03745072273325,22.30392156862745,1610612760,48,44,2024-03-21T00:56:08Z,2660000,False,-138.0,4.0,1,right,S. Gilgeous-Alexander 13' step back Jump Shot (11 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,Made,11.0,13.85,,,,,,,,,,,,
270,PT04M03.00S,2024-03-21T00:55:54.5Z,2,REGULAR,foul,personal,[],1629652,,,1610612762,48,44,2024-03-21T01:00:29Z,2670000,False,,,0,,L. Dort personal FOUL (2 PF),"[1629652, 1641718]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,8-16 Left,202056.0,2.0,0.0,George,1641718.0,,,,,,,,,,,,,,,
319,PT04M03.00S,2024-03-21T00:56:46.2Z,2,REGULAR,substitution,out,[],1630548,,,1610612762,48,44,2024-03-21T01:03:23Z,2695000,False,,,0,,SUB out: J. Juzang,[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT04M03.00S,2024-03-21T00:56:46.2Z,2,REGULAR,substitution,in,[],1641707,,,1610612762,48,44,2024-03-21T01:03:23Z,2697500,False,,,0,,SUB in: T. Hendricks,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT03M52.00S,2024-03-21T00:57:18.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,12.434296977660972,38.970588235294116,1610612762,48,44,2024-03-21T00:57:39Z,2700000,False,55.0,64.0,1,left,MISS J. Collins 8' driving Layup,[1628381],1610612762.0,UTA,driving,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,8.48,,,,,,,,,,,,
274,PT03M49.00S,2024-03-21T00:57:21.2Z,2,REGULAR,rebound,defensive,[],1629652,,,1610612760,48,44,2024-03-21T00:57:23Z,2710000,False,,,0,,L. Dort REBOUND (Off:1 Def:2),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,273.0,3.0,2.0,1.0,,,
275,PT03M39.00S,2024-03-21T00:57:32.2Z,2,REGULAR,turnover,traveling,[],1629652,,,1610612760,48,44,2024-03-21T00:57:38Z,2720000,False,,,0,,L. Dort traveling TURNOVER (1 TO),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Left Center,202026.0,,,,,,,,,,,,,,,,,1.0,,
276,PT03M30.00S,2024-03-21T00:57:55.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627739,21.632720105124836,90.68627450980392,1610612762,48,47,2024-03-21T00:57:59Z,2730000,False,-203.0,151.0,1,left,K. Dunn 25' 3PT  (5 PTS) (K. George 1 AST),"[1627739, 1641718]",1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,25.32,K. George,1641718.0,1.0,,,,,,,,,
278,PT03M11.00S,2024-03-21T00:58:15.2Z,2,REGULAR,turnover,out-of-bounds,[],1628983,,,1610612760,48,47,2024-03-21T00:58:23Z,2750000,False,,,0,,S. Gilgeous-Alexander bad pass out-of-bounds TURNOVER (1 TO),[1628983],1610612760.0,OKC,bad pass,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Right Center,1627541.0,,,,,,,,,,,,,,,,,1.0,,
279,PT02M57.00S,2024-03-21T00:58:37.1Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1641729,23.603810775295663,75.73529411764706,1610612762,48,47,2024-03-21T01:06:12Z,2760000,False,-129.0,169.0,1,left,MISS B. Sensabaugh 21' pullup Shot,[1641729],1610612762.0,UTA,pullup,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,21.27,,,,,,,,,,,,
280,PT02M53.00S,2024-03-21T00:58:41.1Z,2,REGULAR,rebound,defensive,[],1630581,,,1610612760,48,47,2024-03-21T00:58:44Z,2770000,False,,,0,,J. Giddey REBOUND (Off:1 Def:6),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,279.0,7.0,6.0,1.0,,,
281,PT02M43.00S,2024-03-21T00:58:52.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630198,91.40932982917214,45.09803921568628,1610612760,48,47,2024-03-21T01:14:46Z,2780000,False,-25.0,28.0,1,right,MISS I. Joe cutting DUNK - blocked,"[1630198, 1641707]",1610612760.0,OKC,cutting,,,Joe,I. Joe,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.74,,,,Hendricks,1641707.0,,,,,,,
282,PT02M43.00S,2024-03-21T00:58:52.5Z,2,REGULAR,block,,[],1641707,,,1610612760,48,47,2024-03-21T01:04:51Z,2790000,False,,,0,,T. Hendricks BLOCK (2 BLK),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
283,PT02M42.00S,2024-03-21T00:58:53.5Z,2,REGULAR,rebound,defensive,[],1641718,,,1610612762,48,47,2024-03-21T01:14:46Z,2800000,False,,,0,,K. George REBOUND (Off:0 Def:4),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,281.0,4.0,4.0,0.0,,,
284,PT02M28.00S,2024-03-21T00:59:08.8Z,2,REGULAR,2pt,Layup,[],1628381,7.440867279894875,33.088235294117645,1610612762,48,47,2024-03-21T03:39:20Z,2810000,False,85.0,17.0,1,left,MISS J. Collins 8' driving Layup - blocked,"[1628381, 1630581]",1610612762.0,UTA,driving,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,,,,,,Missed,,8.64,,,,Giddey,1630581.0,,,,,,,
285,PT02M28.00S,2024-03-21T00:59:08.8Z,2,REGULAR,block,,[],1630581,,,1610612762,48,47,2024-03-21T00:59:11Z,2820000,False,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
286,PT02M27.00S,2024-03-21T00:59:09.8Z,2,REGULAR,rebound,offensive,[],1628381,,,1610612762,48,47,2024-03-21T01:15:21Z,2830000,False,,,0,,J. Collins REBOUND (Off:1 Def:3),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,284.0,4.0,3.0,1.0,,,
287,PT02M26.00S,2024-03-21T00:59:13.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,5.863994743758213,45.588235294117645,1610612762,48,47,2024-03-21T01:15:46Z,2840000,False,22.0,3.0,1,left,MISS J. Collins putback Layup,[1628381],1610612762.0,UTA,putback,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.23,,,,,,,,,,,,
288,PT02M25.00S,2024-03-21T00:59:14.4Z,2,REGULAR,rebound,offensive,[],1628381,,,1610612762,48,47,2024-03-21T01:15:46Z,2850000,False,,,0,,J. Collins REBOUND (Off:2 Def:3),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,287.0,5.0,3.0,2.0,,,
289,PT02M24.00S,2024-03-21T00:59:21.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,7.178055190538765,49.26470588235294,1610612762,48,49,2024-03-21T01:16:28Z,2860000,False,4.0,15.0,1,left,J. Collins tip Layup (7 PTS),[1628381],1610612762.0,UTA,tip,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,Made,7.0,1.54,,,,,,,,,,,,
290,PT02M06.00S,2024-03-21T00:59:29.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,95.0886990801577,52.20588235294118,1610612760,48,49,2024-03-21T01:01:57Z,2870000,False,11.0,-6.0,1,right,MISS S. Gilgeous-Alexander driving Layup - blocked,"[1628983, 1641707]",1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,Missed,,1.27,,,,Hendricks,1641707.0,,,,,,,
291,PT02M06.00S,2024-03-21T00:59:29.2Z,2,REGULAR,block,,[],1641707,,,1610612760,48,49,2024-03-21T00:59:31Z,2880000,False,,,0,,T. Hendricks BLOCK (3 BLK),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
292,PT02M05.00S,2024-03-21T00:59:30.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612760,48,49,2024-03-21T01:01:57Z,2890000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,290.0,,,,,,
293,PT02M05.00S,2024-03-21T00:59:38.3Z,2,REGULAR,substitution,out,[],1631119,,,1610612760,48,49,2024-03-21T00:59:51Z,2900000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT02M05.00S,2024-03-21T00:59:38.3Z,2,REGULAR,substitution,out,[],1641729,,,1610612760,48,49,2024-03-21T00:59:51Z,2910000,False,,,0,,SUB out: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
296,PT02M05.00S,2024-03-21T00:59:38.3Z,2,REGULAR,substitution,in,[],1631096,,,1610612760,48,49,2024-03-21T00:59:51Z,2930000,False,,,0,,SUB in: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT02M05.00S,2024-03-21T00:59:38.3Z,2,REGULAR,substitution,in,[],1629012,,,1610612760,48,49,2024-03-21T00:59:51Z,2950000,False,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT01M55.00S,2024-03-21T01:00:29.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628983,71.82982917214193,21.568627450980394,1610612760,48,49,2024-03-21T01:00:39Z,2970000,False,-142.0,212.0,1,right,MISS S. Gilgeous-Alexander 25' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.55,,,,,,,,,,,,
301,PT01M52.00S,2024-03-21T01:00:32.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612762,48,49,2024-03-21T01:00:39Z,2980000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,300.0,,,,,,
302,PT01M52.00S,2024-03-21T01:00:38.2Z,2,REGULAR,foul,personal,[],1629652,,,1610612762,48,49,2024-03-21T01:00:59Z,2990000,False,,,0,,L. Dort loose ball personal FOUL (3 PF),"[1629652, 1627739]",1610612760.0,OKC,loose ball,,,Dort,L. Dort,,,,,Mid-Range,8-16 Right,202026.0,3.0,0.0,Dunn,1627739.0,,,,,,,,,,,,,,,
304,PT01M52.00S,2024-03-21T01:00:54.7Z,2,REGULAR,substitution,out,[],1630198,,,1610612762,48,49,2024-03-21T01:00:59Z,3010000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT01M52.00S,2024-03-21T01:00:54.7Z,2,REGULAR,substitution,in,[],1631114,,,1610612762,48,49,2024-03-21T01:00:59Z,3020000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT01M34.00S,2024-03-21T01:01:25.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,11.777266754270697,50.73529411764706,1610612762,48,49,2024-03-21T01:10:28Z,3030000,False,-4.0,58.0,1,left,MISS K. Dunn driving floating Shot,[1627739],1610612762.0,UTA,driving floating,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.83,,,,,,,,,,,,
307,PT01M29.00S,2024-03-21T01:01:30.0Z,2,REGULAR,rebound,offensive,[],1629012,,,1610612762,48,49,2024-03-21T01:01:30Z,3040000,False,,,0,,C. Sexton REBOUND (Off:1 Def:3),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,306.0,4.0,3.0,1.0,,,
308,PT01M29.00S,2024-03-21T01:01:29.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629012,5.590000152587891,50.0,1610612762,48,51,2024-03-21T01:01:29Z,3050000,False,0.0,0.0,1,left,C. Sexton tip DUNK (13 PTS),[1629012],1610612762.0,UTA,tip,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Left,,,,,,Made,13.0,0.0,,,,,,,,,,,,
309,PT01M15.00S,2024-03-21T01:01:42.8Z,2,REGULAR,3pt,Jump Shot,[],1630581,95.87713534822602,94.36274509803921,1610612760,51,51,2024-03-21T01:01:46Z,3060000,False,222.0,-14.0,1,right,J. Giddey 3PT  (5 PTS) (S. Gilgeous-Alexander 4 AST),"[1630581, 1628983]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,,,,Made,5.0,22.22,S. Gilgeous-Alexander,1628983.0,4.0,,,,,,,,,
314,PT00M50.00S,2024-03-21T01:02:22.0Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612762,51,51,2024-03-21T01:02:27Z,3110000,False,,,0,,UTA shot clock Team TURNOVER,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,1627541.0,,,,,,,,,,,,,,,,,,,
315,PT00M33.90S,2024-03-21T01:02:42.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631114,89.17542706964521,38.970588235294116,1610612760,53,51,2024-03-21T01:05:11Z,3120000,False,-55.0,49.0,1,right,J. Williams 7' driving floating Jump Shot (13 PTS),[1631114],1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,13.0,7.39,,,,,,,,,,,,
316,PT00M17.30S,2024-03-21T01:03:01.5Z,2,REGULAR,3pt,Jump Shot,[],1641707,7.30946123521682,3.431372549019608,1610612762,53,54,2024-03-21T01:03:10Z,3130000,False,233.0,16.0,1,left,T. Hendricks 3PT  (5 PTS) (C. Sexton 5 AST),"[1641707, 1629012]",1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Right Corner 3,24+ Right,,,,,,Made,5.0,23.34,C. Sexton,1629012.0,5.0,,,,,,,,,
318,PT00M02.10S,2024-03-21T01:03:19.9Z,2,REGULAR,2pt,Jump Shot,[],1631114,81.94809461235218,22.54901960784314,1610612760,53,54,2024-03-21T01:03:26Z,3150000,False,-137.0,117.0,1,right,MISS J. Williams 18' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,18.05,,,,,,,,,,,,
321,PT00M02.10S,2024-03-21T01:03:19.9Z,2,REGULAR,rebound,defensive,[],1641718,,,1610612762,53,54,2024-03-21T01:03:26Z,3160000,False,,,0,,K. George REBOUND (Off:0 Def:5),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,318.0,5.0,5.0,0.0,,,
322,PT00M00.00S,2024-03-21T01:03:30.1Z,2,REGULAR,period,end,[],0,,,1610612762,53,54,2024-03-21T01:03:30Z,3170000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT12M00.00S,2024-03-21T01:03:56.4Z,3,REGULAR,substitution,out,['startperiod'],1629652,,,1610612762,53,54,2024-03-21T01:18:42Z,3180000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT12M00.00S,2024-03-21T01:03:56.4Z,3,REGULAR,substitution,out,['startperiod'],1629012,,,1610612762,53,54,2024-03-21T01:18:42Z,3190000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT12M00.00S,2024-03-21T01:03:56.4Z,3,REGULAR,substitution,in,['startperiod'],1641717,,,1610612762,53,54,2024-03-21T01:18:42Z,3200000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT12M00.00S,2024-03-21T01:03:56.4Z,3,REGULAR,substitution,in,['startperiod'],1641729,,,1610612762,53,54,2024-03-21T01:18:42Z,3210000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT12M00.00S,2024-03-21T01:18:43.1Z,3,REGULAR,period,start,[],0,,,1610612762,53,54,2024-03-21T01:18:43Z,3220000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,PT11M42.00S,2024-03-21T01:19:00.0Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,92.85479632063075,47.794117647058826,1610612762,53,56,2024-03-21T01:19:04Z,3230000,False,-11.0,15.0,1,right,J. Collins cutting DUNK (9 PTS) (K. George 2 AST),"[1628381, 1641718]",1610612762.0,UTA,cutting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,Made,9.0,1.84,K. George,1641718.0,2.0,,,,,,,,,
330,PT11M27.00S,2024-03-21T01:19:14.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,11.514454664914586,48.529411764705884,1610612760,55,56,2024-03-21T01:19:33Z,3250000,False,7.0,56.0,1,left,C. Holmgren driving floating Jump Shot (11 PTS) (S. Gilgeous-Alexander 5 AST),"[1631096, 1628983]",1610612760.0,OKC,driving floating,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,11.0,5.62,S. Gilgeous-Alexander,1628983.0,5.0,,,,,,,,,
332,PT11M12.00S,2024-03-21T01:19:29.7Z,3,REGULAR,turnover,lost ball,[],1641729,,,1610612762,55,56,2024-03-21T01:19:34Z,3270000,False,,,0,,B. Sensabaugh lost ball TURNOVER (2 TO),"[1641729, 1628983]",1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,2.0,Gilgeous-Alexander,1628983.0
333,PT11M12.00S,2024-03-21T01:19:29.7Z,3,REGULAR,steal,,[],1628983,,,1610612760,55,56,2024-03-21T01:19:32Z,3280000,False,,,0,,S. Gilgeous-Alexander STEAL (2 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
334,PT11M06.00S,2024-03-21T01:19:38.1Z,3,REGULAR,foul,personal,[],1628381,,,1610612760,55,56,2024-03-21T01:20:23Z,3290000,False,,,0,,J. Collins personal FOUL (2 PF),"[1628381, 1628983]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,202026.0,2.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,
337,PT10M57.00S,2024-03-21T01:21:45.6Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1630581,3.7614980289093296,95.58823529411765,1610612760,55,56,2024-03-21T01:21:51Z,3320000,False,-228.0,-17.0,1,left,MISS J. Giddey 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,,,,,,Missed,,22.85,,,,,,,,,,,,
