actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,area,areaDetail,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
260,PT04M09.00S,2023-01-16T20:59:17.8Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203468,79.58278580814718,5.392156862745098,1610612740,35,43,2023-01-16T21:01:08Z,2550000,False,-223.0,139.0,1,right,MISS C. McCollum 26' running 3PT,[203468],1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,26.3,Missed,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
261,PT04M07.00S,2023-01-16T20:59:20.2Z,2,REGULAR,rebound,defensive,[],1630171,,,1610612739,35,43,2023-01-16T20:59:20Z,2560000,False,,,0,,I. Okoro REBOUND (Off:0 Def:4),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Above the Break 3,24+ Left Center,260.0,4.0,4.0,0.0,,,,,,,,,,
262,PT04M05.00S,2023-01-16T20:59:23.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630205,6.652431011826544,51.225490196078425,1610612739,37,43,2023-01-16T20:59:30Z,2570000,False,-6.0,10.0,1,left,L. Stevens running DUNK (2 PTS) (I. Okoro 1 AST),"[1630205, 1630171]",1610612739.0,CLE,running,,,Stevens,L. Stevens,,,,,1.17,Made,2.0,I. Okoro,1630171.0,1.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
264,PT03M42.00S,2023-01-16T20:59:48.9Z,2,REGULAR,foul,offensive,[],1630700,,,1610612740,37,43,2023-01-16T21:00:45Z,2590000,False,,,0,,D. Daniels offensive FOUL (1 PF),"[1630700, 1629636]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,2530.0,1.0,0.0,Garland,1629636.0
266,PT03M42.00S,2023-01-16T20:59:48.9Z,2,REGULAR,turnover,offensive foul,[],1630700,,,1610612740,37,43,2023-01-16T20:59:48Z,2610000,False,,,0,,D. Daniels offensive foul TURNOVER (2 TO),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,2.0,,,,,2530.0,,,,
267,PT03M42.00S,2023-01-16T21:00:01.9Z,2,REGULAR,substitution,out,[],1630700,,,1610612739,37,43,2023-01-16T21:00:08Z,2620000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT03M42.00S,2023-01-16T21:00:01.9Z,2,REGULAR,substitution,in,[],1630631,,,1610612739,37,43,2023-01-16T21:00:08Z,2630000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT03M19.00S,2023-01-16T21:00:38.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,31.488173455978973,28.186274509803923,1610612739,37,43,2023-01-16T21:02:39Z,2650000,False,109.0,243.0,1,left,MISS D. Garland 26' step back 3PT,[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,26.68,Missed,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,
271,PT03M17.00S,2023-01-16T21:00:40.5Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,37,43,2023-01-16T21:00:40Z,2660000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Above the Break 3,24+ Right Center,270.0,5.0,4.0,1.0,,,,,,,,,,
272,PT03M11.00S,2023-01-16T21:00:47.2Z,2,REGULAR,turnover,bad pass,[],1630631,,,1610612740,37,43,2023-01-16T21:00:59Z,2670000,False,,,0,,J. Alvarado bad pass TURNOVER (1 TO),"[1630631, 1628386]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,1.0,,,Allen,1628386.0,,,,,
273,PT03M11.00S,2023-01-16T21:00:47.2Z,2,REGULAR,steal,,[],1628386,,,1610612739,37,43,2023-01-16T21:00:50Z,2680000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,
275,PT03M04.00S,2023-01-16T21:01:05.4Z,2,REGULAR,foul,personal,['3freethrow'],1630230,,,1610612739,37,43,2023-01-16T21:01:14Z,2700000,False,,,0,,N. Marshall shooting personal FOUL (1 PF) (Mitchell 3 FT),"[1630230, 1628378]",1610612740.0,NOP,shooting,,,Marshall,N. Marshall,,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,1626300.0,1.0,0.0,Mitchell,1628378.0
277,PT03M04.00S,2023-01-16T21:01:25.4Z,2,REGULAR,freethrow,1 of 3,['fromturnover'],1628378,,,1610612739,38,43,2023-01-16T21:01:25Z,2720000,False,,,0,,D. Mitchell Free Throw 1 of 3 (6 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,,
278,PT03M04.00S,2023-01-16T21:01:44.1Z,2,REGULAR,freethrow,2 of 3,['fromturnover'],1628378,,,1610612739,39,43,2023-01-16T21:01:44Z,2730000,False,,,0,,D. Mitchell Free Throw 2 of 3 (7 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,,
279,PT03M04.00S,2023-01-16T21:01:45.2Z,2,REGULAR,substitution,out,[],1630205,,,1610612739,39,43,2023-01-16T21:01:49Z,2740000,False,,,0,,SUB out: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT03M04.00S,2023-01-16T21:01:45.2Z,2,REGULAR,substitution,in,[],1630596,,,1610612739,39,43,2023-01-16T21:01:49Z,2750000,False,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT03M04.00S,2023-01-16T21:02:04.9Z,2,REGULAR,freethrow,3 of 3,['fromturnover'],1628378,,,1610612739,40,43,2023-01-16T21:02:05Z,2760000,False,,,0,,D. Mitchell Free Throw 3 of 3 (8 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,,
282,PT02M50.00S,2023-01-16T21:02:29.6Z,2,REGULAR,foul,personal,[],1629636,,,1610612740,40,43,2023-01-16T21:02:37Z,2770000,False,,,0,,D. Garland personal FOUL (2 PF),"[1629636, 203468]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1626300.0,2.0,0.0,McCollum,203468.0
284,PT02M47.00S,2023-01-16T21:02:53.2Z,2,REGULAR,foul,personal,[],1630171,,,1610612740,40,43,2023-01-16T21:03:01Z,2790000,False,,,0,,I. Okoro personal FOUL (1 PF),"[1630171, 203468]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1626300.0,1.0,0.0,McCollum,203468.0
286,PT02M34.00S,2023-01-16T21:03:22.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,88.12417871222075,62.99019607843137,1610612740,40,45,2023-01-16T21:03:28Z,2810000,False,65.0,59.0,1,right,J. Valanciunas 8' floating Jump Shot (13 PTS) (J. Alvarado 5 AST),"[202685, 1630631]",1610612740.0,NOP,floating,,,Valanciunas,J. Valanciunas,,,,,8.79,Made,13.0,J. Alvarado,1630631.0,5.0,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,
288,PT02M12.00S,2023-01-16T21:03:47.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,7.178055190538765,52.94117647058824,1610612739,40,45,2023-01-16T21:03:53Z,2830000,False,-15.0,15.0,1,left,MISS D. Garland driving Layup - blocked,"[1629636, 202685]",1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,2.1,Missed,,,,,Restricted Area,0-8 Center,,,,,,Valanciunas,202685.0,,,,,,,
289,PT02M12.00S,2023-01-16T21:03:47.0Z,2,REGULAR,block,,[],202685,,,1610612739,40,45,2023-01-16T21:03:52Z,2840000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
290,PT02M12.00S,2023-01-16T21:03:47.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612739,40,45,2023-01-16T21:03:53Z,2850000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,Restricted Area,0-8 Center,288.0,,,,,,,,,,,,,
292,PT02M08.00S,2023-01-16T21:04:07.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630171,9.411957950065702,3.9215686274509802,1610612739,40,45,2023-01-16T21:04:12Z,2870000,False,230.0,36.0,1,left,MISS I. Okoro 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,23.32,Missed,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,
293,PT02M05.00S,2023-01-16T21:04:10.6Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,40,45,2023-01-16T21:04:12Z,2880000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:5),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Right Corner 3,24+ Right,292.0,6.0,5.0,1.0,,,,,,,,,,
294,PT01M50.00S,2023-01-16T21:04:25.8Z,2,REGULAR,2pt,Jump Shot,[],203468,85.23324572930355,80.14705882352942,1610612740,40,45,2023-01-16T21:04:30Z,2890000,False,151.0,86.0,1,right,MISS C. McCollum 17' pullup Shot,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,17.37,Missed,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,
295,PT01M47.00S,2023-01-16T21:04:28.8Z,2,REGULAR,rebound,defensive,[],1629636,,,1610612739,40,45,2023-01-16T21:04:30Z,2900000,False,,,0,,D. Garland REBOUND (Off:0 Def:2),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,Mid-Range,16-24 Right,294.0,2.0,2.0,0.0,,,,,,,,,,
296,PT01M42.00S,2023-01-16T21:04:34.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629636,7.703679369250986,49.754901960784316,1610612739,40,45,2023-01-16T21:04:42Z,2910000,False,1.0,20.0,1,left,MISS D. Garland running Layup,[1629636],1610612739.0,CLE,running,,,Garland,D. Garland,,,,,1.99,Missed,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
297,PT01M39.00S,2023-01-16T21:04:37.1Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,40,45,2023-01-16T21:04:42Z,2920000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:6),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Restricted Area,0-8 Center,296.0,7.0,6.0,1.0,,,,,,,,,,
298,PT01M36.00S,2023-01-16T21:04:40.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630631,94.03745072273325,97.54901960784314,1610612740,40,48,2023-01-16T21:16:59Z,2930000,False,238.0,4.0,1,right,J. Alvarado 3PT running (7 PTS) (N. Marshall 2 AST),"[1630631, 1630230]",1610612740.0,NOP,running,,,Alvarado,J. Alvarado,,,,,23.77,Made,7.0,N. Marshall,1630230.0,2.0,Right Corner 3,24+ Right,,,,,,,,,,,,,,
300,PT01M11.00S,2023-01-16T21:05:05.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,14.14257555847569,52.94117647058824,1610612739,40,48,2023-01-16T21:05:27Z,2950000,False,-15.0,80.0,1,left,MISS D. Mitchell 8' Jump Shot,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,8.17,Missed,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,
301,PT01M10.00S,2023-01-16T21:05:06.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612739,40,48,2023-01-16T21:05:27Z,2960000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,In The Paint (Non-RA),8-16 Center,300.0,,,,,,,,,,,,,
303,PT01M10.00S,2023-01-16T21:05:29.8Z,2,REGULAR,violation,kicked ball,[],202685,,,1610612739,40,48,2023-01-16T21:05:40Z,2980000,False,,,0,,J. Valanciunas kicked ball VIOLATION,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,1626300.0,,,,
304,PT00M59.50S,2023-01-16T21:05:44.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,6.258212877792378,48.77450980392157,1610612739,42,48,2023-01-16T21:06:03Z,2990000,False,6.0,6.0,1,left,J. Allen cutting finger roll Layup (6 PTS) (D. Garland 3 AST),"[1628386, 1629636]",1610612739.0,CLE,cutting finger roll,,,Allen,J. Allen,,,,,0.88,Made,6.0,D. Garland,1629636.0,3.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
306,PT00M43.10S,2023-01-16T21:06:19.8Z,2,REGULAR,turnover,out-of-bounds,[],1630230,,,1610612740,42,48,2023-01-16T21:06:25Z,3010000,False,,,0,,N. Marshall lost ball out-of-bounds TURNOVER (1 TO),[1630230],1610612740.0,NOP,lost ball,,,Marshall,N. Marshall,,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,1.0,,,,,2530.0,,,,
307,PT00M31.10S,2023-01-16T21:06:39.5Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629636,13.485545335085414,77.20588235294117,1610612739,44,48,2023-01-16T21:06:53Z,3020000,False,-136.0,74.0,1,left,D. Garland 15' pullup Jump Shot (5 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,15.5,Made,5.0,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,
308,PT00M11.00S,2023-01-16T21:07:00.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203468,93.24901445466492,51.9607843137255,1610612740,44,50,2023-01-16T21:22:22Z,3030000,False,10.0,11.0,1,right,C. McCollum driving Layup (4 PTS),[203468],1610612740.0,NOP,driving,,,McCollum,C. McCollum,,,,,1.47,Made,4.0,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
309,PT00M00.90S,2023-01-16T21:07:13.9Z,2,REGULAR,3pt,Jump Shot,[],1628378,29.38567674113009,76.7156862745098,1610612739,47,50,2023-01-16T21:07:20Z,3040000,False,-134.0,224.0,1,left,D. Mitchell 26' 3PT pullup (11 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,26.06,Made,11.0,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
310,PT00M00.00S,2023-01-16T21:07:23.1Z,2,REGULAR,period,end,[],0,,,1610612740,47,50,2023-01-16T21:07:23Z,3050000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT12M00.00S,2023-01-16T21:19:50.5Z,3,REGULAR,substitution,out,['startperiod'],1630631,,,1610612740,47,50,2023-01-16T21:22:41Z,3060000,False,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT12M00.00S,2023-01-16T21:19:50.5Z,3,REGULAR,substitution,in,['startperiod'],1630700,,,1610612740,47,50,2023-01-16T21:22:41Z,3070000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
314,PT12M00.00S,2023-01-16T21:22:53.0Z,3,REGULAR,period,start,[],0,,,1610612740,47,50,2023-01-16T21:22:53Z,3080000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT11M43.00S,2023-01-16T21:23:08.8Z,3,REGULAR,turnover,bad pass,[],1630700,,,1610612740,47,50,2023-01-16T21:23:13Z,3090000,False,,,0,,D. Daniels bad pass TURNOVER (3 TO),"[1630700, 1629636]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,Mid-Range,8-16 Right,,,,,3.0,,,Garland,1629636.0,,,,,
316,PT11M43.00S,2023-01-16T21:23:08.8Z,3,REGULAR,steal,,[],1629636,,,1610612739,47,50,2023-01-16T21:23:10Z,3100000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,
317,PT11M37.00S,2023-01-16T21:23:15.8Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628378,71.56701708278581,12.745098039215685,1610612739,47,50,2023-01-16T21:24:33Z,3110000,False,-186.0,215.0,1,right,MISS D. Mitchell 28' running 3PT,[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,28.43,Missed,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
318,PT11M34.00S,2023-01-16T21:23:18.8Z,3,REGULAR,rebound,defensive,[],202685,,,1610612740,47,50,2023-01-16T21:23:19Z,3120000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:7),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Above the Break 3,24+ Left Center,317.0,8.0,7.0,1.0,,,,,,,,,,
319,PT11M23.00S,2023-01-16T21:23:28.5Z,3,REGULAR,3pt,Jump Shot,[],1630530,8.754927726675426,0.9803921568627451,1610612740,47,53,2023-01-16T21:23:35Z,3130000,False,245.0,30.0,1,left,T. Murphy III 24' 3PT  (10 PTS) (N. Marshall 3 AST),"[1630530, 1630230]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,24.69,Made,10.0,N. Marshall,1630230.0,3.0,Right Corner 3,24+ Right,,,,,,,,,,,,,,
321,PT11M01.00S,2023-01-16T21:23:50.9Z,3,REGULAR,3pt,Jump Shot,[],1628378,75.90341655716163,85.5392156862745,1610612739,47,53,2023-01-16T21:23:55Z,3150000,False,178.0,174.0,1,right,MISS D. Mitchell 24' 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,24.87,Missed,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,
322,PT10M59.00S,2023-01-16T21:23:52.9Z,3,REGULAR,rebound,defensive,[],202685,,,1610612740,47,53,2023-01-16T21:23:55Z,3160000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:8),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Above the Break 3,24+ Right Center,321.0,9.0,8.0,1.0,,,,,,,,,,
323,PT10M54.00S,2023-01-16T21:24:01.2Z,3,REGULAR,foul,offensive,[],202685,,,1610612740,47,53,2023-01-16T21:24:12Z,3170000,False,,,0,,J. Valanciunas offensive FOUL (2 PF),"[202685, 1629636]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,2530.0,2.0,0.0,Garland,1629636.0
325,PT10M54.00S,2023-01-16T21:24:01.2Z,3,REGULAR,turnover,offensive foul,[],202685,,,1610612740,47,53,2023-01-16T21:24:01Z,3190000,False,,,0,,J. Valanciunas offensive foul TURNOVER (2 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,2.0,,,,,2530.0,,,,
326,PT10M37.00S,2023-01-16T21:24:28.0Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1629636,95.13797634691196,67.36749387254902,1610612739,47,53,2023-01-16T21:26:27Z,3200000,False,87.0,-7.0,1,right,MISS D. Garland 8' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,8.71,Missed,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,
327,PT10M35.00S,2023-01-16T21:24:30.0Z,3,REGULAR,rebound,offensive,[],1628386,,,1610612739,47,53,2023-01-16T21:26:27Z,3210000,False,,,0,,J. Allen REBOUND (Off:3 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Mid-Range,8-16 Right,326.0,4.0,1.0,3.0,,,,,,,,,,
328,PT10M31.00S,2023-01-16T21:24:34.4Z,3,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1629636,76.2976346911958,59.31372549019608,1610612739,47,53,2023-01-16T21:24:39Z,3220000,False,47.0,170.0,1,right,MISS D. Garland 17' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,17.66,Missed,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,
329,PT10M28.00S,2023-01-16T21:24:37.4Z,3,REGULAR,rebound,defensive,[],1630530,,,1610612740,47,53,2023-01-16T21:24:39Z,3230000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,Mid-Range,16-24 Center,328.0,2.0,1.0,1.0,,,,,,,,,,
330,PT10M23.00S,2023-01-16T21:24:41.9Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,34.247700394218136,75.0,1610612740,47,53,2023-01-16T21:26:54Z,3240000,False,-125.0,269.0,1,left,MISS T. Murphy III 29' running pullup 3PT,[1630530],1610612740.0,NOP,running pullup,,,Murphy III,T. Murphy III,,,,,29.7,Missed,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
331,PT10M20.00S,2023-01-16T21:24:44.9Z,3,REGULAR,rebound,defensive,[],1630596,,,1610612739,47,53,2023-01-16T21:24:48Z,3250000,False,,,0,,E. Mobley REBOUND (Off:0 Def:4),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,Above the Break 3,24+ Left Center,330.0,4.0,4.0,0.0,,,,,,,,,,
332,PT10M14.00S,2023-01-16T21:24:52.0Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.24901445466492,51.470588235294116,1610612739,49,53,2023-01-16T21:24:57Z,3260000,False,7.0,11.0,1,right,J. Allen DUNK (8 PTS) (D. Garland 4 AST),"[1628386, 1629636]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,1.33,Made,8.0,D. Garland,1629636.0,4.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
334,PT10M02.00S,2023-01-16T21:25:02.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,8.229303547963205,62.745098039215684,1610612740,49,55,2023-01-16T21:25:08Z,3280000,False,-64.0,25.0,1,left,C. McCollum 6' driving floating bank Jump Shot (6 PTS),[203468],1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,6.84,Made,6.0,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,
335,PT09M51.00S,2023-01-16T21:25:15.2Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.38042049934296,51.9607843137255,1610612739,51,55,2023-01-16T21:25:20Z,3290000,False,10.0,10.0,1,right,J. Allen alley-oop DUNK (10 PTS) (D. Garland 5 AST),"[1628386, 1629636]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,1.38,Made,10.0,D. Garland,1629636.0,5.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
337,PT09M35.00S,2023-01-16T21:25:31.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,8.886333771353483,52.450980392156865,1610612740,51,55,2023-01-16T21:25:38Z,3310000,False,-12.0,31.0,1,left,MISS C. McCollum driving floating bank Shot - blocked,"[203468, 1628386]",1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,3.34,Missed,,,,,Restricted Area,0-8 Center,,,,,,Allen,1628386.0,,,,,,,
338,PT09M35.00S,2023-01-16T21:25:31.0Z,3,REGULAR,block,,[],1628386,,,1610612740,51,55,2023-01-16T21:25:34Z,3320000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
339,PT09M31.00S,2023-01-16T21:25:35.0Z,3,REGULAR,rebound,defensive,[],1630596,,,1610612739,51,55,2023-01-16T21:25:38Z,3330000,False,,,0,,E. Mobley REBOUND (Off:0 Def:5),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,Restricted Area,0-8 Center,337.0,5.0,5.0,0.0,,,,,,,,,,
340,PT09M27.00S,2023-01-16T21:25:38.3Z,3,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630596,83.78777923784494,52.20588235294118,1610612739,51,55,2023-01-16T21:28:31Z,3340000,False,11.0,100.0,1,right,MISS E. Mobley 10' pullup Shot,[1630596],1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,10.05,Missed,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,
341,PT09M26.00S,2023-01-16T21:25:39.3Z,3,REGULAR,rebound,offensive,[],1630596,,,1610612739,51,55,2023-01-16T22:28:46Z,3350000,False,,,0,,E. Mobley REBOUND (Off:1 Def:5),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,In The Paint (Non-RA),8-16 Center,340.0,6.0,5.0,1.0,,,,,,,,,,
342,PT09M26.00S,2023-01-16T21:25:45.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630596,92.9862023653088,51.71568627450981,1610612739,53,55,2023-01-16T22:28:52Z,3360000,False,9.0,13.0,1,right,E. Mobley putback Layup (12 PTS),[1630596],1610612739.0,CLE,putback,,,Mobley,E. Mobley,,,,,1.59,Made,12.0,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
343,PT09M10.00S,2023-01-16T21:25:54.8Z,3,REGULAR,3pt,Jump Shot,[],203468,17.559132720105126,96.07843137254902,1610612740,53,58,2023-01-16T21:26:01Z,3370000,False,-230.0,113.0,1,left,C. McCollum 25' 3PT  (9 PTS) (T. Murphy III 2 AST),"[203468, 1630530]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,25.64,Made,9.0,T. Murphy III,1630530.0,2.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
