actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
172,PT11M17.00S,2022-11-01T03:12:38.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612746,32,23,2022-11-01T03:12:44Z,1690000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,170.0,,,,,,,,,,,,,,
176,PT11M08.00S,2022-11-01T03:12:59.2Z,2,REGULAR,3pt,Jump Shot,[],1626181,66.14651773981603,60.78431372549019,1610612746,32,23,2022-11-01T03:13:05Z,1710000,54.0,266.0,1,right,MISS N. Powell 27' 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,27.11,Missed,,,,,,,,,,,,,,,,,,
177,PT11M04.00S,2022-11-01T03:13:03.2Z,2,REGULAR,rebound,defensive,[],1630227,,,1610612745,32,23,2022-11-01T03:13:05Z,1720000,,,0,,D. Nix REBOUND (Off:0 Def:1),[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,Above the Break 3,24+ Center,,,,,,176.0,1.0,1.0,0.0,,,,,,,,,,,
178,PT10M50.00S,2022-11-01T03:13:19.6Z,2,REGULAR,foul,personal,['2freethrow'],1630527,,,1610612745,32,23,2022-11-01T03:13:26Z,1730000,,,0,,B. Boston Jr. shooting personal FOUL (1 PF) (Green 2 FT),"[1630527, 1630224]",1610612746.0,LAC,shooting,,,Boston Jr.,B. Boston Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Green,1630224.0,,,
180,PT10M50.00S,2022-11-01T03:13:42.8Z,2,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,32,24,2022-11-01T03:13:42Z,1750000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
181,PT10M50.00S,2022-11-01T03:13:56.0Z,2,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,32,25,2022-11-01T03:13:56Z,1760000,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
182,PT10M37.00S,2022-11-01T03:14:09.4Z,2,REGULAR,3pt,Jump Shot,[],201587,93.61038107752957,3.9215686274509807,1610612746,32,25,2022-11-01T03:14:17Z,1770000,-230.0,8.0,1,right,MISS N. Batum 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Left Corner 3,24+ Left,23.05,Missed,,,,,,,,,,,,,,,,,,
183,PT10M33.00S,2022-11-01T03:14:13.4Z,2,REGULAR,rebound,defensive,[],1630586,,,1610612745,32,25,2022-11-01T03:14:17Z,1780000,,,0,,U. Garuba REBOUND (Off:0 Def:2),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Left Corner 3,24+ Left,,,,,,182.0,2.0,2.0,0.0,,,,,,,,,,,
184,PT10M21.00S,2022-11-01T03:14:24.8Z,2,REGULAR,3pt,Jump Shot,[],1630227,28.301576872536145,17.64705882352942,1610612745,32,25,2022-11-01T03:14:32Z,1790000,162.0,214.0,1,left,MISS D. Nix 26' 3PT,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,Above the Break 3,24+ Right Center,26.79,Missed,,,,,,,,,,,,,,,,,,
185,PT10M18.00S,2022-11-01T03:14:27.8Z,2,REGULAR,rebound,defensive,[],1629599,,,1610612746,32,25,2022-11-01T03:14:32Z,1800000,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Above the Break 3,24+ Right Center,,,,,,184.0,1.0,1.0,0.0,,,,,,,,,,,
186,PT10M14.00S,2022-11-01T03:14:32.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629599,90.71944809461235,53.92156862745098,1610612746,32,25,2022-11-01T03:14:36Z,1810000,20.0,35.0,1,right,MISS A. Coffey running Layup,[1629599],1610612746.0,LAC,running,,,Coffey,A. Coffey,,,,,Restricted Area,0-8 Center,3.99,Missed,,,,,,,,,,,,,,,,,,
187,PT10M12.00S,2022-11-01T03:14:34.5Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,32,25,2022-11-01T03:14:36Z,1820000,,,0,,J. Smith Jr. REBOUND (Off:0 Def:3),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,186.0,3.0,3.0,0.0,,,,,,,,,,,
188,PT10M07.00S,2022-11-01T03:14:40.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,32.11235216819975,25.0,1610612745,32,25,2022-11-01T03:14:48Z,1830000,125.0,249.0,1,left,MISS J. Smith Jr. 27' running pullup 3PT,[1631095],1610612745.0,HOU,running pullup,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,27.9,Missed,,,,,,,,,,,,,,,,,,
189,PT10M05.00S,2022-11-01T03:14:42.0Z,2,REGULAR,rebound,offensive,[],1630586,,,1610612745,32,25,2022-11-01T03:14:48Z,1840000,,,0,,U. Garuba REBOUND (Off:1 Def:2),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Above the Break 3,24+ Right Center,,,,,,188.0,3.0,2.0,1.0,,,,,,,,,,,
190,PT10M02.00S,2022-11-01T03:14:44.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630586,6.619579500657039,49.50980392156863,1610612745,32,27,2022-11-01T03:14:51Z,1850000,2.0,10.0,1,left,U. Garuba cutting Layup (2 PTS) (J. Smith Jr. 1 AST),"[1630586, 1631095]",1610612745.0,HOU,cutting,,,Garuba,U. Garuba,,,,,Restricted Area,0-8 Center,1.0,Made,2.0,,,,,,,,,,,,,,,J. Smith Jr.,1631095.0,1.0
192,PT09M56.00S,2022-11-01T03:14:50.2Z,2,REGULAR,turnover,bad pass,[],201587,,,1610612746,32,27,2022-11-01T03:14:54Z,1870000,,,0,,N. Batum bad pass TURNOVER (1 TO),"[201587, 1630227]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Center,,,,,,,,,,1.0,Nix,1630227.0,,,,,,,,
193,PT09M56.00S,2022-11-01T03:14:50.2Z,2,REGULAR,steal,,[],1630227,,,1610612745,32,27,2022-11-01T03:14:51Z,1880000,,,0,,D. Nix STEAL (1 STL),[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
194,PT09M52.00S,2022-11-01T03:14:54.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631095,30.929697766097235,26.225490196078425,1610612745,32,27,2022-11-01T03:14:58Z,1890000,119.0,238.0,1,left,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,26.62,Missed,,,,,,,,,,,,,,,,,,
195,PT09M51.00S,2022-11-01T03:14:56.1Z,2,REGULAR,rebound,offensive,[],1630227,,,1610612745,32,27,2022-11-01T03:14:56Z,1900000,,,0,,D. Nix REBOUND (Off:1 Def:1),[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,Above the Break 3,24+ Right Center,,,,,,194.0,2.0,1.0,1.0,,,,,,,,,,,
196,PT09M44.00S,2022-11-01T03:15:03.3Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630224,32.90078843626807,75.49019607843138,1610612745,32,27,2022-11-01T03:15:09Z,1910000,-127.0,257.0,1,left,MISS J. Green 28' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,28.67,Missed,,,,,,,,,,,,,,,,,,
197,PT09M39.00S,2022-11-01T03:15:08.3Z,2,REGULAR,rebound,defensive,[],1630527,,,1610612746,32,27,2022-11-01T03:15:09Z,1920000,,,0,,B. Boston Jr. REBOUND (Off:0 Def:1),[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,196.0,1.0,1.0,0.0,,,,,,,,,,,
198,PT09M30.00S,2022-11-01T03:15:17.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630527,91.11366622864652,53.92156862745098,1610612746,32,27,2022-11-01T03:15:35Z,1930000,20.0,31.0,1,right,MISS B. Boston Jr. driving floating Shot - blocked,"[1630527, 1630224]",1610612746.0,LAC,driving floating,,,Boston Jr.,B. Boston Jr.,,,,,Restricted Area,0-8 Center,3.67,Missed,,Green,1630224.0,,,,,,,,,,,,,,,
199,PT09M30.00S,2022-11-01T03:15:17.2Z,2,REGULAR,block,,[],1630224,,,1610612746,32,27,2022-11-01T03:15:19Z,1940000,,,0,,J. Green BLOCK (1 BLK),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
200,PT09M29.00S,2022-11-01T03:15:18.2Z,2,REGULAR,rebound,offensive,[],1630527,,,1610612746,32,27,2022-11-01T03:15:28Z,1950000,,,0,,B. Boston Jr. REBOUND (Off:1 Def:1),[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,Restricted Area,0-8 Center,,,,,,198.0,2.0,1.0,1.0,,,,,,,,,,,
201,PT09M29.00S,2022-11-01T03:15:22.2Z,2,REGULAR,foul,personal,['2freethrow'],1630224,,,1610612746,32,27,2022-11-01T03:15:30Z,1960000,,,0,,J. Green shooting personal FOUL (1 PF) (Boston Jr. 2 FT),"[1630224, 1630527]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202007.0,1.0,0.0,Boston Jr.,1630527.0,,,
203,PT09M29.00S,2022-11-01T03:15:42.7Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630527,,,1610612746,33,27,2022-11-01T03:15:42Z,1980000,,,0,,B. Boston Jr. Free Throw 1 of 2 (1 PTS),[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
204,PT09M29.00S,2022-11-01T03:15:45.7Z,2,REGULAR,substitution,out,[],1629726,,,1610612746,33,27,2022-11-01T03:15:49Z,1990000,,,0,,SUB out: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT09M29.00S,2022-11-01T03:15:45.7Z,2,REGULAR,substitution,in,[],1630528,,,1610612746,33,27,2022-11-01T03:15:49Z,2000000,,,0,,SUB in: J. Christopher,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT09M29.00S,2022-11-01T03:15:42.7Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630527,,,1610612746,33,27,2022-11-01T03:16:05Z,2010000,,,0,,MISS B. Boston Jr. Free Throw 2 of 2,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
207,PT09M26.00S,2022-11-01T03:15:45.7Z,2,REGULAR,rebound,defensive,[],1630586,,,1610612745,33,27,2022-11-01T03:16:13Z,2020000,,,0,,U. Garuba REBOUND (Off:1 Def:3),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,206.0,4.0,3.0,1.0,,,,,,,,,,,
209,PT09M16.00S,2022-11-01T03:16:20.0Z,2,REGULAR,turnover,illegal assist,[],1630224,,,1610612745,33,27,2022-11-01T03:16:36Z,2040000,,,0,,J. Green illegal assist TURNOVER (1 TO),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,,,1201.0,,,,,,,
210,PT09M05.00S,2022-11-01T03:16:40.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201587,94.26741130091985,49.754901960784316,1610612746,35,27,2022-11-01T03:16:45Z,2050000,-1.0,1.0,1,right,N. Batum cutting DUNK (2 PTS) (T. Mann 1 AST),"[201587, 1629611]",1610612746.0,LAC,cutting,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,0.18,Made,2.0,,,,,,,,,,,,,,,T. Mann,1629611.0,1.0
212,PT08M58.00S,2022-11-01T03:16:48.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630227,10.693166885676746,45.58823529411765,1610612745,35,27,2022-11-01T03:16:56Z,2070000,22.0,48.0,1,left,MISS D. Nix driving Layup - blocked,"[1630227, 1626181]",1610612745.0,HOU,driving,,,Nix,D. Nix,,,,,In The Paint (Non-RA),0-8 Center,5.28,Missed,,Powell,1626181.0,,,,,,,,,,,,,,,
213,PT08M58.00S,2022-11-01T03:16:48.3Z,2,REGULAR,block,,[],1626181,,,1610612745,35,27,2022-11-01T03:16:50Z,2080000,,,0,,N. Powell BLOCK (1 BLK),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
214,PT08M54.00S,2022-11-01T03:16:52.3Z,2,REGULAR,rebound,offensive,[],1631095,,,1610612745,35,27,2022-11-01T03:16:56Z,2090000,,,0,,J. Smith Jr. REBOUND (Off:1 Def:3),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,212.0,4.0,3.0,1.0,,,,,,,,,,,
215,PT08M53.00S,2022-11-01T03:16:52.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631095,8.722076215505908,52.69607843137255,1610612745,35,27,2022-11-01T03:16:58Z,2100000,-13.0,29.0,1,left,MISS J. Smith Jr. putback Layup - blocked,"[1631095, 201587]",1610612745.0,HOU,putback,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,3.24,Missed,,Batum,201587.0,,,,,,,,,,,,,,,
216,PT08M53.00S,2022-11-01T03:16:52.7Z,2,REGULAR,block,,[],201587,,,1610612745,35,27,2022-11-01T03:16:54Z,2110000,,,0,,N. Batum BLOCK (2 BLK),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
217,PT08M50.00S,2022-11-01T03:16:55.7Z,2,REGULAR,rebound,defensive,[],1626181,,,1610612746,35,27,2022-11-01T03:16:58Z,2120000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,,,215.0,1.0,1.0,0.0,,,,,,,,,,,
218,PT08M45.00S,2022-11-01T03:17:00.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629611,92.0335085413929,50.73529411764706,1610612746,37,27,2022-11-01T03:17:20Z,2130000,4.0,22.0,1,right,T. Mann driving Layup (4 PTS) (N. Batum 3 AST),"[1629611, 201587]",1610612746.0,LAC,driving,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,2.27,Made,4.0,,,,,,,,,,,,,,,N. Batum,201587.0,3.0
220,PT08M45.00S,2022-11-01T03:17:12.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,37,27,2022-11-01T03:17:12Z,2150000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M45.00S,2022-11-01T03:19:25.2Z,2,REGULAR,substitution,out,[],1630586,,,1610612745,37,27,2022-11-01T03:19:51Z,2160000,,,0,,SUB out: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT08M45.00S,2022-11-01T03:19:25.2Z,2,REGULAR,substitution,in,[],1630231,,,1610612745,37,27,2022-11-01T03:19:51Z,2170000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M24.00S,2022-11-01T03:20:12.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,7.670827858081481,43.627450980392155,1610612745,37,27,2022-11-01T03:20:18Z,2180000,32.0,20.0,1,left,MISS J. Green driving floating Shot,[1630224],1610612745.0,HOU,driving floating,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,,,,,,
224,PT08M21.00S,2022-11-01T03:20:15.8Z,2,REGULAR,rebound,defensive,[],201587,,,1610612746,37,27,2022-11-01T03:20:18Z,2190000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,,,,,,223.0,1.0,1.0,0.0,,,,,,,,,,,
225,PT08M19.00S,2022-11-01T03:20:18.1Z,2,REGULAR,turnover,lost ball,[],1629611,,,1610612746,37,27,2022-11-01T03:20:21Z,2200000,,,0,,T. Mann lost ball TURNOVER (1 TO),"[1629611, 1630224]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,Green,1630224.0,,,,,,,,
226,PT08M19.00S,2022-11-01T03:20:18.1Z,2,REGULAR,steal,,[],1630224,,,1610612745,37,27,2022-11-01T03:29:48Z,2210000,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
227,PT08M11.00S,2022-11-01T03:20:25.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630231,5.962549277266746,50.98039215686275,1610612745,37,29,2022-11-01T03:20:30Z,2220000,-5.0,4.0,1,left,K. Martin Jr. cutting DUNK (4 PTS) (J. Christopher 1 AST),"[1630231, 1630528]",1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,0.6,Made,4.0,,,,,,,,,,,,,,,J. Christopher,1630528.0,1.0
229,PT07M53.00S,2022-11-01T03:20:44.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,89.93101182654402,55.14705882352941,1610612746,37,29,2022-11-01T03:20:48Z,2240000,26.0,42.0,1,right,MISS N. Powell driving floating Shot,[1626181],1610612746.0,LAC,driving floating,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,4.93,Missed,,,,,,,,,,,,,,,,,,
230,PT07M50.00S,2022-11-01T03:20:46.2Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612745,37,29,2022-11-01T03:20:46Z,2250000,,,0,,K. Martin Jr. REBOUND (Off:0 Def:1),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,229.0,1.0,1.0,0.0,,,,,,,,,,,
231,PT07M44.00S,2022-11-01T03:20:52.2Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1631095,9.773324572930349,57.1078431372549,1610612745,37,31,2022-11-01T03:21:31Z,2260000,-36.0,39.0,1,left,J. Smith Jr. driving floating Jump Shot (2 PTS),[1631095],1610612745.0,HOU,driving floating,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.3,Made,2.0,,,,,,,,,,,,,,,,,
233,PT07M27.00S,2022-11-01T03:21:14.4Z,2,REGULAR,substitution,out,[],1630527,,,1610612746,37,31,2022-11-01T03:21:25Z,2280000,,,0,,SUB out: B. Boston Jr.,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT07M27.00S,2022-11-01T03:21:14.4Z,2,REGULAR,substitution,out,[],201587,,,1610612746,37,31,2022-11-01T03:21:25Z,2290000,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT07M27.00S,2022-11-01T03:21:14.4Z,2,REGULAR,substitution,in,[],1627826,,,1610612746,37,31,2022-11-01T03:21:25Z,2300000,,,0,,SUB in: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT07M27.00S,2022-11-01T03:21:14.4Z,2,REGULAR,substitution,in,[],202704,,,1610612746,37,31,2022-11-01T03:21:25Z,2310000,,,0,,SUB in: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT07M24.00S,2022-11-01T03:21:38.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629611,90.8508541392904,46.81372549019608,1610612746,37,31,2022-11-01T03:21:46Z,2320000,-16.0,34.0,1,right,MISS T. Mann alley-oop DUNK - blocked,"[1629611, 1630231]",1610612746.0,LAC,alley-oop,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,3.71,Missed,,Martin Jr.,1630231.0,,,,,,,,,,,,,,,
238,PT07M24.00S,2022-11-01T03:21:38.9Z,2,REGULAR,block,,[],1630231,,,1610612746,37,31,2022-11-01T03:21:40Z,2330000,,,0,,K. Martin Jr. BLOCK (1 BLK),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
239,PT07M22.00S,2022-11-01T03:21:40.9Z,2,REGULAR,rebound,defensive,[],1630224,,,1610612745,37,31,2022-11-01T03:21:46Z,2340000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,237.0,1.0,1.0,0.0,,,,,,,,,,,
240,PT07M14.00S,2022-11-01T03:21:48.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1631095,11.087385019710908,47.79411764705882,1610612745,37,31,2022-11-01T03:22:03Z,2350000,11.0,52.0,1,left,MISS J. Smith Jr. turnaround Hook,[1631095],1610612745.0,HOU,turnaround,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.29,Missed,,,,,,,,,,,,,,,,,,
241,PT07M14.00S,2022-11-01T03:21:48.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612745,37,31,2022-11-01T03:22:03Z,2360000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,240.0,,,,,,,,,,,,,,
242,PT07M14.00S,2022-11-01T03:21:57.7Z,2,REGULAR,turnover,traveling,[],1631095,,,1610612745,37,31,2022-11-01T03:22:07Z,2370000,,,0,,J. Smith Jr. traveling TURNOVER (2 TO),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,2.0,,,1201.0,,,,,,,
243,PT07M05.00S,2022-11-01T03:22:15.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202704,68.11760840998686,67.40196078431373,1610612746,37,31,2022-11-01T03:22:20Z,2380000,87.0,247.0,1,right,MISS R. Jackson 26' pullup 3PT,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Right Center,26.21,Missed,,,,,,,,,,,,,,,,,,
244,PT07M02.00S,2022-11-01T03:22:18.2Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612745,37,31,2022-11-01T03:22:20Z,2390000,,,0,,K. Martin Jr. REBOUND (Off:0 Def:2),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,243.0,2.0,2.0,0.0,,,,,,,,,,,
246,PT06M57.00S,2022-11-01T03:22:25.2Z,2,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612745,37,31,2022-11-01T03:22:31Z,2410000,,,0,,I. Zubac shooting personal FOUL (1 PF) (Martin Jr. 2 FT),"[1627826, 1630231]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202007.0,1.0,0.0,Martin Jr.,1630231.0,,,
248,PT06M57.00S,2022-11-01T03:22:59.8Z,2,REGULAR,freethrow,1 of 2,[],1630231,,,1610612745,37,31,2022-11-01T03:22:59Z,2430000,,,0,,MISS K. Martin Jr. Free Throw 1 of 2,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
249,PT06M57.00S,2022-11-01T03:22:59.8Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,37,31,2022-11-01T03:22:59Z,2440000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,248.0,,,,,,,,,,,,,,
250,PT06M57.00S,2022-11-01T03:23:00.4Z,2,REGULAR,substitution,out,[],1629611,,,1610612745,37,31,2022-11-01T03:23:04Z,2450000,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M57.00S,2022-11-01T03:23:00.4Z,2,REGULAR,substitution,in,[],202694,,,1610612745,37,31,2022-11-01T03:23:04Z,2460000,,,0,,SUB in: M. Morris Sr.,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT06M57.00S,2022-11-01T03:23:21.1Z,2,REGULAR,freethrow,2 of 2,[],1630231,,,1610612745,37,32,2022-11-01T03:23:21Z,2470000,,,0,,K. Martin Jr. Free Throw 2 of 2 (5 PTS),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
253,PT06M44.00S,2022-11-01T03:23:35.2Z,2,REGULAR,2pt,Jump Shot,[],1626181,83.88633377135349,27.450980392156865,1610612746,37,32,2022-11-01T03:23:40Z,2480000,-113.0,99.0,1,right,MISS N. Powell 15' pullup Shot,[1626181],1610612746.0,LAC,pullup,,,Powell,N. Powell,,,,,Mid-Range,8-16 Left,15.0,Missed,,,,,,,,,,,,,,,,,,
254,PT06M41.00S,2022-11-01T03:23:38.2Z,2,REGULAR,rebound,offensive,[],1629599,,,1610612746,37,32,2022-11-01T03:23:40Z,2490000,,,0,,A. Coffey REBOUND (Off:1 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Mid-Range,8-16 Left,,,,,,253.0,2.0,1.0,1.0,,,,,,,,,,,
