actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,jumpBallRecoverdPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
248,PT05M59.00S,2026-02-26T01:53:45.3Z,2,REGULAR,foul,personal,['2freethrow'],201142,,,1610612758,53,32,2026-02-26T02:15:18Z,2435000,False,,,0,,K. Durant shooting personal FOUL (1 PF) (DeRozan 2 FT),"[201142, 201942]",1610612745.0,HOU,shooting,,,,,,Mid-Range,16-24 Left Center,,,Durant,K. Durant,,,,,,,,202058.0,,,,,,,,1.0,0.0,DeRozan,201942.0
250,PT05M59.00S,2026-02-26T01:54:11.3Z,2,REGULAR,freethrow,1 of 2,[],201942,,,1610612758,53,32,2026-02-26T02:15:42Z,2470000,False,,,0,,MISS D. DeRozan Free Throw 1 of 2,[201942],1610612758.0,SAC,,,,,,,,,,Missed,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,
251,PT05M59.00S,2026-02-26T01:54:11.3Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,53,32,2026-02-26T02:15:42Z,2480000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,
341,PT05M59.00S,2026-02-26T01:54:31.6Z,2,REGULAR,substitution,out,[],1630165,,,1610612758,53,32,2026-02-26T02:16:13Z,2495000,False,,,0,,SUB out: K. Hayes,[1630165],1610612758.0,SAC,,,,,,,,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,
342,PT05M59.00S,2026-02-26T01:54:31.6Z,2,REGULAR,substitution,in,[],201566,,,1610612758,53,32,2026-02-26T02:16:13Z,2502500,False,,,0,,SUB in: R. Westbrook,[201566],1610612758.0,SAC,,,,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,
254,PT05M59.00S,2026-02-26T01:54:11.3Z,2,REGULAR,freethrow,2 of 2,[],201942,,,1610612758,53,33,2026-02-26T02:15:42Z,2510000,False,,,0,,D. DeRozan Free Throw 2 of 2 (1 PTS),[201942],1610612758.0,SAC,,,,,,,,,,Made,DeRozan,D. DeRozan,,,,,,,1.0,,,,,,,,,,,,
255,PT05M43.00S,2026-02-26T01:54:52.0Z,2,REGULAR,2pt,Jump Shot,[],201142,85.89027595269383,31.127450980392158,1610612745,53,33,2026-02-26T01:54:58Z,2520000,False,-94.0,80.0,1,right,MISS K. Durant 12' pullup Shot,[201142],1610612745.0,HOU,pullup,,,,,,Mid-Range,8-16 Left,12.38,Missed,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
256,PT05M42.00S,2026-02-26T01:54:53.0Z,2,REGULAR,rebound,defensive,[],1629234,,,1610612758,53,33,2026-02-26T01:54:58Z,2530000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612758.0,SAC,,,,,,,Mid-Range,8-16 Left,,,Eubanks,D. Eubanks,,,255.0,1.0,1.0,0.0,,,,,,,,,,,,,
257,PT05M29.00S,2026-02-26T01:55:05.9Z,2,REGULAR,2pt,Jump Shot,[],201942,22.28975032851511,54.90196078431373,1610612758,53,35,2026-02-26T01:55:11Z,2540000,False,-25.0,157.0,1,left,D. DeRozan 15' pullup Jump Shot (3 PTS) (M. Monk 1 AST),"[201942, 1628370]",1610612758.0,SAC,pullup,,,,,,Mid-Range,8-16 Center,15.89,Made,DeRozan,D. DeRozan,,,,,,,3.0,,,M. Monk,1628370.0,1.0,,,,,,,
259,PT05M18.00S,2026-02-26T01:55:18.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631106,90.75229960578186,54.65686274509803,1610612745,55,35,2026-02-26T01:55:22Z,2560000,False,23.0,34.0,1,right,T. Eason driving Layup (2 PTS),[1631106],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,4.15,Made,Eason,T. Eason,,,,,,,2.0,,,,,,,,,,,,
260,PT05M18.00S,2026-02-26T01:55:21.8Z,2,REGULAR,foul,personal,['1freethrow'],201566,,,1610612745,55,35,2026-02-26T01:55:32Z,2570000,False,,,0,,R. Westbrook shooting personal FOUL (1 PF) (Eason 1 FT),"[201566, 1631106]",1610612758.0,SAC,shooting,,,,,,Restricted Area,0-8 Center,,,Westbrook,R. Westbrook,,,,,,,,202058.0,,,,,,,,1.0,0.0,Eason,1631106.0
262,PT05M18.00S,2026-02-26T01:55:41.3Z,2,REGULAR,freethrow,1 of 1,[],1631106,,,1610612745,56,35,2026-02-26T01:55:41Z,2590000,False,,,0,,T. Eason Free Throw 1 of 1 (3 PTS),[1631106],1610612745.0,HOU,,,,,,,,,,Made,Eason,T. Eason,,,,,,,3.0,,,,,,,,,,,,
263,PT05M04.00S,2026-02-26T01:55:56.6Z,2,REGULAR,3pt,Jump Shot,[],201566,7.966491458607096,98.52941176470588,1610612758,56,35,2026-02-26T01:56:17Z,2600000,False,-243.0,22.0,1,left,MISS R. Westbrook 24' 3PT,[201566],1610612758.0,SAC,,,,,,,Left Corner 3,24+ Left,24.36,Missed,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,
264,PT05M02.00S,2026-02-26T01:55:58.6Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612745,56,35,2026-02-26T01:56:17Z,2610000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,,,,,,,263.0,,,,,,,,,,,,,,,,
265,PT05M02.00S,2026-02-26T01:56:04.5Z,2,REGULAR,foul,personal,[],1630173,,,1610612745,56,35,2026-02-26T01:56:18Z,2620000,False,,,0,,P. Achiuwa loose ball personal FOUL (1 PF),"[1630173, 1628988]",1610612758.0,SAC,loose ball,,,,,,Above the Break 3,24+ Center,,,Achiuwa,P. Achiuwa,,,,,,,,203593.0,,,,,,,,1.0,0.0,Holiday,1628988.0
267,PT04M50.00S,2026-02-26T01:56:37.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201145,92.32917214191852,48.529411764705884,1610612745,56,35,2026-02-26T01:56:43Z,2640000,False,-7.0,20.0,1,right,MISS J. Green reverse Layup,[201145],1610612745.0,HOU,reverse,,,,,,Restricted Area,0-8 Center,2.1,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,,
268,PT04M48.00S,2026-02-26T01:56:39.2Z,2,REGULAR,rebound,defensive,[],1630173,,,1610612758,56,35,2026-02-26T01:56:43Z,2650000,False,,,0,,P. Achiuwa REBOUND (Off:3 Def:2),[1630173],1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,,,Achiuwa,P. Achiuwa,,,267.0,5.0,2.0,3.0,,,,,,,,,,,,,
269,PT04M40.00S,2026-02-26T01:56:45.7Z,2,REGULAR,turnover,bad pass,[],1630173,,,1610612758,56,35,2026-02-26T01:57:52Z,2660000,False,,,0,,P. Achiuwa bad pass TURNOVER (2 TO),"[1630173, 1631106]",1610612758.0,SAC,,,,,,,Mid-Range,16-24 Center,,,Achiuwa,P. Achiuwa,,,,,,,,,2.0,,,,,Eason,1631106.0,,,,
270,PT04M40.00S,2026-02-26T01:56:45.7Z,2,REGULAR,steal,,[],1631106,,,1610612745,56,35,2026-02-26T01:56:47Z,2670000,False,,,0,,T. Eason STEAL (1 STL),[1631106],1610612745.0,HOU,,,,,,,Mid-Range,16-24 Center,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,
271,PT04M37.00S,2026-02-26T01:56:52.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201145,92.32917214191852,56.86274509803921,1610612745,58,35,2026-02-26T01:58:34Z,2680000,False,34.0,20.0,1,right,J. Green running Layup (2 PTS) (J. Smith Jr. 3 AST),"[201145, 1631095]",1610612745.0,HOU,running,,,,,,Restricted Area,0-8 Center,3.95,Made,Green,J. Green,,,,,,,2.0,,,J. Smith Jr.,1631095.0,3.0,,,,,,,
273,PT04M34.00S,2026-02-26T01:57:09.8Z,2,REGULAR,timeout,full,['team'],0,,,1610612758,58,35,2026-02-26T01:57:09Z,2700000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT04M34.00S,2026-02-26T01:58:06.2Z,2,REGULAR,substitution,out,[],1630173,,,1610612758,58,35,2026-02-26T01:58:20Z,2710000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612758.0,SAC,,,,,,,,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,
275,PT04M34.00S,2026-02-26T01:58:06.2Z,2,REGULAR,substitution,in,[],1631342,,,1610612758,58,35,2026-02-26T01:58:20Z,2720000,False,,,0,,SUB in: D. Plowden,[1631342],1610612758.0,SAC,,,,,,,,,,,Plowden,D. Plowden,,,,,,,,,,,,,,,,,,,
276,PT04M21.00S,2026-02-26T01:58:43.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201566,7.178055190538765,61.76470588235294,1610612758,58,35,2026-02-26T01:58:48Z,2730000,False,-59.0,15.0,1,left,MISS R. Westbrook 6' driving finger roll Layup - blocked,"[201566, 1631095]",1610612758.0,SAC,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,6.07,Missed,Westbrook,R. Westbrook,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,
277,PT04M21.00S,2026-02-26T01:58:43.1Z,2,REGULAR,block,,[],1631095,,,1610612758,58,35,2026-02-26T01:58:45Z,2740000,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,
278,PT04M20.00S,2026-02-26T01:58:44.1Z,2,REGULAR,rebound,defensive,[],1631106,,,1610612745,58,35,2026-02-26T01:58:55Z,2750000,False,,,0,,T. Eason REBOUND (Off:0 Def:2),[1631106],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Eason,T. Eason,,,276.0,2.0,2.0,0.0,,,,,,,,,,,,,
279,PT04M06.00S,2026-02-26T01:58:57.9Z,2,REGULAR,3pt,Jump Shot,[],201142,75.90341655716163,9.803921568627452,1610612745,61,35,2026-02-26T01:59:03Z,2760000,False,-201.0,174.0,1,right,K. Durant 26' 3PT  (14 PTS) (J. Green 1 AST),"[201142, 201145]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,26.59,Made,Durant,K. Durant,,,,,,,14.0,,,J. Green,201145.0,1.0,,,,,,,
281,PT03M56.00S,2026-02-26T01:59:10.5Z,2,REGULAR,foul,personal,['2freethrow'],201142,,,1610612758,61,35,2026-02-26T01:59:28Z,2780000,False,,,0,,K. Durant shooting personal FOUL (2 PF) (DeRozan 2 FT),"[201142, 201942]",1610612745.0,HOU,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Durant,K. Durant,,,,,,,,202058.0,,,,,,,,2.0,0.0,DeRozan,201942.0
283,PT03M56.00S,2026-02-26T01:59:39.1Z,2,REGULAR,freethrow,1 of 2,[],201942,,,1610612758,61,36,2026-02-26T01:59:39Z,2800000,False,,,0,,D. DeRozan Free Throw 1 of 2 (4 PTS),[201942],1610612758.0,SAC,,,,,,,,,,Made,DeRozan,D. DeRozan,,,,,,,4.0,,,,,,,,,,,,
284,PT03M56.00S,2026-02-26T01:59:39.6Z,2,REGULAR,substitution,out,[],1631095,,,1610612758,61,36,2026-02-26T01:59:46Z,2810000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,
285,PT03M56.00S,2026-02-26T01:59:39.6Z,2,REGULAR,substitution,out,[],1629234,,,1610612758,61,36,2026-02-26T01:59:46Z,2820000,False,,,0,,SUB out: D. Eubanks,[1629234],1610612758.0,SAC,,,,,,,,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,
286,PT03M56.00S,2026-02-26T01:59:39.6Z,2,REGULAR,substitution,in,[],1630578,,,1610612758,61,36,2026-02-26T01:59:46Z,2830000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,
287,PT03M56.00S,2026-02-26T01:59:39.6Z,2,REGULAR,substitution,in,[],1642875,,,1610612758,61,36,2026-02-26T01:59:46Z,2840000,False,,,0,,SUB in: M. Raynaud,[1642875],1610612758.0,SAC,,,,,,,,,,,Raynaud,M. Raynaud,,,,,,,,,,,,,,,,,,,
288,PT03M56.00S,2026-02-26T02:00:00.7Z,2,REGULAR,freethrow,2 of 2,[],201942,,,1610612758,61,37,2026-02-26T02:00:00Z,2850000,False,,,0,,D. DeRozan Free Throw 2 of 2 (5 PTS),[201942],1610612758.0,SAC,,,,,,,,,,Made,DeRozan,D. DeRozan,,,,,,,5.0,,,,,,,,,,,,
289,PT03M43.00S,2026-02-26T02:00:19.3Z,2,REGULAR,3pt,Jump Shot,[],1630578,64.07687253613666,45.83333333333333,1610612745,64,37,2026-02-26T02:00:24Z,2860000,False,-21.0,285.0,1,right,A. Sengun 28' 3PT  (13 PTS) (A. Holiday 1 AST),"[1630578, 1628988]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,28.6,Made,Sengun,A. Sengun,,,,,,,13.0,,,A. Holiday,1628988.0,1.0,,,,,,,
291,PT03M29.00S,2026-02-26T02:00:33.6Z,2,REGULAR,3pt,Jump Shot,[],1631342,34.641918528252305,60.5392156862745,1610612758,64,40,2026-02-26T02:00:38Z,2880000,False,-53.0,273.0,1,left,D. Plowden 27' 3PT  (3 PTS) (M. Raynaud 1 AST),"[1631342, 1642875]",1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,27.81,Made,Plowden,D. Plowden,,,,,,,3.0,,,M. Raynaud,1642875.0,1.0,,,,,,,
293,PT03M06.00S,2026-02-26T02:00:56.1Z,2,REGULAR,turnover,lost ball,[],1630578,,,1610612745,64,40,2026-02-26T02:01:00Z,2900000,False,,,0,,A. Sengun lost ball TURNOVER (1 TO),"[1630578, 1631342]",1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,,,,,,,,,1.0,,,,,Plowden,1631342.0,,,,
294,PT03M06.00S,2026-02-26T02:00:56.1Z,2,REGULAR,steal,,[],1631342,,,1610612758,64,40,2026-02-26T02:02:35Z,2910000,False,,,0,,D. Plowden STEAL (1 STL),[1631342],1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,,,Plowden,D. Plowden,,,,,,,,,,,,,,,,,,,
295,PT02M59.00S,2026-02-26T02:01:03.5Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201566,7.5722733245729295,3.9215686274509802,1610612758,64,40,2026-02-26T02:01:12Z,2920000,False,230.0,19.0,1,left,MISS R. Westbrook running 3PT,[201566],1610612758.0,SAC,running,,,,,,Right Corner 3,24+ Right,23.12,Missed,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,
296,PT02M58.00S,2026-02-26T02:01:04.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612758,64,40,2026-02-26T02:01:12Z,2930000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,Right Corner 3,24+ Right,,,,,,,295.0,,,,,,,,,,,,,,,,
297,PT02M58.00S,2026-02-26T02:01:11.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628988,,,1610612758,64,40,2026-02-26T02:01:25Z,2940000,False,,,0,,A. Holiday loose ball personal FOUL (2 PF) (Raynaud 2 FT),"[1628988, 1642875]",1610612745.0,HOU,loose ball,,,,,,Restricted Area,0-8 Center,,,Holiday,A. Holiday,,,,,,,,203593.0,,,,,,,,2.0,0.0,Raynaud,1642875.0
299,PT02M58.00S,2026-02-26T02:01:41.9Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1642875,,,1610612758,64,40,2026-02-26T02:01:41Z,2960000,False,,,0,,MISS M. Raynaud Free Throw 1 of 2,[1642875],1610612758.0,SAC,,,,,,,,,,Missed,Raynaud,M. Raynaud,,,,,,,,,,,,,,,,,,,
300,PT02M58.00S,2026-02-26T02:01:41.9Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,64,40,2026-02-26T02:01:41Z,2970000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,299.0,,,,,,,,,,,,,,,,
301,PT02M58.00S,2026-02-26T02:01:43.1Z,2,REGULAR,substitution,out,[],1628988,,,1610612758,64,40,2026-02-26T02:01:54Z,2980000,False,,,0,,SUB out: A. Holiday,[1628988],1610612745.0,HOU,,,,,,,,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,
302,PT02M58.00S,2026-02-26T02:01:43.1Z,2,REGULAR,substitution,out,[],1628370,,,1610612758,64,40,2026-02-26T02:01:54Z,2990000,False,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,,,,,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,
303,PT02M58.00S,2026-02-26T02:01:43.1Z,2,REGULAR,substitution,in,[],1642263,,,1610612758,64,40,2026-02-26T02:01:54Z,3000000,False,,,0,,SUB in: R. Sheppard,[1642263],1610612745.0,HOU,,,,,,,,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,
304,PT02M58.00S,2026-02-26T02:01:43.1Z,2,REGULAR,substitution,in,[],1642363,,,1610612758,64,40,2026-02-26T02:01:54Z,3010000,False,,,0,,SUB in: N. Clifford,[1642363],1610612758.0,SAC,,,,,,,,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,
305,PT02M58.00S,2026-02-26T02:02:00.9Z,2,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1642875,,,1610612758,64,41,2026-02-26T02:02:00Z,3020000,False,,,0,,M. Raynaud Free Throw 2 of 2 (5 PTS),[1642875],1610612758.0,SAC,,,,,,,,,,Made,Raynaud,M. Raynaud,,,,,,,5.0,,,,,,,,,,,,
307,PT02M43.00S,2026-02-26T02:02:19.3Z,2,REGULAR,foul,personal,['2freethrow'],201566,,,1610612745,64,41,2026-02-26T02:02:58Z,3030000,False,,,0,,R. Westbrook shooting personal FOUL (2 PF) (Sengun 2 FT),"[201566, 1630578]",1610612758.0,SAC,shooting,,,,,,Restricted Area,0-8 Center,,,Westbrook,R. Westbrook,,,,,,,,203593.0,,,,,,,,2.0,0.0,Sengun,1630578.0
309,PT02M43.00S,2026-02-26T02:02:59.0Z,2,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,65,41,2026-02-26T02:02:59Z,3050000,False,,,0,,A. Sengun Free Throw 1 of 2 (14 PTS),[1630578],1610612745.0,HOU,,,,,,,,,,Made,Sengun,A. Sengun,,,,,,,14.0,,,,,,,,,,,,
310,PT02M43.00S,2026-02-26T02:03:17.3Z,2,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,66,41,2026-02-26T02:03:17Z,3060000,False,,,0,,A. Sengun Free Throw 2 of 2 (15 PTS),[1630578],1610612745.0,HOU,,,,,,,,,,Made,Sengun,A. Sengun,,,,,,,15.0,,,,,,,,,,,,
311,PT02M29.00S,2026-02-26T02:03:34.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,15.719448094612352,59.55882352941176,1610612758,66,43,2026-02-26T02:03:39Z,3070000,False,-48.0,95.0,1,left,D. DeRozan 10' pullup Jump Shot (7 PTS) (M. Raynaud 2 AST),"[201942, 1642875]",1610612758.0,SAC,pullup,,,,,,In The Paint (Non-RA),8-16 Center,10.66,Made,DeRozan,D. DeRozan,,,,,,,7.0,,,M. Raynaud,1642875.0,2.0,,,,,,,
313,PT02M04.00S,2026-02-26T02:03:58.8Z,2,REGULAR,turnover,bad pass,[],1642263,,,1610612745,66,43,2026-02-26T02:04:02Z,3090000,False,,,0,,R. Sheppard bad pass TURNOVER (1 TO),"[1642263, 1642363]",1610612745.0,HOU,,,,,,,In The Paint (Non-RA),8-16 Center,,,Sheppard,R. Sheppard,,,,,,,,,1.0,,,,,Clifford,1642363.0,,,,
314,PT02M04.00S,2026-02-26T02:03:58.8Z,2,REGULAR,steal,,[],1642363,,,1610612758,66,43,2026-02-26T02:04:00Z,3100000,False,,,0,,N. Clifford STEAL (1 STL),[1642363],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,
315,PT02M00.00S,2026-02-26T02:04:02.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631342,4.681340341655716,50.49019607843137,1610612758,66,45,2026-02-26T02:04:11Z,3110000,False,-2.0,-8.0,1,left,D. Plowden running DUNK (5 PTS) (D. DeRozan 4 AST),"[1631342, 201942]",1610612758.0,SAC,running,,,,,,Restricted Area,0-8 Center,0.89,Made,Plowden,D. Plowden,,,,,,,5.0,,,D. DeRozan,201942.0,4.0,,,,,,,
317,PT01M47.00S,2026-02-26T02:04:15.8Z,2,REGULAR,3pt,Jump Shot,[],1642263,69.07030223390277,14.460784313725492,1610612745,69,45,2026-02-26T02:04:19Z,3130000,False,-178.0,238.0,1,right,R. Sheppard 29' 3PT  (20 PTS) (A. Sengun 6 AST),"[1642263, 1630578]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,29.72,Made,Sheppard,R. Sheppard,,,,,,,20.0,,,A. Sengun,1630578.0,6.0,,,,,,,
319,PT01M31.00S,2026-02-26T02:04:31.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,19.004599211563733,55.88235294117647,1610612758,69,47,2026-02-26T02:04:35Z,3150000,False,-29.0,126.0,1,left,R. Westbrook 12' fadeaway Jump Shot (19 PTS),[201566],1610612758.0,SAC,fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,12.95,Made,Westbrook,R. Westbrook,,,,,,,19.0,,,,,,,,,,,,
320,PT01M22.00S,2026-02-26T02:04:43.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201942,,,1610612745,69,47,2026-02-26T02:07:47Z,3160000,False,,,0,,D. DeRozan flagrant-type-1 personal FOUL (1 PF) (Sengun 2 FT),"[201942, 1630578]",1610612758.0,SAC,flagrant-type-1,,,,,,Above the Break 3,24+ Right Center,,,DeRozan,D. DeRozan,,,,,,,,203593.0,,,,,,,,1.0,0.0,Sengun,1630578.0
323,PT01M22.00S,2026-02-26T02:06:58.4Z,2,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,69,47,2026-02-26T02:10:09Z,3190000,False,,,0,,MISS A. Sengun flagrant Free Throw 1 of 2,[1630578],1610612745.0,HOU,flagrant,,,,,,,,,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,
324,PT01M22.00S,2026-02-26T02:06:58.4Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,69,47,2026-02-26T02:10:09Z,3200000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,323.0,,,,,,,,,,,,,,,,
325,PT01M22.00S,2026-02-26T02:06:58.4Z,2,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,70,47,2026-02-26T02:10:09Z,3210000,False,,,0,,A. Sengun flagrant Free Throw 2 of 2 (16 PTS),[1630578],1610612745.0,HOU,flagrant,,,,,,,,,Made,Sengun,A. Sengun,,,,,,,16.0,,,,,,,,,,,,
326,PT01M16.00S,2026-02-26T02:07:34.3Z,2,REGULAR,3pt,Jump Shot,[],1631106,78.79434954007884,96.32352941176471,1610612745,73,47,2026-02-26T02:07:40Z,3220000,False,232.0,147.0,1,right,T. Eason 27' 3PT  (6 PTS) (A. Sengun 7 AST),"[1631106, 1630578]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,27.42,Made,Eason,T. Eason,,,,,,,6.0,,,A. Sengun,1630578.0,7.0,,,,,,,
328,PT01M01.00S,2026-02-26T02:07:48.5Z,2,REGULAR,3pt,Jump Shot,[],1642363,27.283180026281208,83.57843137254902,1610612758,73,47,2026-02-26T02:07:54Z,3240000,False,-168.0,204.0,1,left,MISS N. Clifford 26' pullup 3PT,[1642363],1610612758.0,SAC,pullup,,,,,,Above the Break 3,24+ Left Center,26.42,Missed,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,
329,PT01M00.00S,2026-02-26T02:07:49.5Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,73,47,2026-02-26T02:07:54Z,3250000,False,,,0,,A. Sengun REBOUND (Off:4 Def:5),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Sengun,A. Sengun,,,328.0,9.0,5.0,4.0,,,,,,,,,,,,,
330,PT00M50.80S,2026-02-26T02:08:00.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,90.62089356110381,58.08823529411765,1610612745,75,47,2026-02-26T02:18:56Z,3260000,False,40.0,36.0,1,right,A. Sengun driving finger roll Layup (18 PTS),[1630578],1610612745.0,HOU,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,5.39,Made,Sengun,A. Sengun,,,,,,,18.0,,,,,,,,,,,,
331,PT00M43.30S,2026-02-26T02:08:10.8Z,2,REGULAR,3pt,Jump Shot,[],1631342,29.6484888304862,23.284313725490197,1610612758,75,47,2026-02-26T02:08:15Z,3270000,False,134.0,226.0,1,left,MISS D. Plowden 26' 3PT,[1631342],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Right Center,26.27,Missed,Plowden,D. Plowden,,,,,,,,,,,,,,,,,,,
332,PT00M40.90S,2026-02-26T02:08:13.4Z,2,REGULAR,rebound,offensive,[],1642875,,,1610612758,75,47,2026-02-26T02:08:13Z,3280000,False,,,0,,M. Raynaud REBOUND (Off:3 Def:3),[1642875],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Right Center,,,Raynaud,M. Raynaud,,,331.0,6.0,3.0,3.0,,,,,,,,,,,,,
333,PT00M32.90S,2026-02-26T02:08:21.3Z,2,REGULAR,turnover,lost ball,[],1642363,,,1610612758,75,47,2026-02-26T02:08:25Z,3290000,False,,,0,,N. Clifford lost ball TURNOVER (1 TO),"[1642363, 1642263]",1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Clifford,N. Clifford,,,,,,,,,1.0,,,,,Sheppard,1642263.0,,,,
334,PT00M32.90S,2026-02-26T02:08:21.3Z,2,REGULAR,steal,,[],1642263,,,1610612745,75,47,2026-02-26T02:08:23Z,3300000,False,,,0,,R. Sheppard STEAL (1 STL),[1642263],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,
