actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
267,PT06M37.00S,2022-10-23T00:58:06.8Z,2,REGULAR,block,,[],201572,,,1610612745,51,30,2022-10-23T00:58:09Z,2530000,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
268,PT06M33.00S,2022-10-23T00:58:10.8Z,2,REGULAR,rebound,defensive,[],201950,,,1610612749,51,30,2022-10-23T00:58:17Z,2540000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,266.0,1.0,1.0,0.0,,,,,,,,,,,,,,
269,PT06M32.00S,2022-10-23T00:58:12.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626171,6.258212877792378,52.69607843137255,1610612749,53,30,2022-10-23T00:58:25Z,2550000,-13.0,6.0,1,left,B. Portis running Layup (5 PTS) (J. Holiday 5 AST),"[1626171, 201950]",1610612749.0,MIL,running,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,1.49,Made,,,,,,,,5.0,,J. Holiday,201950.0,5.0,,,,,,
271,PT06M19.00S,2022-10-23T00:58:29.4Z,2,REGULAR,foul,personal,['2freethrow'],1628975,,,1610612745,53,30,2022-10-23T00:58:51Z,2570000,,,0,,J. Carter shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1628975, 1629645]",1610612749.0,MIL,shooting,,,Carter,J. Carter,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1155.0,,,,1.0,0.0,Porter Jr.,1629645.0,,
274,PT06M19.00S,2022-10-23T00:58:52.2Z,2,REGULAR,freethrow,1 of 2,[],1629645,,,1610612745,53,31,2022-10-23T00:58:52Z,2590000,,,0,,K. Porter Jr. Free Throw 1 of 2 (5 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Made,,,,,,,,5.0,,,,,,,,,,
275,PT06M19.00S,2022-10-23T00:58:53.6Z,2,REGULAR,substitution,out,[],1628975,,,1610612745,53,31,2022-10-23T00:59:08Z,2600000,,,0,,SUB out: J. Carter,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
276,PT06M19.00S,2022-10-23T00:58:53.6Z,2,REGULAR,substitution,out,[],1631106,,,1610612745,53,31,2022-10-23T00:59:08Z,2610000,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
277,PT06M19.00S,2022-10-23T00:58:53.6Z,2,REGULAR,substitution,out,[],1629726,,,1610612745,53,31,2022-10-23T00:59:08Z,2620000,,,0,,SUB out: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT06M19.00S,2022-10-23T00:58:53.6Z,2,REGULAR,substitution,in,[],201588,,,1610612745,53,31,2022-10-23T00:59:08Z,2630000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
279,PT06M19.00S,2022-10-23T00:58:53.6Z,2,REGULAR,substitution,in,[],1630231,,,1610612745,53,31,2022-10-23T00:59:08Z,2640000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT06M19.00S,2022-10-23T00:58:53.6Z,2,REGULAR,substitution,in,[],1630224,,,1610612745,53,31,2022-10-23T00:59:08Z,2650000,,,0,,SUB in: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT06M19.00S,2022-10-23T00:59:10.2Z,2,REGULAR,freethrow,2 of 2,[],1629645,,,1610612745,53,32,2022-10-23T00:59:10Z,2660000,,,0,,K. Porter Jr. Free Throw 2 of 2 (6 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Made,,,,,,,,6.0,,,,,,,,,,
282,PT06M05.00S,2022-10-23T00:59:23.7Z,2,REGULAR,3pt,Jump Shot,[],201950,34.37910643889619,48.77450980392157,1610612749,56,32,2022-10-23T00:59:32Z,2670000,6.0,271.0,1,left,J. Holiday 27' 3PT pullup (15 PTS),[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,27.08,Made,,,,,,,,15.0,,,,,,,,,,
283,PT05M54.00S,2022-10-23T00:59:33.4Z,2,REGULAR,3pt,Jump Shot,[],1630224,67.36202365308804,39.950980392156865,1610612745,56,35,2022-10-23T00:59:39Z,2680000,-50.0,254.0,1,right,J. Green 25' 3PT pullup (10 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,25.92,Made,,,,,,,,10.0,,,,,,,,,,
284,PT05M37.00S,2022-10-23T00:59:51.6Z,2,REGULAR,turnover,lost ball,[],1626171,,,1610612749,56,35,2022-10-23T00:59:59Z,2690000,,,0,,B. Portis lost ball TURNOVER (1 TO),"[1626171, 1630586]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1.0,Garuba,1630586.0,,,,,,,,,,,
285,PT05M37.00S,2022-10-23T00:59:51.6Z,2,REGULAR,steal,,[],1630586,,,1610612745,56,35,2022-10-23T01:01:45Z,2700000,,,0,,U. Garuba STEAL (2 STL),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
286,PT05M32.00S,2022-10-23T00:59:55.8Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630224,93.11760840998686,51.225490196078425,1610612745,56,37,2022-10-23T01:00:04Z,2710000,6.0,12.0,1,right,J. Green running alley-oop DUNK (12 PTS) (K. Porter Jr. 3 AST),"[1630224, 1629645]",1610612745.0,HOU,running alley-oop,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.36,Made,,,,,,,,12.0,,K. Porter Jr.,1629645.0,3.0,,,,,,
288,PT05M19.00S,2022-10-23T01:00:09.5Z,2,REGULAR,turnover,lost ball,[],201950,,,1610612749,56,37,2022-10-23T01:22:26Z,2730000,,,0,,J. Holiday lost ball TURNOVER (1 TO),"[201950, 1629645]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Right,,,,,,,1.0,Porter Jr.,1629645.0,,,,,,,,,,,
289,PT05M19.00S,2022-10-23T01:00:09.5Z,2,REGULAR,steal,,[],1629645,,,1610612745,56,37,2022-10-23T01:00:12Z,2740000,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
290,PT05M13.00S,2022-10-23T01:00:14.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630224,92.19776609724047,51.225490196078425,1610612745,56,37,2022-10-23T01:00:22Z,2750000,6.0,21.0,1,right,MISS J. Green running alley-oop DUNK,[1630224],1610612745.0,HOU,running alley-oop,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
291,PT05M11.00S,2022-10-23T01:00:17.1Z,2,REGULAR,rebound,offensive,[],1629645,,,1610612745,56,37,2022-10-23T01:00:17Z,2760000,,,0,,K. Porter Jr. REBOUND (Off:1 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,290.0,2.0,1.0,1.0,,,,,,,,,,,,,,
292,PT05M07.00S,2022-10-23T01:00:21.4Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629645,73.01248357424441,14.460784313725492,1610612745,56,37,2022-10-23T01:00:30Z,2770000,-178.0,201.0,1,right,MISS K. Porter Jr. 26' pullup 3PT,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.84,Missed,,,,,,,,,,,,,,,,,,
293,PT05M04.00S,2022-10-23T01:00:24.4Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,56,37,2022-10-23T01:00:30Z,2780000,,,0,,B. Portis REBOUND (Off:1 Def:4),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,292.0,5.0,4.0,1.0,,,,,,,,,,,,,,
294,PT04M52.00S,2022-10-23T01:00:35.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,10.463206307490145,40.931372549019606,1610612749,58,37,2022-10-23T01:00:42Z,2790000,45.0,46.0,1,left,B. Portis 6' driving finger roll Layup (7 PTS),[1626171],1610612749.0,MIL,driving finger roll,,,Portis,B. Portis,,,,,In The Paint (Non-RA),0-8 Center,6.45,Made,,,,,,,,7.0,,,,,,,,,,
295,PT04M33.00S,2022-10-23T01:00:55.2Z,2,REGULAR,3pt,Jump Shot,[],1630224,73.9323258869908,10.784313725490197,1610612745,58,40,2022-10-23T01:01:00Z,2800000,-196.0,193.0,1,right,J. Green 27' 3PT step back (15 PTS),[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,27.48,Made,,,,,,,,15.0,,,,,,,,,,
296,PT04M18.00S,2022-10-23T01:01:10.5Z,2,REGULAR,3pt,Jump Shot,[],201572,35.69316688567674,45.34313725490196,1610612749,58,40,2022-10-23T01:01:19Z,2810000,23.0,283.0,1,left,MISS B. Lopez 28' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,28.4,Missed,,,,,,,,,,,,,,,,,,
297,PT04M15.00S,2022-10-23T01:01:13.5Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,58,40,2022-10-23T01:01:19Z,2820000,,,0,,J. Smith Jr. REBOUND (Off:1 Def:4),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,,,296.0,5.0,4.0,1.0,,,,,,,,,,,,,,
298,PT04M09.00S,2022-10-23T01:01:19.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630231,92.46057818659659,51.225490196078425,1610612745,58,40,2022-10-23T01:01:28Z,2830000,6.0,18.0,1,right,MISS K. Martin Jr. cutting DUNK - blocked,"[1630231, 201572]",1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,Lopez,201572.0
299,PT04M09.00S,2022-10-23T01:01:19.3Z,2,REGULAR,block,,[],201572,,,1610612745,58,40,2022-10-23T01:01:22Z,2840000,,,0,,B. Lopez BLOCK (2 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
300,PT04M06.00S,2022-10-23T01:01:22.3Z,2,REGULAR,rebound,defensive,[],201572,,,1610612749,58,40,2022-10-23T01:01:28Z,2850000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,298.0,1.0,1.0,0.0,,,,,,,,,,,,,,
301,PT03M55.00S,2022-10-23T01:01:33.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201950,9.806176084099869,51.225490196078425,1610612749,58,40,2022-10-23T01:02:14Z,2860000,-6.0,40.0,1,left,MISS J. Holiday driving Layup,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,4.02,Missed,,,,,,,,,,,,,,,,,,
302,PT03M55.00S,2022-10-23T01:01:33.3Z,2,REGULAR,rebound,defensive,[],1630586,,,1610612745,58,40,2022-10-23T01:02:14Z,2870000,,,0,,U. Garuba REBOUND (Off:2 Def:4),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Restricted Area,0-8 Center,,,301.0,6.0,4.0,2.0,,,,,,,,,,,,,,
303,PT03M44.00S,2022-10-23T01:01:45.3Z,2,REGULAR,3pt,Jump Shot,[],1630224,72.48685939553219,13.23529411764706,1610612745,58,43,2022-10-23T01:21:02Z,2880000,-184.0,206.0,1,right,J. Green 27' 3PT pullup (18 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,27.62,Made,,,,,,,,18.0,,,,,,,,,,
304,PT03M43.00S,2022-10-23T01:01:52.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,58,43,2022-10-23T01:01:52Z,2890000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT03M43.00S,2022-10-23T01:04:15.7Z,2,REGULAR,substitution,out,[],1626171,,,1610612749,58,43,2022-10-23T01:04:40Z,2900000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT03M43.00S,2022-10-23T01:04:15.7Z,2,REGULAR,substitution,out,[],201950,,,1610612749,58,43,2022-10-23T01:04:40Z,2910000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT03M43.00S,2022-10-23T01:04:15.7Z,2,REGULAR,substitution,out,[],1630586,,,1610612749,58,43,2022-10-23T01:04:40Z,2920000,,,0,,SUB out: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT03M43.00S,2022-10-23T01:04:15.7Z,2,REGULAR,substitution,in,[],202083,,,1610612749,58,43,2022-10-23T01:04:40Z,2930000,,,0,,SUB in: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT03M43.00S,2022-10-23T01:04:15.7Z,2,REGULAR,substitution,in,[],203507,,,1610612749,58,43,2022-10-23T01:04:40Z,2940000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT03M43.00S,2022-10-23T01:04:15.7Z,2,REGULAR,substitution,in,[],1630578,,,1610612749,58,43,2022-10-23T01:04:40Z,2950000,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT03M19.00S,2022-10-23T01:05:13.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203507,6.389618922470433,51.71568627450981,1610612749,60,43,2022-10-23T01:05:18Z,2960000,-9.0,8.0,1,left,G. Antetokounmpo driving finger roll Layup (13 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,,,,13.0,,,,,,,,,,
312,PT03M06.00S,2022-10-23T01:05:28.2Z,2,REGULAR,foul,personal,['2freethrow'],201572,,,1610612745,60,43,2022-10-23T01:05:53Z,2970000,,,0,,B. Lopez shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[201572, 1629645]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202041.0,,,,1.0,0.0,Porter Jr.,1629645.0,,
314,PT03M06.00S,2022-10-23T01:05:55.3Z,2,REGULAR,freethrow,1 of 2,[],1629645,,,1610612745,60,44,2022-10-23T01:05:55Z,2990000,,,0,,K. Porter Jr. Free Throw 1 of 2 (7 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Made,,,,,,,,7.0,,,,,,,,,,
315,PT03M06.00S,2022-10-23T01:05:57.1Z,2,REGULAR,substitution,out,[],1628960,,,1610612745,60,44,2022-10-23T01:06:03Z,3000000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT03M06.00S,2022-10-23T01:05:57.1Z,2,REGULAR,substitution,in,[],1629670,,,1610612745,60,44,2022-10-23T01:06:03Z,3010000,,,0,,SUB in: J. Nwora,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT03M06.00S,2022-10-23T01:06:11.3Z,2,REGULAR,freethrow,2 of 2,[],1629645,,,1610612745,60,45,2022-10-23T01:06:11Z,3020000,,,0,,K. Porter Jr. Free Throw 2 of 2 (8 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Made,,,,,,,,8.0,,,,,,,,,,
318,PT02M59.00S,2022-10-23T01:06:28.4Z,2,REGULAR,foul,personal,[],1630578,,,1610612749,60,45,2022-10-23T01:06:40Z,3030000,,,0,,A. Sengun personal FOUL (2 PF),"[1630578, 201572]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628954.0,,,,2.0,0.0,Lopez,201572.0,,
320,PT02M46.00S,2022-10-23T01:07:03.7Z,2,REGULAR,turnover,out-of-bounds,[],1629670,,,1610612749,60,45,2022-10-23T01:07:10Z,3050000,,,0,,J. Nwora bad pass out-of-bounds TURNOVER (1 TO),[1629670],1610612749.0,MIL,bad pass,,,Nwora,J. Nwora,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,,,,1628954.0,,,,,,,,,
321,PT02M39.00S,2022-10-23T01:07:14.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630224,90.48948751642575,53.67647058823529,1610612745,60,45,2022-10-23T01:07:55Z,3060000,18.0,37.0,1,right,MISS J. Green driving Layup,[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,4.12,Missed,,,,,,,,,,,,,,,,,,
322,PT02M38.00S,2022-10-23T01:07:15.6Z,2,REGULAR,rebound,offensive,[],1630578,,,1610612745,60,45,2022-10-23T01:07:55Z,3070000,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,321.0,3.0,2.0,1.0,,,,,,,,,,,,,,
323,PT02M37.00S,2022-10-23T01:07:24.5Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630578,94.40999984741211,50.0,1610612745,60,47,2022-10-23T01:08:08Z,3080000,0.0,0.0,1,right,A. Sengun putback Layup (4 PTS),[1630578],1610612745.0,HOU,putback,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,4.0,,,,,,,,,,
324,PT02M17.00S,2022-10-23T01:07:35.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.966491458607096,51.225490196078425,1610612749,62,47,2022-10-23T01:07:40Z,3090000,-6.0,22.0,1,left,G. Antetokounmpo finger roll Layup (15 PTS),[203507],1610612749.0,MIL,finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.32,Made,,,,,,,,15.0,,,,,,,,,,
325,PT02M02.00S,2022-10-23T01:07:49.9Z,2,REGULAR,3pt,Jump Shot,[],1630578,68.9388961892247,24.264705882352942,1610612745,62,47,2022-10-23T01:08:13Z,3100000,-129.0,239.0,1,right,MISS A. Sengun 27' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,27.19,Missed,,,,,,,,,,,,,,,,,,
326,PT02M02.00S,2022-10-23T01:07:49.9Z,2,REGULAR,rebound,defensive,[],1629670,,,1610612749,62,47,2022-10-23T01:08:13Z,3110000,,,0,,J. Nwora REBOUND (Off:0 Def:1),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,Above the Break 3,24+ Left Center,,,325.0,1.0,1.0,0.0,,,,,,,,,,,,,,
327,PT01M51.00S,2022-10-23T01:08:05.3Z,2,REGULAR,foul,personal,[],1629645,,,1610612749,62,47,2022-10-23T01:08:10Z,3120000,,,0,,K. Porter Jr. personal FOUL (2 PF),"[1629645, 203507]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1155.0,,,,2.0,0.0,Antetokounmpo,203507.0,,
329,PT01M45.00S,2022-10-23T01:08:26.2Z,2,REGULAR,3pt,Jump Shot,[],202083,33.85348226018397,39.705882352941174,1610612749,62,47,2022-10-23T01:08:32Z,3140000,51.0,266.0,1,left,MISS W. Matthews 27' 3PT,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,Above the Break 3,24+ Center,27.06,Missed,,,,,,,,,,,,,,,,,,
330,PT01M41.00S,2022-10-23T01:08:30.2Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,62,47,2022-10-23T01:08:32Z,3150000,,,0,,J. Smith Jr. REBOUND (Off:1 Def:5),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,,,329.0,6.0,5.0,1.0,,,,,,,,,,,,,,
331,PT01M31.00S,2022-10-23T01:08:39.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,90.62089356110381,51.470588235294116,1610612745,62,47,2022-10-23T01:08:47Z,3160000,7.0,36.0,1,right,MISS J. Green driving reverse Layup - blocked,"[1630224, 201572]",1610612745.0,HOU,driving reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.65,Missed,,,,,,,,,,,,,,,,,Lopez,201572.0
332,PT01M31.00S,2022-10-23T01:08:39.3Z,2,REGULAR,block,,[],201572,,,1610612745,62,47,2022-10-23T01:08:42Z,3170000,,,0,,B. Lopez BLOCK (3 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
333,PT01M28.00S,2022-10-23T01:08:42.3Z,2,REGULAR,rebound,defensive,[],201572,,,1610612749,62,47,2022-10-23T01:08:47Z,3180000,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,331.0,2.0,2.0,0.0,,,,,,,,,,,,,,
334,PT01M27.00S,2022-10-23T01:08:44.1Z,2,REGULAR,turnover,lost ball,[],1629670,,,1610612749,62,47,2022-10-23T01:16:45Z,3190000,,,0,,J. Nwora lost ball TURNOVER (2 TO),"[1629670, 1630578]",1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,Above the Break 3,24+ Center,,,,,,,2.0,Sengun,1630578.0,,,,,,,,,,,
335,PT01M27.00S,2022-10-23T01:08:44.1Z,2,REGULAR,steal,,[],1630578,,,1610612745,62,47,2022-10-23T01:08:47Z,3200000,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
336,PT01M22.00S,2022-10-23T01:08:49.5Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630224,92.72339027595268,46.568627450980394,1610612745,62,47,2022-10-23T01:17:45Z,3210000,-17.0,16.0,1,right,MISS J. Green running reverse Layup,[1630224],1610612745.0,HOU,running reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,,,,,
337,PT01M19.00S,2022-10-23T01:08:52.5Z,2,REGULAR,rebound,defensive,[],1629670,,,1610612749,62,47,2022-10-23T01:08:57Z,3220000,,,0,,J. Nwora REBOUND (Off:0 Def:2),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,Restricted Area,0-8 Center,,,336.0,2.0,2.0,0.0,,,,,,,,,,,,,,
338,PT01M15.00S,2022-10-23T01:08:55.8Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",203507,8.360709592641262,52.450980392156865,1610612749,64,47,2022-10-23T01:09:44Z,3230000,-12.0,26.0,1,left,G. Antetokounmpo running DUNK (17 PTS) (G. Hill 3 AST),"[203507, 201588]",1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.89,Made,,,,,,,,17.0,,G. Hill,201588.0,3.0,,,,,,
340,PT01M01.00S,2022-10-23T01:09:12.8Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201588,,,1610612745,64,47,2022-10-23T01:09:24Z,3250000,,,0,,G. Hill shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[201588, 1629645]",1610612749.0,MIL,shooting,,,Hill,G. Hill,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1155.0,,,,1.0,0.0,Porter Jr.,1629645.0,,
342,PT01M01.00S,2022-10-23T01:09:35.6Z,2,REGULAR,freethrow,1 of 2,[],1629645,,,1610612745,64,48,2022-10-23T01:09:59Z,3270000,,,0,,K. Porter Jr. Free Throw 1 of 2 (9 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Made,,,,,,,,9.0,,,,,,,,,,
343,PT01M01.00S,2022-10-23T01:09:37.5Z,2,REGULAR,substitution,out,[],201572,,,1610612745,64,48,2022-10-23T01:09:41Z,3280000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT01M01.00S,2022-10-23T01:09:37.5Z,2,REGULAR,substitution,in,[],1626171,,,1610612745,64,48,2022-10-23T01:09:41Z,3290000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT01M01.00S,2022-10-23T01:09:35.6Z,2,REGULAR,freethrow,2 of 2,[],1629645,,,1610612745,64,48,2022-10-23T01:09:59Z,3300000,,,0,,MISS K. Porter Jr. Free Throw 2 of 2,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
346,PT00M58.50S,2022-10-23T01:09:38.1Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,64,48,2022-10-23T01:09:59Z,3310000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,345.0,6.0,5.0,1.0,,,,,,,,,,,,,,
