actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
339,PT00M13.80S,2025-04-12T02:06:48.5Z,2,REGULAR,steal,,[],1630553,,,1610612751,64,49,2025-04-12T02:06:50Z,3370000,False,,,0,,K. Johnson STEAL (1 STL),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
340,PT00M00.40S,2025-04-12T02:07:02.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630553,75.97322601839684,11.297487745098039,1610612751,64,52,2025-04-12T02:07:10Z,3380000,False,-194.0,173.0,1,right,K. Johnson 25' 3PT  (10 PTS) (T. Watford 3 AST),"[1630553, 1630570]",1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,25.98,Made,,,,,,,,,,,,10.0,T. Watford,1630570.0,3.0,,,
343,PT00M00.00S,2025-04-12T02:07:42.1Z,2,REGULAR,period,end,[],0,,,1610612750,64,52,2025-04-12T02:07:42Z,3410000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT12M00.00S,2025-04-12T02:22:39.7Z,3,REGULAR,substitution,out,['startperiod'],1628978,,,1610612750,64,52,2025-04-12T02:22:56Z,3420000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT12M00.00S,2025-04-12T02:22:39.7Z,3,REGULAR,substitution,out,['startperiod'],1631213,,,1610612750,64,52,2025-04-12T02:22:56Z,3430000,False,,,0,,SUB out: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT12M00.00S,2025-04-12T02:22:39.7Z,3,REGULAR,substitution,in,['startperiod'],201144,,,1610612750,64,52,2025-04-12T02:22:56Z,3440000,False,,,0,,SUB in: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT12M00.00S,2025-04-12T02:22:39.7Z,3,REGULAR,substitution,in,['startperiod'],1630592,,,1610612750,64,52,2025-04-12T02:22:56Z,3450000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
348,PT12M00.00S,2025-04-12T02:23:06.0Z,3,REGULAR,period,start,[],0,,,1610612750,64,52,2025-04-12T02:23:06Z,3460000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT11M40.00S,2025-04-12T02:23:26.7Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1630183,93.38042049934296,50.98039215686274,1610612750,66,52,2025-04-12T02:24:11Z,3470000,False,5.0,10.0,1,right,J. McDaniels DUNK (9 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,,,,,,9.0,A. Edwards,1630162.0,1.0,,,
351,PT11M15.00S,2025-04-12T02:23:51.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630553,7.30946123521682,44.36274509803921,1610612751,66,54,2025-04-12T02:25:07Z,3490000,False,28.0,16.0,1,left,K. Johnson driving Layup (12 PTS) (R. Beekman 2 AST),"[1630553, 1641736]",1610612751.0,BKN,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,3.25,Made,,,,,,,,,,,,12.0,R. Beekman,1641736.0,2.0,,,
352,PT10M55.00S,2025-04-12T02:24:12.0Z,3,REGULAR,foul,personal,[],1631166,,,1610612750,66,54,2025-04-12T02:24:22Z,3500000,False,,,0,,D. Timme personal FOUL (1 PF),"[1631166, 203497]",1610612751.0,BKN,,,,Timme,D. Timme,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1628159.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,
356,PT10M49.00S,2025-04-12T02:25:39.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203497,92.32917214191852,50.0,1610612750,68,54,2025-04-12T02:25:47Z,3530000,False,0.0,20.0,1,right,R. Gobert cutting Layup (18 PTS) (A. Edwards 2 AST),"[203497, 1630162]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.96,Made,,,,,,,,,,,,18.0,A. Edwards,1630162.0,2.0,,,
358,PT10M28.00S,2025-04-12T02:26:00.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630570,10.249671484888305,50.268075980392155,1610612751,68,56,2025-04-12T02:26:13Z,3550000,False,-1.0,44.0,1,left,T. Watford driving floating Jump Shot (8 PTS),[1630570],1610612751.0,BKN,driving floating,,,Watford,T. Watford,,,,,In The Paint (Non-RA),0-8 Center,4.38,Made,,,,,,,,,,,,8.0,,,,,,
359,PT10M10.00S,2025-04-12T02:26:19.2Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1630183,93.38042049934296,51.225490196078425,1610612750,70,56,2025-04-12T02:26:26Z,3560000,False,6.0,10.0,1,right,J. McDaniels alley-oop DUNK (11 PTS) (R. Gobert 1 AST),"[1630183, 203497]",1610612750.0,MIN,alley-oop,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,,,,,,,,11.0,R. Gobert,203497.0,1.0,,,
361,PT09M47.00S,2025-04-12T02:26:41.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630570,11.908672798948752,47.30392156862745,1610612751,70,56,2025-04-12T02:26:48Z,3580000,False,13.0,59.0,1,left,MISS T. Watford 6' driving finger roll Layup,[1630570],1610612751.0,BKN,driving finger roll,,,Watford,T. Watford,,,,,In The Paint (Non-RA),0-8 Center,6.09,Missed,,,,,,,,,,,,,,,,,,
362,PT09M45.00S,2025-04-12T02:26:43.6Z,3,REGULAR,rebound,defensive,[],203497,,,1610612750,70,56,2025-04-12T02:26:48Z,3590000,False,,,0,,R. Gobert REBOUND (Off:2 Def:5),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,361.0,,,,,,7.0,5.0,2.0,,,,,,,
363,PT09M38.00S,2025-04-12T02:26:52.4Z,3,REGULAR,foul,personal,['2freethrow'],1631166,,,1610612750,70,56,2025-04-12T02:27:03Z,3600000,False,,,0,,D. Timme shooting personal FOUL (2 PF) (Gobert 2 FT),"[1631166, 203497]",1610612751.0,BKN,shooting,,,Timme,D. Timme,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1662.0,2.0,0.0,Gobert,203497.0,,,,,,,,,,
365,PT09M38.00S,2025-04-12T02:27:21.8Z,3,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,71,56,2025-04-12T02:27:47Z,3620000,False,,,0,,R. Gobert Free Throw 1 of 2 (19 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,,,,,,,,,,19.0,,,,,,
366,PT09M38.00S,2025-04-12T02:27:21.8Z,3,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,71,56,2025-04-12T02:27:47Z,3630000,False,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
367,PT09M35.00S,2025-04-12T02:27:24.8Z,3,REGULAR,rebound,defensive,[],1630592,,,1610612751,71,56,2025-04-12T02:27:47Z,3640000,False,,,0,,J. Wilson REBOUND (Off:1 Def:4),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,366.0,,,,,,5.0,4.0,1.0,,,,,,,
368,PT09M26.00S,2025-04-12T02:27:56.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630553,6.258212877792378,52.94117647058824,1610612751,71,58,2025-04-12T02:29:49Z,3650000,False,-15.0,6.0,1,left,K. Johnson driving Layup (14 PTS) (D. Timme 1 AST),"[1630553, 1631166]",1610612751.0,BKN,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,1.6,Made,,,,,,,,,,,,14.0,D. Timme,1631166.0,1.0,,,
370,PT09M26.00S,2025-04-12T02:28:00.9Z,3,REGULAR,foul,personal,['1freethrow'],203497,,,1610612751,71,58,2025-04-12T02:28:08Z,3670000,False,,,0,,R. Gobert shooting personal FOUL (2 PF) (Johnson 1 FT),"[203497, 1630553]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,1662.0,2.0,0.0,Johnson,1630553.0,,,,,,,,,,
372,PT09M26.00S,2025-04-12T02:28:28.8Z,3,REGULAR,freethrow,1 of 1,[],1630553,,,1610612751,71,59,2025-04-12T02:28:28Z,3690000,False,,,0,,K. Johnson Free Throw 1 of 1 (15 PTS),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,Made,,,,,,,,,,,,15.0,,,,,,
373,PT09M13.00S,2025-04-12T02:28:48.5Z,3,REGULAR,foul,personal,[],1630570,,,1610612750,71,59,2025-04-12T02:28:54Z,3700000,False,,,0,,T. Watford personal FOUL (2 PF),"[1630570, 203944]",1610612751.0,BKN,,,,Watford,T. Watford,,,,,Mid-Range,16-24 Left Center,,,,,,1628159.0,2.0,0.0,Randle,203944.0,,,,,,,,,,
375,PT09M03.00S,2025-04-12T02:29:13.0Z,3,REGULAR,3pt,Jump Shot,[],203944,69.72733245729303,26.96078431372549,1610612750,74,59,2025-04-12T02:29:20Z,3720000,False,-115.0,232.0,1,right,J. Randle 25' 3PT step back (15 PTS),[203944],1610612750.0,MIN,step back,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.91,Made,,,,,,,,,,,,15.0,,,,,,
376,PT08M39.00S,2025-04-12T02:29:37.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630570,14.4053876478318,44.11764705882353,1610612751,74,59,2025-04-12T02:30:52Z,3730000,False,29.0,83.0,1,left,MISS T. Watford 8' driving floating Shot,[1630570],1610612751.0,BKN,driving floating,,,Watford,T. Watford,,,,,In The Paint (Non-RA),8-16 Center,8.8,Missed,,,,,,,,,,,,,,,,,,
377,PT08M37.00S,2025-04-12T02:29:39.0Z,3,REGULAR,rebound,defensive,[],201144,,,1610612750,74,59,2025-04-12T02:29:41Z,3740000,False,,,0,,M. Conley REBOUND (Off:0 Def:2),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,,,,,376.0,,,,,,2.0,2.0,0.0,,,,,,,
378,PT08M30.00S,2025-04-12T02:29:46.7Z,3,REGULAR,3pt,Jump Shot,[],1630162,91.27792378449409,4.6568627450980395,1610612750,74,59,2025-04-12T02:29:53Z,3750000,False,-227.0,29.0,1,right,MISS A. Edwards step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Left Corner 3,24+ Left,22.86,Missed,,,,,,,,,,,,,,,,,,
379,PT08M25.00S,2025-04-12T02:29:51.7Z,3,REGULAR,rebound,defensive,[],1630553,,,1610612751,74,59,2025-04-12T02:29:53Z,3760000,False,,,0,,K. Johnson REBOUND (Off:1 Def:3),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,,,,,378.0,,,,,,4.0,3.0,1.0,,,,,,,
380,PT08M17.00S,2025-04-12T02:29:58.8Z,3,REGULAR,3pt,Jump Shot,[],1630553,27.808804204993432,74.50980392156863,1610612751,74,59,2025-04-12T02:30:03Z,3770000,False,-123.0,209.0,1,left,MISS K. Johnson 24' 3PT,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,24.22,Missed,,,,,,,,,,,,,,,,,,
381,PT08M14.00S,2025-04-12T02:30:01.8Z,3,REGULAR,rebound,defensive,[],201144,,,1610612750,74,59,2025-04-12T02:30:03Z,3780000,False,,,0,,M. Conley REBOUND (Off:0 Def:3),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,,,,,380.0,,,,,,3.0,3.0,0.0,,,,,,,
382,PT08M01.00S,2025-04-12T02:30:16.6Z,3,REGULAR,foul,personal,['2freethrow'],1641736,,,1610612750,74,59,2025-04-12T02:30:26Z,3790000,False,,,0,,R. Beekman shooting personal FOUL (4 PF) (Gobert 2 FT),"[1641736, 203497]",1610612751.0,BKN,shooting,,,Beekman,R. Beekman,,,,,Restricted Area,0-8 Center,,,,,,1626300.0,4.0,0.0,Gobert,203497.0,,,,,,,,,,
384,PT08M01.00S,2025-04-12T02:30:49.2Z,3,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,74,59,2025-04-12T02:30:49Z,3810000,False,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
385,PT08M01.00S,2025-04-12T02:30:49.2Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,74,59,2025-04-12T02:30:49Z,3820000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,384.0,,,,,,,,,,,,,,,
386,PT08M01.00S,2025-04-12T02:30:50.0Z,3,REGULAR,substitution,out,[],203944,,,1610612750,74,59,2025-04-12T02:31:00Z,3830000,False,,,0,,SUB out: J. Randle,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
387,PT08M01.00S,2025-04-12T02:30:50.0Z,3,REGULAR,substitution,out,[],1641736,,,1610612750,74,59,2025-04-12T02:31:00Z,3840000,False,,,0,,SUB out: R. Beekman,[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,,,,,,,,,,,,,,,,,,,,,,
388,PT08M01.00S,2025-04-12T02:30:50.0Z,3,REGULAR,substitution,in,[],1629675,,,1610612750,74,59,2025-04-12T02:31:00Z,3850000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
389,PT08M01.00S,2025-04-12T02:30:50.0Z,3,REGULAR,substitution,in,[],1631213,,,1610612750,74,59,2025-04-12T02:31:00Z,3860000,False,,,0,,SUB in: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
390,PT08M01.00S,2025-04-12T02:31:18.6Z,3,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,75,59,2025-04-12T02:31:18Z,3870000,False,,,0,,R. Gobert Free Throw 2 of 2 (20 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,,,,,,,,,,20.0,,,,,,
391,PT07M42.00S,2025-04-12T02:31:40.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631166,8.229303547963205,44.6078431372549,1610612751,75,59,2025-04-12T02:31:48Z,3880000,False,27.0,25.0,1,left,MISS D. Timme Layup,[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,Restricted Area,0-8 Center,3.67,Missed,,,,,,,,,,,,,,,,,,
393,PT07M38.00S,2025-04-12T02:31:44.0Z,3,REGULAR,rebound,defensive,[],201144,,,1610612750,75,59,2025-04-12T02:31:48Z,3900000,False,,,0,,M. Conley REBOUND (Off:0 Def:4),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,,391.0,,,,,,4.0,4.0,0.0,,,,,,,
394,PT07M31.00S,2025-04-12T02:31:50.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203497,93.51182654402102,52.94117647058824,1610612750,77,59,2025-04-12T02:31:54Z,3910000,False,15.0,8.0,1,right,R. Gobert Layup (22 PTS) (M. Conley 4 AST),"[203497, 201144]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.7,Made,,,,,,,,,,,,22.0,M. Conley,201144.0,4.0,,,
396,PT07M21.00S,2025-04-12T02:32:01.2Z,3,REGULAR,turnover,bad pass,[],1631213,,,1610612751,77,59,2025-04-12T02:32:05Z,3930000,False,,,0,,T. Martin bad pass TURNOVER (2 TO),"[1631213, 201144]",1610612751.0,BKN,,,,Martin,T. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,2.0,Conley,201144.0
397,PT07M21.00S,2025-04-12T02:32:01.2Z,3,REGULAR,steal,,[],201144,,,1610612750,77,59,2025-04-12T02:32:03Z,3940000,False,,,0,,M. Conley STEAL (1 STL),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
398,PT07M17.00S,2025-04-12T02:32:05.6Z,3,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630162,69.59592641261499,27.450980392156865,1610612750,77,59,2025-04-12T02:34:04Z,3950000,False,-113.0,233.0,1,right,MISS A. Edwards 25' running pullup 3PT,[1630162],1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,25.91,Missed,,,,,,,,,,,,,,,,,,
399,PT07M15.00S,2025-04-12T02:32:07.6Z,3,REGULAR,rebound,defensive,[],1630570,,,1610612751,77,59,2025-04-12T02:35:10Z,3960000,False,,,0,,T. Watford REBOUND (Off:1 Def:5),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Left Center,,,,,398.0,,,,,,6.0,5.0,1.0,,,,,,,
400,PT07M07.00S,2025-04-12T02:32:15.0Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631213,6.521024967148489,54.166666666666664,1610612751,77,59,2025-04-12T02:32:25Z,3970000,False,-21.0,9.0,1,left,MISS T. Martin running reverse Layup,[1631213],1610612751.0,BKN,running reverse,,,Martin,T. Martin,,,,,Restricted Area,0-8 Center,2.26,Missed,,,,,,,,,,,,,,,,,,
401,PT07M05.00S,2025-04-12T02:32:17.0Z,3,REGULAR,rebound,defensive,[],1630162,,,1610612750,77,59,2025-04-12T02:32:49Z,3980000,False,,,0,,A. Edwards REBOUND (Off:0 Def:4),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,400.0,,,,,,4.0,4.0,0.0,,,,,,,
402,PT07M02.00S,2025-04-12T02:32:20.7Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203497,93.38042049934296,48.77450980392157,1610612750,79,59,2025-04-12T02:32:30Z,3990000,False,-6.0,10.0,1,right,R. Gobert running DUNK (24 PTS) (A. Edwards 3 AST),"[203497, 1630162]",1610612750.0,MIN,running,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,,,,,,,,24.0,A. Edwards,1630162.0,3.0,,,
404,PT07M02.00S,2025-04-12T02:32:32.5Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,79,59,2025-04-12T02:32:32Z,4010000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,PT07M02.00S,2025-04-12T02:34:49.6Z,3,REGULAR,substitution,out,[],1630183,,,1610612751,79,59,2025-04-12T02:35:11Z,4020000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
406,PT07M02.00S,2025-04-12T02:34:49.6Z,3,REGULAR,substitution,out,[],201144,,,1610612751,79,59,2025-04-12T02:35:11Z,4030000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
407,PT07M02.00S,2025-04-12T02:34:49.6Z,3,REGULAR,substitution,out,[],1630592,,,1610612751,79,59,2025-04-12T02:35:11Z,4040000,False,,,0,,SUB out: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
408,PT07M02.00S,2025-04-12T02:34:49.6Z,3,REGULAR,substitution,out,[],1631166,,,1610612751,79,59,2025-04-12T02:35:11Z,4050000,False,,,0,,SUB out: D. Timme,[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,,,,,,,,,,,,,,,,,,,,,,
409,PT07M02.00S,2025-04-12T02:34:49.6Z,3,REGULAR,substitution,in,[],1628978,,,1610612751,79,59,2025-04-12T02:35:11Z,4060000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
410,PT07M02.00S,2025-04-12T02:34:49.6Z,3,REGULAR,substitution,in,[],1629638,,,1610612751,79,59,2025-04-12T02:35:11Z,4070000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
411,PT07M02.00S,2025-04-12T02:34:49.6Z,3,REGULAR,substitution,in,[],1630623,,,1610612751,79,59,2025-04-12T02:35:11Z,4080000,False,,,0,,SUB in: T. Etienne,[1630623],1610612751.0,BKN,,,,Etienne,T. Etienne,,,,,,,,,,,,,,,,,,,,,,,,,,
412,PT07M02.00S,2025-04-12T02:34:49.6Z,3,REGULAR,substitution,in,[],1641787,,,1610612751,79,59,2025-04-12T02:35:11Z,4090000,False,,,0,,SUB in: T. Evbuomwan,[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,
413,PT06M44.00S,2025-04-12T02:35:38.4Z,3,REGULAR,foul,personal,['2freethrow'],203497,,,1610612751,79,59,2025-04-12T02:35:47Z,4100000,False,,,0,,R. Gobert shooting personal FOUL (3 PF) (Johnson 2 FT),"[203497, 1630553]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1628159.0,3.0,0.0,Johnson,1630553.0,,,,,,,,,,
415,PT06M44.00S,2025-04-12T02:36:10.3Z,3,REGULAR,freethrow,1 of 2,[],1630553,,,1610612751,79,60,2025-04-12T02:36:10Z,4120000,False,,,0,,K. Johnson Free Throw 1 of 2 (16 PTS),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,Made,,,,,,,,,,,,16.0,,,,,,
416,PT06M44.00S,2025-04-12T02:36:27.7Z,3,REGULAR,freethrow,2 of 2,[],1630553,,,1610612751,79,61,2025-04-12T02:36:27Z,4130000,False,,,0,,K. Johnson Free Throw 2 of 2 (17 PTS),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,Made,,,,,,,,,,,,17.0,,,,,,
417,PT06M27.00S,2025-04-12T02:36:47.4Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,92.72339027595268,49.26470588235294,1610612750,81,61,2025-04-12T02:36:56Z,4140000,False,-4.0,16.0,1,right,R. Gobert DUNK (26 PTS) (N. Alexander-Walker 2 AST),"[203497, 1629638]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.63,Made,,,,,,,,,,,,26.0,N. Alexander-Walker,1629638.0,2.0,,,
419,PT06M09.00S,2025-04-12T02:37:06.1Z,3,REGULAR,foul,personal,[],1630162,,,1610612751,81,61,2025-04-12T02:37:18Z,4160000,False,,,0,,A. Edwards personal FOUL (3 PF),"[1630162, 1630570]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1662.0,3.0,1.0,Watford,1630570.0,,,,,,,,,,
421,PT06M03.00S,2025-04-12T02:37:31.8Z,3,REGULAR,3pt,Jump Shot,[],1630553,15.062417871222076,94.11764705882352,1610612751,81,64,2025-04-12T02:37:36Z,4180000,False,-221.0,89.0,1,left,K. Johnson 3PT  (20 PTS) (T. Evbuomwan 2 AST),"[1630553, 1641787]",1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,23.79,Made,,,,,,,,,,,,20.0,T. Evbuomwan,1641787.0,2.0,,,
423,PT05M44.00S,2025-04-12T02:37:53.8Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641787,,,1610612750,81,64,2025-04-12T02:37:59Z,4200000,False,,,0,,T. Evbuomwan personal FOUL (1 PF) (Gobert 2 FT),"[1641787, 203497]",1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,Mid-Range,16-24 Center,,,,,,1628159.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,
425,PT05M44.00S,2025-04-12T02:38:29.2Z,3,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,81,64,2025-04-12T02:38:29Z,4220000,False,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
426,PT05M44.00S,2025-04-12T02:38:29.2Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,81,64,2025-04-12T02:38:29Z,4230000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,425.0,,,,,,,,,,,,,,,
427,PT05M44.00S,2025-04-12T02:38:48.7Z,3,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,82,64,2025-04-12T02:38:48Z,4240000,False,,,0,,R. Gobert Free Throw 2 of 2 (27 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,,,,,,,,,,27.0,,,,,,
428,PT05M26.00S,2025-04-12T02:39:08.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1641787,8.754927726675426,44.85294117647059,1610612751,82,64,2025-04-12T02:41:12Z,4250000,False,26.0,30.0,1,left,MISS T. Evbuomwan cutting Layup,[1641787],1610612751.0,BKN,cutting,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,3.94,Missed,,,,,,,,,,,,,,,,,,
429,PT05M24.00S,2025-04-12T02:39:10.7Z,3,REGULAR,rebound,defensive,[],1629638,,,1610612750,82,64,2025-04-12T02:40:06Z,4260000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,,,428.0,,,,,,1.0,1.0,0.0,,,,,,,
