actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
353,PT06M04.00S,2021-11-07T02:03:04.1Z,3,REGULAR,block,,[],1629029,,,1610612738,61,57,2021-11-07T02:03:07Z,3520000,,,0,,L. Doncic BLOCK (1 BLK),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
354,PT06M04.00S,2021-11-07T02:03:04.1Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612738,61,57,2021-11-07T02:03:21Z,3530000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,352.0,,,,,,,,,,,,
355,PT06M04.00S,2021-11-07T02:03:15.7Z,3,REGULAR,substitution,out,[],203939,,,1610612738,61,57,2021-11-07T02:03:22Z,3540000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
356,PT06M04.00S,2021-11-07T02:03:15.7Z,3,REGULAR,substitution,out,[],201143,,,1610612738,61,57,2021-11-07T02:03:22Z,3550000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
357,PT06M04.00S,2021-11-07T02:03:15.7Z,3,REGULAR,substitution,in,[],1626161,,,1610612738,61,57,2021-11-07T02:03:22Z,3560000,,,0,,SUB in: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
358,PT06M04.00S,2021-11-07T02:03:15.7Z,3,REGULAR,substitution,in,[],1630174,,,1610612738,61,57,2021-11-07T02:03:22Z,3570000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
359,PT06M01.00S,2021-11-07T02:03:38.2Z,3,REGULAR,jumpball,recovered,[],203471,,,1610612738,61,57,2021-11-07T02:03:38Z,3580000,,,0,,Jump Ball R. Williams III vs. L. Doncic: Tip to D. Schroder,"[203471, 1629057, 1629029]",1610612738.0,BOS,heldball,D. Schroder,203471.0,Schroder,D. Schroder,Williams III,1629057.0,Doncic,1629029.0,,,,,,,,,,,,,,,,,,,,,
362,PT05M57.00S,2021-11-07T02:03:42.6Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203471,10.85742444152431,37.254901960784316,1610612738,61,59,2021-11-07T02:07:38Z,3610000,64.0,50.0,1,left,D. Schroder 8' floating Jump Shot (13 PTS),[203471],1610612738.0,BOS,floating,,,Schroder,D. Schroder,,,,,8.07,Made,13.0,,,,,,,,,,,,,,,,,,
363,PT05M57.00S,2021-11-07T02:03:55.9Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,61,59,2021-11-07T02:03:55Z,3620000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,PT05M57.00S,2021-11-07T02:05:10.4Z,3,REGULAR,substitution,out,[],203471,,,1610612742,61,59,2021-11-07T02:06:26Z,3630000,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
365,PT05M57.00S,2021-11-07T02:05:10.4Z,3,REGULAR,substitution,in,[],1626196,,,1610612742,61,59,2021-11-07T02:06:26Z,3640000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
366,PT05M41.00S,2021-11-07T02:06:54.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,85.3646517739816,50.98039215686274,1610612742,63,59,2021-11-07T02:06:59Z,3650000,5.0,85.0,1,right,L. Doncic 8' driving floating Jump Shot (18 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,8.52,Made,18.0,,,,,,,,,,,,,,,,,,
367,PT05M28.00S,2021-11-07T02:07:06.6Z,3,REGULAR,turnover,lost ball,[],203935,,,1610612738,63,59,2021-11-07T02:07:12Z,3660000,,,0,,M. Smart lost ball TURNOVER (2 TO),"[203935, 203493]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,2.0,Bullock,203493.0,
368,PT05M28.00S,2021-11-07T02:07:06.6Z,3,REGULAR,steal,,[],203493,,,1610612742,63,59,2021-11-07T02:16:31Z,3670000,,,0,,R. Bullock STEAL (1 STL),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
369,PT05M24.00S,2021-11-07T02:07:10.6Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203493,91.67214191852825,50.245098039215684,1610612742,65,59,2021-11-07T02:07:17Z,3680000,1.0,26.0,1,right,R. Bullock running DUNK (7 PTS) (J. Brunson 3 AST),"[203493, 1628973]",1610612742.0,DAL,running,,,Bullock,R. Bullock,,,,,2.58,Made,7.0,,,,,,,,,,J. Brunson,1628973.0,3.0,,,,,,
371,PT05M06.00S,2021-11-07T02:07:29.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,7.046649145860711,45.09803921568628,1610612738,65,61,2021-11-07T02:09:50Z,3700000,25.0,14.0,1,left,R. Williams III cutting Layup (10 PTS) (M. Smart 4 AST),"[1629057, 203935]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,2.81,Made,10.0,,,,,,,,,,M. Smart,203935.0,4.0,,,,,,
413,PT04M48.00S,2021-11-07T02:07:40.0Z,3,REGULAR,turnover,lost ball,[],1628973,,,1610612742,65,61,2021-11-07T02:14:30Z,3715000,,,0,,J. Brunson lost ball TURNOVER (1 TO),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,1.0,,,
373,PT04M48.00S,2021-11-07T02:07:51.0Z,3,REGULAR,foul,personal,[],1628973,,,1610612738,65,61,2021-11-07T02:14:30Z,3720000,,,0,,J. Brunson loose ball personal FOUL (1 PF),"[1628973, 203935]",1610612742.0,DAL,loose ball,,,Brunson,J. Brunson,,,,,,,,1198.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,
376,PT04M28.00S,2021-11-07T02:08:21.2Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203935,15.325229960578188,49.754901960784316,1610612738,65,63,2021-11-07T02:08:25Z,3750000,1.0,92.0,1,left,M. Smart 9' driving floating Jump Shot (2 PTS),[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,9.16,Made,2.0,,,,,,,,,,,,,,,,,,
377,PT04M12.00S,2021-11-07T02:08:37.9Z,3,REGULAR,3pt,Jump Shot,[],1627827,87.72996057818659,4.901960784313726,1610612742,68,63,2021-11-07T02:08:43Z,3760000,-225.0,63.0,1,right,D. Finney-Smith 3PT  (9 PTS) (L. Doncic 5 AST),"[1627827, 1629029]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.41,Made,9.0,,,,,,,,,,L. Doncic,1629029.0,5.0,,,,,,
379,PT03M56.00S,2021-11-07T02:08:54.7Z,3,REGULAR,turnover,bad pass,[],1628369,,,1610612738,68,63,2021-11-07T02:08:59Z,3780000,,,0,,J. Tatum bad pass TURNOVER (3 TO),"[1628369, 1626161]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,3.0,Cauley-Stein,1626161.0,
380,PT03M56.00S,2021-11-07T02:08:54.7Z,3,REGULAR,steal,,[],1626161,,,1610612742,68,63,2021-11-07T02:08:56Z,3790000,,,0,,W. Cauley-Stein STEAL (1 STL),[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
381,PT03M35.00S,2021-11-07T02:09:18.0Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630174,,,1610612742,68,63,2021-11-07T02:09:27Z,3800000,,,0,,A. Nesmith personal FOUL (2 PF) (Doncic 2 FT),"[1630174, 1629029]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,202027.0,2.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,
383,PT03M35.00S,2021-11-07T02:10:02.7Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1629029,,,1610612742,69,63,2021-11-07T02:10:02Z,3820000,,,0,,L. Doncic Free Throw 1 of 2 (19 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,19.0,,,,,,,,,,,,,,,,,,
384,PT03M35.00S,2021-11-07T02:10:03.6Z,3,REGULAR,substitution,out,[],1628369,,,1610612742,69,63,2021-11-07T02:10:07Z,3830000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
385,PT03M35.00S,2021-11-07T02:10:03.6Z,3,REGULAR,substitution,in,[],203471,,,1610612742,69,63,2021-11-07T02:10:07Z,3840000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
386,PT03M35.00S,2021-11-07T02:10:25.6Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1629029,,,1610612742,70,63,2021-11-07T02:10:25Z,3850000,,,0,,L. Doncic Free Throw 2 of 2 (20 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,20.0,,,,,,,,,,,,,,,,,,
387,PT03M24.00S,2021-11-07T02:10:39.5Z,3,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612738,70,63,2021-11-07T02:10:47Z,3860000,,,0,,J. Brunson shooting personal FOUL (2 PF) (Smart 2 FT),"[1628973, 203935]",1610612742.0,DAL,shooting,,,Brunson,J. Brunson,,,,,,,,1628951.0,2.0,0.0,Smart,203935.0,,,,,,,,,,,,,
389,PT03M24.00S,2021-11-07T02:11:06.0Z,3,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,70,64,2021-11-07T02:11:06Z,3880000,,,0,,M. Smart Free Throw 1 of 2 (3 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
390,PT03M24.00S,2021-11-07T02:11:07.3Z,3,REGULAR,substitution,out,[],1629057,,,1610612738,70,64,2021-11-07T02:11:10Z,3890000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
391,PT03M24.00S,2021-11-07T02:11:07.3Z,3,REGULAR,substitution,in,[],201143,,,1610612738,70,64,2021-11-07T02:11:10Z,3900000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
392,PT03M24.00S,2021-11-07T02:11:28.6Z,3,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,70,65,2021-11-07T02:11:28Z,3910000,,,0,,M. Smart Free Throw 2 of 2 (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
393,PT03M18.00S,2021-11-07T02:11:41.2Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,70,65,2021-11-07T02:11:41Z,3920000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,PT03M09.00S,2021-11-07T02:12:00.3Z,3,REGULAR,3pt,Jump Shot,[],1629029,69.85873850197109,73.0392156862745,1610612742,73,65,2021-11-07T02:12:08Z,3930000,115.0,231.0,1,right,L. Doncic 25' 3PT step back (23 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,25.8,Made,23.0,,,,,,,,,,,,,,,,,,
395,PT02M55.00S,2021-11-07T02:12:13.8Z,3,REGULAR,3pt,Jump Shot,[],201143,25.18068331143233,82.1078431372549,1610612738,73,65,2021-11-07T02:12:18Z,3940000,-161.0,184.0,1,left,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,24.43,Missed,,,,,,,,,,,,,,,,,,,
396,PT02M52.00S,2021-11-07T02:12:16.8Z,3,REGULAR,rebound,defensive,[],1629029,,,1610612742,73,65,2021-11-07T02:12:18Z,3950000,,,0,,L. Doncic REBOUND (Off:0 Def:5),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,395.0,5.0,5.0,0.0,,,,,,,,,
397,PT02M37.00S,2021-11-07T02:12:31.5Z,3,REGULAR,3pt,Jump Shot,[],1629029,60.33385348226018,48.61366421568628,1610612742,73,65,2021-11-07T02:12:39Z,3960000,-7.0,320.0,1,right,MISS L. Doncic 32' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,32.05,Missed,,,,,,,,,,,,,,,,,,,
398,PT02M32.00S,2021-11-07T02:12:36.5Z,3,REGULAR,rebound,defensive,[],203471,,,1610612738,73,65,2021-11-07T02:12:39Z,3970000,,,0,,D. Schroder REBOUND (Off:1 Def:3),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,397.0,4.0,3.0,1.0,,,,,,,,,
399,PT02M23.00S,2021-11-07T02:12:45.7Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],201143,9.411957950065702,44.11764705882353,1610612738,73,65,2021-11-07T02:12:51Z,3980000,29.0,36.0,1,left,MISS A. Horford driving Hook,[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,4.65,Missed,,,,,,,,,,,,,,,,,,,
400,PT02M21.00S,2021-11-07T02:12:47.7Z,3,REGULAR,rebound,defensive,[],1629029,,,1610612742,73,65,2021-11-07T02:12:51Z,3990000,,,0,,L. Doncic REBOUND (Off:0 Def:6),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,399.0,6.0,6.0,0.0,,,,,,,,,
401,PT02M14.00S,2021-11-07T02:12:55.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,81.15965834428384,37.00980392156863,1610612742,75,65,2021-11-07T02:12:59Z,4000000,-65.0,125.0,1,right,L. Doncic 14' Jump Shot (25 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,14.05,Made,25.0,,,,,,,,,,,,,,,,,,
402,PT01M57.00S,2021-11-07T02:13:12.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,8.886333771353483,55.14705882352941,1610612738,75,65,2021-11-07T02:13:17Z,4010000,-26.0,31.0,1,left,MISS J. Richardson driving Layup,[1626196],1610612738.0,BOS,driving,,,Richardson,J. Richardson,,,,,4.03,Missed,,,,,,,,,,,,,,,,,,,
403,PT01M57.00S,2021-11-07T02:13:14.1Z,3,REGULAR,rebound,offensive,[],201143,,,1610612738,75,65,2021-11-07T02:13:14Z,4020000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,402.0,2.0,1.0,1.0,,,,,,,,,
404,PT01M57.00S,2021-11-07T02:13:18.7Z,3,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612738,75,65,2021-11-07T02:13:27Z,4030000,,,0,,J. Brunson shooting personal FOUL (3 PF) (Horford 2 FT),"[1628973, 201143]",1610612742.0,DAL,shooting,,,Brunson,J. Brunson,,,,,,,,202027.0,3.0,0.0,Horford,201143.0,,,,,,,,,,,,,
406,PT01M57.00S,2021-11-07T02:13:45.9Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],201143,,,1610612738,75,66,2021-11-07T02:13:45Z,4050000,,,0,,A. Horford Free Throw 1 of 2 (9 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
408,PT01M57.00S,2021-11-07T02:13:46.5Z,3,REGULAR,substitution,out,[],203935,,,1610612738,75,66,2021-11-07T02:13:53Z,4070000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
409,PT01M57.00S,2021-11-07T02:13:46.5Z,3,REGULAR,substitution,in,[],204001,,,1610612738,75,66,2021-11-07T02:13:53Z,4080000,,,0,,SUB in: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
410,PT01M57.00S,2021-11-07T02:13:46.5Z,3,REGULAR,substitution,in,[],1628369,,,1610612738,75,66,2021-11-07T02:13:53Z,4090000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
412,PT01M57.00S,2021-11-07T02:13:46.5Z,3,REGULAR,substitution,out,[],1626161,,,1610612738,75,66,2021-11-07T02:14:27Z,4095000,,,0,,SUB out: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,
411,PT01M57.00S,2021-11-07T02:14:16.9Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],201143,,,1610612738,75,67,2021-11-07T02:14:16Z,4100000,,,0,,A. Horford Free Throw 2 of 2 (10 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
414,PT01M38.00S,2021-11-07T02:14:36.3Z,3,REGULAR,2pt,Jump Shot,[],1629029,84.97043363994744,29.166666666666668,1610612742,75,67,2021-11-07T02:14:43Z,4110000,-104.0,89.0,1,right,MISS L. Doncic 13' Jump Shot,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,13.69,Missed,,,,,,,,,,,,,,,,,,,
415,PT01M35.00S,2021-11-07T02:14:39.3Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,75,67,2021-11-07T02:14:43Z,4120000,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,414.0,3.0,2.0,1.0,,,,,,,,,
416,PT01M29.00S,2021-11-07T02:14:46.2Z,3,REGULAR,2pt,Jump Shot,[],201143,22.026938239159,46.568627450980394,1610612738,75,67,2021-11-07T02:14:51Z,4130000,17.0,155.0,1,left,MISS A. Horford 15' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,15.56,Missed,,,,,,,,,,,,,,,,,,,
417,PT01M25.00S,2021-11-07T02:14:50.2Z,3,REGULAR,rebound,defensive,[],1629029,,,1610612742,75,67,2021-11-07T02:14:51Z,4140000,,,0,,L. Doncic REBOUND (Off:0 Def:7),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,416.0,7.0,7.0,0.0,,,,,,,,,
418,PT01M22.00S,2021-11-07T02:14:53.3Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201143,,,1610612742,75,67,2021-11-07T02:15:55Z,4150000,,,0,,A. Horford shooting personal FOUL (3 PF) (Porzingis 2 FT),"[201143, 204001]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,1628951.0,3.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,
420,PT01M22.00S,2021-11-07T02:15:23.0Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],204001,,,1610612742,76,67,2021-11-07T02:15:23Z,4170000,,,0,,K. Porzingis Free Throw 1 of 2 (8 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
421,PT01M22.00S,2021-11-07T02:15:23.7Z,3,REGULAR,substitution,out,[],203493,,,1610612742,76,67,2021-11-07T02:15:39Z,4180000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
422,PT01M22.00S,2021-11-07T02:15:23.7Z,3,REGULAR,substitution,out,[],1629029,,,1610612742,76,67,2021-11-07T02:15:39Z,4190000,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
423,PT01M22.00S,2021-11-07T02:15:23.7Z,3,REGULAR,substitution,in,[],203501,,,1610612742,76,67,2021-11-07T02:15:39Z,4200000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
424,PT01M22.00S,2021-11-07T02:15:23.7Z,3,REGULAR,substitution,in,[],1628373,,,1610612742,76,67,2021-11-07T02:15:39Z,4210000,,,0,,SUB in: F. Ntilikina,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,
425,PT01M22.00S,2021-11-07T02:15:48.5Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],204001,,,1610612742,77,67,2021-11-07T02:15:48Z,4220000,,,0,,K. Porzingis Free Throw 2 of 2 (9 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
426,PT00M59.90S,2021-11-07T02:16:16.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],201143,8.229303547963205,58.08823529411765,1610612738,77,69,2021-11-07T02:16:23Z,4230000,-40.0,25.0,1,left,A. Horford driving Layup (12 PTS) (D. Schroder 3 AST),"[201143, 203471]",1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,4.75,Made,12.0,,,,,,,,,,D. Schroder,203471.0,3.0,,,,,,
428,PT00M45.90S,2021-11-07T02:16:31.9Z,3,REGULAR,2pt,Jump Shot,[],204001,86.94152431011827,77.20588235294117,1610612742,77,69,2021-11-07T02:16:37Z,4250000,136.0,70.0,1,right,MISS K. Porzingis 15' turnaround Shot,[204001],1610612742.0,DAL,turnaround,,,Porzingis,K. Porzingis,,,,,15.3,Missed,,,,,,,,,,,,,,,,,,,
429,PT00M43.40S,2021-11-07T02:16:34.4Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,77,69,2021-11-07T02:16:37Z,4260000,,,0,,J. Tatum REBOUND (Off:0 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,428.0,6.0,6.0,0.0,,,,,,,,,
430,PT00M30.80S,2021-11-07T02:16:47.0Z,3,REGULAR,3pt,Jump Shot,[],1628369,30.699737187910642,33.33333333333333,1610612738,77,72,2021-11-07T02:16:52Z,4270000,83.0,236.0,1,left,J. Tatum 25' 3PT pullup (25 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.04,Made,25.0,,,,,,,,,,,,,,,,,,
431,PT00M07.80S,2021-11-07T02:17:16.2Z,3,REGULAR,turnover,bad pass,[],1628973,,,1610612742,77,72,2021-11-07T02:17:22Z,4280000,,,0,,J. Brunson bad pass TURNOVER (2 TO),"[1628973, 1630174]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,2.0,Nesmith,1630174.0,
432,PT00M07.80S,2021-11-07T02:17:16.2Z,3,REGULAR,steal,,[],1630174,,,1610612738,77,72,2021-11-07T02:17:17Z,4290000,,,0,,A. Nesmith STEAL (2 STL),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
433,PT00M07.20S,2021-11-07T02:17:19.3Z,3,REGULAR,turnover,bad pass,[],1630174,,,1610612738,77,72,2021-11-07T02:17:27Z,4300000,,,0,,A. Nesmith bad pass TURNOVER (2 TO),"[1630174, 204001]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,2.0,Porzingis,204001.0,
434,PT00M07.20S,2021-11-07T02:17:19.3Z,3,REGULAR,steal,,[],204001,,,1610612742,77,72,2021-11-07T02:17:27Z,4310000,,,0,,K. Porzingis STEAL (2 STL),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
435,PT00M07.20S,2021-11-07T02:17:21.9Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],204001,84.77743101182654,88.01317401960785,1610612742,79,72,2021-11-07T02:18:29Z,4320000,190.0,91.0,1,right,K. Porzingis 21' Jump Shot (11 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,21.06,Made,11.0,,,,,,,,,,,,,,,,,,
436,PT00M02.00S,2021-11-07T02:17:31.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,9.543363994743759,44.6078431372549,1610612738,79,72,2021-11-07T02:17:42Z,4330000,27.0,37.0,1,left,MISS D. Schroder Jump Shot,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,4.6,Missed,,,,,,,,,,,,,,,,,,,
437,PT00M02.00S,2021-11-07T02:17:31.1Z,3,REGULAR,rebound,defensive,[],1628373,,,1610612742,79,72,2021-11-07T02:17:42Z,4340000,,,0,,F. Ntilikina REBOUND (Off:0 Def:2),[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,436.0,2.0,2.0,0.0,,,,,,,,,
438,PT00M00.20S,2021-11-07T02:17:34.6Z,3,REGULAR,3pt,Jump Shot,[],1628373,42.78909329829172,22.794117647058822,1610612742,79,72,2021-11-07T02:17:50Z,4350000,-136.0,485.0,1,right,MISS F. Ntilikina 50' 3PT,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,50.4,Missed,,,,,,,,,,,,,,,,,,,
439,PT00M00.10S,2021-11-07T02:17:34.7Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612742,79,72,2021-11-07T02:17:50Z,4360000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,438.0,,,,,,,,,,,,
440,PT00M00.00S,2021-11-07T02:17:47.4Z,3,REGULAR,period,end,[],0,,,1610612742,79,72,2021-11-07T02:17:47Z,4370000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,PT12M00.00S,2021-11-07T02:17:52.6Z,4,REGULAR,substitution,out,['startperiod'],1627827,,,1610612742,79,72,2021-11-07T02:20:10Z,4380000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
442,PT12M00.00S,2021-11-07T02:17:52.6Z,4,REGULAR,substitution,out,['startperiod'],1630174,,,1610612742,79,72,2021-11-07T02:20:10Z,4390000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
