actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
182,PT10M33.00S,2021-12-22T01:04:27.3Z,2,REGULAR,2pt,Jump Shot,[],1630537,94.03745072273325,78.92156862745098,1610612754,37,24,2021-12-22T01:04:35Z,1820000,145.0,4.0,1,right,MISS C. Duarte 14' fadeaway Shot,[1630537],1610612754.0,IND,fadeaway,,,Duarte,C. Duarte,,,,,14.46,Missed,,,,,,,,,,,,,,,,,,
183,PT10M30.00S,2021-12-22T01:04:30.3Z,2,REGULAR,rebound,defensive,[],203473,,,1610612748,37,24,2021-12-22T01:04:35Z,1830000,,,0,,D. Dedmon REBOUND (Off:3 Def:3),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,182.0,6.0,3.0,3.0,,,,,,,,,,,,,
184,PT10M20.00S,2021-12-22T01:04:41.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203473,5.732588699080158,54.41176470588235,1610612748,39,24,2021-12-22T01:04:47Z,1840000,-22.0,1.0,1,left,D. Dedmon Layup (5 PTS) (T. Herro 4 AST),"[203473, 1629639]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,2.21,Made,5.0,,,,,T. Herro,1629639.0,4.0,,,,,,,,,,
186,PT10M20.00S,2021-12-22T01:04:46.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,39,24,2021-12-22T01:04:46Z,1860000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT10M20.00S,2021-12-22T01:04:47.7Z,2,REGULAR,substitution,out,[],1630537,,,1610612754,39,24,2021-12-22T01:07:30Z,1870000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
188,PT10M20.00S,2021-12-22T01:04:47.7Z,2,REGULAR,substitution,in,[],1629103,,,1610612754,39,24,2021-12-22T01:07:30Z,1880000,,,0,,SUB in: K. Martin,[1629103],1610612754.0,IND,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,,,,,,
189,PT10M05.00S,2021-12-22T01:08:20.0Z,2,REGULAR,2pt,Jump Shot,[],203087,94.30026281208936,29.166666666666668,1610612754,39,26,2021-12-22T01:08:36Z,1890000,-104.0,1.0,1,right,J. Lamb 10' driving floating Jump Shot (2 PTS) (B. Wanamaker 2 AST),"[203087, 202954]",1610612754.0,IND,driving floating,,,Lamb,J. Lamb,,,,,10.42,Made,2.0,,,,,B. Wanamaker,202954.0,2.0,,,,,,,,,,
191,PT09M48.00S,2021-12-22T01:08:37.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,17.427726675427067,50.49019607843137,1610612748,39,26,2021-12-22T01:08:43Z,1910000,-2.0,111.0,1,left,MISS T. Herro 11' driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,11.13,Missed,,,,,,,,,,,,,,,,,,
192,PT09M44.00S,2021-12-22T01:08:40.9Z,2,REGULAR,rebound,offensive,[],1630585,,,1610612748,39,26,2021-12-22T01:08:40Z,1920000,,,0,,M. Garrett REBOUND (Off:1 Def:0),[1630585],1610612748.0,MIA,,,,Garrett,M. Garrett,,,,,,,,191.0,1.0,0.0,1.0,,,,,,,,,,,,,
193,PT09M43.00S,2021-12-22T01:08:47.3Z,2,REGULAR,foul,personal,[],202954,,,1610612748,39,26,2021-12-22T01:08:55Z,1930000,,,0,,B. Wanamaker personal FOUL (1 PF),"[202954, 1629216]",1610612754.0,IND,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Vincent,1629216.0,,,,
195,PT09M28.00S,2021-12-22T01:09:17.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629216,15.588042049934298,39.46078431372549,1610612748,41,26,2021-12-22T01:09:36Z,1950000,53.0,94.0,1,left,G. Vincent 10' turnaround fadeaway Jump Shot (5 PTS),[1629216],1610612748.0,MIA,turnaround fadeaway,,,Vincent,G. Vincent,,,,,10.78,Made,5.0,,,,,,,,,,,,,,,,,
196,PT09M09.00S,2021-12-22T01:09:36.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203087,93.24901445466492,53.67647058823529,1610612754,41,26,2021-12-22T01:09:40Z,1960000,18.0,11.0,1,right,MISS J. Lamb driving Layup - blocked,"[203087, 203473]",1610612754.0,IND,driving,,,Lamb,J. Lamb,,,,,2.14,Missed,,,,,,,,,,,,,,,Dedmon,203473.0,,
197,PT09M09.00S,2021-12-22T01:09:36.0Z,2,REGULAR,block,,[],203473,,,1610612754,41,26,2021-12-22T01:10:17Z,1970000,,,0,,D. Dedmon BLOCK (2 BLK),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
198,PT09M06.00S,2021-12-22T01:09:39.0Z,2,REGULAR,rebound,defensive,[],1629622,,,1610612748,41,26,2021-12-22T01:09:40Z,1980000,,,0,,M. Strus REBOUND (Off:1 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,196.0,2.0,1.0,1.0,,,,,,,,,,,,,
199,PT09M02.00S,2021-12-22T01:09:42.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629639,14.536793692509855,5.88235294117647,1610612748,44,26,2021-12-22T01:09:52Z,1990000,221.0,84.0,1,left,T. Herro 3PT  (7 PTS) (G. Vincent 1 AST),"[1629639, 1629216]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,23.61,Made,7.0,,,,,G. Vincent,1629216.0,1.0,,,,,,,,,,
200,PT08M58.00S,2021-12-22T01:09:51.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,44,26,2021-12-22T01:09:51Z,2000000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M58.00S,2021-12-22T01:09:56.9Z,2,REGULAR,substitution,out,[],202954,,,1610612754,44,26,2021-12-22T01:10:13Z,2010000,,,0,,SUB out: B. Wanamaker,[202954],1610612754.0,IND,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M58.00S,2021-12-22T01:09:56.9Z,2,REGULAR,substitution,out,[],1627734,,,1610612754,44,26,2021-12-22T01:10:13Z,2020000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M58.00S,2021-12-22T01:09:56.9Z,2,REGULAR,substitution,out,[],203087,,,1610612754,44,26,2021-12-22T01:10:13Z,2030000,,,0,,SUB out: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M58.00S,2021-12-22T01:09:56.9Z,2,REGULAR,substitution,in,[],1626167,,,1610612754,44,26,2021-12-22T01:10:13Z,2040000,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M58.00S,2021-12-22T01:09:56.9Z,2,REGULAR,substitution,in,[],203200,,,1610612754,44,26,2021-12-22T01:10:13Z,2050000,,,0,,SUB in: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M58.00S,2021-12-22T01:09:56.9Z,2,REGULAR,substitution,in,[],1627747,,,1610612754,44,26,2021-12-22T01:10:13Z,2060000,,,0,,SUB in: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,
208,PT08M47.00S,2021-12-22T01:10:26.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1628470,92.72339027595268,53.431372549019606,1610612754,44,28,2021-12-22T01:10:35Z,2070000,17.0,16.0,1,right,T. Craig Layup (2 PTS) (K. Martin 1 AST),"[1628470, 1629103]",1610612754.0,IND,,,,Craig,T. Craig,,,,,2.34,Made,2.0,,,,,K. Martin,1629103.0,1.0,,,,,,,,,,
210,PT08M47.00S,2021-12-22T01:10:30.0Z,2,REGULAR,violation,defensive goaltending,[],203473,,,1610612754,44,28,2021-12-22T01:10:35Z,2090000,,,0,,D. Dedmon defensive goaltending VIOLATION,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,202007.0,,,,,,,,
211,PT08M23.00S,2021-12-22T01:10:57.1Z,2,REGULAR,3pt,Jump Shot,[],1629216,27.54599211563732,15.196078431372548,1610612748,44,28,2021-12-22T01:13:09Z,2100000,174.0,206.0,1,left,MISS G. Vincent 27' pullup 3PT,[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,27.0,Missed,,,,,,,,,,,,,,,,,,
212,PT08M19.00S,2021-12-22T01:11:01.1Z,2,REGULAR,rebound,defensive,[],1629103,,,1610612754,44,28,2021-12-22T01:11:01Z,2110000,,,0,,K. Martin REBOUND (Off:0 Def:1),[1629103],1610612754.0,IND,,,,Martin,K. Martin,,,,,,,,211.0,1.0,1.0,0.0,,,,,,,,,,,,,
213,PT08M10.00S,2021-12-22T01:11:09.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629103,93.51182654402102,55.14705882352941,1610612754,44,28,2021-12-22T01:11:16Z,2120000,26.0,8.0,1,right,MISS K. Martin driving Layup,[1629103],1610612754.0,IND,driving,,,Martin,K. Martin,,,,,2.71,Missed,,,,,,,,,,,,,,,,,,
214,PT08M07.00S,2021-12-22T01:11:12.5Z,2,REGULAR,rebound,defensive,[],1630585,,,1610612748,44,28,2021-12-22T01:11:16Z,2130000,,,0,,M. Garrett REBOUND (Off:1 Def:1),[1630585],1610612748.0,MIA,,,,Garrett,M. Garrett,,,,,,,,213.0,2.0,1.0,1.0,,,,,,,,,,,,,
227,PT07M52.00S,2021-12-22T01:11:22.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,7.178055190538765,47.794117647058826,1610612748,44,28,2021-12-22T01:14:57Z,2135000,11.0,15.0,1,left,MISS T. Herro driving Layup,[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,1.86,Missed,,,,,,,,,,,,,,,,,,
228,PT07M52.00S,2021-12-22T01:11:22.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,44,28,2021-12-22T01:14:57Z,2137500,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,227.0,,,,,,,,,,,,,,,,
215,PT07M52.00S,2021-12-22T01:11:34.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,44,28,2021-12-22T01:11:34Z,2140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M52.00S,2021-12-22T01:11:36.7Z,2,REGULAR,substitution,out,[],203473,,,1610612748,44,28,2021-12-22T01:11:40Z,2150000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M52.00S,2021-12-22T01:11:36.7Z,2,REGULAR,substitution,in,[],1630209,,,1610612748,44,28,2021-12-22T01:11:40Z,2160000,,,0,,SUB in: O. Yurtseven,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M50.00S,2021-12-22T01:11:55.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629622,24.392247043363994,10.784313725490197,1610612748,44,28,2021-12-22T01:14:57Z,2170000,196.0,177.0,1,left,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,26.4,Missed,,,,,,,,,,,,,,,,,,
219,PT07M42.00S,2021-12-22T01:12:03.1Z,2,REGULAR,rebound,defensive,[],203200,,,1610612754,44,28,2021-12-22T01:12:05Z,2180000,,,0,,J. Holiday REBOUND (Off:1 Def:1),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,218.0,2.0,1.0,1.0,,,,,,,,,,,,,
220,PT07M34.00S,2021-12-22T01:12:10.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629103,93.51182654402102,53.431372549019606,1610612754,44,28,2021-12-22T01:12:16Z,2190000,17.0,8.0,1,right,MISS K. Martin Layup - blocked,"[1629103, 1630209]",1610612754.0,IND,,,,Martin,K. Martin,,,,,1.92,Missed,,,,,,,,,,,,,,,Yurtseven,1630209.0,,
221,PT07M34.00S,2021-12-22T01:12:10.4Z,2,REGULAR,block,,[],1630209,,,1610612754,44,28,2021-12-22T01:12:13Z,2200000,,,0,,O. Yurtseven BLOCK (1 BLK),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M30.00S,2021-12-22T01:12:14.4Z,2,REGULAR,rebound,offensive,[],1629103,,,1610612754,44,28,2021-12-22T01:12:16Z,2210000,,,0,,K. Martin REBOUND (Off:1 Def:1),[1629103],1610612754.0,IND,,,,Martin,K. Martin,,,,,,,,220.0,2.0,1.0,1.0,,,,,,,,,,,,,
223,PT07M28.00S,2021-12-22T01:12:16.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203200,95.74572930354796,95.58823529411765,1610612754,44,28,2021-12-22T01:12:44Z,2220000,228.0,-13.0,1,right,MISS J. Holiday 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,
224,PT07M25.00S,2021-12-22T01:12:19.9Z,2,REGULAR,rebound,defensive,[],1629622,,,1610612748,44,28,2021-12-22T01:12:19Z,2230000,,,0,,M. Strus REBOUND (Off:1 Def:2),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,223.0,3.0,2.0,1.0,,,,,,,,,,,,,
225,PT07M22.00S,2021-12-22T01:12:23.5Z,2,REGULAR,3pt,Jump Shot,[],1629639,33.065045992115635,62.99019607843137,1610612748,47,28,2021-12-22T01:12:40Z,2240000,-65.0,258.0,1,left,T. Herro 26' 3PT step back (10 PTS),[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,26.64,Made,10.0,,,,,,,,,,,,,,,,,
226,PT07M20.00S,2021-12-22T01:12:38.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,47,28,2021-12-22T01:12:38Z,2250000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M12.00S,2021-12-22T01:16:05.4Z,2,REGULAR,foul,personal,['2freethrow'],1630209,,,1610612754,47,28,2021-12-22T01:16:13Z,2260000,,,0,,O. Yurtseven shooting personal FOUL (2 PF) (LeVert 2 FT),"[1630209, 1627747]",1610612748.0,MIA,shooting,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,200832.0,2.0,0.0,LeVert,1627747.0,,,,
231,PT07M12.00S,2021-12-22T01:16:23.4Z,2,REGULAR,freethrow,1 of 2,[],1627747,,,1610612754,47,29,2021-12-22T01:16:23Z,2280000,,,0,,C. LeVert Free Throw 1 of 2 (4 PTS),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
232,PT07M12.00S,2021-12-22T01:16:35.5Z,2,REGULAR,freethrow,2 of 2,[],1627747,,,1610612754,47,30,2021-12-22T01:16:35Z,2290000,,,0,,C. LeVert Free Throw 2 of 2 (5 PTS),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
233,PT06M55.00S,2021-12-22T01:16:59.0Z,2,REGULAR,foul,personal,['2freethrow'],1628470,,,1610612748,47,30,2021-12-22T01:17:05Z,2300000,,,0,,T. Craig shooting personal FOUL (1 PF) (Herro 2 FT),"[1628470, 1629639]",1610612754.0,IND,shooting,,,Craig,T. Craig,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Herro,1629639.0,,,,
235,PT06M55.00S,2021-12-22T01:17:21.6Z,2,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,48,30,2021-12-22T01:17:21Z,2320000,,,0,,T. Herro Free Throw 1 of 2 (11 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
236,PT06M55.00S,2021-12-22T01:17:21.6Z,2,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,48,30,2021-12-22T01:17:40Z,2330000,,,0,,MISS T. Herro Free Throw 2 of 2,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Missed,,,,,,,,,,,,,,,,,,
237,PT06M52.00S,2021-12-22T01:17:24.6Z,2,REGULAR,rebound,defensive,[],1629103,,,1610612754,48,30,2021-12-22T01:17:40Z,2340000,,,0,,K. Martin REBOUND (Off:1 Def:2),[1629103],1610612754.0,IND,,,,Martin,K. Martin,,,,,,,,236.0,3.0,2.0,1.0,,,,,,,,,,,,,
238,PT06M30.00S,2021-12-22T01:18:01.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,94.03745072273325,53.92156862745098,1610612754,48,30,2021-12-22T01:18:08Z,2350000,20.0,4.0,1,right,MISS C. LeVert driving Layup,[1627747],1610612754.0,IND,driving,,,LeVert,C. LeVert,,,,,1.99,Missed,,,,,,,,,,,,,,,,,,
239,PT06M27.00S,2021-12-22T01:18:04.8Z,2,REGULAR,rebound,defensive,[],1630209,,,1610612748,48,30,2021-12-22T01:18:08Z,2360000,,,0,,O. Yurtseven REBOUND (Off:1 Def:1),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,238.0,2.0,1.0,1.0,,,,,,,,,,,,,
240,PT06M06.00S,2021-12-22T01:18:25.2Z,2,REGULAR,3pt,Jump Shot,[],1629639,30.56833114323259,26.96078431372549,1610612748,48,30,2021-12-22T01:18:33Z,2370000,115.0,235.0,1,left,MISS T. Herro 26' step back 3PT,[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,26.15,Missed,,,,,,,,,,,,,,,,,,
241,PT06M03.00S,2021-12-22T01:18:28.2Z,2,REGULAR,rebound,offensive,[],1630209,,,1610612748,48,30,2021-12-22T01:18:33Z,2380000,,,0,,O. Yurtseven REBOUND (Off:2 Def:1),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,240.0,3.0,1.0,2.0,,,,,,,,,,,,,
242,PT06M03.00S,2021-12-22T01:18:34.3Z,2,REGULAR,foul,personal,['2freethrow'],1628470,,,1610612748,48,30,2021-12-22T01:18:46Z,2390000,,,0,,T. Craig shooting personal FOUL (2 PF) (Yurtseven 2 FT),"[1628470, 1630209]",1610612754.0,IND,shooting,,,Craig,T. Craig,,,,,,,,,,,,,,,,201640.0,2.0,0.0,Yurtseven,1630209.0,,,,
244,PT06M03.00S,2021-12-22T01:18:58.7Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630209,,,1610612748,49,30,2021-12-22T01:18:58Z,2410000,,,0,,O. Yurtseven Free Throw 1 of 2 (3 PTS),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
245,PT06M03.00S,2021-12-22T01:18:59.6Z,2,REGULAR,substitution,out,[],1629639,,,1610612748,49,30,2021-12-22T01:19:08Z,2420000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M03.00S,2021-12-22T01:18:59.6Z,2,REGULAR,substitution,out,[],1629103,,,1610612748,49,30,2021-12-22T01:19:08Z,2430000,,,0,,SUB out: K. Martin,[1629103],1610612754.0,IND,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M03.00S,2021-12-22T01:18:59.6Z,2,REGULAR,substitution,in,[],1629130,,,1610612748,49,30,2021-12-22T01:19:08Z,2440000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
248,PT06M03.00S,2021-12-22T01:18:59.6Z,2,REGULAR,substitution,in,[],1630537,,,1610612748,49,30,2021-12-22T01:19:08Z,2450000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
249,PT06M03.00S,2021-12-22T01:19:12.1Z,2,REGULAR,substitution,out,[],1629216,,,1610612748,49,30,2021-12-22T01:19:14Z,2460000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
250,PT06M03.00S,2021-12-22T01:19:12.1Z,2,REGULAR,substitution,in,[],200768,,,1610612748,49,30,2021-12-22T01:19:14Z,2470000,,,0,,SUB in: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M03.00S,2021-12-22T01:19:24.2Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630209,,,1610612748,50,30,2021-12-22T01:19:24Z,2480000,,,0,,O. Yurtseven Free Throw 2 of 2 (4 PTS),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
252,PT05M42.00S,2021-12-22T01:19:48.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628470,92.9862023653088,46.81372549019608,1610612754,50,30,2021-12-22T01:20:12Z,2490000,-16.0,13.0,1,right,MISS T. Craig driving Layup,[1628470],1610612754.0,IND,driving,,,Craig,T. Craig,,,,,2.08,Missed,,,,,,,,,,,,,,,,,,
253,PT05M37.00S,2021-12-22T01:19:53.2Z,2,REGULAR,rebound,offensive,[],1626167,,,1610612754,50,30,2021-12-22T01:20:12Z,2500000,,,0,,M. Turner REBOUND (Off:1 Def:4),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,252.0,5.0,4.0,1.0,,,,,,,,,,,,,
254,PT05M35.00S,2021-12-22T01:19:54.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626167,93.11760840998686,47.05882352941176,1610612754,50,32,2021-12-22T01:20:08Z,2510000,-15.0,12.0,1,right,M. Turner putback Layup (7 PTS),[1626167],1610612754.0,IND,putback,,,Turner,M. Turner,,,,,1.91,Made,7.0,,,,,,,,,,,,,,,,,
255,PT05M16.00S,2021-12-22T01:20:13.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630585,17.296320630749015,43.38235294117647,1610612748,50,32,2021-12-22T01:20:19Z,2520000,33.0,110.0,1,left,MISS M. Garrett 11' Jump Shot,[1630585],1610612748.0,MIA,,,,Garrett,M. Garrett,,,,,11.5,Missed,,,,,,,,,,,,,,,,,,
256,PT05M14.00S,2021-12-22T01:20:15.9Z,2,REGULAR,rebound,offensive,[],1630209,,,1610612748,50,32,2021-12-22T01:20:19Z,2530000,,,0,,O. Yurtseven REBOUND (Off:3 Def:1),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,255.0,4.0,1.0,3.0,,,,,,,,,,,,,
257,PT05M11.00S,2021-12-22T01:20:22.4Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630209,9.806176084099869,45.83333333333333,1610612748,52,32,2021-12-22T01:20:49Z,2540000,21.0,40.0,1,left,O. Yurtseven turnaround Hook (6 PTS),[1630209],1610612748.0,MIA,turnaround,,,Yurtseven,O. Yurtseven,,,,,4.48,Made,6.0,,,,,,,,,,,,,,,,,
258,PT04M50.00S,2021-12-22T01:20:39.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203200,85.10183968462549,52.20588235294118,1610612754,52,32,2021-12-22T01:20:45Z,2550000,11.0,88.0,1,right,MISS J. Holiday 8' floating Shot,[203200],1610612754.0,IND,floating,,,Holiday,J. Holiday,,,,,8.82,Missed,,,,,,,,,,,,,,,,,,
259,PT04M47.00S,2021-12-22T01:20:42.6Z,2,REGULAR,rebound,defensive,[],1630209,,,1610612748,52,32,2021-12-22T01:20:45Z,2560000,,,0,,O. Yurtseven REBOUND (Off:3 Def:2),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,258.0,5.0,2.0,3.0,,,,,,,,,,,,,
260,PT04M28.00S,2021-12-22T01:21:02.0Z,2,REGULAR,3pt,Jump Shot,[],1629130,28.465834428383708,15.931372549019606,1610612748,55,32,2021-12-22T01:21:07Z,2570000,170.0,215.0,1,left,D. Robinson 27' 3PT  (11 PTS) (K. Lowry 5 AST),"[1629130, 200768]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,27.44,Made,11.0,,,,,K. Lowry,200768.0,5.0,,,,,,,,,,
262,PT04M13.00S,2021-12-22T01:21:16.8Z,2,REGULAR,3pt,Jump Shot,[],1627747,73.01248357424441,17.401960784313726,1610612754,55,32,2021-12-22T01:21:22Z,2590000,-163.0,201.0,1,right,MISS C. LeVert 25' 3PT,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,
263,PT04M09.00S,2021-12-22T01:21:20.8Z,2,REGULAR,rebound,defensive,[],1630585,,,1610612748,55,32,2021-12-22T01:21:22Z,2600000,,,0,,M. Garrett REBOUND (Off:1 Def:2),[1630585],1610612748.0,MIA,,,,Garrett,M. Garrett,,,,,,,,262.0,3.0,2.0,1.0,,,,,,,,,,,,,
264,PT04M01.00S,2021-12-22T01:21:28.9Z,2,REGULAR,3pt,Jump Shot,[],1629622,26.10052562417871,14.460784313725492,1610612748,55,32,2021-12-22T01:21:34Z,2610000,178.0,193.0,1,left,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,
265,PT03M57.00S,2021-12-22T01:21:32.9Z,2,REGULAR,rebound,defensive,[],1630537,,,1610612754,55,32,2021-12-22T01:21:34Z,2620000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,264.0,1.0,1.0,0.0,,,,,,,,,,,,,
266,PT03M55.00S,2021-12-22T01:21:41.2Z,2,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612754,55,32,2021-12-22T01:21:54Z,2630000,,,0,,D. Robinson shooting personal FOUL (2 PF) (LeVert 2 FT),"[1629130, 1627747]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,202007.0,2.0,0.0,LeVert,1627747.0,,,,
