actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
173,PT12M00.00S,2023-03-01T03:38:43.0Z,2,REGULAR,substitution,out,['startperiod'],203081,,,1610612757,27,41,2023-03-01T03:39:13Z,1690000,False,,,0,,SUB out: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2023-03-01T03:38:43.0Z,2,REGULAR,substitution,in,['startperiod'],1631116,,,1610612757,27,41,2023-03-01T03:39:13Z,1700000,False,,,0,,SUB in: P. Baldwin Jr.,[1631116],1610612744.0,GSW,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2023-03-01T03:38:43.0Z,2,REGULAR,substitution,in,['startperiod'],1629234,,,1610612757,27,41,2023-03-01T03:39:13Z,1710000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2023-03-01T03:38:43.0Z,2,REGULAR,substitution,in,['startperiod'],1630553,,,1610612757,27,41,2023-03-01T03:39:13Z,1720000,False,,,0,,SUB in: K. Johnson,[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2023-03-01T03:39:28.5Z,2,REGULAR,period,start,[],0,,,1610612757,27,41,2023-03-01T03:39:28Z,1730000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT11M45.00S,2023-03-01T03:39:42.6Z,2,REGULAR,2pt,Jump Shot,[],203924,16.376478318002626,77.45098039215686,1610612757,27,41,2023-03-01T03:40:24Z,1740000,False,-137.0,101.0,1,left,MISS J. Grant 17' Jump Shot,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,16-24 Left,17.07,Missed,,,,,,,,,,,,,,,,,,
179,PT11M43.00S,2023-03-01T03:39:44.6Z,2,REGULAR,rebound,defensive,[],1628978,,,1610612744,27,41,2023-03-01T03:40:00Z,1750000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Left,,,,,178.0,1.0,1.0,0.0,,,,,,,,,,,,
180,PT11M33.00S,2023-03-01T03:39:53.6Z,2,REGULAR,3pt,Jump Shot,[],1628978,72.09264126149803,14.215686274509803,1610612744,30,41,2023-03-01T03:39:58Z,1760000,False,-179.0,210.0,1,right,D. DiVincenzo 27' 3PT  (6 PTS) (D. Green 2 AST),"[1628978, 203110]",1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,27.57,Made,,,,,,,,,,6.0,,,,,,D. Green,203110.0,2.0
182,PT11M17.00S,2023-03-01T03:40:13.8Z,2,REGULAR,turnover,out-of-bounds,[],1630553,,,1610612757,30,41,2023-03-01T03:40:19Z,1780000,False,,,0,,K. Johnson step out-of-bounds TURNOVER (1 TO),[1630553],1610612757.0,POR,step,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,1627962.0,,,,,,,
183,PT11M09.00S,2023-03-01T03:40:25.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629673,65.1281208935611,48.03921568627451,1610612744,30,41,2023-03-01T03:40:30Z,1790000,False,-10.0,275.0,1,right,MISS J. Poole 27' pullup 3PT,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,27.55,Missed,,,,,,,,,,,,,,,,,,
184,PT11M06.00S,2023-03-01T03:40:28.8Z,2,REGULAR,rebound,defensive,[],1629234,,,1610612757,30,41,2023-03-01T03:40:30Z,1800000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Center,,,,,183.0,2.0,1.0,1.0,,,,,,,,,,,,
185,PT10M54.00S,2023-03-01T03:40:40.7Z,2,REGULAR,2pt,Jump Shot,[],1631101,26.231931668856767,39.950980392156865,1610612757,30,41,2023-03-01T03:40:46Z,1810000,False,50.0,194.0,1,left,MISS S. Sharpe 20' step back Shot,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Center,20.05,Missed,,,,,,,,,,,,,,,,,,
186,PT10M51.00S,2023-03-01T03:40:43.7Z,2,REGULAR,rebound,defensive,[],1631116,,,1610612744,30,41,2023-03-01T03:40:46Z,1820000,False,,,0,,P. Baldwin Jr. REBOUND (Off:0 Def:1),[1631116],1610612744.0,GSW,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Mid-Range,16-24 Center,,,,,185.0,1.0,1.0,0.0,,,,,,,,,,,,
246,PT10M45.00S,2023-03-01T03:40:48.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,88.51839684625493,49.26470588235294,1610612744,30,41,2023-03-01T03:51:44Z,1835000,False,-4.0,55.0,1,right,MISS J. Poole driving Layup,[1629673],1610612744.0,GSW,driving,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,5.55,Missed,,,,,,,,,,,,,,,,,,
247,PT10M44.00S,2023-03-01T03:40:49.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612744,30,41,2023-03-01T03:51:44Z,1842500,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,246.0,,,,,,,,,,,,,,,
189,PT10M44.00S,2023-03-01T03:40:56.9Z,2,REGULAR,turnover,traveling,[],1629673,,,1610612744,30,41,2023-03-01T03:41:09Z,1850000,False,,,0,,J. Poole traveling TURNOVER (1 TO),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,,,,,,1.0,,,,1179.0,,,,,,,
191,PT10M29.00S,2023-03-01T03:41:34.4Z,2,REGULAR,foul,personal,[],203110,,,1610612757,30,41,2023-03-01T03:41:39Z,1870000,False,,,0,,D. Green personal FOUL (1 PF),"[203110, 203924]",1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1627962.0,1.0,0.0,Grant,203924.0,,,
193,PT10M29.00S,2023-03-01T03:41:38.5Z,2,REGULAR,substitution,out,[],1629642,,,1610612757,30,41,2023-03-01T03:41:40Z,1890000,False,,,0,,SUB out: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT10M29.00S,2023-03-01T03:41:38.5Z,2,REGULAR,substitution,in,[],1629629,,,1610612757,30,41,2023-03-01T03:41:40Z,1900000,False,,,0,,SUB in: C. Reddish,[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT10M20.00S,2023-03-01T03:41:57.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203924,9.411957950065702,44.85294117647059,1610612757,30,41,2023-03-01T03:42:01Z,1910000,False,26.0,36.0,1,left,MISS J. Grant driving floating bank Shot,[203924],1610612757.0,POR,driving floating bank,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,4.42,Missed,,,,,,,,,,,,,,,,,,
196,PT10M18.00S,2023-03-01T03:41:59.1Z,2,REGULAR,rebound,defensive,[],1630237,,,1610612744,30,41,2023-03-01T03:42:01Z,1920000,False,,,0,,A. Lamb REBOUND (Off:0 Def:1),[1630237],1610612744.0,GSW,,,,Lamb,A. Lamb,,,,,In The Paint (Non-RA),0-8 Center,,,,,195.0,1.0,1.0,0.0,,,,,,,,,,,,
197,PT10M14.00S,2023-03-01T03:42:05.4Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629673,91.27792378449409,50.98039215686274,1610612744,32,41,2023-03-01T03:43:19Z,1930000,False,5.0,29.0,1,right,J. Poole running finger roll Layup (8 PTS) (A. Lamb 1 AST),"[1629673, 1630237]",1610612744.0,GSW,running finger roll,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,2.99,Made,,,,,,,,,,8.0,,,,,,A. Lamb,1630237.0,1.0
199,PT10M14.00S,2023-03-01T03:42:07.6Z,2,REGULAR,foul,personal,['1freethrow'],1630553,,,1610612744,32,41,2023-03-01T03:42:24Z,1950000,False,,,0,,K. Johnson shooting personal FOUL (3 PF) (Poole 1 FT),"[1630553, 1629673]",1610612757.0,POR,shooting,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627962.0,3.0,0.0,Poole,1629673.0,,,
201,PT10M14.00S,2023-03-01T03:42:39.4Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],1629673,,,1610612744,32,41,2023-03-01T03:42:41Z,1970000,False,,,0,,MISS J. Poole Free Throw 1 of 1,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
202,PT10M12.00S,2023-03-01T03:42:41.4Z,2,REGULAR,rebound,defensive,[],1629234,,,1610612757,32,41,2023-03-01T03:42:41Z,1980000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:2),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,201.0,3.0,2.0,1.0,,,,,,,,,,,,
203,PT09M56.00S,2023-03-01T03:42:56.3Z,2,REGULAR,3pt,Jump Shot,[],1631101,29.517082785808146,72.79411764705883,1610612757,32,41,2023-03-01T03:43:08Z,1990000,False,-114.0,225.0,1,left,MISS S. Sharpe 25' 3PT,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,25.22,Missed,,,,,,,,,,,,,,,,,,
204,PT09M54.00S,2023-03-01T03:42:58.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612744,32,41,2023-03-01T03:43:08Z,2000000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,203.0,,,,,,,,,,,,,,,
205,PT09M54.00S,2023-03-01T03:43:04.3Z,2,REGULAR,foul,personal,[],1629234,,,1610612744,32,41,2023-03-01T03:43:17Z,2010000,False,,,0,,D. Eubanks loose ball personal FOUL (1 PF),"[1629234, 1630237]",1610612757.0,POR,loose ball,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1179.0,1.0,0.0,Lamb,1630237.0,,,
207,PT09M42.00S,2023-03-01T03:43:27.5Z,2,REGULAR,3pt,Jump Shot,[],1628978,74.19513797634691,11.029411764705882,1610612744,32,41,2023-03-01T03:43:37Z,2030000,False,-195.0,190.0,1,right,MISS D. DiVincenzo 27' pullup 3PT,[1628978],1610612744.0,GSW,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,27.23,Missed,,,,,,,,,,,,,,,,,,
208,PT09M40.00S,2023-03-01T03:43:35.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612744,32,41,2023-03-01T03:43:35Z,2040000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,207.0,,,,,,,,,,,,,,,
210,PT09M38.00S,2023-03-01T03:43:58.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629673,95.6143232588699,3.431372549019608,1610612744,32,41,2023-03-01T03:44:02Z,2060000,False,-233.0,-11.0,1,right,MISS J. Poole 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Left Corner 3,24+ Left,23.31,Missed,,,,,,,,,,,,,,,,,,
211,PT09M35.00S,2023-03-01T03:44:01.2Z,2,REGULAR,rebound,defensive,[],1629234,,,1610612757,32,41,2023-03-01T03:44:02Z,2070000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:3),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Left Corner 3,24+ Left,,,,,210.0,4.0,3.0,1.0,,,,,,,,,,,,
212,PT09M17.00S,2023-03-01T03:44:19.4Z,2,REGULAR,3pt,Jump Shot,[],1631101,4.418528252299605,95.83333333333334,1610612757,32,41,2023-03-01T03:44:26Z,2080000,False,-229.0,-11.0,1,left,MISS S. Sharpe 3PT,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,22.95,Missed,,,,,,,,,,,,,,,,,,
213,PT09M15.00S,2023-03-01T03:44:21.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612757,32,41,2023-03-01T03:44:26Z,2090000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Left Corner 3,24+ Left,,,,,212.0,,,,,,,,,,,,,,,
214,PT09M15.00S,2023-03-01T03:44:26.0Z,2,REGULAR,foul,personal,[],1630237,,,1610612757,32,41,2023-03-01T03:44:34Z,2100000,False,,,0,,A. Lamb loose ball personal FOUL (1 PF),"[1630237, 1629234]",1610612744.0,GSW,loose ball,,,Lamb,A. Lamb,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1628159.0,1.0,0.0,Eubanks,1629234.0,,,
216,PT09M15.00S,2023-03-01T03:44:33.6Z,2,REGULAR,substitution,out,[],1630553,,,1610612757,32,41,2023-03-01T03:44:40Z,2120000,False,,,0,,SUB out: K. Johnson,[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT09M15.00S,2023-03-01T03:44:33.6Z,2,REGULAR,substitution,in,[],203081,,,1610612757,32,41,2023-03-01T03:44:40Z,2130000,False,,,0,,SUB in: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT09M05.00S,2023-03-01T03:45:03.9Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],203924,23.340998685939553,41.66666666666667,1610612757,32,43,2023-03-01T03:45:09Z,2140000,False,42.0,167.0,1,left,J. Grant 17' step back Jump Shot (6 PTS) (D. Eubanks 3 AST),"[203924, 1629234]",1610612757.0,POR,step back,,,Grant,J. Grant,,,,,Mid-Range,16-24 Center,17.2,Made,,,,,,,,,,6.0,,,,,,D. Eubanks,1629234.0,3.0
220,PT08M47.00S,2023-03-01T03:45:23.2Z,2,REGULAR,turnover,traveling,[],1631116,,,1610612744,32,43,2023-03-01T03:45:30Z,2160000,False,,,0,,P. Baldwin Jr. traveling TURNOVER (1 TO),[1631116],1610612744.0,GSW,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1.0,,,,1627962.0,,,,,,,
221,PT08M33.00S,2023-03-01T03:45:53.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631101,7.30946123521682,53.67647058823529,1610612757,32,45,2023-03-01T03:46:00Z,2170000,False,-18.0,16.0,1,left,S. Sharpe driving Layup (6 PTS) (D. Lillard 4 AST),"[1631101, 203081]",1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,2.45,Made,,,,,,,,,,6.0,,,,,,D. Lillard,203081.0,4.0
223,PT08M13.00S,2023-03-01T03:46:13.6Z,2,REGULAR,3pt,Jump Shot,[],1631116,65.91655716162943,67.64705882352942,1610612744,32,45,2023-03-01T03:46:19Z,2190000,False,88.0,268.0,1,right,MISS P. Baldwin Jr. 28' 3PT,[1631116],1610612744.0,GSW,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Right Center,28.2,Missed,,,,,,,,,,,,,,,,,,
224,PT08M11.00S,2023-03-01T03:46:15.6Z,2,REGULAR,rebound,defensive,[],1629234,,,1610612757,32,45,2023-03-01T03:46:19Z,2200000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:4),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Right Center,,,,,223.0,5.0,4.0,1.0,,,,,,,,,,,,
225,PT08M05.00S,2023-03-01T03:46:22.7Z,2,REGULAR,2pt,Jump Shot,[],203081,17.821944809461236,16.42156862745098,1610612757,32,47,2023-03-01T03:46:28Z,2210000,False,168.0,115.0,1,left,D. Lillard 20' step back Jump Shot (17 PTS),[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Right,20.35,Made,,,,,,,,,,17.0,,,,,,,,
226,PT07M53.00S,2023-03-01T03:46:35.6Z,2,REGULAR,foul,personal,['2freethrow'],1629234,,,1610612744,32,47,2023-03-01T03:46:41Z,2220000,False,,,0,,D. Eubanks shooting personal FOUL (2 PF) (Green 2 FT),"[1629234, 203110]",1610612757.0,POR,shooting,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1179.0,2.0,0.0,Green,203110.0,,,
228,PT07M53.00S,2023-03-01T03:46:58.7Z,2,REGULAR,freethrow,1 of 2,[],203110,,,1610612744,33,47,2023-03-01T03:46:58Z,2240000,False,,,0,,D. Green Free Throw 1 of 2 (6 PTS),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,Made,,,,,,,,,,6.0,,,,,,,,
229,PT07M53.00S,2023-03-01T03:46:59.8Z,2,REGULAR,substitution,out,[],1631116,,,1610612744,33,47,2023-03-01T03:47:04Z,2250000,False,,,0,,SUB out: P. Baldwin Jr.,[1631116],1610612744.0,GSW,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT07M53.00S,2023-03-01T03:46:59.8Z,2,REGULAR,substitution,in,[],202691,,,1610612744,33,47,2023-03-01T03:47:04Z,2260000,False,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT07M53.00S,2023-03-01T03:47:27.7Z,2,REGULAR,freethrow,2 of 2,[],203110,,,1610612744,34,47,2023-03-01T03:47:27Z,2270000,False,,,0,,D. Green Free Throw 2 of 2 (7 PTS),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,Made,,,,,,,,,,7.0,,,,,,,,
232,PT07M40.00S,2023-03-01T03:47:47.1Z,2,REGULAR,foul,personal,['2freethrow'],1630237,,,1610612757,34,47,2023-03-01T03:47:58Z,2280000,False,,,0,,A. Lamb shooting personal FOUL (2 PF) (Grant 2 FT),"[1630237, 203924]",1610612744.0,GSW,shooting,,,Lamb,A. Lamb,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628159.0,2.0,0.0,Grant,203924.0,,,
234,PT07M40.00S,2023-03-01T03:48:17.2Z,2,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,34,48,2023-03-01T03:48:50Z,2300000,False,,,0,,J. Grant Free Throw 1 of 2 (7 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,,7.0,,,,,,,,
235,PT07M40.00S,2023-03-01T03:48:17.7Z,2,REGULAR,substitution,out,[],203110,,,1610612757,34,48,2023-03-01T03:48:20Z,2310000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT07M40.00S,2023-03-01T03:48:17.7Z,2,REGULAR,substitution,in,[],1626172,,,1610612757,34,48,2023-03-01T03:48:20Z,2320000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT07M40.00S,2023-03-01T03:48:17.2Z,2,REGULAR,freethrow,2 of 2,[],203924,,,1610612757,34,48,2023-03-01T03:48:50Z,2330000,False,,,0,,MISS J. Grant Free Throw 2 of 2,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
238,PT07M38.00S,2023-03-01T03:48:19.2Z,2,REGULAR,rebound,defensive,[],202691,,,1610612744,34,48,2023-03-01T03:48:50Z,2340000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,237.0,1.0,1.0,0.0,,,,,,,,,,,,
239,PT07M21.00S,2023-03-01T03:48:53.2Z,2,REGULAR,3pt,Jump Shot,[],1629673,66.70499342969777,50.98039215686274,1610612744,34,48,2023-03-01T03:48:57Z,2350000,False,5.0,260.0,1,right,MISS J. Poole 26' step back 3PT,[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,26.05,Missed,,,,,,,,,,,,,,,,,,
240,PT07M18.00S,2023-03-01T03:48:56.2Z,2,REGULAR,rebound,offensive,[],1628978,,,1610612744,34,48,2023-03-01T03:48:57Z,2360000,False,,,0,,D. DiVincenzo REBOUND (Off:1 Def:1),[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,,,,,239.0,2.0,1.0,1.0,,,,,,,,,,,,
241,PT07M04.00S,2023-03-01T03:49:09.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630237,85.3646517739816,59.068627450980394,1610612744,34,48,2023-03-01T03:49:44Z,2370000,False,45.0,85.0,1,right,MISS A. Lamb 9' fadeaway Shot,[1630237],1610612744.0,GSW,fadeaway,,,Lamb,A. Lamb,,,,,In The Paint (Non-RA),8-16 Center,9.64,Missed,,,,,,,,,,,,,,,,,,
242,PT07M02.00S,2023-03-01T03:49:11.5Z,2,REGULAR,rebound,defensive,[],1631101,,,1610612757,34,48,2023-03-01T03:49:18Z,2380000,False,,,0,,S. Sharpe REBOUND (Off:1 Def:3),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,,,241.0,4.0,3.0,1.0,,,,,,,,,,,,
243,PT06M43.00S,2023-03-01T03:49:33.8Z,2,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612757,34,48,2023-03-01T03:53:47Z,2390000,False,,,0,,J. Poole shooting personal FOUL (2 PF) (Grant 2 FT),"[1629673, 203924]",1610612744.0,GSW,shooting,,,Poole,J. Poole,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1627962.0,2.0,0.0,Grant,203924.0,,,
245,PT06M43.00S,2023-03-01T03:49:48.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,34,48,2023-03-01T03:49:48Z,2410000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT06M43.00S,2023-03-01T03:52:07.1Z,2,REGULAR,substitution,out,[],1629673,,,1610612757,34,48,2023-03-01T03:52:27Z,2420000,False,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT06M43.00S,2023-03-01T03:52:07.1Z,2,REGULAR,substitution,out,[],1630237,,,1610612757,34,48,2023-03-01T03:52:27Z,2430000,False,,,0,,SUB out: A. Lamb,[1630237],1610612744.0,GSW,,,,Lamb,A. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT06M43.00S,2023-03-01T03:52:07.1Z,2,REGULAR,substitution,in,[],1629660,,,1610612757,34,48,2023-03-01T03:52:27Z,2440000,False,,,0,,SUB in: T. Jerome,[1629660],1610612744.0,GSW,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M43.00S,2023-03-01T03:52:07.1Z,2,REGULAR,substitution,in,[],1630228,,,1610612757,34,48,2023-03-01T03:52:27Z,2450000,False,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT06M43.00S,2023-03-01T03:52:59.0Z,2,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,34,49,2023-03-01T03:52:59Z,2460000,False,,,0,,J. Grant Free Throw 1 of 2 (8 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,,8.0,,,,,,,,
253,PT06M43.00S,2023-03-01T03:53:13.6Z,2,REGULAR,freethrow,2 of 2,[],203924,,,1610612757,34,50,2023-03-01T03:53:13Z,2470000,False,,,0,,J. Grant Free Throw 2 of 2 (9 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,,9.0,,,,,,,,
254,PT06M27.00S,2023-03-01T03:53:30.9Z,2,REGULAR,turnover,bad pass,[],1628978,,,1610612744,34,50,2023-03-01T03:53:35Z,2480000,False,,,0,,D. DiVincenzo bad pass TURNOVER (1 TO),"[1628978, 203924]",1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,Grant,203924.0,,,,,,,,,
255,PT06M27.00S,2023-03-01T03:53:30.9Z,2,REGULAR,steal,,[],203924,,,1610612757,34,50,2023-03-01T03:53:33Z,2490000,False,,,0,,J. Grant STEAL (1 STL),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
256,PT06M22.00S,2023-03-01T03:53:38.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629660,,,1610612757,34,50,2023-03-01T03:53:46Z,2500000,False,,,0,,T. Jerome personal FOUL (2 PF) (Grant 2 FT),"[1629660, 203924]",1610612744.0,GSW,,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1179.0,2.0,0.0,Grant,203924.0,,,
259,PT06M22.00S,2023-03-01T03:54:47.9Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],203924,,,1610612757,34,51,2023-03-01T03:54:47Z,2530000,False,,,0,,J. Grant Free Throw 1 of 2 (10 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,,10.0,,,,,,,,
260,PT06M22.00S,2023-03-01T03:55:01.0Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],203924,,,1610612757,34,52,2023-03-01T03:55:01Z,2540000,False,,,0,,J. Grant Free Throw 2 of 2 (11 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,,11.0,,,,,,,,
261,PT06M08.00S,2023-03-01T03:55:19.5Z,2,REGULAR,turnover,out-of-bounds,[],1630228,,,1610612744,34,52,2023-03-01T03:55:26Z,2550000,False,,,0,,J. Kuminga lost ball out-of-bounds TURNOVER (1 TO),[1630228],1610612744.0,GSW,lost ball,,,Kuminga,J. Kuminga,,,,,Mid-Range,8-16 Left,,,,,,,,,1.0,,,,1179.0,,,,,,,
