actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
255,PT05M39.00S,2026-03-06T01:25:26.5Z,2,REGULAR,rebound,defensive,[],203952,,,1610612748,49,39,2026-03-06T01:25:27Z,2530000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:3),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,253.0,3.0,3.0,0.0,,,,
256,PT05M34.00S,2026-03-06T01:25:31.9Z,2,REGULAR,turnover,bad pass,[],1629639,,,1610612748,49,39,2026-03-06T01:25:36Z,2540000,False,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 1629008]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,,,Porter Jr.,1629008.0
257,PT05M34.00S,2026-03-06T01:25:31.9Z,2,REGULAR,steal,,[],1629008,,,1610612751,49,39,2026-03-06T01:59:04Z,2550000,False,,,0,,M. Porter Jr. STEAL (1 STL),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
258,PT05M21.00S,2026-03-06T01:25:47.7Z,2,REGULAR,foul,personal,[],1630558,,,1610612751,49,39,2026-03-06T01:25:53Z,2560000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1630558, 1629008]",1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,1627519.0,,1.0,0.0,Porter Jr.,1629008.0,,,,,,,,,,,,,,
260,PT05M21.00S,2026-03-06T01:25:55.1Z,2,REGULAR,substitution,out,[],1642879,,,1610612751,49,39,2026-03-06T01:25:58Z,2580000,False,,,0,,SUB out: B. Saraf,[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT05M21.00S,2026-03-06T01:25:55.1Z,2,REGULAR,substitution,in,[],1642849,,,1610612751,49,39,2026-03-06T01:25:58Z,2590000,False,,,0,,SUB in: N. Traore,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT05M08.00S,2026-03-06T01:26:22.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629651,79.97700394218134,64.4607843137255,1610612751,49,39,2026-03-06T01:30:45Z,2600000,False,72.0,136.0,1,right,MISS N. Claxton 15' step back Shot,[1629651],1610612751.0,BKN,step back,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,Missed,,15.38,,,,,,,,,,,
263,PT05M04.00S,2026-03-06T01:26:26.7Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,49,39,2026-03-06T01:26:28Z,2610000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:2),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,262.0,2.0,2.0,0.0,,,,
264,PT04M56.00S,2026-03-06T01:26:34.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,6.258212877792378,49.50980392156863,1610612748,51,39,2026-03-06T01:26:47Z,2620000,False,2.0,6.0,1,left,K. Ware alley-oop DUNK (6 PTS) (T. Herro 3 AST),"[1642276, 1629639]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,Made,6.0,0.68,T. Herro,1629639.0,3.0,,,,,,,,
266,PT04M32.00S,2026-03-06T01:26:58.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642849,92.32917214191852,56.61764705882353,1610612751,51,39,2026-03-06T01:27:06Z,2640000,False,33.0,20.0,1,right,MISS N. Traore driving floating Shot,[1642849],1610612751.0,BKN,driving floating,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,3.85,,,,,,,,,,,
267,PT04M30.00S,2026-03-06T01:27:00.4Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,51,39,2026-03-06T01:27:06Z,2650000,False,,,0,,K. Ware REBOUND (Off:2 Def:2),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,266.0,4.0,2.0,2.0,,,,
268,PT04M20.00S,2026-03-06T01:27:11.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.1268068331143235,51.9607843137255,1610612748,53,39,2026-03-06T01:27:19Z,2660000,False,-10.0,5.0,1,left,T. Herro driving reverse Layup (6 PTS),[1629639],1610612748.0,MIA,driving reverse,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,Made,6.0,1.1,,,,,,,,,,,
269,PT04M12.00S,2026-03-06T01:27:18.3Z,2,REGULAR,3pt,Jump Shot,[],1641730,87.07293035479631,2.2058823529411766,1610612751,53,42,2026-03-06T01:27:23Z,2670000,False,-239.0,69.0,1,right,N. Clowney 24' 3PT  (6 PTS) (N. Traore 3 AST),"[1641730, 1642849]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Left Corner 3,24+ Left,,,,,,,Made,6.0,24.88,N. Traore,1642849.0,3.0,,,,,,,,
271,PT04M11.00S,2026-03-06T01:27:25.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,53,42,2026-03-06T01:27:25Z,2690000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT04M11.00S,2026-03-06T01:29:54.3Z,2,REGULAR,substitution,out,[],1642276,,,1610612748,53,42,2026-03-06T01:30:18Z,2700000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT04M11.00S,2026-03-06T01:29:54.3Z,2,REGULAR,substitution,in,[],1628389,,,1610612748,53,42,2026-03-06T01:30:18Z,2710000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
276,PT03M58.00S,2026-03-06T01:30:38.9Z,2,REGULAR,2pt,Jump Shot,[],1631170,3.892904073587385,29.901960784313726,1610612748,55,42,2026-03-06T01:30:42Z,2720000,False,100.0,-16.0,1,left,J. Jaquez Jr. 10' floating Jump Shot (4 PTS) (D. Mitchell 2 AST),"[1631170, 1630558]",1610612748.0,MIA,floating,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,8-16 Right,,,,,,,Made,4.0,10.17,D. Mitchell,1630558.0,2.0,,,,,,,,
278,PT03M35.00S,2026-03-06T01:31:01.0Z,2,REGULAR,3pt,Jump Shot,[],1629008,79.71419185282524,5.147058823529411,1610612751,55,42,2026-03-06T01:33:42Z,2740000,False,-224.0,138.0,1,right,MISS M. Porter Jr. 26' pullup 3PT,[1629008],1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,26.35,,,,,,,,,,,
279,PT03M33.00S,2026-03-06T01:31:03.0Z,2,REGULAR,rebound,offensive,[],1629651,,,1610612751,55,42,2026-03-06T01:34:07Z,2750000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,278.0,2.0,1.0,1.0,,,,
280,PT03M32.00S,2026-03-06T01:31:10.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,92.72339027595268,49.26470588235294,1610612751,55,44,2026-03-06T01:35:50Z,2760000,False,-4.0,16.0,1,right,N. Claxton putback Layup (8 PTS),[1629651],1610612751.0,BKN,putback,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,Made,8.0,1.63,,,,,,,,,,,
281,PT03M32.00S,2026-03-06T01:31:11.8Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630558,,,1610612751,55,44,2026-03-06T01:36:04Z,2770000,False,,,0,,D. Mitchell shooting personal FOUL (2 PF) (Claxton 1 FT),"[1630558, 1629651]",1610612748.0,MIA,shooting,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,1628953.0,,2.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,
283,PT03M32.00S,2026-03-06T01:31:36.9Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1629651,,,1610612751,55,44,2026-03-06T01:35:39Z,2790000,False,,,0,,MISS N. Claxton Free Throw 1 of 1,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
284,PT03M32.00S,2026-03-06T01:31:36.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612748,55,44,2026-03-06T01:31:42Z,2800000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,283.0,,,,,,,
285,PT03M21.00S,2026-03-06T01:31:58.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,9.806176084099869,40.68627450980392,1610612748,55,44,2026-03-06T01:32:04Z,2820000,False,47.0,40.0,1,left,MISS T. Herro 6' turnaround Shot,[1629639],1610612748.0,MIA,turnaround,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,6.12,,,,,,,,,,,
286,PT03M17.00S,2026-03-06T01:32:02.6Z,2,REGULAR,rebound,defensive,[],1641730,,,1610612751,55,44,2026-03-06T01:32:04Z,2830000,False,,,0,,N. Clowney REBOUND (Off:0 Def:2),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,285.0,2.0,2.0,0.0,,,,
287,PT03M03.00S,2026-03-06T01:32:16.7Z,2,REGULAR,3pt,Jump Shot,[],1629008,85.89027595269383,94.85294117647058,1610612751,55,47,2026-03-06T01:32:23Z,2840000,False,224.0,80.0,1,right,M. Porter Jr. 3PT  (9 PTS) (N. Traore 4 AST),"[1629008, 1642849]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,,,,,Made,9.0,23.82,N. Traore,1642849.0,4.0,,,,,,,,
289,PT02M52.00S,2026-03-06T01:32:28.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,11.514454664914586,62.99019607843137,1610612748,55,47,2026-03-06T01:37:51Z,2860000,False,-65.0,56.0,1,left,MISS J. Jaquez Jr. 8' driving floating Shot,[1631170],1610612748.0,MIA,driving floating,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,Missed,,8.56,,,,,,,,,,,
290,PT02M48.00S,2026-03-06T01:32:32.6Z,2,REGULAR,rebound,offensive,[],1630558,,,1610612748,55,47,2026-03-06T01:37:51Z,2870000,False,,,0,,D. Mitchell REBOUND (Off:1 Def:1),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,289.0,2.0,1.0,1.0,,,,
291,PT02M43.00S,2026-03-06T01:32:36.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628389,5.075558475689881,44.36274509803921,1610612748,55,47,2026-03-06T01:32:42Z,2880000,False,28.0,-5.0,1,left,MISS B. Adebayo Layup,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,2.86,,,,,,,,,,,
292,PT02M40.00S,2026-03-06T01:32:39.0Z,2,REGULAR,rebound,defensive,[],1629008,,,1610612751,55,47,2026-03-06T01:32:39Z,2890000,False,,,0,,M. Porter Jr. REBOUND (Off:2 Def:6),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,291.0,8.0,6.0,2.0,,,,
293,PT02M20.00S,2026-03-06T01:32:59.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,93.24901445466492,51.9607843137255,1610612751,55,49,2026-03-06T01:39:38Z,2900000,False,10.0,11.0,1,right,M. Porter Jr. reverse Layup (11 PTS) (N. Traore 5 AST),"[1629008, 1642849]",1610612751.0,BKN,reverse,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,Made,11.0,1.47,N. Traore,1642849.0,5.0,,,,,,,,
295,PT02M02.00S,2026-03-06T01:33:17.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,10.5946123521682,40.44117647058824,1610612748,57,49,2026-03-06T01:33:21Z,2920000,False,48.0,47.0,1,left,T. Herro 6' driving floating bank Jump Shot (8 PTS) (B. Adebayo 2 AST),"[1629639, 1628389]",1610612748.0,MIA,driving floating bank,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Made,8.0,6.71,B. Adebayo,1628389.0,2.0,,,,,,,,
297,PT01M46.00S,2026-03-06T01:33:36.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628389,,,1610612751,57,49,2026-03-06T01:33:45Z,2940000,False,,,0,,B. Adebayo shooting personal FOUL (3 PF) (Claxton 2 FT),"[1628389, 1629651]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,101284.0,,3.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,
299,PT01M46.00S,2026-03-06T01:34:09.4Z,2,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,57,49,2026-03-06T01:34:09Z,2960000,False,,,0,,MISS N. Claxton Free Throw 1 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
300,PT01M46.00S,2026-03-06T01:34:09.4Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,57,49,2026-03-06T01:34:09Z,2970000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,299.0,,,,,,,
301,PT01M46.00S,2026-03-06T01:34:11.9Z,2,REGULAR,substitution,out,[],1628389,,,1610612751,57,49,2026-03-06T01:34:15Z,2980000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT01M46.00S,2026-03-06T01:34:11.9Z,2,REGULAR,substitution,in,[],1642276,,,1610612751,57,49,2026-03-06T01:34:15Z,2990000,False,,,0,,SUB in: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
303,PT01M46.00S,2026-03-06T01:34:28.5Z,2,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,57,50,2026-03-06T01:34:28Z,3000000,False,,,0,,N. Claxton Free Throw 2 of 2 (9 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,Made,9.0,,,,,,,,,,,,
304,PT01M21.00S,2026-03-06T01:34:56.2Z,2,REGULAR,turnover,bad pass,[],1629639,,,1610612748,57,50,2026-03-06T01:35:08Z,3010000,False,,,0,,T. Herro bad pass TURNOVER (2 TO),"[1629639, 1641730]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left Center,,2.0,,,,,,,,,,,,,,,,,Clowney,1641730.0
305,PT01M21.00S,2026-03-06T01:34:56.2Z,2,REGULAR,steal,,[],1641730,,,1610612751,57,50,2026-03-06T01:34:58Z,3020000,False,,,0,,N. Clowney STEAL (1 STL),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
306,PT01M10.00S,2026-03-06T01:35:07.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629651,88.38699080157687,45.83333333333333,1610612751,57,50,2026-03-06T01:41:27Z,3030000,False,-21.0,57.0,1,right,MISS N. Claxton 6' driving Layup - blocked,"[1629651, 1642276]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,6.04,,,,,,,,Ware,1642276.0,,
307,PT01M10.00S,2026-03-06T01:35:07.1Z,2,REGULAR,block,,[],1642276,,,1610612751,57,50,2026-03-06T01:35:11Z,3040000,False,,,0,,K. Ware BLOCK (5 BLK),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
308,PT01M00.00S,2026-03-06T01:35:17.1Z,2,REGULAR,rebound,offensive,[],1629611,,,1610612751,57,50,2026-03-06T01:35:23Z,3050000,False,,,0,,T. Mann REBOUND (Off:1 Def:1),[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,306.0,2.0,1.0,1.0,,,,
309,PT01M00.00S,2026-03-06T01:35:15.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629611,94.40999984741211,50.0,1610612751,57,50,2026-03-06T01:35:15Z,3060000,False,0.0,0.0,1,right,MISS T. Mann tip Layup,[1629611],1610612751.0,BKN,tip,,,Mann,T. Mann,,,,,Mid-Range,8-16 Left,,,,,,,Missed,,0.0,,,,,,,,,,,
310,PT00M59.30S,2026-03-06T01:35:17.2Z,2,REGULAR,rebound,offensive,[],1629611,,,1610612751,57,50,2026-03-06T01:35:17Z,3070000,False,,,0,,T. Mann REBOUND (Off:2 Def:1),[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,309.0,3.0,1.0,2.0,,,,
311,PT00M59.30S,2026-03-06T01:35:17.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629611,94.40999984741211,50.0,1610612751,57,52,2026-03-06T01:35:17Z,3080000,False,0.0,0.0,1,right,T. Mann tip Layup (5 PTS),[1629611],1610612751.0,BKN,tip,,,Mann,T. Mann,,,,,Mid-Range,8-16 Left,,,,,,,Made,5.0,0.0,,,,,,,,,,,
312,PT00M51.20S,2026-03-06T01:35:26.3Z,2,REGULAR,turnover,bad pass,[],1629639,,,1610612748,57,52,2026-03-06T01:35:30Z,3090000,False,,,0,,T. Herro bad pass TURNOVER (3 TO),"[1629639, 1629651]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,3.0,,,,,,,,,,,,,,,,,Claxton,1629651.0
313,PT00M51.20S,2026-03-06T01:35:26.3Z,2,REGULAR,steal,,[],1629651,,,1610612751,57,52,2026-03-06T01:35:28Z,3100000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
314,PT00M46.90S,2026-03-06T01:35:31.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629611,94.03745072273325,52.94117647058824,1610612751,57,54,2026-03-06T01:35:38Z,3110000,False,15.0,4.0,1,right,T. Mann running Layup (7 PTS) (N. Traore 6 AST),"[1629611, 1642849]",1610612751.0,BKN,running,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,,,Made,7.0,1.51,N. Traore,1642849.0,6.0,,,,,,,,
316,PT00M28.10S,2026-03-06T01:35:54.4Z,2,REGULAR,3pt,Jump Shot,[],1629639,31.09395532194481,66.42156862745098,1610612748,60,54,2026-03-06T01:35:59Z,3130000,False,-82.0,240.0,1,left,T. Herro 25' 3PT pullup (11 PTS) (D. Mitchell 3 AST),"[1629639, 1630558]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,,,,Made,11.0,25.35,D. Mitchell,1630558.0,3.0,,,,,,,,
319,PT00M06.90S,2026-03-06T01:36:19.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1642849,93.38042049934296,57.59803921568627,1610612751,60,56,2026-03-06T01:36:34Z,3160000,False,38.0,10.0,1,right,N. Traore driving Layup (9 PTS) (N. Claxton 1 AST),"[1642849, 1629651]",1610612751.0,BKN,driving,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,,,,Made,9.0,3.92,N. Claxton,1629651.0,1.0,,,,,,,,
320,PT00M06.90S,2026-03-06T01:36:29.2Z,2,REGULAR,violation,defensive goaltending,[],1642276,,,1610612751,60,56,2026-03-06T01:36:34Z,3170000,False,,,0,,K. Ware defensive goaltending VIOLATION,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,1627519.0,,,,,,,,,,,,,,,,,,,
321,PT00M06.90S,2026-03-06T01:36:53.8Z,2,REGULAR,timeout,full,['team'],0,,,1610612748,60,56,2026-03-06T01:36:53Z,3180000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT00M06.90S,2026-03-06T01:38:16.0Z,2,REGULAR,substitution,out,[],1629008,,,1610612748,60,56,2026-03-06T01:38:28Z,3200000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT00M06.90S,2026-03-06T01:38:16.0Z,2,REGULAR,substitution,out,[],1642849,,,1610612748,60,56,2026-03-06T01:38:28Z,3210000,False,,,0,,SUB out: N. Traore,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT00M06.90S,2026-03-06T01:38:16.0Z,2,REGULAR,substitution,in,[],1630533,,,1610612748,60,56,2026-03-06T01:38:28Z,3220000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT00M06.90S,2026-03-06T01:38:16.0Z,2,REGULAR,substitution,in,[],1630534,,,1610612748,60,56,2026-03-06T01:38:28Z,3230000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612751.0,BKN,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
328,PT00M01.90S,2026-03-06T01:38:47.6Z,2,REGULAR,3pt,Jump Shot,[],203952,5.995400788436268,2.941176470588235,1610612748,60,56,2026-03-06T01:38:56Z,3240000,False,235.0,4.0,1,left,MISS A. Wiggins 3PT,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Right Corner 3,24+ Right,,,,,,,Missed,,23.53,,,,,,,,,,,
329,PT00M01.90S,2026-03-06T01:38:47.6Z,2,REGULAR,rebound,defensive,[],1629651,,,1610612751,60,56,2026-03-06T01:38:56Z,3250000,False,,,0,,N. Claxton REBOUND (Off:1 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,328.0,3.0,2.0,1.0,,,,
330,PT00M00.00S,2026-03-06T01:38:59.0Z,2,REGULAR,period,end,[],0,,,1610612751,60,56,2026-03-06T01:38:59Z,3260000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,PT12M00.00S,2026-03-06T01:54:00.2Z,3,REGULAR,substitution,out,['startperiod'],1642276,,,1610612751,60,56,2026-03-06T01:54:15Z,3270000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
332,PT12M00.00S,2026-03-06T01:54:00.2Z,3,REGULAR,substitution,out,['startperiod'],1631170,,,1610612751,60,56,2026-03-06T01:54:15Z,3280000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT12M00.00S,2026-03-06T01:54:00.2Z,3,REGULAR,substitution,out,['startperiod'],1630533,,,1610612751,60,56,2026-03-06T01:54:15Z,3290000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT12M00.00S,2026-03-06T01:54:00.2Z,3,REGULAR,substitution,out,['startperiod'],1630534,,,1610612751,60,56,2026-03-06T01:54:15Z,3300000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612751.0,BKN,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
335,PT12M00.00S,2026-03-06T01:54:00.2Z,3,REGULAR,substitution,in,['startperiod'],1641796,,,1610612751,60,56,2026-03-06T01:54:15Z,3310000,False,,,0,,SUB in: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT12M00.00S,2026-03-06T01:54:00.2Z,3,REGULAR,substitution,in,['startperiod'],1628389,,,1610612751,60,56,2026-03-06T01:54:15Z,3320000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
337,PT12M00.00S,2026-03-06T01:54:00.2Z,3,REGULAR,substitution,in,['startperiod'],1642849,,,1610612751,60,56,2026-03-06T01:54:15Z,3330000,False,,,0,,SUB in: N. Traore,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,,,,,,,,,,,,,,,,,,,,,,
338,PT12M00.00S,2026-03-06T01:54:00.2Z,3,REGULAR,substitution,in,['startperiod'],1629008,,,1610612751,60,56,2026-03-06T01:54:15Z,3340000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
339,PT12M00.00S,2026-03-06T01:54:19.2Z,3,REGULAR,period,start,[],0,,,1610612748,60,56,2026-03-06T01:54:19Z,3350000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,PT11M45.00S,2026-03-06T01:54:33.6Z,3,REGULAR,2pt,Jump Shot,[],203952,77.61169513797634,50.0,1610612748,60,56,2026-03-06T01:55:16Z,3360000,False,0.0,158.0,1,right,MISS A. Wiggins 15' step back Shot,[203952],1610612748.0,MIA,step back,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Center,,,,,,,Missed,,15.8,,,,,,,,,,,
342,PT11M44.00S,2026-03-06T01:54:34.6Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612751,60,56,2026-03-06T01:54:47Z,3380000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,340.0,,,,,,,
