actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
173,PT11M34.00S,2023-11-04T02:53:08.2Z,2,REGULAR,freethrow,1 of 1,[],1630192,,,1610612743,42,26,2023-11-04T02:53:08Z,1710000,False,,,0,,MISS Z. Nnaji Free Throw 1 of 1,[1630192],1610612743.0,DEN,,,,,,,,,,Nnaji,Z. Nnaji,,,,Missed,,,,,,,,,,,,,,,
174,PT11M32.00S,2023-11-04T02:53:10.2Z,2,REGULAR,rebound,defensive,[],203552,,,1610612742,42,26,2023-11-04T02:53:23Z,1720000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612742.0,DAL,,,,,,,,,,Curry,S. Curry,,,,,,,,,173.0,1.0,1.0,0.0,,,,,,,
175,PT11M20.00S,2023-11-04T02:53:22.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,6.783837056504599,43.627450980392155,1610612742,42,26,2023-11-04T02:53:26Z,1730000,False,32.0,11.0,1,left,MISS L. Doncic Layup,[1629029],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,Doncic,L. Doncic,,,3.38,Missed,,,,,,,,,,,,,,,
176,PT11M18.00S,2023-11-04T02:53:24.5Z,2,REGULAR,rebound,defensive,[],1630192,,,1610612743,42,26,2023-11-04T02:53:26Z,1740000,False,,,0,,Z. Nnaji REBOUND (Off:1 Def:3),[1630192],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,Nnaji,Z. Nnaji,,,,,,,,,175.0,4.0,3.0,1.0,,,,,,,
177,PT11M07.00S,2023-11-04T02:53:35.7Z,2,REGULAR,2pt,Jump Shot,[],1627750,79.45137976346912,37.254901960784316,1610612743,42,26,2023-11-04T02:53:39Z,1750000,False,-64.0,141.0,1,right,MISS J. Murray 15' turnaround fadeaway Shot,[1627750],1610612743.0,DEN,turnaround fadeaway,,,,,,Mid-Range,8-16 Center,,Murray,J. Murray,,,15.44,Missed,,,,,,,,,,,,,,,
178,PT11M04.00S,2023-11-04T02:53:38.7Z,2,REGULAR,rebound,defensive,[],1641726,,,1610612742,42,26,2023-11-04T02:53:39Z,1760000,False,,,0,,D. Lively II REBOUND (Off:0 Def:2),[1641726],1610612742.0,DAL,,,,,,,Mid-Range,8-16 Center,,Lively II,D. Lively II,,,,,,,,,177.0,2.0,2.0,0.0,,,,,,,
179,PT10M54.00S,2023-11-04T02:53:48.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627884,12.302890932982917,58.82352941176471,1610612742,42,28,2023-11-04T02:53:52Z,1770000,False,-44.0,63.0,1,left,D. Jones Jr. 7' pullup Jump Shot (7 PTS) (L. Doncic 4 AST),"[1627884, 1629029]",1610612742.0,DAL,pullup,,,,,,In The Paint (Non-RA),0-8 Center,,Jones Jr.,D. Jones Jr.,,,7.7,Made,7.0,L. Doncic,1629029.0,4.0,,,,,,,,,,,
181,PT10M31.00S,2023-11-04T02:54:09.8Z,2,REGULAR,3pt,Jump Shot,[],1631212,70.90998685939553,20.34313725490196,1610612743,42,28,2023-11-04T02:54:16Z,1790000,False,-148.0,221.0,1,right,MISS P. Watson 26' 3PT,[1631212],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,Watson,P. Watson,,,26.61,Missed,,,,,,,,,,,,,,,
182,PT10M29.00S,2023-11-04T02:54:11.8Z,2,REGULAR,rebound,defensive,[],1630182,,,1610612742,42,28,2023-11-04T02:54:16Z,1800000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630182],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,Green,J. Green,,,,,,,,,181.0,1.0,1.0,0.0,,,,,,,
183,PT10M20.00S,2023-11-04T02:54:21.8Z,2,REGULAR,3pt,Jump Shot,[],1627884,32.013797634691194,59.31372549019608,1610612742,42,28,2023-11-04T02:54:26Z,1810000,False,-47.0,248.0,1,left,MISS D. Jones Jr. 25' 3PT,[1627884],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,,Jones Jr.,D. Jones Jr.,,,25.27,Missed,,,,,,,,,,,,,,,
184,PT10M16.00S,2023-11-04T02:54:25.8Z,2,REGULAR,rebound,defensive,[],1631212,,,1610612743,42,28,2023-11-04T02:54:26Z,1820000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,Watson,P. Watson,,,,,,,,,183.0,1.0,1.0,0.0,,,,,,,
185,PT10M15.00S,2023-11-04T02:54:29.9Z,2,REGULAR,foul,personal,[],1629029,,,1610612743,42,28,2023-11-04T02:55:01Z,1830000,False,,,0,,L. Doncic personal FOUL (2 PF),"[1629029, 1631212]",1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,Doncic,L. Doncic,,,,,,,,,,,,,2530.0,2.0,0.0,Watson,1631212.0,,
187,PT10M06.00S,2023-11-04T02:54:58.3Z,2,REGULAR,turnover,lost ball,[],1630192,,,1610612743,42,28,2023-11-04T02:55:05Z,1850000,False,,,0,,Z. Nnaji lost ball TURNOVER (1 TO),"[1630192, 203552]",1610612743.0,DEN,,,,,,,Mid-Range,16-24 Right Center,1.0,Nnaji,Z. Nnaji,Curry,203552.0,,,,,,,,,,,,,,,,,
188,PT10M06.00S,2023-11-04T02:54:58.3Z,2,REGULAR,steal,,[],203552,,,1610612742,42,28,2023-11-04T02:55:05Z,1860000,False,,,0,,S. Curry STEAL (1 STL),[203552],1610612742.0,DAL,,,,,,,Mid-Range,16-24 Right Center,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,
189,PT09M55.00S,2023-11-04T02:55:09.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629029,7.703679369250986,57.59803921568627,1610612742,42,28,2023-11-04T02:55:13Z,1870000,False,-38.0,20.0,1,left,MISS L. Doncic driving Layup - blocked,"[1629029, 1631212]",1610612742.0,DAL,driving,,,,,,Restricted Area,0-8 Center,,Doncic,L. Doncic,,,4.29,Missed,,,,,,,,,,,,,,Watson,1631212.0
190,PT09M55.00S,2023-11-04T02:55:09.1Z,2,REGULAR,block,,[],1631212,,,1610612742,42,28,2023-11-04T02:55:10Z,1880000,False,,,0,,P. Watson BLOCK (2 BLK),[1631212],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,
191,PT09M53.00S,2023-11-04T02:55:11.1Z,2,REGULAR,rebound,offensive,[],1629029,,,1610612742,42,28,2023-11-04T02:55:13Z,1890000,False,,,0,,L. Doncic REBOUND (Off:1 Def:1),[1629029],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,Doncic,L. Doncic,,,,,,,,,189.0,2.0,1.0,1.0,,,,,,,
192,PT09M51.00S,2023-11-04T02:55:12.8Z,2,REGULAR,turnover,bad pass,[],1629029,,,1610612742,42,28,2023-11-04T02:56:18Z,1900000,False,,,0,,L. Doncic bad pass TURNOVER (3 TO),"[1629029, 1631128]",1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,3.0,Doncic,L. Doncic,Braun,1631128.0,,,,,,,,,,,,,,,,,
193,PT09M51.00S,2023-11-04T02:55:12.8Z,2,REGULAR,steal,,[],1631128,,,1610612743,42,28,2023-11-04T02:55:14Z,1910000,False,,,0,,C. Braun STEAL (1 STL),[1631128],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,
194,PT09M48.00S,2023-11-04T02:55:16.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631128,93.24901445466492,50.245098039215684,1610612743,44,28,2023-11-04T02:55:21Z,1920000,False,1.0,11.0,1,right,C. Braun running DUNK (4 PTS) (J. Murray 4 AST),"[1631128, 1627750]",1610612743.0,DEN,running,,,,,,Restricted Area,0-8 Center,,Braun,C. Braun,,,1.11,Made,4.0,J. Murray,1627750.0,4.0,,,,,,,,,,,
196,PT09M34.00S,2023-11-04T02:55:30.0Z,2,REGULAR,3pt,Jump Shot,[],1630182,32.40801576872536,34.068627450980394,1610612742,44,31,2023-11-04T02:57:34Z,1940000,False,80.0,252.0,1,left,J. Green 26' 3PT  (5 PTS),[1630182],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,,Green,J. Green,,,26.44,Made,5.0,,,,,,,,,,,,,,
197,PT09M22.00S,2023-11-04T02:55:41.8Z,2,REGULAR,3pt,Jump Shot,[],202704,75.3777923784494,11.27450980392157,1610612743,44,31,2023-11-04T02:57:49Z,1950000,False,-194.0,179.0,1,right,MISS R. Jackson 26' pullup 3PT,[202704],1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Left Center,,Jackson,R. Jackson,,,26.36,Missed,,,,,,,,,,,,,,,
198,PT09M22.00S,2023-11-04T02:55:41.8Z,2,REGULAR,rebound,defensive,[],1629029,,,1610612742,44,31,2023-11-04T02:55:50Z,1960000,False,,,0,,L. Doncic REBOUND (Off:1 Def:2),[1629029],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,Doncic,L. Doncic,,,,,,,,,197.0,3.0,2.0,1.0,,,,,,,
199,PT09M14.00S,2023-11-04T02:55:54.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,14.14257555847569,63.48039215686274,1610612742,44,33,2023-11-04T02:56:00Z,1970000,False,-67.0,80.0,1,left,L. Doncic 10' driving floating Jump Shot (9 PTS) (D. Jones Jr. 1 AST),"[1629029, 1627884]",1610612742.0,DAL,driving floating,,,,,,In The Paint (Non-RA),8-16 Left,,Doncic,L. Doncic,,,10.49,Made,9.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,,,,
201,PT09M14.00S,2023-11-04T02:55:56.7Z,2,REGULAR,foul,personal,['1freethrow'],1627750,,,1610612742,44,33,2023-11-04T02:56:28Z,1990000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Doncic 1 FT),"[1627750, 1629029]",1610612743.0,DEN,shooting,,,,,,In The Paint (Non-RA),8-16 Left,,Murray,J. Murray,,,,,,,,,,,,,1198.0,1.0,0.0,Doncic,1629029.0,,
203,PT09M14.00S,2023-11-04T02:56:09.3Z,2,REGULAR,substitution,out,[],1641726,,,1610612742,44,33,2023-11-04T02:56:27Z,2010000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,,,,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,
204,PT09M14.00S,2023-11-04T02:56:09.3Z,2,REGULAR,substitution,in,[],203939,,,1610612742,44,33,2023-11-04T02:56:27Z,2020000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,,,,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,
205,PT09M14.00S,2023-11-04T02:56:29.1Z,2,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,44,34,2023-11-04T02:56:29Z,2030000,False,,,0,,L. Doncic Free Throw 1 of 1 (10 PTS),[1629029],1610612742.0,DAL,,,,,,,,,,Doncic,L. Doncic,,,,Made,10.0,,,,,,,,,,,,,,
206,PT09M02.00S,2023-11-04T02:56:43.1Z,2,REGULAR,2pt,Jump Shot,[],202704,78.0059132720105,23.03921568627451,1610612743,46,34,2023-11-04T02:56:47Z,2040000,False,-135.0,154.0,1,right,R. Jackson 20' pullup Jump Shot (5 PTS),[202704],1610612743.0,DEN,pullup,,,,,,Mid-Range,16-24 Left Center,,Jackson,R. Jackson,,,20.48,Made,5.0,,,,,,,,,,,,,,
207,PT08M59.00S,2023-11-04T02:56:50.0Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612742,46,34,2023-11-04T02:56:56Z,2050000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,1198.0,,,,,,
208,PT08M42.00S,2023-11-04T02:57:12.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,20.318659658344284,36.51960784313725,1610612742,46,34,2023-11-04T02:57:18Z,2060000,False,67.0,138.0,1,left,MISS L. Doncic 15' turnaround fadeaway Shot,[1629029],1610612742.0,DAL,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,,Doncic,L. Doncic,,,15.4,Missed,,,,,,,,,,,,,,,
209,PT08M38.00S,2023-11-04T02:57:16.9Z,2,REGULAR,rebound,defensive,[],202704,,,1610612743,46,34,2023-11-04T02:57:18Z,2070000,False,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Center,,Jackson,R. Jackson,,,,,,,,,208.0,1.0,1.0,0.0,,,,,,,
210,PT08M36.00S,2023-11-04T02:57:22.7Z,2,REGULAR,foul,personal,[],203552,,,1610612743,46,34,2023-11-04T02:57:29Z,2080000,False,,,0,,S. Curry personal FOUL (1 PF),"[203552, 1630192]",1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,,Curry,S. Curry,,,,,,,,,,,,,1198.0,1.0,0.0,Nnaji,1630192.0,,
212,PT08M36.00S,2023-11-04T02:57:35.5Z,2,REGULAR,substitution,out,[],1627884,,,1610612743,46,34,2023-11-04T02:57:40Z,2100000,False,,,0,,SUB out: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,,,,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,
213,PT08M36.00S,2023-11-04T02:57:35.5Z,2,REGULAR,substitution,in,[],203501,,,1610612743,46,34,2023-11-04T02:57:40Z,2110000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,
214,PT08M21.00S,2023-11-04T02:58:01.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631128,88.51839684625493,50.0,1610612743,46,34,2023-11-04T02:58:13Z,2120000,False,0.0,55.0,1,right,MISS C. Braun driving floating Shot,[1631128],1610612743.0,DEN,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,Braun,C. Braun,,,5.54,Missed,,,,,,,,,,,,,,,
215,PT08M19.00S,2023-11-04T02:58:03.9Z,2,REGULAR,rebound,offensive,[],1631212,,,1610612743,46,34,2023-11-04T02:58:03Z,2130000,False,,,0,,P. Watson REBOUND (Off:1 Def:1),[1631212],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,Watson,P. Watson,,,,,,,,,214.0,2.0,1.0,1.0,,,,,,,
216,PT08M14.00S,2023-11-04T02:58:09.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627750,66.70499342969777,34.55882352941176,1610612743,46,34,2023-11-04T02:58:16Z,2140000,False,-77.0,260.0,1,right,MISS J. Murray 27' 3PT,[1627750],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,Murray,J. Murray,,,27.17,Missed,,,,,,,,,,,,,,,
217,PT08M14.00S,2023-11-04T02:58:09.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612742,46,34,2023-11-04T03:00:27Z,2150000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,216.0,,,,,,,,,,
218,PT08M11.00S,2023-11-04T02:58:39.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,46,34,2023-11-04T03:00:37Z,2160000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT08M11.00S,2023-11-04T03:01:18.0Z,2,REGULAR,substitution,out,[],1631212,,,1610612742,46,34,2023-11-04T03:01:45Z,2220000,False,,,0,,SUB out: P. Watson,[1631212],1610612743.0,DEN,,,,,,,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,
225,PT08M11.00S,2023-11-04T03:01:18.0Z,2,REGULAR,substitution,out,[],1627750,,,1610612742,46,34,2023-11-04T03:01:45Z,2230000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,
226,PT08M11.00S,2023-11-04T03:01:18.0Z,2,REGULAR,substitution,out,[],1630182,,,1610612742,46,34,2023-11-04T03:01:45Z,2240000,False,,,0,,SUB out: J. Green,[1630182],1610612742.0,DAL,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,
227,PT08M11.00S,2023-11-04T03:01:18.0Z,2,REGULAR,substitution,in,[],203932,,,1610612742,46,34,2023-11-04T03:01:45Z,2250000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,,,,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,
228,PT08M11.00S,2023-11-04T03:01:18.0Z,2,REGULAR,substitution,in,[],203484,,,1610612742,46,34,2023-11-04T03:01:45Z,2260000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,,,,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,
229,PT08M11.00S,2023-11-04T03:01:18.0Z,2,REGULAR,substitution,in,[],1629684,,,1610612742,46,34,2023-11-04T03:01:45Z,2270000,False,,,0,,SUB in: G. Williams,[1629684],1610612742.0,DAL,,,,,,,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,
230,PT07M54.00S,2023-11-04T03:02:25.9Z,2,REGULAR,3pt,Jump Shot,[],203552,18.347568988173457,93.13725490196079,1610612742,46,34,2023-11-04T03:02:30Z,2280000,False,-216.0,120.0,1,left,MISS S. Curry 24' 3PT,[203552],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,Curry,S. Curry,,,24.68,Missed,,,,,,,,,,,,,,,
231,PT07M51.00S,2023-11-04T03:02:28.9Z,2,REGULAR,rebound,defensive,[],203484,,,1610612743,46,34,2023-11-04T03:02:30Z,2290000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,230.0,1.0,1.0,0.0,,,,,,,
232,PT07M45.00S,2023-11-04T03:02:36.7Z,2,REGULAR,violation,kicked ball,[],203501,,,1610612743,46,34,2023-11-04T03:02:58Z,2300000,False,,,0,,T. Hardaway Jr. kicked ball VIOLATION,[203501],1610612742.0,DAL,,,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,1198.0,,,,,,
233,PT07M45.00S,2023-11-04T03:02:42.6Z,2,REGULAR,substitution,out,[],1631128,,,1610612743,46,34,2023-11-04T03:02:51Z,2310000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,,,,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,
234,PT07M45.00S,2023-11-04T03:02:42.6Z,2,REGULAR,substitution,out,[],1630192,,,1610612743,46,34,2023-11-04T03:02:51Z,2320000,False,,,0,,SUB out: Z. Nnaji,[1630192],1610612743.0,DEN,,,,,,,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,
235,PT07M45.00S,2023-11-04T03:02:42.6Z,2,REGULAR,substitution,in,[],1629008,,,1610612743,46,34,2023-11-04T03:02:51Z,2330000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,,,,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,
236,PT07M45.00S,2023-11-04T03:02:42.6Z,2,REGULAR,substitution,in,[],203999,,,1610612743,46,34,2023-11-04T03:02:51Z,2340000,False,,,0,,SUB in: N. Jokic,[203999],1610612743.0,DEN,,,,,,,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,
237,PT07M38.00S,2023-11-04T03:03:09.3Z,2,REGULAR,3pt,Jump Shot,[],203932,70.64717477003943,78.18627450980392,1610612743,46,34,2023-11-04T03:03:37Z,2350000,False,141.0,223.0,1,right,MISS A. Gordon 26' pullup 3PT,[203932],1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Right Center,,Gordon,A. Gordon,,,26.41,Missed,,,,,,,,,,,,,,,
238,PT07M36.00S,2023-11-04T03:03:11.3Z,2,REGULAR,rebound,defensive,[],1629029,,,1610612742,46,34,2023-11-04T03:03:14Z,2360000,False,,,0,,L. Doncic REBOUND (Off:1 Def:3),[1629029],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Right Center,,Doncic,L. Doncic,,,,,,,,,237.0,4.0,3.0,1.0,,,,,,,
239,PT07M27.00S,2023-11-04T03:03:20.2Z,2,REGULAR,turnover,bad pass,[],1629029,,,1610612742,46,34,2023-11-04T03:03:27Z,2370000,False,,,0,,L. Doncic bad pass TURNOVER (4 TO),"[1629029, 202704]",1610612742.0,DAL,,,,,,,In The Paint (Non-RA),8-16 Right,4.0,Doncic,L. Doncic,Jackson,202704.0,,,,,,,,,,,,,,,,,
240,PT07M27.00S,2023-11-04T03:03:20.2Z,2,REGULAR,steal,,[],202704,,,1610612743,46,34,2023-11-04T03:03:27Z,2380000,False,,,0,,R. Jackson STEAL (2 STL),[202704],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Right,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,
241,PT07M25.00S,2023-11-04T03:03:25.6Z,2,REGULAR,foul,offensive,[],202704,,,1610612743,46,34,2023-11-04T03:03:33Z,2390000,False,,,0,,R. Jackson charge offensive FOUL (1 PF),"[202704, 203501]",1610612743.0,DEN,charge,,,,,,In The Paint (Non-RA),0-8 Center,,Jackson,R. Jackson,,,,,,,,,,,,,204058.0,1.0,0.0,Hardaway Jr.,203501.0,,
243,PT07M25.00S,2023-11-04T03:03:25.6Z,2,REGULAR,turnover,offensive foul,[],202704,,,1610612743,46,34,2023-11-04T03:03:25Z,2410000,False,,,0,,R. Jackson offensive foul TURNOVER (2 TO),[202704],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,2.0,Jackson,R. Jackson,,,,,,,,,,,,,204058.0,,,,,,
244,PT07M15.00S,2023-11-04T03:03:48.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203939,7.703679369250986,47.794117647058826,1610612742,46,36,2023-11-04T03:03:55Z,2420000,False,11.0,20.0,1,left,D. Powell DUNK (4 PTS) (S. Curry 1 AST),"[203939, 203552]",1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,Powell,D. Powell,,,2.27,Made,4.0,S. Curry,203552.0,1.0,,,,,,,,,,,
246,PT06M53.00S,2023-11-04T03:04:09.3Z,2,REGULAR,2pt,Jump Shot,[],203484,78.79434954007884,26.47058823529412,1610612743,46,36,2023-11-04T03:04:16Z,2440000,False,-118.0,147.0,1,right,MISS K. Caldwell-Pope 18' step back Shot,[203484],1610612743.0,DEN,step back,,,,,,Mid-Range,16-24 Left Center,,Caldwell-Pope,K. Caldwell-Pope,,,18.81,Missed,,,,,,,,,,,,,,,
247,PT06M51.00S,2023-11-04T03:04:11.3Z,2,REGULAR,rebound,offensive,[],203999,,,1610612743,46,36,2023-11-04T03:04:16Z,2450000,False,,,0,,N. Jokic REBOUND (Off:3 Def:1),[203999],1610612743.0,DEN,,,,,,,Mid-Range,16-24 Left Center,,Jokic,N. Jokic,,,,,,,,,246.0,4.0,1.0,3.0,,,,,,,
248,PT06M50.00S,2023-11-04T03:04:13.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,93.11760840998686,54.41176470588235,1610612743,48,36,2023-11-04T03:04:42Z,2460000,False,22.0,12.0,1,right,N. Jokic putback Layup (9 PTS),[203999],1610612743.0,DEN,putback,,,,,,Restricted Area,0-8 Center,,Jokic,N. Jokic,,,2.52,Made,9.0,,,,,,,,,,,,,,
249,PT06M42.00S,2023-11-04T03:04:23.3Z,2,REGULAR,foul,personal,[],203999,,,1610612742,48,36,2023-11-04T03:04:59Z,2470000,False,,,0,,N. Jokic personal FOUL (1 PF),"[203999, 203939]",1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Center,,Jokic,N. Jokic,,,,,,,,,,,,,1198.0,1.0,0.0,Powell,203939.0,,
251,PT06M42.00S,2023-11-04T03:04:32.9Z,2,REGULAR,substitution,out,[],203552,,,1610612742,48,36,2023-11-04T03:04:37Z,2490000,False,,,0,,SUB out: S. Curry,[203552],1610612742.0,DAL,,,,,,,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,
252,PT06M42.00S,2023-11-04T03:04:32.9Z,2,REGULAR,substitution,in,[],202681,,,1610612742,48,36,2023-11-04T03:04:37Z,2500000,False,,,0,,SUB in: K. Irving,[202681],1610612742.0,DAL,,,,,,,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
253,PT06M31.00S,2023-11-04T03:04:57.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,9.806176084099869,62.745098039215684,1610612742,48,36,2023-11-04T03:05:04Z,2510000,False,-64.0,40.0,1,left,MISS G. Williams 7' driving floating Shot,[1629684],1610612742.0,DAL,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,Williams,G. Williams,,,7.51,Missed,,,,,,,,,,,,,,,
254,PT06M29.00S,2023-11-04T03:04:59.2Z,2,REGULAR,rebound,offensive,[],1629684,,,1610612742,48,36,2023-11-04T03:04:59Z,2520000,False,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,,Williams,G. Williams,,,,,,,,,253.0,1.0,0.0,1.0,,,,,,,
255,PT06M26.00S,2023-11-04T03:05:01.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203939,6.652431011826544,43.872549019607845,1610612742,48,36,2023-11-04T03:05:09Z,2530000,False,31.0,10.0,1,left,MISS D. Powell Layup - blocked,"[203939, 203999]",1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,Powell,D. Powell,,,3.22,Missed,,,,,,,,,,,,,,Jokic,203999.0
256,PT06M26.00S,2023-11-04T03:05:01.9Z,2,REGULAR,block,,[],203999,,,1610612742,48,36,2023-11-04T03:05:03Z,2540000,False,,,0,,N. Jokic BLOCK (1 BLK),[203999],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,
257,PT06M26.00S,2023-11-04T03:05:01.9Z,2,REGULAR,rebound,defensive,[],203932,,,1610612743,48,36,2023-11-04T03:09:09Z,2550000,False,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,Gordon,A. Gordon,,,,,,,,,255.0,2.0,2.0,0.0,,,,,,,
