actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
168,PT10M35.00S,2023-03-07T02:39:38.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,86.94152431011827,39.21568627450981,1610612743,31,39,2023-03-07T02:45:59Z,1650000,False,-54.0,70.0,1,right,MISS B. Brown 8' driving floating Shot,[1628971],1610612743.0,DEN,driving floating,,,Brown,B. Brown,,,,,,In The Paint (Non-RA),8-16 Left,8.85,Missed,,,,,,,,,,,,,,,,,
169,PT10M32.00S,2023-03-07T02:39:41.4Z,2,REGULAR,rebound,defensive,[],1628449,,,1610612761,31,39,2023-03-07T02:39:44Z,1660000,False,,,0,,C. Boucher REBOUND (Off:0 Def:2),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,In The Paint (Non-RA),8-16 Left,,,,,168.0,2.0,2.0,0.0,,,,,,,,,,,
170,PT10M29.00S,2023-03-07T02:39:47.1Z,2,REGULAR,turnover,discontinued dribble,[],203115,,,1610612761,31,39,2023-03-07T02:40:01Z,1670000,False,,,0,,W. Barton discontinued dribble TURNOVER (1 TO),[203115],1610612761.0,TOR,,,,Barton,W. Barton,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,1.0,,
171,PT10M17.00S,2023-03-07T02:40:10.5Z,2,REGULAR,violation,kicked ball,[],1627783,,,1610612743,31,39,2023-03-07T02:40:22Z,1680000,False,,,0,,P. Siakam kicked ball VIOLATION,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,1162.0,,,,,,,,,,,,,,,,,,,,,
172,PT10M08.00S,2023-03-07T02:40:30.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628971,92.72339027595268,54.41176470588235,1610612743,31,39,2023-03-07T02:47:01Z,1690000,False,22.0,16.0,1,right,MISS B. Brown driving Layup,[1628971],1610612743.0,DEN,driving,,,Brown,B. Brown,,,,,,Restricted Area,0-8 Center,2.72,Missed,,,,,,,,,,,,,,,,,
173,PT10M04.00S,2023-03-07T02:40:34.5Z,2,REGULAR,rebound,defensive,[],1628449,,,1610612761,31,39,2023-03-07T02:40:39Z,1700000,False,,,0,,C. Boucher REBOUND (Off:0 Def:3),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Restricted Area,0-8 Center,,,,,172.0,3.0,3.0,0.0,,,,,,,,,,,
174,PT09M46.00S,2023-03-07T02:40:51.9Z,2,REGULAR,2pt,Jump Shot,[],1627783,20.71287779237845,59.80392156862745,1610612761,31,41,2023-03-07T02:40:56Z,1710000,False,-49.0,142.0,1,left,P. Siakam 15' step back Jump Shot (8 PTS),[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,,Mid-Range,8-16 Center,15.04,Made,,,,,,,8.0,,,,,,,,,,
175,PT09M33.00S,2023-03-07T02:41:04.4Z,2,REGULAR,2pt,Jump Shot,[],202704,74.85216819973719,27.941176470588236,1610612743,31,41,2023-03-07T02:41:08Z,1720000,False,-110.0,184.0,1,right,MISS R. Jackson 21' pullup Shot,[202704],1610612743.0,DEN,pullup,,,Jackson,R. Jackson,,,,,,Mid-Range,16-24 Left Center,21.44,Missed,,,,,,,,,,,,,,,,,
176,PT09M31.00S,2023-03-07T02:41:06.4Z,2,REGULAR,rebound,defensive,[],1628449,,,1610612761,31,41,2023-03-07T02:41:08Z,1730000,False,,,0,,C. Boucher REBOUND (Off:0 Def:4),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Mid-Range,16-24 Left Center,,,,,175.0,4.0,4.0,0.0,,,,,,,,,,,
177,PT09M22.00S,2023-03-07T02:41:15.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,13.354139290407357,37.00980392156863,1610612761,31,41,2023-03-07T02:41:23Z,1740000,False,65.0,73.0,1,left,MISS G. Trent Jr. 9' driving floating bank Shot,[1629018],1610612761.0,TOR,driving floating bank,,,Trent Jr.,G. Trent Jr.,,,,,,In The Paint (Non-RA),8-16 Right,9.77,Missed,,,,,,,,,,,,,,,,,
178,PT09M20.00S,2023-03-07T02:41:17.9Z,2,REGULAR,rebound,defensive,[],201145,,,1610612743,31,41,2023-03-07T02:41:23Z,1750000,False,,,0,,J. Green REBOUND (Off:1 Def:2),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,In The Paint (Non-RA),8-16 Right,,,,,177.0,3.0,2.0,1.0,,,,,,,,,,,
179,PT09M18.00S,2023-03-07T02:41:19.8Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203484,92.85479632063075,51.225490196078425,1610612743,33,41,2023-03-07T02:41:28Z,1760000,False,6.0,15.0,1,right,K. Caldwell-Pope running DUNK (4 PTS) (R. Jackson 4 AST),"[203484, 202704]",1610612743.0,DEN,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,,,4.0,R. Jackson,202704.0,4.0,,,,,,,
181,PT09M05.00S,2023-03-07T02:41:32.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,10.85742444152431,57.107843137254896,1610612761,33,41,2023-03-07T02:41:40Z,1780000,False,-36.0,50.0,1,left,MISS P. Siakam 6' driving floating Shot,[1627783],1610612761.0,TOR,driving floating,,,Siakam,P. Siakam,,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,,,,,,,,,,,,
182,PT09M02.00S,2023-03-07T02:41:35.3Z,2,REGULAR,rebound,defensive,[],1628418,,,1610612743,33,41,2023-03-07T02:41:40Z,1790000,False,,,0,,T. Bryant REBOUND (Off:0 Def:2),[1628418],1610612743.0,DEN,,,,Bryant,T. Bryant,,,,,,In The Paint (Non-RA),0-8 Center,,,,,181.0,2.0,2.0,0.0,,,,,,,,,,,
183,PT09M01.00S,2023-03-07T02:41:40.0Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628971,94.03745072273325,55.14705882352941,1610612743,35,41,2023-03-07T02:48:33Z,1800000,False,26.0,4.0,1,right,B. Brown running finger roll Layup (2 PTS),[1628971],1610612743.0,DEN,running finger roll,,,Brown,B. Brown,,,,,,Restricted Area,0-8 Center,2.59,Made,,,,,,,2.0,,,,,,,,,,
184,PT09M01.00S,2023-03-07T02:41:43.2Z,2,REGULAR,foul,personal,['1freethrow'],203115,,,1610612743,35,41,2023-03-07T02:41:53Z,1810000,False,,,0,,W. Barton shooting personal FOUL (1 PF) (Brown 1 FT),"[203115, 1628971]",1610612761.0,TOR,shooting,,,Barton,W. Barton,,,,,1162.0,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,0.0,Brown,1628971.0,,,
186,PT09M01.00S,2023-03-07T02:42:10.4Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],1628971,,,1610612743,36,41,2023-03-07T02:42:10Z,1830000,False,,,0,,B. Brown Free Throw 1 of 1 (3 PTS),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,
187,PT08M47.00S,2023-03-07T02:42:26.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629018,6.652431011826544,45.34313725490196,1610612761,36,43,2023-03-07T02:42:29Z,1840000,False,23.0,10.0,1,left,G. Trent Jr. driving Layup (4 PTS),[1629018],1610612761.0,TOR,driving,,,Trent Jr.,G. Trent Jr.,,,,,,Restricted Area,0-8 Center,2.54,Made,,,,,,,4.0,,,,,,,,,,
188,PT08M35.00S,2023-03-07T02:42:41.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628418,87.72996057818659,40.44117647058824,1610612743,36,43,2023-03-07T02:43:02Z,1850000,False,-48.0,63.0,1,right,MISS T. Bryant 7' Jump Shot - blocked,"[1628418, 1628449]",1610612743.0,DEN,,,,Bryant,T. Bryant,,,,,,In The Paint (Non-RA),0-8 Center,7.89,Missed,Boucher,1628449.0,,,,,,,,,,,,,,,
189,PT08M35.00S,2023-03-07T02:42:41.9Z,2,REGULAR,block,,[],1628449,,,1610612743,36,43,2023-03-07T02:42:46Z,1860000,False,,,0,,C. Boucher BLOCK (1 BLK),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
190,PT08M35.00S,2023-03-07T02:42:41.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612743,36,43,2023-03-07T02:43:02Z,1870000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,188.0,,,,,,,,,,,,,,
191,PT08M35.00S,2023-03-07T02:43:26.9Z,2,REGULAR,jumpball,recovered,[],0,,,1610612743,36,43,2023-03-07T02:47:04Z,1880000,False,,,0,,Jump Ball T. Bryant vs. C. Boucher: Tip to Team (DEN),"[1628418, 1628449]",1610612743.0,DEN,heldball,Team (DEN),,,,Bryant,1628418.0,Boucher,1628449.0,,,,,,,,,,,,,,,,,,,,,,
194,PT08M35.00S,2023-03-07T02:43:27.9Z,2,REGULAR,foul,personal,[],1628449,,,1610612743,36,43,2023-03-07T02:47:10Z,1910000,False,,,0,,C. Boucher loose ball personal FOUL (1 PF),"[1628449, 1628418]",1610612761.0,TOR,loose ball,,,Boucher,C. Boucher,,,,,202007.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,0.0,Bryant,1628418.0,,,
196,PT08M35.00S,2023-03-07T02:43:36.6Z,2,REGULAR,substitution,out,[],1630173,,,1610612743,36,43,2023-03-07T02:43:41Z,1930000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT08M35.00S,2023-03-07T02:43:36.6Z,2,REGULAR,substitution,in,[],1627751,,,1610612743,36,43,2023-03-07T02:43:41Z,1940000,False,,,0,,SUB in: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT08M27.00S,2023-03-07T02:43:53.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201145,74.06373193166885,16.42156862745098,1610612743,36,43,2023-03-07T02:43:59Z,1950000,False,-168.0,191.0,1,right,MISS J. Green 25' 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Above the Break 3,24+ Left Center,25.45,Missed,,,,,,,,,,,,,,,,,
199,PT08M24.00S,2023-03-07T02:43:56.8Z,2,REGULAR,rebound,defensive,[],1627751,,,1610612761,36,43,2023-03-07T02:43:59Z,1960000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:3),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,Above the Break 3,24+ Left Center,,,,,198.0,4.0,3.0,1.0,,,,,,,,,,,
200,PT08M16.00S,2023-03-07T02:44:05.5Z,2,REGULAR,3pt,Jump Shot,[],203115,32.53942181340342,43.38235294117647,1610612761,36,43,2023-03-07T02:44:13Z,1970000,False,33.0,253.0,1,left,MISS W. Barton 25' 3PT,[203115],1610612761.0,TOR,,,,Barton,W. Barton,,,,,,Above the Break 3,24+ Center,25.56,Missed,,,,,,,,,,,,,,,,,
201,PT08M15.00S,2023-03-07T02:44:06.5Z,2,REGULAR,rebound,offensive,[],1628449,,,1610612761,36,43,2023-03-07T02:52:53Z,1980000,False,,,0,,C. Boucher REBOUND (Off:1 Def:4),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Above the Break 3,24+ Center,,,,,200.0,5.0,4.0,1.0,,,,,,,,,,,
260,PT08M15.00S,2023-03-07T02:44:08.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628449,9.641918528252305,49.50980392156863,1610612761,36,43,2023-03-07T02:53:20Z,1985000,False,2.0,38.0,1,left,MISS C. Boucher tip Layup,[1628449],1610612761.0,TOR,tip,,,Boucher,C. Boucher,,,,,,Restricted Area,0-8 Center,3.82,Missed,,,,,,,,,,,,,,,,,
261,PT08M14.00S,2023-03-07T02:44:09.6Z,2,REGULAR,rebound,offensive,[],1627751,,,1610612761,36,43,2023-03-07T02:53:20Z,1987500,False,,,0,,J. Poeltl REBOUND (Off:2 Def:3),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,Restricted Area,0-8 Center,,,,,260.0,5.0,3.0,2.0,,,,,,,,,,,
202,PT08M08.00S,2023-03-07T02:44:11.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203115,7.30946123521682,44.85294117647059,1610612761,36,45,2023-03-07T02:53:20Z,1990000,False,26.0,16.0,1,left,W. Barton cutting finger roll Layup (2 PTS) (J. Poeltl 1 AST),"[203115, 1627751]",1610612761.0,TOR,cutting finger roll,,,Barton,W. Barton,,,,,,Restricted Area,0-8 Center,3.04,Made,,,,,,,2.0,J. Poeltl,1627751.0,1.0,,,,,,,
204,PT07M56.00S,2023-03-07T02:44:24.4Z,2,REGULAR,3pt,Jump Shot,[],1628971,69.33311432325887,70.09803921568627,1610612743,36,45,2023-03-07T02:44:30Z,2010000,False,100.0,236.0,1,right,MISS B. Brown 25' 3PT,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,Above the Break 3,24+ Right Center,25.63,Missed,,,,,,,,,,,,,,,,,
205,PT07M53.00S,2023-03-07T02:44:27.4Z,2,REGULAR,rebound,defensive,[],203115,,,1610612761,36,45,2023-03-07T02:44:30Z,2020000,False,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612761.0,TOR,,,,Barton,W. Barton,,,,,,Above the Break 3,24+ Right Center,,,,,204.0,1.0,1.0,0.0,,,,,,,,,,,
206,PT07M46.00S,2023-03-07T02:44:34.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203115,12.171484888304862,40.44117647058824,1610612761,36,45,2023-03-07T02:44:38Z,2030000,False,48.0,62.0,1,left,MISS W. Barton 7' driving floating Shot,[203115],1610612761.0,TOR,driving floating,,,Barton,W. Barton,,,,,,In The Paint (Non-RA),0-8 Center,7.82,Missed,,,,,,,,,,,,,,,,,
207,PT07M44.00S,2023-03-07T02:44:36.1Z,2,REGULAR,rebound,defensive,[],1628971,,,1610612743,36,45,2023-03-07T02:44:38Z,2040000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,In The Paint (Non-RA),0-8 Center,,,,,206.0,1.0,1.0,0.0,,,,,,,,,,,
208,PT07M26.00S,2023-03-07T02:44:54.1Z,2,REGULAR,3pt,Jump Shot,[],202704,69.33311432325887,26.225490196078432,1610612743,39,45,2023-03-07T02:44:58Z,2050000,False,-119.0,236.0,1,right,R. Jackson 26' 3PT  (5 PTS) (J. Green 1 AST),"[202704, 201145]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,Above the Break 3,24+ Left Center,26.41,Made,,,,,,,5.0,J. Green,201145.0,1.0,,,,,,,
210,PT07M10.00S,2023-03-07T02:45:10.2Z,2,REGULAR,3pt,Jump Shot,[],1628449,9.543363994743759,3.431372549019608,1610612761,39,45,2023-03-07T02:45:14Z,2070000,False,233.0,37.0,1,left,MISS C. Boucher 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Right Corner 3,24+ Right,23.58,Missed,,,,,,,,,,,,,,,,,
211,PT07M08.00S,2023-03-07T02:45:12.2Z,2,REGULAR,rebound,defensive,[],202704,,,1610612743,39,45,2023-03-07T02:45:14Z,2080000,False,,,0,,R. Jackson REBOUND (Off:1 Def:1),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,Right Corner 3,24+ Right,,,,,210.0,2.0,1.0,1.0,,,,,,,,,,,
212,PT07M04.00S,2023-03-07T02:45:16.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203484,91.5407358738502,2.941176470588235,1610612743,39,45,2023-03-07T02:55:02Z,2090000,False,-235.0,27.0,1,right,MISS K. Caldwell-Pope running 3PT,[203484],1610612743.0,DEN,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Left Corner 3,24+ Left,23.68,Missed,,,,,,,,,,,,,,,,,
213,PT07M01.00S,2023-03-07T02:45:19.1Z,2,REGULAR,rebound,defensive,[],1627751,,,1610612761,39,45,2023-03-07T02:45:21Z,2100000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:4),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,Left Corner 3,24+ Left,,,,,212.0,6.0,4.0,2.0,,,,,,,,,,,
214,PT06M44.00S,2023-03-07T02:45:37.1Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,9.674770039421814,36.029411764705884,1610612761,39,45,2023-03-07T02:45:41Z,2110000,False,70.0,38.0,1,left,MISS P. Siakam 7' turnaround bank Hook,[1627783],1610612761.0,TOR,turnaround bank,,,Siakam,P. Siakam,,,,,,In The Paint (Non-RA),0-8 Center,7.98,Missed,,,,,,,,,,,,,,,,,
215,PT06M41.00S,2023-03-07T02:45:40.1Z,2,REGULAR,rebound,defensive,[],1628418,,,1610612743,39,45,2023-03-07T02:45:41Z,2120000,False,,,0,,T. Bryant REBOUND (Off:0 Def:3),[1628418],1610612743.0,DEN,,,,Bryant,T. Bryant,,,,,,In The Paint (Non-RA),0-8 Center,,,,,214.0,3.0,3.0,0.0,,,,,,,,,,,
216,PT06M41.00S,2023-03-07T02:45:47.1Z,2,REGULAR,turnover,out-of-bounds,[],202704,,,1610612743,39,45,2023-03-07T02:45:52Z,2130000,False,,,0,,R. Jackson bad pass out-of-bounds TURNOVER (1 TO),[202704],1610612743.0,DEN,bad pass,,,Jackson,R. Jackson,,,,,1162.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,1.0,,
217,PT06M41.00S,2023-03-07T02:45:58.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,39,45,2023-03-07T02:45:58Z,2140000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT06M41.00S,2023-03-07T02:47:49.0Z,2,REGULAR,substitution,out,[],203484,,,1610612761,39,45,2023-03-07T02:48:22Z,2150000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M41.00S,2023-03-07T02:47:49.0Z,2,REGULAR,substitution,out,[],1628971,,,1610612761,39,45,2023-03-07T02:48:22Z,2160000,False,,,0,,SUB out: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M41.00S,2023-03-07T02:47:49.0Z,2,REGULAR,substitution,out,[],1628418,,,1610612761,39,45,2023-03-07T02:48:22Z,2170000,False,,,0,,SUB out: T. Bryant,[1628418],1610612743.0,DEN,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M41.00S,2023-03-07T02:47:49.0Z,2,REGULAR,substitution,out,[],201145,,,1610612761,39,45,2023-03-07T02:48:22Z,2180000,False,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M41.00S,2023-03-07T02:47:49.0Z,2,REGULAR,substitution,out,[],1628449,,,1610612761,39,45,2023-03-07T02:48:22Z,2190000,False,,,0,,SUB out: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M41.00S,2023-03-07T02:47:49.0Z,2,REGULAR,substitution,in,[],203932,,,1610612761,39,45,2023-03-07T02:48:22Z,2200000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M41.00S,2023-03-07T02:47:49.0Z,2,REGULAR,substitution,in,[],1629008,,,1610612761,39,45,2023-03-07T02:48:22Z,2210000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M41.00S,2023-03-07T02:47:49.0Z,2,REGULAR,substitution,in,[],203999,,,1610612761,39,45,2023-03-07T02:48:22Z,2220000,False,,,0,,SUB in: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M41.00S,2023-03-07T02:47:49.0Z,2,REGULAR,substitution,in,[],1627750,,,1610612761,39,45,2023-03-07T02:48:22Z,2230000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M41.00S,2023-03-07T02:47:49.0Z,2,REGULAR,substitution,in,[],1628384,,,1610612761,39,45,2023-03-07T02:48:22Z,2240000,False,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M28.00S,2023-03-07T02:48:51.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,9.543363994743759,96.81372549019608,1610612761,39,48,2023-03-07T02:48:54Z,2250000,False,-234.0,37.0,1,left,O. Anunoby 3PT  (6 PTS) (P. Siakam 2 AST),"[1628384, 1627783]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,Left Corner 3,24+ Left,23.7,Made,,,,,,,6.0,P. Siakam,1627783.0,2.0,,,,,,,
230,PT06M12.00S,2023-03-07T02:49:08.8Z,2,REGULAR,violation,kicked ball,[],1627751,,,1610612743,39,48,2023-03-07T02:49:18Z,2270000,False,,,0,,J. Poeltl kicked ball VIOLATION,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,202007.0,,,,,,,,,,,,,,,,,,,,,
231,PT06M00.00S,2023-03-07T02:49:32.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.77463863337714,54.65686274509803,1610612743,41,48,2023-03-07T02:59:47Z,2280000,False,23.0,6.0,1,right,N. Jokic cutting Layup (7 PTS) (A. Gordon 2 AST),"[203999, 203932]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,,Restricted Area,0-8 Center,2.41,Made,,,,,,,7.0,A. Gordon,203932.0,2.0,,,,,,,
233,PT05M38.00S,2023-03-07T02:49:54.6Z,2,REGULAR,2pt,Jump Shot,[],1629018,19.004599211563733,19.607843137254903,1610612761,41,50,2023-03-07T03:00:09Z,2300000,False,152.0,126.0,1,left,G. Trent Jr. 19' step back Jump Shot (6 PTS) (J. Poeltl 2 AST),"[1629018, 1627751]",1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,,Mid-Range,16-24 Right Center,19.75,Made,,,,,,,6.0,J. Poeltl,1627751.0,2.0,,,,,,,
235,PT05M25.00S,2023-03-07T02:50:13.3Z,2,REGULAR,foul,personal,[],1629018,,,1610612743,41,50,2023-03-07T02:50:36Z,2320000,False,,,0,,G. Trent Jr. personal FOUL (1 PF),"[1629018, 1627750]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,202007.0,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,0.0,Murray,1627750.0,,,
237,PT05M25.00S,2023-03-07T02:50:17.5Z,2,REGULAR,substitution,out,[],203115,,,1610612743,41,50,2023-03-07T02:50:26Z,2340000,False,,,0,,SUB out: W. Barton,[203115],1610612761.0,TOR,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT05M25.00S,2023-03-07T02:50:17.5Z,2,REGULAR,substitution,out,[],1627783,,,1610612743,41,50,2023-03-07T02:50:26Z,2350000,False,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT05M25.00S,2023-03-07T02:50:17.5Z,2,REGULAR,substitution,in,[],1627832,,,1610612743,41,50,2023-03-07T02:50:26Z,2360000,False,,,0,,SUB in: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT05M25.00S,2023-03-07T02:50:17.5Z,2,REGULAR,substitution,in,[],1630567,,,1610612743,41,50,2023-03-07T02:50:26Z,2370000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT05M15.00S,2023-03-07T02:51:03.8Z,2,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612743,41,50,2023-03-07T02:51:15Z,2390000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Gordon 2 FT),"[1627751, 203932]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,1628480.0,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,0.0,Gordon,203932.0,,,
244,PT05M15.00S,2023-03-07T02:51:38.2Z,2,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,42,50,2023-03-07T02:51:38Z,2410000,False,,,0,,A. Gordon Free Throw 1 of 2 (6 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,
245,PT05M15.00S,2023-03-07T02:51:56.2Z,2,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,43,50,2023-03-07T02:51:56Z,2420000,False,,,0,,A. Gordon Free Throw 2 of 2 (7 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,
246,PT04M54.00S,2023-03-07T02:52:19.5Z,2,REGULAR,3pt,Jump Shot,[],1628384,30.831143232588698,68.87254901960785,1610612761,43,50,2023-03-07T02:52:26Z,2430000,False,-94.0,237.0,1,left,MISS O. Anunoby 25' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,
247,PT04M50.00S,2023-03-07T02:52:23.5Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,43,50,2023-03-07T02:52:26Z,2440000,False,,,0,,N. Jokic REBOUND (Off:1 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Above the Break 3,24+ Left Center,,,,,246.0,4.0,3.0,1.0,,,,,,,,,,,
248,PT04M44.00S,2023-03-07T02:52:29.2Z,2,REGULAR,3pt,Jump Shot,[],1627750,67.36202365308804,52.94117647058824,1610612743,43,50,2023-03-07T02:52:34Z,2450000,False,15.0,254.0,1,right,MISS J. Murray 25' step back 3PT,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,,Above the Break 3,24+ Center,25.47,Missed,,,,,,,,,,,,,,,,,
