actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
182,PT10M53.00S,2022-04-05T23:40:01.6Z,2,REGULAR,3pt,Jump Shot,[],1630169,64.99671484888306,70.34313725490196,1610612754,36,36,2022-04-05T23:40:06Z,1820000,102.0,277.0,1,right,T. Haliburton 29' 3PT pullup (9 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,29.46,Made,,,,,,,,,,,,9.0,,,,,,,
183,PT10M37.00S,2022-04-05T23:40:18.3Z,2,REGULAR,3pt,Jump Shot,[],1629003,14.273981603153747,3.9215686274509802,1610612755,36,39,2022-04-05T23:40:23Z,1830000,230.0,82.0,1,left,S. Milton 24' 3PT  (3 PTS) (J. Harden 6 AST),"[1629003, 201935]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,24.45,Made,,,,,,,,,,,,3.0,J. Harden,201935.0,6.0,,,,
185,PT10M23.00S,2022-04-05T23:40:31.9Z,2,REGULAR,3pt,Jump Shot,[],1630543,70.51576872536137,21.813725490196077,1610612754,36,39,2022-04-05T23:40:42Z,1850000,-141.0,225.0,1,right,MISS I. Jackson 26' 3PT,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
186,PT10M22.00S,2022-04-05T23:40:32.9Z,2,REGULAR,rebound,defensive,[],201599,,,1610612755,36,39,2022-04-05T23:40:42Z,1860000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,185.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
187,PT10M22.00S,2022-04-05T23:40:42.3Z,2,REGULAR,stoppage,court clean up,[],0,,,1610612755,36,39,2022-04-05T23:40:42Z,1870000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT10M15.00S,2022-04-05T23:41:27.3Z,2,REGULAR,violation,kicked ball,[],1630613,,,1610612755,36,39,2022-04-05T23:44:24Z,1880000,,,0,,D. Washington Jr. kicked ball VIOLATION,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,2715.0,,,,,,,,,,,,,,
189,PT10M08.00S,2022-04-05T23:41:47.6Z,2,REGULAR,3pt,Jump Shot,[],202699,5.469776609724048,96.07843137254902,1610612755,36,42,2022-04-05T23:41:51Z,1890000,-230.0,-1.0,1,left,T. Harris 3PT  (12 PTS) (S. Milton 1 AST),"[202699, 1629003]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,23.04,Made,,,,,,,,,,,,12.0,S. Milton,1629003.0,1.0,,,,
191,PT09M59.00S,2022-04-05T23:41:58.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,36,42,2022-04-05T23:41:58Z,1910000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT09M55.00S,2022-04-05T23:42:17.6Z,2,REGULAR,3pt,Jump Shot,[],1626147,89.96386333771353,96.81372549019608,1610612754,36,42,2022-04-05T23:42:22Z,1920000,234.0,42.0,1,right,MISS J. Anderson 3PT,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,23.78,Missed,,,,,,,,,,,,,,,,,,,
193,PT09M51.00S,2022-04-05T23:42:21.6Z,2,REGULAR,rebound,defensive,[],1629003,,,1610612755,36,42,2022-04-05T23:42:22Z,1930000,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,192.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
194,PT09M45.00S,2022-04-05T23:42:26.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",201599,7.046649145860711,49.01960784313725,1610612755,36,44,2022-04-05T23:42:32Z,1940000,5.0,14.0,1,left,D. Jordan running alley-oop DUNK (2 PTS) (J. Harden 7 AST),"[201599, 201935]",1610612755.0,PHI,running alley-oop,,,Jordan,D. Jordan,,,,,1.45,Made,,,,,,,,,,,,2.0,J. Harden,201935.0,7.0,,,,
196,PT09M44.00S,2022-04-05T23:42:34.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,36,44,2022-04-05T23:42:34Z,1960000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT09M32.00S,2022-04-05T23:45:42.1Z,2,REGULAR,foul,personal,[],201599,,,1610612754,36,44,2022-04-05T23:45:52Z,1970000,,,0,,D. Jordan personal FOUL (1 PF),"[201599, 1630169]",1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,,,,,204059.0,1.0,0.0,Haliburton,1630169.0,,,,,,,,,,
199,PT09M28.00S,2022-04-05T23:46:06.6Z,2,REGULAR,2pt,Jump Shot,[],202362,78.13731931668858,68.87254901960785,1610612754,36,44,2022-04-05T23:46:10Z,1990000,94.0,153.0,1,right,MISS L. Stephenson 17' pullup Shot,[202362],1610612754.0,IND,pullup,,,Stephenson,L. Stephenson,,,,,17.98,Missed,,,,,,,,,,,,,,,,,,,
200,PT09M26.00S,2022-04-05T23:46:08.6Z,2,REGULAR,rebound,defensive,[],201599,,,1610612755,36,44,2022-04-05T23:46:10Z,2000000,,,0,,D. Jordan REBOUND (Off:0 Def:2),[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,199.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
201,PT09M09.00S,2022-04-05T23:46:25.2Z,2,REGULAR,turnover,bad pass,[],201935,,,1610612755,36,44,2022-04-05T23:46:28Z,2010000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1630169]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,1.0,Haliburton,1630169.0,
202,PT09M09.00S,2022-04-05T23:46:25.2Z,2,REGULAR,steal,,[],1630169,,,1610612754,36,44,2022-04-05T23:46:26Z,2020000,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT09M05.00S,2022-04-05T23:46:29.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202362,92.32917214191852,47.30392156862745,1610612754,38,44,2022-04-05T23:46:34Z,2030000,-13.0,20.0,1,right,L. Stephenson running finger roll Layup (2 PTS),[202362],1610612754.0,IND,running finger roll,,,Stephenson,L. Stephenson,,,,,2.38,Made,,,,,,,,,,,,2.0,,,,,,,
204,PT08M55.00S,2022-04-05T23:46:42.8Z,2,REGULAR,foul,personal,[],202362,,,1610612755,38,44,2022-04-05T23:46:47Z,2040000,,,0,,L. Stephenson personal FOUL (1 PF),"[202362, 201935]",1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,201245.0,1.0,0.0,Harden,201935.0,,,,,,,,,,
206,PT08M55.00S,2022-04-05T23:46:47.6Z,2,REGULAR,substitution,out,[],1626147,,,1610612755,38,44,2022-04-05T23:46:53Z,2060000,,,0,,SUB out: J. Anderson,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M55.00S,2022-04-05T23:46:47.6Z,2,REGULAR,substitution,in,[],1630678,,,1610612755,38,44,2022-04-05T23:46:53Z,2070000,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT08M43.00S,2022-04-05T23:47:15.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,10.726018396846255,45.09803921568628,1610612755,38,44,2022-04-06T00:17:03Z,2080000,25.0,48.0,1,left,MISS T. Harris turnaround Shot,[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,5.42,Missed,,,,,,,,,,,,,,,,,,,
209,PT08M42.00S,2022-04-05T23:47:16.2Z,2,REGULAR,rebound,offensive,[],201599,,,1610612755,38,44,2022-04-06T00:17:03Z,2090000,,,0,,D. Jordan REBOUND (Off:1 Def:2),[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,208.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
210,PT08M41.00S,2022-04-05T23:47:20.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201599,7.703679369250986,43.38235294117647,1610612755,38,46,2022-04-06T00:17:12Z,2100000,33.0,20.0,1,left,D. Jordan putback Layup (4 PTS),[201599],1610612755.0,PHI,putback,,,Jordan,D. Jordan,,,,,3.86,Made,,,,,,,,,,,,4.0,,,,,,,
211,PT08M31.00S,2022-04-05T23:47:27.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202362,91.80354796320631,43.13725490196079,1610612754,40,46,2022-04-05T23:47:34Z,2110000,-34.0,25.0,1,right,L. Stephenson driving Layup (4 PTS),[202362],1610612754.0,IND,driving,,,Stephenson,L. Stephenson,,,,,4.22,Made,,,,,,,,,,,,4.0,,,,,,,
212,PT08M31.00S,2022-04-05T23:47:30.0Z,2,REGULAR,foul,personal,['1freethrow'],1627777,,,1610612754,40,46,2022-04-05T23:47:35Z,2120000,,,0,,G. Niang shooting personal FOUL (1 PF) (Stephenson 1 FT),"[1627777, 202362]",1610612755.0,PHI,shooting,,,Niang,G. Niang,,,,,,,,,,,204059.0,1.0,0.0,Stephenson,202362.0,,,,,,,,,,
214,PT08M31.00S,2022-04-05T23:48:02.3Z,2,REGULAR,freethrow,1 of 1,[],202362,,,1610612754,41,46,2022-04-05T23:48:02Z,2140000,,,0,,L. Stephenson Free Throw 1 of 1 (5 PTS),[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,Made,,,,,,,,,,,,5.0,,,,,,,
215,PT08M21.00S,2022-04-05T23:48:14.4Z,2,REGULAR,3pt,Jump Shot,[],201935,34.37910643889619,63.725490196078425,1610612755,41,46,2022-04-05T23:50:40Z,2150000,-69.0,271.0,1,left,MISS J. Harden 27' step back 3PT,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,27.93,Missed,,,,,,,,,,,,,,,,,,,
216,PT08M18.00S,2022-04-05T23:48:17.4Z,2,REGULAR,rebound,offensive,[],201599,,,1610612755,41,46,2022-04-05T23:50:40Z,2160000,,,0,,D. Jordan REBOUND (Off:2 Def:2),[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,215.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
217,PT08M15.00S,2022-04-05T23:48:20.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629003,25.312089356110377,14.215686274509803,1610612755,41,49,2022-04-05T23:48:25Z,2170000,179.0,185.0,1,left,S. Milton 25' 3PT step back (6 PTS) (D. Jordan 1 AST),"[1629003, 201599]",1610612755.0,PHI,step back,,,Milton,S. Milton,,,,,25.76,Made,,,,,,,,,,,,6.0,D. Jordan,201599.0,1.0,,,,
219,PT08M03.00S,2022-04-05T23:48:31.1Z,2,REGULAR,3pt,Jump Shot,[],1630613,91.5407358738502,3.9215686274509802,1610612754,44,49,2022-04-05T23:48:35Z,2190000,-230.0,27.0,1,right,D. Washington Jr. 3PT  (3 PTS) (L. Stephenson 2 AST),"[1630613, 202362]",1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,23.2,Made,,,,,,,,,,,,3.0,L. Stephenson,202362.0,2.0,,,,
221,PT07M39.00S,2022-04-05T23:48:54.8Z,2,REGULAR,3pt,Jump Shot,[],202699,32.276609724047304,40.931372549019606,1610612755,44,49,2022-04-05T23:48:59Z,2210000,45.0,251.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,,
222,PT07M36.00S,2022-04-05T23:48:57.8Z,2,REGULAR,rebound,defensive,[],1630543,,,1610612754,44,49,2022-04-05T23:48:59Z,2220000,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,221.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
223,PT07M26.00S,2022-04-05T23:49:08.2Z,2,REGULAR,3pt,Jump Shot,[],1630613,66.70499342969777,78.67647058823529,1610612754,44,49,2022-04-05T23:49:12Z,2230000,143.0,260.0,1,right,MISS D. Washington Jr. 29' pullup 3PT,[1630613],1610612754.0,IND,pullup,,,Washington Jr.,D. Washington Jr.,,,,,29.74,Missed,,,,,,,,,,,,,,,,,,,
224,PT07M24.00S,2022-04-05T23:49:10.2Z,2,REGULAR,rebound,defensive,[],1629003,,,1610612755,44,49,2022-04-05T23:49:12Z,2240000,,,0,,S. Milton REBOUND (Off:0 Def:2),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,223.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
225,PT07M17.00S,2022-04-05T23:49:17.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,15.325229960578188,50.0,1610612755,44,49,2022-04-05T23:52:02Z,2250000,0.0,92.0,1,left,MISS S. Milton 9' driving floating Shot,[1629003],1610612755.0,PHI,driving floating,,,Milton,S. Milton,,,,,9.16,Missed,,,,,,,,,,,,,,,,,,,
226,PT07M13.00S,2022-04-05T23:49:21.9Z,2,REGULAR,rebound,defensive,[],1630613,,,1610612754,44,49,2022-04-05T23:49:22Z,2260000,,,0,,D. Washington Jr. REBOUND (Off:0 Def:1),[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,225.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
227,PT07M12.00S,2022-04-05T23:49:25.5Z,2,REGULAR,foul,personal,['2freethrow'],1627777,,,1610612754,44,49,2022-04-05T23:49:35Z,2270000,,,0,,G. Niang shooting personal FOUL (2 PF) (Jackson 2 FT),"[1627777, 1630543]",1610612755.0,PHI,shooting,,,Niang,G. Niang,,,,,,,,,,,201245.0,2.0,0.0,Jackson,1630543.0,,,,,,,,,,
230,PT07M12.00S,2022-04-05T23:50:00.7Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1630543,,,1610612754,45,49,2022-04-05T23:50:00Z,2290000,,,0,,I. Jackson Free Throw 1 of 2 (5 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,Made,,,,,,,,,,,,5.0,,,,,,,
231,PT07M12.00S,2022-04-05T23:50:01.3Z,2,REGULAR,substitution,out,[],201599,,,1610612754,45,49,2022-04-05T23:50:09Z,2300000,,,0,,SUB out: D. Jordan,[201599],1610612755.0,PHI,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT07M12.00S,2022-04-05T23:50:01.3Z,2,REGULAR,substitution,out,[],1629003,,,1610612754,45,49,2022-04-05T23:50:09Z,2310000,,,0,,SUB out: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT07M12.00S,2022-04-05T23:50:01.3Z,2,REGULAR,substitution,out,[],1627777,,,1610612754,45,49,2022-04-05T23:50:09Z,2320000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT07M12.00S,2022-04-05T23:50:01.3Z,2,REGULAR,substitution,in,[],1630178,,,1610612754,45,49,2022-04-05T23:50:09Z,2330000,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT07M12.00S,2022-04-05T23:50:01.3Z,2,REGULAR,substitution,in,[],203954,,,1610612754,45,49,2022-04-05T23:50:09Z,2340000,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT07M12.00S,2022-04-05T23:50:01.3Z,2,REGULAR,substitution,in,[],1629680,,,1610612754,45,49,2022-04-05T23:50:09Z,2350000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT07M12.00S,2022-04-05T23:50:28.4Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1630543,,,1610612754,46,49,2022-04-05T23:50:28Z,2360000,,,0,,I. Jackson Free Throw 2 of 2 (6 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,Made,,,,,,,,,,,,6.0,,,,,,,
238,PT06M51.00S,2022-04-05T23:50:50.9Z,2,REGULAR,3pt,Jump Shot,[],201935,33.459264126149804,45.83333333333333,1610612755,46,52,2022-04-05T23:50:56Z,2370000,21.0,262.0,1,left,J. Harden 26' 3PT step back (6 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,26.28,Made,,,,,,,,,,,,6.0,,,,,,,
239,PT06M44.00S,2022-04-05T23:50:57.9Z,2,REGULAR,3pt,Jump Shot,[],1630613,91.40932982917214,95.83333333333334,1610612754,46,52,2022-04-05T23:52:58Z,2380000,229.0,28.0,1,right,MISS D. Washington Jr. running 3PT,[1630613],1610612754.0,IND,running,,,Washington Jr.,D. Washington Jr.,,,,,23.09,Missed,,,,,,,,,,,,,,,,,,,
240,PT06M41.00S,2022-04-05T23:51:00.9Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,46,52,2022-04-05T23:51:01Z,2390000,,,0,,T. Harris REBOUND (Off:0 Def:4),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,239.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
241,PT06M39.00S,2022-04-05T23:51:04.6Z,2,REGULAR,turnover,bad pass,[],202699,,,1610612755,46,52,2022-04-05T23:54:12Z,2400000,,,0,,T. Harris bad pass TURNOVER (2 TO),"[202699, 1630543]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,2.0,Jackson,1630543.0,
242,PT06M39.00S,2022-04-05T23:51:04.6Z,2,REGULAR,steal,,[],1630543,,,1610612754,46,52,2022-04-05T23:54:36Z,2410000,,,0,,I. Jackson STEAL (2 STL),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT06M31.00S,2022-04-05T23:51:10.3Z,2,REGULAR,turnover,bad pass,[],1630169,,,1610612754,46,52,2022-04-05T23:51:13Z,2420000,,,0,,T. Haliburton bad pass TURNOVER (2 TO),"[1630169, 202699]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,2.0,Harris,202699.0,
244,PT06M31.00S,2022-04-05T23:51:10.3Z,2,REGULAR,steal,,[],202699,,,1610612755,46,52,2022-04-05T23:51:12Z,2430000,,,0,,T. Harris STEAL (3 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT06M26.00S,2022-04-05T23:51:15.1Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203954,7.178055190538765,48.77450980392157,1610612755,46,54,2022-04-06T00:11:49Z,2440000,6.0,15.0,1,left,J. Embiid running DUNK (11 PTS) (T. Harris 1 AST),"[203954, 202699]",1610612755.0,PHI,running,,,Embiid,J. Embiid,,,,,1.62,Made,,,,,,,,,,,,11.0,T. Harris,202699.0,1.0,,,,
247,PT06M09.00S,2022-04-05T23:51:36.5Z,2,REGULAR,foul,offensive,[],202362,,,1610612754,46,54,2022-04-05T23:52:08Z,2460000,,,0,,L. Stephenson offensive FOUL (2 PF),"[202362, 203954]",1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,2715.0,2.0,0.0,Embiid,203954.0,,,,,,,,,,
249,PT06M09.00S,2022-04-05T23:51:36.5Z,2,REGULAR,turnover,offensive foul,[],202362,,,1610612754,46,54,2022-04-05T23:51:36Z,2480000,,,0,,L. Stephenson offensive foul TURNOVER (1 TO),[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,2715.0,,,,,,,,,,,1.0,,,
250,PT06M09.00S,2022-04-05T23:52:08.5Z,2,REGULAR,instantreplay,request,[],0,,,1610612755,46,54,2022-04-05T23:52:37Z,2490000,,,0,,,[],,,support,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,,Common Foul Upheld
251,PT06M09.00S,2022-04-05T23:52:55.1Z,2,REGULAR,substitution,out,[],1630169,,,1610612755,46,54,2022-04-05T23:53:08Z,2500000,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT06M09.00S,2022-04-05T23:52:55.1Z,2,REGULAR,substitution,out,[],1630613,,,1610612755,46,54,2022-04-05T23:53:08Z,2510000,,,0,,SUB out: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT06M09.00S,2022-04-05T23:52:55.1Z,2,REGULAR,substitution,out,[],1630543,,,1610612755,46,54,2022-04-05T23:53:08Z,2520000,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT06M09.00S,2022-04-05T23:52:55.1Z,2,REGULAR,substitution,in,[],204456,,,1610612755,46,54,2022-04-05T23:53:08Z,2530000,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT06M09.00S,2022-04-05T23:52:55.1Z,2,REGULAR,substitution,in,[],1627741,,,1610612755,46,54,2022-04-05T23:53:08Z,2540000,,,0,,SUB in: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT06M09.00S,2022-04-05T23:52:55.1Z,2,REGULAR,substitution,in,[],1630188,,,1610612755,46,54,2022-04-05T23:53:08Z,2550000,,,0,,SUB in: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT05M59.00S,2022-04-05T23:53:32.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203954,7.178055190538765,53.18627450980392,1610612755,46,56,2022-04-05T23:53:43Z,2560000,-16.0,15.0,1,left,J. Embiid reverse Layup (13 PTS) (T. Harris 2 AST),"[203954, 202699]",1610612755.0,PHI,reverse,,,Embiid,J. Embiid,,,,,2.19,Made,,,,,,,,,,,,13.0,T. Harris,202699.0,2.0,,,,
259,PT05M52.00S,2022-04-05T23:53:39.6Z,2,REGULAR,3pt,Jump Shot,[],1630678,89.56964520367937,2.450980392156863,1610612754,46,56,2022-04-05T23:57:44Z,2580000,-238.0,46.0,1,right,MISS T. Taylor 24' step back 3PT,[1630678],1610612754.0,IND,step back,,,Taylor,T. Taylor,,,,,24.2,Missed,,,,,,,,,,,,,,,,,,,
260,PT05M52.00S,2022-04-05T23:53:39.6Z,2,REGULAR,rebound,defensive,[],1630178,,,1610612755,46,56,2022-04-05T23:53:45Z,2590000,,,0,,T. Maxey REBOUND (Off:0 Def:2),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,259.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
261,PT05M42.00S,2022-04-05T23:53:49.6Z,2,REGULAR,2pt,Layup,[],203954,7.30946123521682,32.35294117647059,1610612755,46,58,2022-04-06T00:12:07Z,2600000,88.0,16.0,1,left,J. Embiid 8' Layup (15 PTS) (T. Maxey 4 AST),"[203954, 1630178]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,8.97,Made,,,,,,,,,,,,15.0,T. Maxey,1630178.0,4.0,,,,
263,PT05M40.00S,2022-04-05T23:54:01.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,46,58,2022-04-05T23:54:01Z,2620000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT05M28.00S,2022-04-05T23:57:06.3Z,2,REGULAR,turnover,traveling,[],1627741,,,1610612754,46,58,2022-04-05T23:57:11Z,2630000,,,0,,B. Hield traveling TURNOVER (2 TO),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,204059.0,,,,,,,,,,,2.0,,,
265,PT05M13.00S,2022-04-05T23:57:34.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203954,5.732588699080158,60.5392156862745,1610612755,46,60,2022-04-06T00:12:26Z,2640000,-53.0,1.0,1,left,J. Embiid driving Layup (17 PTS),[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,5.27,Made,,,,,,,,,,,,17.0,,,,,,,
266,PT05M00.00S,2022-04-05T23:57:46.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630678,91.5407358738502,50.0,1610612754,48,60,2022-04-05T23:57:59Z,2650000,0.0,27.0,1,right,T. Taylor Layup (4 PTS) (T. McConnell 1 AST),"[1630678, 204456]",1610612754.0,IND,,,,Taylor,T. Taylor,,,,,2.7,Made,,,,,,,,,,,,4.0,T. McConnell,204456.0,1.0,,,,
269,PT04M46.00S,2022-04-05T23:58:01.2Z,2,REGULAR,3pt,Jump Shot,[],1630178,24.52365308804205,11.27450980392157,1610612755,48,63,2022-04-05T23:58:05Z,2680000,194.0,178.0,1,left,T. Maxey 26' 3PT  (12 PTS) (T. Harris 3 AST),"[1630178, 202699]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,26.3,Made,,,,,,,,,,,,12.0,T. Harris,202699.0,3.0,,,,
271,PT04M35.00S,2022-04-05T23:58:11.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630188,94.1688567674113,58.333333333333336,1610612754,48,63,2022-04-05T23:58:14Z,2700000,42.0,2.0,1,right,MISS J. Smith Hook,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,4.18,Missed,,,,,,,,,,,,,,,,,,,
272,PT04M33.00S,2022-04-05T23:58:13.8Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,48,63,2022-04-05T23:58:14Z,2710000,,,0,,J. Embiid REBOUND (Off:0 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,271.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
273,PT04M32.00S,2022-04-05T23:58:14.6Z,2,REGULAR,turnover,bad pass,[],203954,,,1610612755,48,63,2022-04-05T23:58:17Z,2720000,,,0,,J. Embiid bad pass TURNOVER (1 TO),"[203954, 202362]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,1.0,Stephenson,202362.0,
274,PT04M32.00S,2022-04-05T23:58:14.6Z,2,REGULAR,steal,,[],202362,,,1610612754,48,63,2022-04-05T23:58:16Z,2730000,,,0,,L. Stephenson STEAL (1 STL),[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
