actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
256,PT05M59.00S,2023-10-31T00:51:01.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629684,72.22404730617609,21.323529411764707,1610612742,42,48,2023-10-31T00:51:04Z,2560000,False,-143.0,209.0,1,right,G. Williams 25' 3PT  (12 PTS) (S. Curry 2 AST),"[1629684, 203552]",1610612742.0,DAL,,,,Williams,G. Williams,,,,,,Above the Break 3,24+ Left Center,25.31,Made,,,,,,,,,12.0,,S. Curry,203552.0,2.0,,,,
258,PT05M46.00S,2023-10-31T00:51:15.9Z,2,REGULAR,foul,personal,['2freethrow'],203939,,,1610612763,42,48,2023-10-31T00:51:23Z,2580000,False,,,0,,D. Powell shooting personal FOUL (1 PF) (Roddy 2 FT),"[203939, 1631223]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,1627961.0,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Roddy,1631223.0,,,,,,,,,
260,PT05M46.00S,2023-10-31T00:51:34.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,42,48,2023-10-31T00:51:34Z,2600000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT05M46.00S,2023-10-31T00:53:31.4Z,2,REGULAR,substitution,out,[],1628991,,,1610612763,42,48,2023-10-31T00:53:54Z,2620000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT05M46.00S,2023-10-31T00:53:31.4Z,2,REGULAR,substitution,in,[],1630214,,,1610612763,42,48,2023-10-31T00:53:54Z,2630000,False,,,0,,SUB in: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT05M46.00S,2023-10-31T00:54:31.0Z,2,REGULAR,freethrow,1 of 2,[],1631223,,,1610612763,42,48,2023-10-31T00:54:31Z,2640000,False,,,0,,MISS D. Roddy Free Throw 1 of 2,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
265,PT05M46.00S,2023-10-31T00:54:31.0Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,42,48,2023-10-31T00:54:31Z,2650000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,264.0,,,,,,,,,,,,,,,,
266,PT05M46.00S,2023-10-31T00:54:45.9Z,2,REGULAR,freethrow,2 of 2,[],1631223,,,1610612763,43,48,2023-10-31T00:54:45Z,2660000,False,,,0,,D. Roddy Free Throw 2 of 2 (7 PTS),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,Made,,,,,,,,,7.0,,,,,,,,
267,PT05M34.00S,2023-10-31T00:54:58.1Z,2,REGULAR,2pt,Jump Shot,[],203552,76.95466491458606,46.568627450980394,1610612742,43,48,2023-10-31T00:55:09Z,2670000,False,-17.0,164.0,1,right,MISS S. Curry 16' pullup Shot,[203552],1610612742.0,DAL,pullup,,,Curry,S. Curry,,,,,,Mid-Range,16-24 Center,16.5,Missed,,,,,,,,,,,,,,,,,
268,PT05M31.00S,2023-10-31T00:55:01.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,43,48,2023-10-31T00:55:12Z,2680000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,Mid-Range,16-24 Center,,,267.0,,,,,,,,,,,,,,,,
270,PT05M16.00S,2023-10-31T00:55:32.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630214,9.674770039421814,53.18627450980392,1610612763,43,48,2023-10-31T00:55:37Z,2700000,False,-16.0,38.0,1,left,MISS X. Tillman cutting Layup - blocked,"[1630214, 203552]",1610612763.0,MEM,cutting,,,Tillman,X. Tillman,,,,,,Restricted Area,0-8 Center,4.16,Missed,,,,,,,,,,,,,,Curry,203552.0,,
271,PT05M16.00S,2023-10-31T00:55:32.9Z,2,REGULAR,block,,[],203552,,,1610612763,43,48,2023-10-31T00:55:35Z,2710000,False,,,0,,S. Curry BLOCK (1 BLK),[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
272,PT05M15.00S,2023-10-31T00:55:33.9Z,2,REGULAR,rebound,defensive,[],203552,,,1610612742,43,48,2023-10-31T00:55:37Z,2720000,False,,,0,,S. Curry REBOUND (Off:0 Def:2),[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,,Restricted Area,0-8 Center,,,270.0,2.0,2.0,0.0,,,,,,,,,,,,,
273,PT05M15.00S,2023-10-31T00:55:38.3Z,2,REGULAR,turnover,palming,[],203552,,,1610612742,43,48,2023-10-31T00:56:00Z,2730000,False,,,0,,S. Curry palming TURNOVER (1 TO),[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,203591.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,,,,,,,
274,PT05M05.00S,2023-10-31T00:56:02.5Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630214,6.915243101182654,58.333333333333336,1610612763,45,48,2023-10-31T00:56:05Z,2740000,False,-42.0,13.0,1,left,X. Tillman Hook (4 PTS) (M. Smart 5 AST),"[1630214, 203935]",1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,In The Paint (Non-RA),0-8 Center,4.35,Made,,,,,,,,,4.0,,M. Smart,203935.0,5.0,,,,
276,PT04M52.00S,2023-10-31T00:56:17.8Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629723,,,1610612742,45,48,2023-10-31T00:56:27Z,2760000,False,,,0,,J. Konchar shooting personal FOUL (2 PF) (Doncic 2 FT),"[1629723, 1629029]",1610612763.0,MEM,shooting,,,Konchar,J. Konchar,,,,,200833.0,In The Paint (Non-RA),8-16 Center,,,,,,,2.0,0.0,Doncic,1629029.0,,,,,,,,,
278,PT04M52.00S,2023-10-31T00:56:52.9Z,2,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,45,49,2023-10-31T00:56:52Z,2780000,False,,,0,,L. Doncic Free Throw 1 of 2 (8 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,Made,,,,,,,,,8.0,,,,,,,,
279,PT04M52.00S,2023-10-31T00:56:53.8Z,2,REGULAR,substitution,out,[],203939,,,1610612742,45,49,2023-10-31T00:56:58Z,2790000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT04M52.00S,2023-10-31T00:56:53.8Z,2,REGULAR,substitution,in,[],1641726,,,1610612742,45,49,2023-10-31T00:56:58Z,2800000,False,,,0,,SUB in: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT04M52.00S,2023-10-31T00:57:16.2Z,2,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,45,49,2023-10-31T00:57:16Z,2810000,False,,,0,,MISS L. Doncic Free Throw 2 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
282,PT04M49.00S,2023-10-31T00:57:17.4Z,2,REGULAR,rebound,defensive,[],203935,,,1610612763,45,49,2023-10-31T00:57:17Z,2820000,False,,,0,,M. Smart REBOUND (Off:1 Def:2),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,281.0,3.0,2.0,1.0,,,,,,,,,,,,,
283,PT04M41.00S,2023-10-31T00:57:29.3Z,2,REGULAR,turnover,out-of-bounds,[],203935,,,1610612763,45,49,2023-10-31T00:57:33Z,2830000,False,,,0,,M. Smart bad pass out-of-bounds TURNOVER (5 TO),[203935],1610612763.0,MEM,bad pass,,,Smart,M. Smart,,,,,200833.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,5.0,,,,,,,
284,PT04M36.00S,2023-10-31T00:57:37.3Z,2,REGULAR,turnover,lost ball,[],1629684,,,1610612742,45,49,2023-10-31T00:57:42Z,2840000,False,,,0,,G. Williams lost ball TURNOVER (1 TO),"[1629684, 1630217]",1610612742.0,DAL,,,,Williams,G. Williams,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,,,,,,Bane,1630217.0
285,PT04M36.00S,2023-10-31T00:57:37.3Z,2,REGULAR,steal,,[],1630217,,,1610612763,45,49,2023-10-31T00:57:38Z,2850000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
286,PT04M32.00S,2023-10-31T00:57:40.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630217,5.732588699080158,49.50980392156863,1610612763,47,49,2023-10-31T00:57:45Z,2860000,False,2.0,1.0,1,left,D. Bane running finger roll Layup (15 PTS),[1630217],1610612763.0,MEM,running finger roll,,,Bane,D. Bane,,,,,,Restricted Area,0-8 Center,0.29,Made,,,,,,,,,15.0,,,,,,,,
287,PT04M12.00S,2023-10-31T00:58:01.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,91.27792378449409,63.725490196078425,1610612742,47,51,2023-10-31T00:58:05Z,2870000,False,69.0,29.0,1,right,L. Doncic 7' turnaround fadeaway Jump Shot (10 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,,In The Paint (Non-RA),0-8 Center,7.47,Made,,,,,,,,,10.0,,,,,,,,
288,PT03M52.00S,2023-10-31T00:58:21.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,18.74178712220762,62.745098039215684,1610612763,49,51,2023-10-31T00:58:24Z,2880000,False,-64.0,124.0,1,left,D. Bane 13' pullup Jump Shot (17 PTS) (J. Konchar 1 AST),"[1630217, 1629723]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,In The Paint (Non-RA),8-16 Center,13.91,Made,,,,,,,,,17.0,,J. Konchar,1629723.0,1.0,,,,
290,PT03M38.00S,2023-10-31T00:58:34.7Z,2,REGULAR,3pt,Jump Shot,[],1629029,70.51576872536137,72.30392156862744,1610612742,49,51,2023-10-31T00:58:39Z,2900000,False,112.0,225.0,1,right,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Right Center,25.08,Missed,,,,,,,,,,,,,,,,,
291,PT03M35.00S,2023-10-31T00:58:37.7Z,2,REGULAR,rebound,offensive,[],1630182,,,1610612742,49,51,2023-10-31T00:58:39Z,2910000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,Above the Break 3,24+ Right Center,,,290.0,1.0,0.0,1.0,,,,,,,,,,,,,
292,PT03M28.00S,2023-10-31T00:58:48.0Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630217,,,1610612742,49,51,2023-10-31T00:59:00Z,2920000,False,,,0,,D. Bane personal FOUL (2 PF) (Doncic 2 FT),"[1630217, 1629029]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,1627961.0,In The Paint (Non-RA),0-8 Center,,,,,,,2.0,0.0,Doncic,1629029.0,,,,,,,,,
294,PT03M28.00S,2023-10-31T00:59:14.5Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1629029,,,1610612742,49,51,2023-10-31T00:59:14Z,2940000,False,,,0,,MISS L. Doncic Free Throw 1 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
295,PT03M28.00S,2023-10-31T00:59:14.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,49,51,2023-10-31T00:59:14Z,2950000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,294.0,,,,,,,,,,,,,,,,
296,PT03M28.00S,2023-10-31T00:59:15.7Z,2,REGULAR,substitution,out,[],1631223,,,1610612742,49,51,2023-10-31T00:59:26Z,2960000,False,,,0,,SUB out: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
297,PT03M28.00S,2023-10-31T00:59:15.7Z,2,REGULAR,substitution,out,[],1629723,,,1610612742,49,51,2023-10-31T00:59:26Z,2970000,False,,,0,,SUB out: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT03M28.00S,2023-10-31T00:59:15.7Z,2,REGULAR,substitution,out,[],203552,,,1610612742,49,51,2023-10-31T00:59:26Z,2980000,False,,,0,,SUB out: S. Curry,[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
299,PT03M28.00S,2023-10-31T00:59:15.7Z,2,REGULAR,substitution,in,[],1628991,,,1610612742,49,51,2023-10-31T00:59:26Z,2990000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT03M28.00S,2023-10-31T00:59:15.7Z,2,REGULAR,substitution,in,[],1630533,,,1610612742,49,51,2023-10-31T00:59:26Z,3000000,False,,,0,,SUB in: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT03M28.00S,2023-10-31T00:59:15.7Z,2,REGULAR,substitution,in,[],203501,,,1610612742,49,51,2023-10-31T00:59:26Z,3010000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT03M28.00S,2023-10-31T00:59:39.8Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1629029,,,1610612742,49,52,2023-10-31T00:59:39Z,3020000,False,,,0,,L. Doncic Free Throw 2 of 2 (11 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,Made,,,,,,,,,11.0,,,,,,,,
303,PT03M17.00S,2023-10-31T00:59:52.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630214,5.732588699080158,61.029411764705884,1610612763,49,52,2023-10-31T00:59:56Z,3030000,False,-55.0,1.0,1,left,MISS X. Tillman driving floating Shot - blocked,"[1630214, 1641726]",1610612763.0,MEM,driving floating,,,Tillman,X. Tillman,,,,,,In The Paint (Non-RA),0-8 Center,5.51,Missed,,,,,,,,,,,,,,Lively II,1641726.0,,
304,PT03M17.00S,2023-10-31T00:59:52.5Z,2,REGULAR,block,,[],1641726,,,1610612763,49,52,2023-10-31T00:59:54Z,3040000,False,,,0,,D. Lively II BLOCK (1 BLK),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
305,PT03M13.00S,2023-10-31T00:59:56.5Z,2,REGULAR,rebound,defensive,[],1641726,,,1610612742,49,52,2023-10-31T00:59:56Z,3050000,False,,,0,,D. Lively II REBOUND (Off:1 Def:3),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,In The Paint (Non-RA),0-8 Center,,,303.0,4.0,3.0,1.0,,,,,,,,,,,,,
306,PT03M11.00S,2023-10-31T00:59:58.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203501,92.19776609724047,50.0,1610612742,49,54,2023-10-31T01:00:05Z,3060000,False,0.0,21.0,1,right,T. Hardaway Jr. running Layup (7 PTS) (J. Green 3 AST),"[203501, 1630182]",1610612742.0,DAL,running,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,,,,,7.0,,J. Green,1630182.0,3.0,,,,
308,PT02M51.00S,2023-10-31T01:00:17.7Z,2,REGULAR,3pt,Jump Shot,[],1630214,25.837713534822605,17.892156862745097,1610612763,49,54,2023-10-31T01:00:25Z,3080000,False,161.0,190.0,1,left,MISS X. Tillman 24' 3PT,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,Above the Break 3,24+ Right Center,24.9,Missed,,,,,,,,,,,,,,,,,
309,PT02M49.00S,2023-10-31T01:00:19.7Z,2,REGULAR,rebound,offensive,[],1628991,,,1610612763,49,54,2023-10-31T01:00:25Z,3090000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Right Center,,,308.0,2.0,1.0,1.0,,,,,,,,,,,,,
310,PT02M49.00S,2023-10-31T01:00:25.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,5.590000152587891,50.0,1610612763,51,54,2023-10-31T01:00:25Z,3100000,False,0.0,0.0,1,left,J. Jackson Jr. putback Layup (11 PTS),[1628991],1610612763.0,MEM,putback,,,Jackson Jr.,J. Jackson Jr.,,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,11.0,,,,,,,,
311,PT02M49.00S,2023-10-31T01:00:26.4Z,2,REGULAR,foul,personal,['1freethrow'],1641726,,,1610612763,51,54,2023-10-31T01:00:31Z,3110000,False,,,0,,D. Lively II shooting personal FOUL (3 PF) (Jackson Jr. 1 FT),"[1641726, 1628991]",1610612742.0,DAL,shooting,,,Lively II,D. Lively II,,,,,203591.0,Mid-Range,8-16 Left,,,,,,,3.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,
313,PT02M49.00S,2023-10-31T01:00:57.7Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1628991,,,1610612763,52,54,2023-10-31T01:00:57Z,3130000,False,,,0,,J. Jackson Jr. Free Throw 1 of 1 (12 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,Made,,,,,,,,,12.0,,,,,,,,
314,PT02M38.00S,2023-10-31T01:01:09.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1641726,93.77463863337714,50.49019607843137,1610612742,52,56,2023-10-31T01:01:13Z,3140000,False,2.0,6.0,1,right,D. Lively II alley-oop DUNK (2 PTS) (L. Doncic 3 AST),"[1641726, 1629029]",1610612742.0,DAL,alley-oop,,,Lively II,D. Lively II,,,,,,Restricted Area,0-8 Center,0.65,Made,,,,,,,,,2.0,,L. Doncic,1629029.0,3.0,,,,
316,PT02M20.00S,2023-10-31T01:01:27.0Z,2,REGULAR,3pt,Jump Shot,[],1630214,3.7614980289093296,96.32352941176471,1610612763,52,56,2023-10-31T01:01:30Z,3160000,False,-232.0,-17.0,1,left,MISS X. Tillman 3PT,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,Left Corner 3,24+ Left,23.22,Missed,,,,,,,,,,,,,,,,,
317,PT02M18.00S,2023-10-31T01:01:29.0Z,2,REGULAR,rebound,defensive,[],1629029,,,1610612742,52,56,2023-10-31T01:01:30Z,3170000,False,,,0,,L. Doncic REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Left Corner 3,24+ Left,,,316.0,3.0,3.0,0.0,,,,,,,,,,,,,
318,PT02M06.00S,2023-10-31T01:01:41.7Z,2,REGULAR,2pt,Jump Shot,[],1629029,75.1149802890933,59.068627450980394,1610612742,52,58,2023-10-31T01:01:45Z,3180000,False,45.0,181.0,1,right,L. Doncic 18' step back Jump Shot (13 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,Mid-Range,16-24 Center,18.7,Made,,,,,,,,,13.0,,,,,,,,
319,PT01M41.00S,2023-10-31T01:02:05.1Z,2,REGULAR,3pt,Jump Shot,[],203935,32.14520367936925,49.26470588235294,1610612763,55,58,2023-10-31T01:02:08Z,3190000,False,4.0,250.0,1,left,M. Smart 24' 3PT  (11 PTS) (D. Bane 2 AST),"[203935, 1630217]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Above the Break 3,24+ Center,24.97,Made,,,,,,,,,11.0,,D. Bane,1630217.0,2.0,,,,
321,PT01M26.00S,2023-10-31T01:02:20.7Z,2,REGULAR,3pt,Jump Shot,[],1629029,71.69842312746385,21.813725490196077,1610612742,55,61,2023-10-31T01:02:24Z,3210000,False,-141.0,214.0,1,right,L. Doncic 25' 3PT step back (16 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Left Center,25.58,Made,,,,,,,,,16.0,,,,,,,,
322,PT01M14.00S,2023-10-31T01:02:34.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641726,,,1610612763,55,61,2023-10-31T01:02:43Z,3220000,False,,,0,,D. Lively II shooting personal FOUL (4 PF) (Bane 2 FT),"[1641726, 1630217]",1610612742.0,DAL,shooting,,,Lively II,D. Lively II,,,,,203591.0,Restricted Area,0-8 Center,,,,,,,4.0,0.0,Bane,1630217.0,,,,,,,,,
324,PT01M14.00S,2023-10-31T01:03:00.1Z,2,REGULAR,freethrow,1 of 2,[],1630217,,,1610612763,56,61,2023-10-31T01:03:00Z,3240000,False,,,0,,D. Bane Free Throw 1 of 2 (18 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,Made,,,,,,,,,18.0,,,,,,,,
325,PT01M14.00S,2023-10-31T01:03:02.0Z,2,REGULAR,substitution,out,[],1630214,,,1610612763,56,61,2023-10-31T01:03:11Z,3250000,False,,,0,,SUB out: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT01M14.00S,2023-10-31T01:03:02.0Z,2,REGULAR,substitution,out,[],1641726,,,1610612763,56,61,2023-10-31T01:03:11Z,3260000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT01M14.00S,2023-10-31T01:03:02.0Z,2,REGULAR,substitution,in,[],1631223,,,1610612763,56,61,2023-10-31T01:03:11Z,3270000,False,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
328,PT01M14.00S,2023-10-31T01:03:02.0Z,2,REGULAR,substitution,in,[],1628467,,,1610612763,56,61,2023-10-31T01:03:11Z,3280000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT01M14.00S,2023-10-31T01:03:24.2Z,2,REGULAR,freethrow,2 of 2,[],1630217,,,1610612763,56,61,2023-10-31T01:03:24Z,3290000,False,,,0,,MISS D. Bane Free Throw 2 of 2,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
330,PT01M12.00S,2023-10-31T01:03:25.4Z,2,REGULAR,rebound,defensive,[],203501,,,1610612742,56,61,2023-10-31T01:03:25Z,3300000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:3),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,329.0,3.0,3.0,0.0,,,,,,,,,,,,,
331,PT00M55.80S,2023-10-31T01:03:42.3Z,2,REGULAR,3pt,Jump Shot,[],1629029,70.77858081471747,23.03921568627451,1610612742,56,64,2023-10-31T01:03:45Z,3310000,False,-135.0,222.0,1,right,L. Doncic 25' 3PT step back (19 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Left Center,25.99,Made,,,,,,,,,19.0,,,,,,,,
332,PT00M44.40S,2023-10-31T01:03:59.1Z,2,REGULAR,3pt,Jump Shot,[],1630533,8.09789750328515,94.6078431372549,1610612763,59,64,2023-10-31T01:04:02Z,3320000,False,-223.0,24.0,1,left,Z. Williams 3PT  (3 PTS) (D. Roddy 2 AST),"[1630533, 1631223]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,Left Corner 3,24+ Left,22.42,Made,,,,,,,,,3.0,,D. Roddy,1631223.0,2.0,,,,
334,PT00M30.60S,2023-10-31T01:04:20.8Z,2,REGULAR,3pt,Jump Shot,[],1629029,64.47109067017082,26.47058823529412,1610612742,59,67,2023-10-31T01:04:24Z,3340000,False,-118.0,281.0,1,right,L. Doncic 30' 3PT step back (22 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Left Center,30.51,Made,,,,,,,,,22.0,,,,,,,,
335,PT00M13.40S,2023-10-31T01:04:44.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628991,5.601182654402102,49.50980392156863,1610612763,61,67,2023-10-31T01:04:48Z,3350000,False,2.0,0.0,1,left,J. Jackson Jr. cutting DUNK (14 PTS) (M. Smart 6 AST),"[1628991, 203935]",1610612763.0,MEM,cutting,,,Jackson Jr.,J. Jackson Jr.,,,,,,Restricted Area,0-8 Center,0.25,Made,,,,,,,,,14.0,,M. Smart,203935.0,6.0,,,,
337,PT00M02.40S,2023-10-31T01:05:01.6Z,2,REGULAR,turnover,bad pass,[],1629029,,,1610612742,61,67,2023-10-31T01:05:08Z,3370000,False,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 203935]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,2.0,,,,,,Smart,203935.0
338,PT00M02.40S,2023-10-31T01:05:01.6Z,2,REGULAR,steal,,[],203935,,,1610612763,61,67,2023-10-31T01:05:03Z,3380000,False,,,0,,M. Smart STEAL (2 STL),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
340,PT00M00.00S,2023-10-31T01:05:44.4Z,2,REGULAR,period,end,[],0,,,1610612763,61,67,2023-10-31T01:05:44Z,3400000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,PT12M00.00S,2023-10-31T01:19:39.2Z,3,REGULAR,substitution,out,['startperiod'],1631223,,,1610612763,61,67,2023-10-31T01:20:22Z,3410000,False,,,0,,SUB out: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
342,PT12M00.00S,2023-10-31T01:19:39.2Z,3,REGULAR,substitution,out,['startperiod'],203501,,,1610612763,61,67,2023-10-31T01:20:22Z,3420000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
