actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
267,PT02M58.00S,2022-11-05T21:57:46.2Z,2,REGULAR,foul,personal,['2freethrow'],1630181,,,1610612758,55,43,2022-11-05T21:57:56Z,2620000,,,0,,R. Hampton shooting personal FOUL (1 PF) (Huerter 2 FT),"[1630181, 1628989]",1610612753.0,ORL,shooting,,,Hampton,R. Hampton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2714.0,1.0,0.0,Huerter,1628989.0,,
269,PT02M58.00S,2022-11-05T21:58:13.7Z,2,REGULAR,freethrow,1 of 2,[],1628989,,,1610612758,55,43,2022-11-05T21:58:51Z,2640000,,,0,,MISS K. Huerter Free Throw 1 of 2,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
270,PT02M58.00S,2022-11-05T21:58:13.7Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,55,43,2022-11-05T21:58:51Z,2650000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,,
271,PT02M58.00S,2022-11-05T21:58:13.7Z,2,REGULAR,freethrow,2 of 2,[],1628989,,,1610612758,55,43,2022-11-05T21:58:51Z,2660000,,,0,,MISS K. Huerter Free Throw 2 of 2,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
272,PT02M55.00S,2022-11-05T21:58:16.7Z,2,REGULAR,rebound,defensive,[],1631094,,,1610612753,55,43,2022-11-05T21:58:51Z,2670000,,,0,,P. Banchero REBOUND (Off:0 Def:6),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,271.0,6.0,6.0,0.0,,,,,,,,,,,,,,
273,PT02M44.00S,2022-11-05T21:58:59.6Z,2,REGULAR,3pt,Jump Shot,[],1631094,27.94021024967148,76.47058823529412,1610612753,55,43,2022-11-05T21:59:05Z,2680000,-132.0,210.0,1,left,MISS P. Banchero 24' pullup 3PT,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,24.83,Missed,,,,,,,,,,,,,,,,,,
274,PT02M42.00S,2022-11-05T21:59:01.6Z,2,REGULAR,rebound,offensive,[],1629643,,,1610612753,55,43,2022-11-05T21:59:05Z,2690000,,,0,,C. Okeke REBOUND (Off:1 Def:3),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Left Center,,,273.0,4.0,3.0,1.0,,,,,,,,,,,,,,
275,PT02M36.00S,2022-11-05T21:59:08.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630181,32.670827858081466,56.61764705882353,1610612753,55,43,2022-11-05T21:59:14Z,2700000,-33.0,255.0,1,left,MISS R. Hampton 25' 3PT,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,Above the Break 3,24+ Center,25.67,Missed,,,,,,,,,,,,,,,,,,
276,PT02M31.00S,2022-11-05T21:59:13.8Z,2,REGULAR,rebound,offensive,[],1629643,,,1610612753,55,43,2022-11-05T21:59:14Z,2710000,,,0,,C. Okeke REBOUND (Off:2 Def:3),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Center,,,275.0,5.0,3.0,2.0,,,,,,,,,,,,,,
277,PT02M28.00S,2022-11-05T21:59:16.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630181,7.835085413929041,47.30392156862745,1610612753,55,43,2022-11-05T21:59:28Z,2720000,13.0,21.0,1,left,MISS R. Hampton Layup - blocked,"[1630181, 1627734]",1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,Restricted Area,0-8 Center,2.5,Missed,,,,,,,,,,,,,,,,,Sabonis,1627734.0
278,PT02M28.00S,2022-11-05T21:59:16.5Z,2,REGULAR,block,,[],1627734,,,1610612753,55,43,2022-11-05T21:59:20Z,2730000,,,0,,D. Sabonis BLOCK (1 BLK),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
279,PT02M23.00S,2022-11-05T21:59:21.5Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612758,55,43,2022-11-05T21:59:28Z,2740000,,,0,,D. Sabonis REBOUND (Off:1 Def:4),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,277.0,5.0,4.0,1.0,,,,,,,,,,,,,,
284,PT02M23.00S,2022-11-05T21:59:35.1Z,2,REGULAR,substitution,out,[],1629643,,,1610612758,55,43,2022-11-05T21:59:37Z,2790000,,,0,,SUB out: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,,
285,PT02M23.00S,2022-11-05T21:59:35.1Z,2,REGULAR,substitution,in,[],1628976,,,1610612758,55,43,2022-11-05T21:59:37Z,2800000,,,0,,SUB in: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT02M16.00S,2022-11-05T22:00:08.7Z,2,REGULAR,2pt,Jump Shot,[],1628989,76.42904073587385,57.59803921568627,1610612758,55,43,2022-11-05T22:00:14Z,2810000,38.0,169.0,1,right,MISS K. Huerter 17' pullup Shot,[1628989],1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Center,17.33,Missed,,,,,,,,,,,,,,,,,,
287,PT02M15.00S,2022-11-05T22:00:09.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612753,55,43,2022-11-05T22:00:14Z,2820000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Mid-Range,16-24 Center,,,286.0,,,,,,,,,,,,,,,,,
289,PT01M59.00S,2022-11-05T22:00:36.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1631094,6.258212877792378,50.245098039215684,1610612753,57,43,2022-11-05T22:00:58Z,2840000,-1.0,6.0,1,left,P. Banchero driving DUNK (15 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.64,Made,,,,,15.0,,,,,,,,,,,,,
290,PT01M47.00S,2022-11-05T22:00:48.1Z,2,REGULAR,3pt,Jump Shot,[],1627734,67.36202365308804,60.78431372549019,1610612758,57,43,2022-11-05T22:01:01Z,2850000,54.0,254.0,1,right,MISS D. Sabonis 25' 3PT,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,25.99,Missed,,,,,,,,,,,,,,,,,,
291,PT01M47.00S,2022-11-05T22:00:48.1Z,2,REGULAR,rebound,defensive,[],1631094,,,1610612753,57,43,2022-11-05T22:01:01Z,2860000,,,0,,P. Banchero REBOUND (Off:0 Def:7),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,290.0,7.0,7.0,0.0,,,,,,,,,,,,,,
292,PT01M37.00S,2022-11-05T22:00:58.2Z,2,REGULAR,3pt,Jump Shot,[],1629626,32.40801576872536,56.372549019607845,1610612753,60,43,2022-11-05T22:01:04Z,2870000,-32.0,252.0,1,left,B. Bol 25' 3PT pullup (11 PTS) (W. Carter Jr. 3 AST),"[1629626, 1628976]",1610612753.0,ORL,pullup,,,Bol,B. Bol,,,,,Above the Break 3,24+ Center,25.41,Made,,,,,11.0,,,,W. Carter Jr.,1628976.0,3.0,,,,,,,
294,PT01M37.00S,2022-11-05T22:01:04.6Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1627734,,,1610612753,60,43,2022-11-05T22:01:31Z,2890000,,,0,,D. Sabonis shooting personal FOUL (3 PF) (Bol 1 FT),"[1627734, 1629626]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,203177.0,3.0,0.0,Bol,1629626.0,,
296,PT01M37.00S,2022-11-05T22:01:11.9Z,2,REGULAR,substitution,out,[],1627734,,,1610612753,60,43,2022-11-05T22:01:21Z,2910000,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
297,PT01M37.00S,2022-11-05T22:01:11.9Z,2,REGULAR,substitution,in,[],1629002,,,1610612753,60,43,2022-11-05T22:01:21Z,2920000,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT01M37.00S,2022-11-05T22:01:34.4Z,2,REGULAR,freethrow,1 of 1,[],1629626,,,1610612753,61,43,2022-11-05T22:01:34Z,2930000,,,0,,B. Bol Free Throw 1 of 1 (12 PTS),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
299,PT01M21.00S,2022-11-05T22:01:50.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,87.59855453350855,51.71568627450981,1610612758,61,45,2022-11-05T22:01:57Z,2940000,9.0,64.0,1,right,D. Fox 6' driving floating Jump Shot (7 PTS),[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,6.47,Made,,,,,7.0,,,,,,,,,,,,,
301,PT01M10.00S,2022-11-05T22:02:05.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628368,,,1610612753,61,45,2022-11-05T22:02:21Z,2960000,,,0,,D. Fox personal FOUL (1 PF) (Carter Jr. 2 FT),"[1628368, 1628976]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1201.0,1.0,0.0,Carter Jr.,1628976.0,,
303,PT01M10.00S,2022-11-05T22:02:35.6Z,2,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,62,45,2022-11-05T22:02:35Z,2980000,,,0,,W. Carter Jr. Free Throw 1 of 2 (12 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
304,PT01M10.00S,2022-11-05T22:02:52.3Z,2,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,63,45,2022-11-05T22:02:52Z,2990000,,,0,,W. Carter Jr. Free Throw 2 of 2 (13 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,,,,,13.0,,,,,,,,,,,,,
305,PT00M54.90S,2022-11-05T22:03:12.3Z,2,REGULAR,3pt,Jump Shot,[],1626168,87.46714848883047,96.81372549019608,1610612758,63,45,2022-11-05T22:03:25Z,3000000,234.0,65.0,1,right,MISS T. Lyles 24' 3PT,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Right Corner 3,24+ Right,24.3,Missed,,,,,,,,,,,,,,,,,,
306,PT00M49.10S,2022-11-05T22:03:18.1Z,2,REGULAR,rebound,defensive,[],1630181,,,1610612753,63,45,2022-11-05T22:03:25Z,3010000,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,Right Corner 3,24+ Right,,,305.0,1.0,1.0,0.0,,,,,,,,,,,,,,
307,PT00M39.10S,2022-11-05T22:03:28.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630181,12.828515111695138,42.40196078431372,1610612753,63,45,2022-11-05T22:03:34Z,3020000,38.0,68.0,1,left,MISS R. Hampton 7' driving floating Shot - blocked,"[1630181, 1626168]",1610612753.0,ORL,driving floating,,,Hampton,R. Hampton,,,,,In The Paint (Non-RA),0-8 Center,7.8,Missed,,,,,,,,,,,,,,,,,Lyles,1626168.0
308,PT00M39.10S,2022-11-05T22:03:28.8Z,2,REGULAR,block,,[],1626168,,,1610612753,63,45,2022-11-05T22:03:31Z,3030000,,,0,,T. Lyles BLOCK (1 BLK),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
309,PT00M34.70S,2022-11-05T22:03:33.2Z,2,REGULAR,rebound,defensive,[],1626168,,,1610612758,63,45,2022-11-05T22:03:34Z,3040000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,In The Paint (Non-RA),0-8 Center,,,307.0,1.0,1.0,0.0,,,,,,,,,,,,,,
310,PT00M33.70S,2022-11-05T22:03:34.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628368,92.06636005256242,47.05882352941176,1610612758,63,47,2022-11-05T22:03:45Z,3050000,-15.0,22.0,1,right,D. Fox running Layup (9 PTS),[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,2.65,Made,,,,,9.0,,,,,,,,,,,,,
311,PT00M15.30S,2022-11-05T22:03:56.2Z,2,REGULAR,2pt,Jump Shot,[],1630591,23.078186596583443,67.15686274509804,1610612753,65,47,2022-11-05T22:04:00Z,3060000,-86.0,164.0,1,left,J. Suggs 18' pullup Jump Shot (4 PTS),[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Left Center,18.54,Made,,,,,4.0,,,,,,,,,,,,,
313,PT00M04.80S,2022-11-05T22:04:12.3Z,2,REGULAR,foul,personal,[],1630591,,,1610612758,65,47,2022-11-05T22:04:22Z,3070000,,,0,,J. Suggs take personal FOUL (2 PF),"[1630591, 1628368]",1610612753.0,ORL,take,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,203177.0,2.0,0.0,Fox,1628368.0,,
315,PT00M04.80S,2022-11-05T22:04:40.7Z,2,REGULAR,substitution,out,[],1630591,,,1610612758,65,47,2022-11-05T22:04:46Z,3090000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT00M04.80S,2022-11-05T22:04:40.7Z,2,REGULAR,substitution,in,[],1630284,,,1610612758,65,47,2022-11-05T22:04:46Z,3100000,,,0,,SUB in: K. Harris,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT00M00.00S,2022-11-05T22:04:57.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629002,91.5407358738502,44.11764705882353,1610612758,65,47,2022-11-05T22:05:07Z,3110000,-29.0,27.0,1,right,MISS C. Metu driving Hook,[1629002],1610612758.0,SAC,driving,,,Metu,C. Metu,,,,,Restricted Area,0-8 Center,3.99,Missed,,,,,,,,,,,,,,,,,,
318,PT00M00.00S,2022-11-05T22:04:57.6Z,2,REGULAR,rebound,defensive,[],1628976,,,1610612753,65,47,2022-11-05T22:05:07Z,3120000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:6),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,317.0,6.0,6.0,0.0,,,,,,,,,,,,,,
319,PT00M00.00S,2022-11-05T22:05:05.0Z,2,REGULAR,period,end,[],0,,,1610612753,65,47,2022-11-05T22:05:05Z,3130000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT12M00.00S,2022-11-05T22:19:58.9Z,3,REGULAR,substitution,out,['startperiod'],1630181,,,1610612753,65,47,2022-11-05T22:20:27Z,3140000,,,0,,SUB out: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT12M00.00S,2022-11-05T22:19:58.9Z,3,REGULAR,substitution,out,['startperiod'],1630284,,,1610612753,65,47,2022-11-05T22:20:27Z,3150000,,,0,,SUB out: K. Harris,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT12M00.00S,2022-11-05T22:19:58.9Z,3,REGULAR,substitution,out,['startperiod'],1629002,,,1610612753,65,47,2022-11-05T22:20:27Z,3160000,,,0,,SUB out: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT12M00.00S,2022-11-05T22:19:58.9Z,3,REGULAR,substitution,out,['startperiod'],1626168,,,1610612753,65,47,2022-11-05T22:20:27Z,3170000,,,0,,SUB out: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT12M00.00S,2022-11-05T22:19:58.9Z,3,REGULAR,substitution,in,['startperiod'],1630591,,,1610612753,65,47,2022-11-05T22:20:27Z,3180000,,,0,,SUB in: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT12M00.00S,2022-11-05T22:19:58.9Z,3,REGULAR,substitution,in,['startperiod'],1630532,,,1610612753,65,47,2022-11-05T22:20:27Z,3190000,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT12M00.00S,2022-11-05T22:19:58.9Z,3,REGULAR,substitution,in,['startperiod'],203084,,,1610612753,65,47,2022-11-05T22:20:27Z,3200000,,,0,,SUB in: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT12M00.00S,2022-11-05T22:19:58.9Z,3,REGULAR,substitution,in,['startperiod'],1627734,,,1610612753,65,47,2022-11-05T22:20:27Z,3210000,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
328,PT12M00.00S,2022-11-05T22:20:27.0Z,3,REGULAR,period,start,[],0,,,1610612758,65,47,2022-11-05T22:20:28Z,3220000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT11M51.00S,2022-11-05T22:20:39.2Z,3,REGULAR,foul,personal,[],1630532,,,1610612758,65,47,2022-11-05T22:20:47Z,3230000,,,0,,F. Wagner personal FOUL (2 PF),"[1630532, 1627734]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,203177.0,2.0,0.0,Sabonis,1627734.0,,
331,PT11M36.00S,2022-11-05T22:21:07.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203084,7.178055190538765,55.88235294117647,1610612758,65,47,2022-11-05T22:21:16Z,3250000,-29.0,15.0,1,left,MISS H. Barnes driving reverse Layup,[203084],1610612758.0,SAC,driving reverse,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,3.3,Missed,,,,,,,,,,,,,,,,,,
332,PT11M33.00S,2022-11-05T22:21:10.9Z,3,REGULAR,rebound,defensive,[],1631094,,,1610612753,65,47,2022-11-05T22:21:16Z,3260000,,,0,,P. Banchero REBOUND (Off:0 Def:8),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,331.0,8.0,8.0,0.0,,,,,,,,,,,,,,
333,PT11M31.00S,2022-11-05T22:21:16.3Z,3,REGULAR,turnover,out-of-bounds,[],1630591,,,1610612753,65,47,2022-11-05T22:21:24Z,3270000,,,0,,J. Suggs bad pass out-of-bounds TURNOVER (4 TO),[1630591],1610612753.0,ORL,bad pass,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Right,,,,,,,,4.0,,,,,,203177.0,,,,,,
334,PT11M17.00S,2022-11-05T22:21:34.7Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,29.911300919842315,70.83333333333334,1610612758,65,47,2022-11-05T22:21:39Z,3280000,-104.0,229.0,1,left,MISS K. Huerter 25' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,25.13,Missed,,,,,,,,,,,,,,,,,,
335,PT11M14.00S,2022-11-05T22:21:37.7Z,3,REGULAR,rebound,defensive,[],1630532,,,1610612753,65,47,2022-11-05T22:21:39Z,3290000,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,,334.0,2.0,2.0,0.0,,,,,,,,,,,,,,
336,PT11M00.00S,2022-11-05T22:21:51.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,93.77463863337714,65.68627450980392,1610612753,67,47,2022-11-05T22:22:01Z,3300000,78.0,6.0,1,right,P. Banchero 7' driving floating Jump Shot (17 PTS) (J. Suggs 4 AST),"[1631094, 1630591]",1610612753.0,ORL,driving floating,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,7.86,Made,,,,,17.0,,,,J. Suggs,1630591.0,4.0,,,,,,,
338,PT10M52.00S,2022-11-05T22:22:03.8Z,3,REGULAR,foul,personal,['2freethrow'],1629626,,,1610612758,67,47,2022-11-05T22:22:28Z,3320000,,,0,,B. Bol shooting personal FOUL (2 PF) (Fox 2 FT),"[1629626, 1628368]",1610612753.0,ORL,shooting,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2714.0,2.0,0.0,Fox,1628368.0,,
340,PT10M52.00S,2022-11-05T22:22:29.4Z,3,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,67,48,2022-11-05T22:22:29Z,3340000,,,0,,D. Fox Free Throw 1 of 2 (10 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
341,PT10M52.00S,2022-11-05T22:22:41.7Z,3,REGULAR,freethrow,2 of 2,[],1628368,,,1610612758,67,49,2022-11-05T22:22:41Z,3350000,,,0,,D. Fox Free Throw 2 of 2 (11 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
342,PT10M31.00S,2022-11-05T22:23:03.7Z,3,REGULAR,2pt,Jump Shot,[],1630591,91.40932982917214,77.94117647058823,1610612753,67,49,2022-11-05T22:23:21Z,3360000,140.0,28.0,1,right,MISS J. Suggs 14' Jump Shot,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Right,14.25,Missed,,,,,,,,,,,,,,,,,,
343,PT10M28.00S,2022-11-05T22:23:06.7Z,3,REGULAR,rebound,defensive,[],203084,,,1610612758,67,49,2022-11-05T22:23:21Z,3370000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Mid-Range,8-16 Right,,,342.0,1.0,1.0,0.0,,,,,,,,,,,,,,
344,PT10M24.00S,2022-11-05T22:23:10.6Z,3,REGULAR,3pt,Jump Shot,[],1628368,29.911300919842315,75.73529411764706,1610612758,67,49,2022-11-05T22:26:41Z,3380000,-129.0,229.0,1,left,MISS D. Fox 26' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,26.24,Missed,,,,,,,,,,,,,,,,,,
345,PT10M21.00S,2022-11-05T22:23:13.6Z,3,REGULAR,rebound,defensive,[],1629626,,,1610612753,67,49,2022-11-05T22:23:27Z,3390000,,,0,,B. Bol REBOUND (Off:1 Def:3),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Left Center,,,344.0,4.0,3.0,1.0,,,,,,,,,,,,,,
346,PT10M13.00S,2022-11-05T22:23:25.1Z,3,REGULAR,turnover,out-of-bounds,[],1630591,,,1610612753,67,49,2022-11-05T22:23:35Z,3400000,,,0,,J. Suggs bad pass out-of-bounds TURNOVER (5 TO),[1630591],1610612753.0,ORL,bad pass,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,5.0,,,,,,2714.0,,,,,,
347,PT09M56.00S,2022-11-05T22:23:43.6Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,32.14520367936925,44.6078431372549,1610612758,67,52,2022-11-05T22:23:49Z,3410000,27.0,250.0,1,left,K. Huerter 25' 3PT pullup (6 PTS) (D. Sabonis 3 AST),"[1628989, 1627734]",1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,25.12,Made,,,,,6.0,,,,D. Sabonis,1627734.0,3.0,,,,,,,
348,PT09M55.00S,2022-11-05T22:23:53.1Z,3,REGULAR,timeout,full,['team'],0,,,1610612753,67,52,2022-11-05T22:23:53Z,3420000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,PT09M37.00S,2022-11-05T22:26:56.0Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,91.27792378449409,46.81372549019608,1610612753,67,52,2022-11-05T22:27:00Z,3430000,-16.0,29.0,1,right,MISS F. Wagner turnaround Hook,[1630532],1610612753.0,ORL,turnaround,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.35,Missed,,,,,,,,,,,,,,,,,,
351,PT09M35.00S,2022-11-05T22:26:58.0Z,3,REGULAR,rebound,defensive,[],1628368,,,1610612758,67,52,2022-11-05T22:27:00Z,3440000,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,350.0,2.0,2.0,0.0,,,,,,,,,,,,,,
352,PT09M30.00S,2022-11-05T22:27:02.7Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1627734,5.338370565045992,52.20588235294118,1610612758,67,54,2022-11-05T22:27:14Z,3450000,-11.0,-2.0,1,left,D. Sabonis running DUNK (17 PTS) (K. Huerter 1 AST),"[1627734, 1628989]",1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.12,Made,,,,,17.0,,,,K. Huerter,1628989.0,1.0,,,,,,,
354,PT09M13.00S,2022-11-05T22:27:22.4Z,3,REGULAR,foul,offensive,[],1630591,,,1610612753,67,54,2022-11-05T22:38:45Z,3470000,,,0,,J. Suggs offensive FOUL (3 PF),"[1630591, 1628368]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1201.0,3.0,0.0,Fox,1628368.0,,
356,PT09M13.00S,2022-11-05T22:27:22.4Z,3,REGULAR,turnover,offensive foul,[],1630591,,,1610612753,67,54,2022-11-05T22:27:22Z,3490000,,,0,,J. Suggs offensive foul TURNOVER (6 TO),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Right,,,,,,,,6.0,,,,,,1201.0,,,,,,
