actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
179,PT10M07.00S,2022-03-22T23:40:40.7Z,2,REGULAR,freethrow,1 of 2,[],202357,,,1610612744,27,21,2022-03-22T23:41:03Z,1790000,,,0,,N. Bjelica Free Throw 1 of 2 (1 PTS),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
180,PT10M07.00S,2022-03-22T23:40:41.9Z,2,REGULAR,substitution,out,[],203490,,,1610612744,27,21,2022-03-22T23:40:52Z,1800000,,,0,,SUB out: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT10M07.00S,2022-03-22T23:40:41.9Z,2,REGULAR,substitution,in,[],1627814,,,1610612744,27,21,2022-03-22T23:40:52Z,1810000,,,0,,SUB in: D. Lee,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT10M07.00S,2022-03-22T23:40:40.7Z,2,REGULAR,freethrow,2 of 2,[],202357,,,1610612744,27,21,2022-03-22T23:41:03Z,1820000,,,0,,MISS N. Bjelica Free Throw 2 of 2,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,Missed,,,,,,,,,,,,,,,,,,,
183,PT10M04.00S,2022-03-22T23:40:43.7Z,2,REGULAR,rebound,defensive,[],1629643,,,1610612753,27,21,2022-03-22T23:41:03Z,1830000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,182.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
184,PT09M52.00S,2022-03-22T23:41:14.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,5.863994743758213,55.88235294117647,1610612753,29,21,2022-03-22T23:41:18Z,1840000,-29.0,3.0,1,left,M. Fultz driving Layup (2 PTS),[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,2.95,Made,,,,,,,,,,2.0,,,,,,,,,
185,PT09M39.00S,2022-03-22T23:41:28.6Z,2,REGULAR,turnover,bad pass,[],1629185,,,1610612744,29,21,2022-03-22T23:41:32Z,1850000,,,0,,C. Chiozza bad pass TURNOVER (2 TO),"[1629185, 1629643]",1610612744.0,GSW,,,,Chiozza,C. Chiozza,,,,,,,,,,,2.0,Okeke,1629643.0,,,,,,,,,,,,
186,PT09M39.00S,2022-03-22T23:41:28.6Z,2,REGULAR,steal,,[],1629643,,,1610612753,29,21,2022-03-22T23:41:30Z,1860000,,,0,,C. Okeke STEAL (1 STL),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT09M34.00S,2022-03-22T23:41:33.4Z,2,REGULAR,turnover,lost ball,[],1628365,,,1610612753,29,21,2022-03-22T23:41:38Z,1870000,,,0,,M. Fultz lost ball TURNOVER (1 TO),"[1628365, 202691]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,1.0,Thompson,202691.0,,,,,,,,,,,,
188,PT09M34.00S,2022-03-22T23:41:33.4Z,2,REGULAR,steal,,[],202691,,,1610612744,29,21,2022-03-22T23:41:35Z,1880000,,,0,,K. Thompson STEAL (1 STL),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT09M28.00S,2022-03-22T23:41:39.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629185,87.07293035479631,2.2058823529411766,1610612744,29,21,2022-03-22T23:41:46Z,1890000,-239.0,69.0,1,right,MISS C. Chiozza 24' running 3PT,[1629185],1610612744.0,GSW,running,,,Chiozza,C. Chiozza,,,,,24.88,Missed,,,,,,,,,,,,,,,,,,,
190,PT09M25.00S,2022-03-22T23:41:42.0Z,2,REGULAR,rebound,defensive,[],1629021,,,1610612753,29,21,2022-03-22T23:41:46Z,1900000,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,189.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
191,PT09M19.00S,2022-03-22T23:41:47.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203914,23.078186596583443,9.803921568627452,1610612753,32,21,2022-03-22T23:44:52Z,1910000,201.0,164.0,1,left,G. Harris 25' 3PT  (3 PTS) (C. Okeke 1 AST),"[203914, 1629643]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,25.97,Made,,,,,,,,,,3.0,C. Okeke,1629643.0,1.0,,,,,,
193,PT08M56.00S,2022-03-22T23:42:10.7Z,2,REGULAR,2pt,Jump Shot,[],202691,74.06373193166885,67.64705882352942,1610612744,32,21,2022-03-22T23:42:15Z,1930000,88.0,191.0,1,right,MISS K. Thompson 21' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,21.07,Missed,,,,,,,,,,,,,,,,,,,
194,PT08M52.00S,2022-03-22T23:42:14.7Z,2,REGULAR,rebound,defensive,[],1629678,,,1610612753,32,21,2022-03-22T23:42:15Z,1940000,,,0,,A. Schofield REBOUND (Off:1 Def:2),[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,193.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
195,PT08M37.00S,2022-03-22T23:42:29.3Z,2,REGULAR,turnover,bad pass,[],1629643,,,1610612753,32,21,2022-03-22T23:42:33Z,1950000,,,0,,C. Okeke bad pass TURNOVER (1 TO),"[1629643, 1627814]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,1.0,Lee,1627814.0,,,,,,,,,,,,
196,PT08M37.00S,2022-03-22T23:42:29.3Z,2,REGULAR,steal,,[],1627814,,,1610612744,32,21,2022-03-22T23:42:31Z,1960000,,,0,,D. Lee STEAL (1 STL),[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT08M30.00S,2022-03-22T23:42:36.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630228,88.25558475689881,45.588235294117645,1610612744,32,23,2022-03-22T23:42:44Z,1970000,-22.0,58.0,1,right,J. Kuminga 6' driving finger roll Layup (2 PTS),[1630228],1610612744.0,GSW,driving finger roll,,,Kuminga,J. Kuminga,,,,,6.2,Made,,,,,,,,,,2.0,,,,,,,,,
198,PT08M11.00S,2022-03-22T23:42:55.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203914,6.258212877792378,44.85294117647059,1610612753,34,23,2022-03-22T23:43:00Z,1980000,26.0,6.0,1,left,G. Harris driving Layup (5 PTS) (M. Wagner 1 AST),"[203914, 1629021]",1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,2.65,Made,,,,,,,,,,5.0,M. Wagner,1629021.0,1.0,,,,,,
200,PT08M00.00S,2022-03-22T23:43:07.4Z,2,REGULAR,2pt,Jump Shot,[],1630228,74.32654402102497,59.31372549019608,1610612744,34,25,2022-03-22T23:43:11Z,2000000,47.0,189.0,1,right,J. Kuminga 19' step back Jump Shot (4 PTS) (C. Chiozza 1 AST),"[1630228, 1629185]",1610612744.0,GSW,step back,,,Kuminga,J. Kuminga,,,,,19.45,Made,,,,,,,,,,4.0,C. Chiozza,1629185.0,1.0,,,,,,
201,PT07M58.00S,2022-03-22T23:43:20.5Z,2,REGULAR,timeout,full,['team'],0,,,1610612753,34,25,2022-03-22T23:43:20Z,2010000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT07M58.00S,2022-03-22T23:45:27.6Z,2,REGULAR,substitution,out,[],1629185,,,1610612753,34,25,2022-03-22T23:46:14Z,2020000,,,0,,SUB out: C. Chiozza,[1629185],1610612744.0,GSW,,,,Chiozza,C. Chiozza,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT07M58.00S,2022-03-22T23:45:27.6Z,2,REGULAR,substitution,out,[],202691,,,1610612753,34,25,2022-03-22T23:46:14Z,2030000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT07M58.00S,2022-03-22T23:45:27.6Z,2,REGULAR,substitution,in,[],1629673,,,1610612753,34,25,2022-03-22T23:46:14Z,2040000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT07M58.00S,2022-03-22T23:45:27.6Z,2,REGULAR,substitution,in,[],203952,,,1610612753,34,25,2022-03-22T23:46:14Z,2050000,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT07M46.00S,2022-03-22T23:46:15.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,6.258212877792378,45.09803921568628,1610612753,34,25,2022-03-22T23:46:20Z,2060000,25.0,6.0,1,left,MISS M. Fultz driving Layup,[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,2.53,Missed,,,,,,,,,,,,,,,,,,,
207,PT07M44.00S,2022-03-22T23:46:17.4Z,2,REGULAR,rebound,defensive,[],202357,,,1610612744,34,25,2022-03-22T23:46:20Z,2070000,,,0,,N. Bjelica REBOUND (Off:0 Def:2),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,206.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
208,PT07M31.00S,2022-03-22T23:46:36.5Z,2,REGULAR,timeout,full,['team'],0,,,1610612744,34,25,2022-03-22T23:46:36Z,2080000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M23.00S,2022-03-22T23:49:36.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,91.67214191852825,45.588235294117645,1610612744,34,27,2022-03-22T23:49:43Z,2090000,-22.0,26.0,1,right,J. Kuminga Layup (6 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,3.4,Made,,,,,,,,,,6.0,,,,,,,,,
211,PT07M04.00S,2022-03-22T23:49:55.3Z,2,REGULAR,3pt,Jump Shot,[],1629643,30.042706964520367,74.26470588235294,1610612753,34,27,2022-03-22T23:49:59Z,2100000,-121.0,230.0,1,left,MISS C. Okeke 25' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,25.99,Missed,,,,,,,,,,,,,,,,,,,
212,PT07M01.00S,2022-03-22T23:49:58.3Z,2,REGULAR,rebound,defensive,[],202357,,,1610612744,34,27,2022-03-22T23:49:59Z,2110000,,,0,,N. Bjelica REBOUND (Off:0 Def:3),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,211.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
213,PT06M56.00S,2022-03-22T23:50:03.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,67.36202365308804,36.27450980392157,1610612744,34,30,2022-03-22T23:51:46Z,2120000,-69.0,254.0,1,right,J. Poole 26' 3PT running pullup (3 PTS),[1629673],1610612744.0,GSW,running pullup,,,Poole,J. Poole,,,,,26.34,Made,,,,,,,,,,3.0,,,,,,,,,
214,PT06M40.00S,2022-03-22T23:50:19.4Z,2,REGULAR,3pt,Jump Shot,[],1629678,30.699737187910642,61.274509803921575,1610612753,34,30,2022-03-22T23:50:23Z,2130000,-56.0,236.0,1,left,MISS A. Schofield 24' 3PT,[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,24.27,Missed,,,,,,,,,,,,,,,,,,,
215,PT06M37.00S,2022-03-22T23:50:22.4Z,2,REGULAR,rebound,defensive,[],202357,,,1610612744,34,30,2022-03-22T23:50:23Z,2140000,,,0,,N. Bjelica REBOUND (Off:0 Def:4),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,214.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
216,PT06M31.00S,2022-03-22T23:50:31.5Z,2,REGULAR,foul,offensive,[],202357,,,1610612744,34,30,2022-03-22T23:50:42Z,2150000,,,0,,N. Bjelica off-the-ball offensive FOUL (1 PF),"[202357, 203914]",1610612744.0,GSW,off-the-ball,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Harris,203914.0,
218,PT06M31.00S,2022-03-22T23:50:31.5Z,2,REGULAR,turnover,offensive foul,[],202357,,,1610612744,34,30,2022-03-22T23:50:31Z,2170000,,,0,,N. Bjelica offensive foul TURNOVER (2 TO),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,2.0,,,,,,,,,1627962.0,,,,,
219,PT06M20.00S,2022-03-22T23:50:53.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628365,17.16491458607096,58.08823529411765,1610612753,34,30,2022-03-22T23:51:01Z,2180000,-40.0,109.0,1,left,MISS M. Fultz 11' driving Layup,[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,11.62,Missed,,,,,,,,,,,,,,,,,,,
220,PT06M16.00S,2022-03-22T23:50:57.2Z,2,REGULAR,rebound,defensive,[],1630228,,,1610612744,34,30,2022-03-22T23:51:01Z,2190000,,,0,,J. Kuminga REBOUND (Off:0 Def:2),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,219.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
221,PT06M03.00S,2022-03-22T23:51:10.1Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203952,87.59855453350855,43.872549019607845,1610612744,34,30,2022-03-22T23:51:15Z,2200000,-31.0,64.0,1,right,MISS A. Wiggins 7' turnaround Hook,[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,7.1,Missed,,,,,,,,,,,,,,,,,,,
222,PT05M59.00S,2022-03-22T23:51:14.1Z,2,REGULAR,rebound,defensive,[],1629021,,,1610612753,34,30,2022-03-22T23:51:15Z,2210000,,,0,,M. Wagner REBOUND (Off:0 Def:2),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,221.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
223,PT05M49.00S,2022-03-22T23:51:26.9Z,2,REGULAR,foul,personal,['2freethrow'],1627814,,,1610612753,34,30,2022-03-22T23:51:51Z,2220000,,,0,,D. Lee shooting personal FOUL (1 PF) (Wagner 2 FT),"[1627814, 1629021]",1610612744.0,GSW,shooting,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Wagner,1629021.0,
225,PT05M49.00S,2022-03-22T23:51:52.4Z,2,REGULAR,freethrow,1 of 2,[],1629021,,,1610612753,35,30,2022-03-22T23:51:52Z,2240000,,,0,,M. Wagner Free Throw 1 of 2 (1 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
226,PT05M49.00S,2022-03-22T23:51:53.3Z,2,REGULAR,substitution,out,[],202357,,,1610612753,35,30,2022-03-22T23:51:59Z,2250000,,,0,,SUB out: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT05M49.00S,2022-03-22T23:51:53.3Z,2,REGULAR,substitution,in,[],203110,,,1610612753,35,30,2022-03-22T23:51:59Z,2260000,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT05M49.00S,2022-03-22T23:52:18.6Z,2,REGULAR,freethrow,2 of 2,[],1629021,,,1610612753,36,30,2022-03-22T23:52:18Z,2270000,,,0,,M. Wagner Free Throw 2 of 2 (2 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
229,PT05M40.00S,2022-03-22T23:52:29.5Z,2,REGULAR,3pt,Jump Shot,[],1629673,66.17936925098554,48.03921568627451,1610612744,36,30,2022-03-22T23:52:34Z,2280000,-10.0,265.0,1,right,MISS J. Poole 26' pullup 3PT,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,26.56,Missed,,,,,,,,,,,,,,,,,,,
230,PT05M36.00S,2022-03-22T23:52:33.5Z,2,REGULAR,rebound,defensive,[],203914,,,1610612753,36,30,2022-03-22T23:52:34Z,2290000,,,0,,G. Harris REBOUND (Off:1 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,229.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
231,PT05M27.00S,2022-03-22T23:52:42.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629021,5.732588699080158,53.431372549019606,1610612753,38,30,2022-03-22T23:52:46Z,2300000,-17.0,1.0,1,left,M. Wagner driving Layup (4 PTS) (A. Schofield 1 AST),"[1629021, 1629678]",1610612753.0,ORL,driving,,,Wagner,M. Wagner,,,,,1.73,Made,,,,,,,,,,4.0,A. Schofield,1629678.0,1.0,,,,,,
233,PT05M13.00S,2022-03-22T23:52:59.2Z,2,REGULAR,foul,personal,['2freethrow'],1629021,,,1610612744,38,30,2022-03-22T23:53:18Z,2320000,,,0,,M. Wagner shooting personal FOUL (2 PF) (Poole 2 FT),"[1629021, 1629673]",1610612753.0,ORL,shooting,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,1627962.0,2.0,0.0,Poole,1629673.0,
235,PT05M13.00S,2022-03-22T23:53:27.4Z,2,REGULAR,freethrow,1 of 2,[],1629673,,,1610612744,38,31,2022-03-22T23:53:27Z,2340000,,,0,,J. Poole Free Throw 1 of 2 (4 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
236,PT05M13.00S,2022-03-22T23:53:28.6Z,2,REGULAR,substitution,out,[],1628365,,,1610612744,38,31,2022-03-22T23:53:37Z,2350000,,,0,,SUB out: M. Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT05M13.00S,2022-03-22T23:53:28.6Z,2,REGULAR,substitution,in,[],1630175,,,1610612744,38,31,2022-03-22T23:53:37Z,2360000,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT05M13.00S,2022-03-22T23:53:44.0Z,2,REGULAR,freethrow,2 of 2,[],1629673,,,1610612744,38,32,2022-03-22T23:53:44Z,2370000,,,0,,J. Poole Free Throw 2 of 2 (5 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,Made,,,,,,,,,,5.0,,,,,,,,,
239,PT05M01.00S,2022-03-22T23:53:57.0Z,2,REGULAR,3pt,Jump Shot,[],1629021,31.750985545335087,49.26470588235294,1610612753,38,32,2022-03-22T23:54:01Z,2380000,4.0,246.0,1,left,MISS M. Wagner 24' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,,
240,PT04M57.00S,2022-03-22T23:54:01.0Z,2,REGULAR,rebound,defensive,[],1630228,,,1610612744,38,32,2022-03-22T23:54:01Z,2390000,,,0,,J. Kuminga REBOUND (Off:0 Def:3),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,239.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
241,PT04M50.00S,2022-03-22T23:54:07.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630228,92.9862023653088,50.0,1610612744,38,34,2022-03-22T23:54:13Z,2400000,0.0,13.0,1,right,J. Kuminga driving DUNK (8 PTS),[1630228],1610612744.0,GSW,driving,,,Kuminga,J. Kuminga,,,,,1.34,Made,,,,,,,,,,8.0,,,,,,,,,
242,PT04M30.00S,2022-03-22T23:54:31.1Z,2,REGULAR,foul,personal,['2freethrow'],203952,,,1610612753,38,34,2022-03-22T23:54:49Z,2410000,,,0,,A. Wiggins shooting personal FOUL (2 PF) (Okeke 2 FT),"[203952, 1629643]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,1627962.0,2.0,0.0,Okeke,1629643.0,
244,PT04M30.00S,2022-03-22T23:55:02.3Z,2,REGULAR,freethrow,1 of 2,[],1629643,,,1610612753,38,34,2022-03-22T23:55:02Z,2430000,,,0,,MISS C. Okeke Free Throw 1 of 2,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,Missed,,,,,,,,,,,,,,,,,,,
245,PT04M30.00S,2022-03-22T23:55:02.3Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,38,34,2022-03-22T23:55:02Z,2440000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,244.0,,,,,,,,,,,,,,,,,,
246,PT04M30.00S,2022-03-22T23:55:04.1Z,2,REGULAR,substitution,out,[],203914,,,1610612753,38,34,2022-03-22T23:55:18Z,2450000,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT04M30.00S,2022-03-22T23:55:04.1Z,2,REGULAR,substitution,out,[],1629021,,,1610612753,38,34,2022-03-22T23:55:18Z,2460000,,,0,,SUB out: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT04M30.00S,2022-03-22T23:55:04.1Z,2,REGULAR,substitution,out,[],1629678,,,1610612753,38,34,2022-03-22T23:55:18Z,2470000,,,0,,SUB out: A. Schofield,[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT04M30.00S,2022-03-22T23:55:04.1Z,2,REGULAR,substitution,in,[],1630532,,,1610612753,38,34,2022-03-22T23:55:18Z,2480000,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT04M30.00S,2022-03-22T23:55:04.1Z,2,REGULAR,substitution,in,[],1628976,,,1610612753,38,34,2022-03-22T23:55:18Z,2490000,,,0,,SUB in: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT04M30.00S,2022-03-22T23:55:04.1Z,2,REGULAR,substitution,in,[],1630181,,,1610612753,38,34,2022-03-22T23:55:18Z,2500000,,,0,,SUB in: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT04M30.00S,2022-03-22T23:55:30.5Z,2,REGULAR,freethrow,2 of 2,[],1629643,,,1610612753,39,34,2022-03-22T23:55:30Z,2510000,,,0,,C. Okeke Free Throw 2 of 2 (3 PTS),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
253,PT04M20.00S,2022-03-22T23:55:42.5Z,2,REGULAR,turnover,bad pass,[],203110,,,1610612744,39,34,2022-03-22T23:55:55Z,2520000,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1630181]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,1.0,Hampton,1630181.0,,,,,,,,,,,,
254,PT04M20.00S,2022-03-22T23:55:42.5Z,2,REGULAR,steal,,[],1630181,,,1610612753,39,34,2022-03-22T23:57:34Z,2530000,,,0,,R. Hampton STEAL (2 STL),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT03M59.00S,2022-03-22T23:56:03.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630181,11.645860709592641,38.48039215686275,1610612753,39,34,2022-03-22T23:56:07Z,2540000,58.0,57.0,1,left,MISS R. Hampton 8' pullup Shot,[1630181],1610612753.0,ORL,pullup,,,Hampton,R. Hampton,,,,,8.1,Missed,,,,,,,,,,,,,,,,,,,
256,PT03M57.00S,2022-03-22T23:56:05.5Z,2,REGULAR,rebound,defensive,[],1630228,,,1610612744,39,34,2022-03-22T23:56:07Z,2550000,,,0,,J. Kuminga REBOUND (Off:0 Def:4),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,255.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
257,PT03M50.00S,2022-03-22T23:56:14.9Z,2,REGULAR,foul,personal,[],1630181,,,1610612744,39,34,2022-03-22T23:56:20Z,2560000,,,0,,R. Hampton personal FOUL (2 PF),"[1630181, 1630228]",1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,1627962.0,2.0,0.0,Kuminga,1630228.0,
259,PT03M50.00S,2022-03-22T23:56:28.0Z,2,REGULAR,substitution,out,[],1629643,,,1610612744,39,34,2022-03-22T23:56:34Z,2580000,,,0,,SUB out: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT03M50.00S,2022-03-22T23:56:28.0Z,2,REGULAR,substitution,in,[],1628964,,,1610612744,39,34,2022-03-22T23:56:34Z,2590000,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT03M38.00S,2022-03-22T23:56:55.7Z,2,REGULAR,3pt,Jump Shot,[],1629673,68.28186596583443,73.0392156862745,1610612744,39,34,2022-03-22T23:57:01Z,2600000,115.0,246.0,1,right,MISS J. Poole 27' step back 3PT - blocked,"[1629673, 1628964]",1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,27.14,Missed,,,,,,,,Bamba,1628964.0,,,,,,,,,,
262,PT03M38.00S,2022-03-22T23:56:55.7Z,2,REGULAR,block,,[],1628964,,,1610612744,39,34,2022-03-22T23:56:59Z,2610000,,,0,,M. Bamba BLOCK (2 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT03M33.00S,2022-03-22T23:57:00.7Z,2,REGULAR,rebound,defensive,[],1630175,,,1610612753,39,34,2022-03-22T23:57:01Z,2620000,,,0,,C. Anthony REBOUND (Off:0 Def:3),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,261.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
264,PT03M20.00S,2022-03-22T23:57:13.2Z,2,REGULAR,3pt,Jump Shot,[],1630175,32.14520367936925,22.30392156862745,1610612753,39,34,2022-03-22T23:57:30Z,2630000,138.0,250.0,1,left,MISS C. Anthony 28' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,28.55,Missed,,,,,,,,,,,,,,,,,,,
