actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
169,PT00M00.00S,2022-11-08T00:27:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,13.61695137976347,45.83333333333333,1610612766,18,26,2022-11-08T00:27:57Z,1600000,21.0,75.0,1,left,MISS T. Rozier 7' driving floating Shot,[1626179],1610612766.0,CHA,driving floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,7.83,Missed,,,,,,,,,,,,,,,,,,
170,PT00M00.00S,2022-11-08T00:27:54.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,18,26,2022-11-08T00:27:54Z,1610000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,169.0,,,,,,,,,,,,,
171,PT00M00.00S,2022-11-08T00:27:56.3Z,1,REGULAR,period,end,[],0,,,1610612766,18,26,2022-11-08T00:27:56Z,1620000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2022-11-08T00:28:05.7Z,2,REGULAR,substitution,out,['startperiod'],203115,,,1610612766,18,26,2022-11-08T00:30:30Z,1630000,,,0,,SUB out: W. Barton,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-11-08T00:28:05.7Z,2,REGULAR,substitution,out,['startperiod'],1630692,,,1610612766,18,26,2022-11-08T00:30:30Z,1640000,,,0,,SUB out: J. Goodwin,[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-11-08T00:28:05.7Z,2,REGULAR,substitution,in,['startperiod'],1630557,,,1610612766,18,26,2022-11-08T00:30:30Z,1650000,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2022-11-08T00:28:05.7Z,2,REGULAR,substitution,in,['startperiod'],1628420,,,1610612766,18,26,2022-11-08T00:30:30Z,1660000,,,0,,SUB in: M. Morris,[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2022-11-08T00:30:36.5Z,2,REGULAR,period,start,[],0,,,1610612766,18,26,2022-11-08T00:30:36Z,1670000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT11M52.00S,2022-11-08T00:30:48.1Z,2,REGULAR,turnover,traveling,[],1630547,,,1610612766,18,26,2022-11-08T00:30:56Z,1680000,,,0,,J. Bouknight traveling TURNOVER (1 TO),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,,,,,203054.0,,,,
178,PT11M39.00S,2022-11-08T00:31:14.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630557,86.15308804204993,57.107843137254896,1610612764,18,28,2022-11-08T00:31:26Z,1690000,36.0,78.0,1,right,C. Kispert 8' driving floating Jump Shot (5 PTS) (T. Gibson 2 AST),"[1630557, 201959]",1610612764.0,WAS,driving floating,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Center,8.54,Made,5.0,T. Gibson,201959.0,2.0,,,,,,,,,,,,,,
179,PT11M39.00S,2022-11-08T00:31:33.0Z,2,REGULAR,foul,personal,['1freethrow'],1630547,,,1610612764,18,28,2022-11-08T00:31:41Z,1700000,,,0,,J. Bouknight shooting personal FOUL (1 PF) (Kispert 1 FT),"[1630547, 1630557]",1610612766.0,CHA,shooting,,,Bouknight,J. Bouknight,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,203054.0,1.0,0.0,Kispert,1630557.0
182,PT11M39.00S,2022-11-08T00:31:44.5Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1630557,,,1610612764,18,29,2022-11-08T00:31:44Z,1720000,,,0,,C. Kispert Free Throw 1 of 1 (6 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
183,PT11M24.00S,2022-11-08T00:31:51.9Z,2,REGULAR,3pt,Jump Shot,[],1626179,28.86005256241787,21.07843137254902,1610612766,18,29,2022-11-08T00:32:40Z,1730000,145.0,219.0,1,left,MISS T. Rozier 26' step back 3PT,[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,26.23,Missed,,,,,,,,,,,,,,,,,,
184,PT11M20.00S,2022-11-08T00:31:55.9Z,2,REGULAR,rebound,defensive,[],1628398,,,1610612764,18,29,2022-11-08T00:31:58Z,1740000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,,183.0,2.0,2.0,0.0,,,,,,,,,,
185,PT11M05.00S,2022-11-08T00:32:10.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629060,84.57621550591328,50.73529411764706,1610612764,18,29,2022-11-08T00:33:11Z,1750000,4.0,92.0,1,right,MISS R. Hachimura 9' turnaround fadeaway Shot,[1629060],1610612764.0,WAS,turnaround fadeaway,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,9.26,Missed,,,,,,,,,,,,,,,,,,
186,PT11M02.00S,2022-11-08T00:32:13.6Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612766,18,29,2022-11-08T00:32:17Z,1760000,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,185.0,2.0,1.0,1.0,,,,,,,,,,
187,PT10M54.00S,2022-11-08T00:32:27.1Z,2,REGULAR,foul,personal,[],201959,,,1610612766,18,29,2022-11-08T00:32:35Z,1770000,,,0,,T. Gibson personal FOUL (1 PF),"[201959, 1630208]",1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Richards,1630208.0
189,PT10M51.00S,2022-11-08T00:32:49.8Z,2,REGULAR,turnover,out-of-bounds,[],1630550,,,1610612766,18,29,2022-11-08T00:32:56Z,1790000,,,0,,J. Thor bad pass out-of-bounds TURNOVER (1 TO),[1630550],1610612766.0,CHA,bad pass,,,Thor,J. Thor,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,1628953.0,,,,
190,PT10M41.00S,2022-11-08T00:33:05.3Z,2,REGULAR,foul,personal,['3freethrow'],1630550,,,1610612764,18,29,2022-11-08T00:33:24Z,1800000,,,0,,J. Thor shooting personal FOUL (1 PF) (Kuzma 3 FT),"[1630550, 1628398]",1610612766.0,CHA,shooting,,,Thor,J. Thor,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,203054.0,1.0,0.0,Kuzma,1628398.0
192,PT10M41.00S,2022-11-08T00:33:32.9Z,2,REGULAR,freethrow,1 of 3,['fromturnover'],1628398,,,1610612764,18,29,2022-11-08T00:33:32Z,1820000,,,0,,MISS K. Kuzma Free Throw 1 of 3,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
193,PT10M41.00S,2022-11-08T00:33:32.9Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,18,29,2022-11-08T00:33:32Z,1830000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,192.0,,,,,,,,,,,,,
194,PT10M41.00S,2022-11-08T00:33:49.1Z,2,REGULAR,freethrow,2 of 3,['fromturnover'],1628398,,,1610612764,18,29,2022-11-08T00:33:49Z,1840000,,,0,,MISS K. Kuzma Free Throw 2 of 3,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
195,PT10M41.00S,2022-11-08T00:33:49.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,18,29,2022-11-08T00:33:49Z,1850000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,194.0,,,,,,,,,,,,,
196,PT10M41.00S,2022-11-08T00:34:05.9Z,2,REGULAR,freethrow,3 of 3,['fromturnover'],1628398,,,1610612764,18,30,2022-11-08T00:34:05Z,1860000,,,0,,K. Kuzma Free Throw 3 of 3 (5 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
197,PT10M24.00S,2022-11-08T00:34:24.6Z,2,REGULAR,turnover,bad pass,[],1629667,,,1610612766,18,30,2022-11-08T00:34:31Z,1870000,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1629667, 201959]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Gibson,201959.0,,,,,,,
198,PT10M24.00S,2022-11-08T00:34:24.6Z,2,REGULAR,steal,,[],201959,,,1610612764,18,30,2022-11-08T00:34:27Z,1880000,,,0,,T. Gibson STEAL (1 STL),[201959],1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
199,PT10M08.00S,2022-11-08T00:34:40.6Z,2,REGULAR,turnover,lost ball,[],1629060,,,1610612764,18,30,2022-11-08T00:35:29Z,1890000,,,0,,R. Hachimura lost ball TURNOVER (1 TO),"[1629060, 1629667]",1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1.0,McDaniels,1629667.0,,,,,,,
200,PT10M08.00S,2022-11-08T00:34:40.6Z,2,REGULAR,steal,,[],1629667,,,1610612766,18,30,2022-11-08T00:34:42Z,1900000,,,0,,J. McDaniels STEAL (2 STL),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
201,PT10M04.00S,2022-11-08T00:34:44.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629667,5.469776609724048,48.03921568627451,1610612766,20,30,2022-11-08T00:34:50Z,1910000,10.0,-1.0,1,left,J. McDaniels running Layup (2 PTS) (J. Thor 1 AST),"[1629667, 1630550]",1610612766.0,CHA,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,0.99,Made,2.0,J. Thor,1630550.0,1.0,,,,,,,,,,,,,,
203,PT10M04.00S,2022-11-08T00:34:56.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,20,30,2022-11-08T00:34:56Z,1930000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT09M54.00S,2022-11-08T00:37:49.5Z,2,REGULAR,turnover,bad pass,[],201959,,,1610612764,20,30,2022-11-08T00:37:57Z,1940000,,,0,,T. Gibson bad pass TURNOVER (1 TO),"[201959, 1629667]",1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,McDaniels,1629667.0,,,,,,,
205,PT09M54.00S,2022-11-08T00:37:49.5Z,2,REGULAR,steal,,[],1629667,,,1610612766,20,30,2022-11-08T00:37:51Z,1950000,,,0,,J. McDaniels STEAL (3 STL),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
206,PT09M43.00S,2022-11-08T00:37:59.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630547,6.652431011826544,49.26470588235294,1610612766,22,30,2022-11-08T00:38:04Z,1960000,4.0,10.0,1,left,J. Bouknight driving DUNK (3 PTS) (J. McDaniels 1 AST),"[1630547, 1629667]",1610612766.0,CHA,driving,,,Bouknight,J. Bouknight,,,,,Restricted Area,0-8 Center,1.07,Made,3.0,J. McDaniels,1629667.0,1.0,,,,,,,,,,,,,,
208,PT09M20.00S,2022-11-08T00:38:23.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,92.46057818659659,53.67647058823529,1610612764,22,30,2022-11-08T00:38:29Z,1980000,18.0,18.0,1,right,MISS K. Kuzma driving Layup,[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,2.6,Missed,,,,,,,,,,,,,,,,,,
209,PT09M18.00S,2022-11-08T00:38:25.1Z,2,REGULAR,rebound,offensive,[],1628420,,,1610612764,22,30,2022-11-08T00:38:29Z,1990000,,,0,,M. Morris REBOUND (Off:1 Def:1),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Restricted Area,0-8 Center,,,,,,,208.0,2.0,1.0,1.0,,,,,,,,,,
210,PT09M09.00S,2022-11-08T00:38:34.7Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],201959,76.42904073587385,39.705882352941174,1610612764,22,30,2022-11-08T00:38:40Z,2000000,-51.0,169.0,1,right,MISS T. Gibson 17' pullup Shot,[201959],1610612764.0,WAS,pullup,,,Gibson,T. Gibson,,,,,Mid-Range,16-24 Center,17.68,Missed,,,,,,,,,,,,,,,,,,
211,PT09M05.00S,2022-11-08T00:38:38.7Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612766,22,30,2022-11-08T00:38:40Z,2010000,,,0,,N. Richards REBOUND (Off:1 Def:2),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,16-24 Center,,,,,,,210.0,3.0,2.0,1.0,,,,,,,,,,
212,PT09M03.00S,2022-11-08T00:39:00.1Z,2,REGULAR,foul,personal,[],1630557,,,1610612766,22,30,2022-11-08T00:39:06Z,2020000,,,0,,C. Kispert personal FOUL (2 PF),"[1630557, 1629667]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,203054.0,2.0,0.0,McDaniels,1629667.0
214,PT09M03.00S,2022-11-08T00:39:06.5Z,2,REGULAR,substitution,out,[],1629060,,,1610612766,22,30,2022-11-08T00:39:20Z,2040000,,,0,,SUB out: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT09M03.00S,2022-11-08T00:39:06.5Z,2,REGULAR,substitution,out,[],1628398,,,1610612766,22,30,2022-11-08T00:39:20Z,2050000,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT09M03.00S,2022-11-08T00:39:06.5Z,2,REGULAR,substitution,in,[],203115,,,1610612766,22,30,2022-11-08T00:39:20Z,2060000,,,0,,SUB in: W. Barton,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT09M03.00S,2022-11-08T00:39:06.5Z,2,REGULAR,substitution,in,[],1630166,,,1610612766,22,30,2022-11-08T00:39:20Z,2070000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT08M52.00S,2022-11-08T00:39:35.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,6.521024967148489,49.754901960784316,1610612766,22,30,2022-11-08T00:39:41Z,2080000,1.0,9.0,1,left,MISS N. Richards driving DUNK,[1630208],1610612766.0,CHA,driving,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,0.89,Missed,,,,,,,,,,,,,,,,,,
219,PT08M49.00S,2022-11-08T00:39:38.4Z,2,REGULAR,rebound,defensive,[],203115,,,1610612764,22,30,2022-11-08T00:39:41Z,2090000,,,0,,W. Barton REBOUND (Off:0 Def:2),[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,Restricted Area,0-8 Center,,,,,,,218.0,2.0,2.0,0.0,,,,,,,,,,
220,PT08M43.00S,2022-11-08T00:39:44.2Z,2,REGULAR,3pt,Jump Shot,[],203115,69.07030223390277,25.0,1610612764,22,30,2022-11-08T00:40:07Z,2100000,-125.0,238.0,1,right,MISS W. Barton 26' 3PT,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,Above the Break 3,24+ Left Center,26.9,Missed,,,,,,,,,,,,,,,,,,
221,PT08M39.00S,2022-11-08T00:39:48.2Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612766,22,30,2022-11-08T00:39:53Z,2110000,,,0,,N. Richards REBOUND (Off:1 Def:3),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,,,,,220.0,4.0,3.0,1.0,,,,,,,,,,
222,PT08M34.00S,2022-11-08T00:39:53.2Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626179,7.835085413929041,50.245098039215684,1610612766,24,30,2022-11-08T00:40:22Z,2120000,-1.0,21.0,1,left,T. Rozier running finger roll Layup (4 PTS),[1626179],1610612766.0,CHA,running finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,2.11,Made,4.0,,,,,,,,,,,,,,,,,
223,PT08M18.00S,2022-11-08T00:40:10.2Z,2,REGULAR,2pt,Jump Shot,[],1628420,80.50262812089356,73.0392156862745,1610612764,24,30,2022-11-08T00:40:14Z,2130000,115.0,131.0,1,right,MISS M. Morris 17' fadeaway Shot,[1628420],1610612764.0,WAS,fadeaway,,,Morris,M. Morris,,,,,Mid-Range,16-24 Right Center,17.43,Missed,,,,,,,,,,,,,,,,,,
224,PT08M15.00S,2022-11-08T00:40:13.2Z,2,REGULAR,rebound,defensive,[],1629667,,,1610612766,24,30,2022-11-08T00:40:14Z,2140000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Right Center,,,,,,,223.0,1.0,1.0,0.0,,,,,,,,,,
226,PT08M09.00S,2022-11-08T00:40:24.1Z,2,REGULAR,substitution,out,[],201959,,,1610612766,24,30,2022-11-08T00:40:30Z,2160000,,,0,,SUB out: T. Gibson,[201959],1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M09.00S,2022-11-08T00:40:24.1Z,2,REGULAR,substitution,in,[],204001,,,1610612766,24,30,2022-11-08T00:40:30Z,2170000,,,0,,SUB in: K. Porzingis,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M55.00S,2022-11-08T00:40:48.3Z,2,REGULAR,3pt,Jump Shot,[],1630550,28.597240473061763,74.75490196078431,1610612766,24,30,2022-11-08T00:40:53Z,2180000,-124.0,216.0,1,left,MISS J. Thor 24' 3PT,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,Above the Break 3,24+ Left Center,24.92,Missed,,,,,,,,,,,,,,,,,,
229,PT07M53.00S,2022-11-08T00:40:50.5Z,2,REGULAR,rebound,offensive,[],1630208,,,1610612766,24,30,2022-11-08T00:40:50Z,2190000,,,0,,N. Richards REBOUND (Off:2 Def:3),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,,,,,228.0,5.0,3.0,2.0,,,,,,,,,,
230,PT07M46.00S,2022-11-08T00:41:04.1Z,2,REGULAR,foul,personal,[],1628420,,,1610612766,24,30,2022-11-08T02:46:32Z,2200000,,,0,,M. Morris personal FOUL (1 PF),"[1628420, 1629667]",1610612764.0,WAS,,,,Morris,M. Morris,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,2714.0,1.0,0.0,McDaniels,1629667.0
232,PT07M30.00S,2022-11-08T00:41:38.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626179,6.915243101182654,45.83333333333333,1610612766,26,30,2022-11-08T00:41:43Z,2220000,21.0,13.0,1,left,T. Rozier driving Layup (6 PTS),[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,2.43,Made,6.0,,,,,,,,,,,,,,,,,
233,PT07M17.00S,2022-11-08T00:41:52.6Z,2,REGULAR,3pt,Jump Shot,[],203115,66.96780551905388,57.84313725490197,1610612764,26,30,2022-11-08T00:42:28Z,2230000,39.0,258.0,1,right,MISS W. Barton 26' pullup 3PT,[203115],1610612764.0,WAS,pullup,,,Barton,W. Barton,,,,,Above the Break 3,24+ Center,26.1,Missed,,,,,,,,,,,,,,,,,,
234,PT07M14.00S,2022-11-08T00:41:55.6Z,2,REGULAR,rebound,offensive,[],204001,,,1610612764,26,30,2022-11-08T00:50:10Z,2240000,,,0,,K. Porzingis REBOUND (Off:1 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,,,,,233.0,3.0,2.0,1.0,,,,,,,,,,
236,PT07M08.00S,2022-11-08T00:42:14.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],204001,73.66951379763469,84.31372549019608,1610612764,26,30,2022-11-08T00:42:19Z,2260000,172.0,195.0,1,right,MISS K. Porzingis 25' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,25.98,Missed,,,,,,,,,,,,,,,,,,
237,PT07M05.00S,2022-11-08T00:42:17.9Z,2,REGULAR,rebound,defensive,[],1629667,,,1610612766,26,30,2022-11-08T00:42:19Z,2270000,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,,,,236.0,2.0,2.0,0.0,,,,,,,,,,
238,PT06M53.00S,2022-11-08T00:42:30.3Z,2,REGULAR,3pt,Jump Shot,[],1626179,31.225361366622867,64.95098039215686,1610612766,26,30,2022-11-08T00:42:34Z,2280000,-75.0,241.0,1,left,MISS T. Rozier 25' pullup 3PT,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Center,25.23,Missed,,,,,,,,,,,,,,,,,,
239,PT06M50.00S,2022-11-08T00:42:33.3Z,2,REGULAR,rebound,defensive,[],1628420,,,1610612764,26,30,2022-11-08T00:42:34Z,2290000,,,0,,M. Morris REBOUND (Off:1 Def:2),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Center,,,,,,,238.0,3.0,2.0,1.0,,,,,,,,,,
240,PT06M48.00S,2022-11-08T00:42:42.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628420,90.22667542706965,52.94117647058824,1610612764,26,30,2022-11-08T00:43:34Z,2300000,15.0,39.0,1,right,MISS M. Morris running Layup - blocked,"[1628420, 1629667]",1610612764.0,WAS,running,,,Morris,M. Morris,,,,,Restricted Area,0-8 Center,4.21,Missed,,,,,,,,,,,,McDaniels,1629667.0,,,,,
241,PT06M48.00S,2022-11-08T00:42:42.1Z,2,REGULAR,block,,[],1629667,,,1610612764,26,30,2022-11-08T00:42:47Z,2310000,,,0,,J. McDaniels BLOCK (2 BLK),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
245,PT06M48.00S,2022-11-08T00:42:42.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612766,26,30,2022-11-08T00:45:28Z,2320000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,240.0,,,,,,,,,,,,,
246,PT06M48.00S,2022-11-08T00:43:38.7Z,2,REGULAR,substitution,out,[],1630547,,,1610612766,26,30,2022-11-08T00:43:57Z,2325000,,,0,,SUB out: J. Bouknight,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M48.00S,2022-11-08T00:43:38.7Z,2,REGULAR,substitution,out,[],1626179,,,1610612766,26,30,2022-11-08T00:43:57Z,2327500,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT06M48.00S,2022-11-08T00:43:38.7Z,2,REGULAR,substitution,out,[],1630557,,,1610612766,26,30,2022-11-08T00:43:57Z,2328750,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT06M48.00S,2022-11-08T00:43:38.7Z,2,REGULAR,substitution,in,[],1628372,,,1610612766,26,30,2022-11-08T00:43:57Z,2329375,,,0,,SUB in: D. Smith Jr.,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT06M48.00S,2022-11-08T00:43:38.7Z,2,REGULAR,substitution,in,[],1630177,,,1610612766,26,30,2022-11-08T00:43:57Z,2329687,,,0,,SUB in: T. Maledon,[1630177],1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M48.00S,2022-11-08T00:43:38.7Z,2,REGULAR,substitution,in,[],1630692,,,1610612766,26,30,2022-11-08T00:43:57Z,2329843,,,0,,SUB in: J. Goodwin,[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M48.00S,2022-11-08T00:43:39.1Z,2,REGULAR,jumpball,recovered,[],1628372,,,1610612766,26,30,2022-11-08T01:12:50Z,2330000,,,0,,Jump Ball J. McDaniels vs. M. Morris: Tip to D. Smith Jr.,"[1628372, 1629667, 1628420]",1610612766.0,CHA,heldball,D. Smith Jr.,1628372.0,Smith Jr.,D. Smith Jr.,McDaniels,1629667.0,Morris,1628420.0,,,,,,,,,,,,,,,,,,,,,,
252,PT06M27.00S,2022-11-08T00:44:00.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,8.623521681997373,48.03921568627451,1610612766,28,30,2022-11-08T00:44:20Z,2420000,10.0,29.0,1,left,N. Richards Layup (6 PTS) (J. Thor 2 AST),"[1630208, 1630550]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,3.02,Made,6.0,J. Thor,1630550.0,2.0,,,,,,,,,,,,,,
