actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
343,PT09M57.00S,2023-12-17T21:25:30.1Z,3,REGULAR,steal,,[],1630591,,,1610612753,64,54,2023-12-17T21:25:32Z,3280000,False,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
344,PT09M54.00S,2023-12-17T21:25:32.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630591,93.9060446780552,50.49019607843137,1610612753,64,56,2023-12-17T21:25:44Z,3290000,False,2.0,5.0,1,right,J. Suggs running Layup (11 PTS),[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,0.54,Made,,,,,,,11.0,,,,,,,,,,,
345,PT09M38.00S,2023-12-17T21:25:50.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,8.492115637319317,46.81372549019608,1610612738,64,56,2023-12-17T21:25:54Z,3300000,False,16.0,27.0,1,left,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.16,Missed,,,,,,,,,,,,,,,,,,
346,PT09M36.00S,2023-12-17T21:25:52.0Z,3,REGULAR,rebound,defensive,[],1631094,,,1610612753,64,56,2023-12-17T21:25:54Z,3310000,False,,,0,,P. Banchero REBOUND (Off:0 Def:7),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,345.0,7.0,7.0,0.0,,,,,,,,,,,,,,
347,PT09M19.00S,2023-12-17T21:26:08.1Z,3,REGULAR,2pt,Jump Shot,[],1630532,76.95466491458606,63.48039215686274,1610612753,64,56,2023-12-17T21:28:32Z,3320000,False,67.0,164.0,1,right,MISS F. Wagner 17' step back Shot,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Right Center,17.74,Missed,,,,,,,,,,,,,,,,,,
348,PT09M15.00S,2023-12-17T21:26:12.1Z,3,REGULAR,rebound,defensive,[],204001,,,1610612738,64,56,2023-12-17T21:26:15Z,3330000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:7),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Right Center,,,347.0,7.0,7.0,0.0,,,,,,,,,,,,,,
349,PT09M10.00S,2023-12-17T21:26:16.8Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,13.61695137976347,5.147058823529411,1610612738,67,56,2023-12-17T21:30:23Z,3340000,False,224.0,75.0,1,left,J. Brown 3PT running (14 PTS) (D. White 4 AST),"[1627759, 1628401]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,23.67,Made,,,,,,,14.0,,,,,D. White,1628401.0,4.0,,,,
351,PT08M53.00S,2023-12-17T21:26:35.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,82.07950065703022,35.294117647058826,1610612753,67,56,2023-12-17T21:30:37Z,3360000,False,-74.0,116.0,1,right,MISS P. Banchero 13' turnaround Shot - blocked,"[1631094, 1628401]",1610612753.0,ORL,turnaround,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Left,13.73,Missed,,,,,White,1628401.0,,,,,,,,,,,,
352,PT08M53.00S,2023-12-17T21:26:35.0Z,3,REGULAR,block,,[],1628401,,,1610612753,67,56,2023-12-17T21:26:36Z,3370000,False,,,0,,D. White BLOCK (3 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
353,PT08M50.00S,2023-12-17T21:26:38.0Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,67,56,2023-12-17T21:35:30Z,3380000,False,,,0,,J. Brown REBOUND (Off:1 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Left,,,351.0,5.0,4.0,1.0,,,,,,,,,,,,,,
354,PT08M47.00S,2023-12-17T21:26:40.7Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,9.411957950065702,96.56862745098039,1610612738,67,56,2023-12-17T21:32:39Z,3390000,False,-233.0,36.0,1,left,MISS J. Brown running 3PT,[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,23.56,Missed,,,,,,,,,,,,,,,,,,
355,PT08M44.00S,2023-12-17T21:26:43.7Z,3,REGULAR,rebound,defensive,[],1630532,,,1610612753,67,56,2023-12-17T21:26:54Z,3400000,False,,,0,,F. Wagner REBOUND (Off:2 Def:4),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Left Corner 3,24+ Left,,,354.0,6.0,4.0,2.0,,,,,,,,,,,,,,
356,PT08M34.00S,2023-12-17T21:26:53.0Z,3,REGULAR,3pt,Jump Shot,[],1630591,76.69185282522996,88.23529411764706,1610612753,67,56,2023-12-17T21:26:58Z,3410000,False,191.0,167.0,1,right,MISS J. Suggs 25' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,25.36,Missed,,,,,,,,,,,,,,,,,,
357,PT08M32.00S,2023-12-17T21:26:55.0Z,3,REGULAR,rebound,defensive,[],1628401,,,1610612738,67,56,2023-12-17T21:26:58Z,3420000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,356.0,2.0,2.0,0.0,,,,,,,,,,,,,,
358,PT08M22.00S,2023-12-17T21:27:05.3Z,3,REGULAR,turnover,bad pass,[],204001,,,1610612738,67,56,2023-12-17T21:27:10Z,3430000,False,,,0,,K. Porzingis bad pass TURNOVER (4 TO),"[204001, 1641710]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,4.0,Black,1641710.0,,,,,,,
359,PT08M22.00S,2023-12-17T21:27:05.3Z,3,REGULAR,steal,,[],1641710,,,1610612753,67,56,2023-12-17T21:27:06Z,3440000,False,,,0,,A. Black STEAL (1 STL),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
368,PT08M20.00S,2023-12-17T21:27:09.1Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641710,92.9862023653088,52.450980392156865,1610612753,67,58,2023-12-17T21:39:17Z,3445000,False,12.0,13.0,1,right,A. Black running Layup (5 PTS),[1641710],1610612753.0,ORL,running,,,Black,A. Black,,,,,Restricted Area,0-8 Center,1.82,Made,,,,,,,5.0,,,,,,,,,,,
360,PT08M20.00S,2023-12-17T21:27:12.9Z,3,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612753,67,58,2023-12-17T21:28:45Z,3450000,False,,,0,,J. Brown shooting personal FOUL (2 PF) (Black 1 FT),"[1627759, 1641710]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,201639.0,,,,,,,2.0,0.0,Black,1641710.0
362,PT08M20.00S,2023-12-17T21:27:54.4Z,3,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1641710,,,1610612753,67,58,2023-12-17T21:27:54Z,3470000,False,,,0,,MISS A. Black Free Throw 1 of 1,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
363,PT08M17.00S,2023-12-17T21:27:57.4Z,3,REGULAR,rebound,offensive,[],1629048,,,1610612753,67,58,2023-12-17T21:27:57Z,3480000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:3),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,362.0,4.0,3.0,1.0,,,,,,,,,,,,,,
364,PT08M17.00S,2023-12-17T21:27:57.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629048,94.40999984741211,50.0,1610612753,67,58,2023-12-17T21:27:57Z,3490000,False,0.0,0.0,1,right,MISS G. Bitadze tip Layup,[1629048],1610612753.0,ORL,tip,,,Bitadze,G. Bitadze,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
365,PT08M16.00S,2023-12-17T21:27:58.0Z,3,REGULAR,rebound,defensive,[],1628401,,,1610612738,67,58,2023-12-17T21:27:58Z,3500000,False,,,0,,D. White REBOUND (Off:0 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Left,,,364.0,3.0,3.0,0.0,,,,,,,,,,,,,,
366,PT07M59.00S,2023-12-17T21:28:14.6Z,3,REGULAR,2pt,Jump Shot,[],1628369,12.171484888304862,79.16666666666666,1610612738,67,58,2023-12-17T21:28:57Z,3510000,False,-146.0,62.0,1,left,MISS J. Tatum 15' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,15.84,Missed,,,,,,,,,,,,,,,,,,
367,PT07M58.00S,2023-12-17T21:28:16.6Z,3,REGULAR,rebound,defensive,[],1631094,,,1610612753,67,58,2023-12-17T21:28:16Z,3520000,False,,,0,,P. Banchero REBOUND (Off:0 Def:8),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,,,366.0,8.0,8.0,0.0,,,,,,,,,,,,,,
369,PT07M51.00S,2023-12-17T21:28:23.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,94.56307490144546,45.34313725490196,1610612753,67,58,2023-12-17T21:29:00Z,3530000,False,-23.0,-1.0,1,right,MISS P. Banchero driving Layup - blocked,"[1631094, 204001]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.33,Missed,,,,,Porzingis,204001.0,,,,,,,,,,,,
370,PT07M51.00S,2023-12-17T21:28:23.3Z,3,REGULAR,block,,[],204001,,,1610612753,67,58,2023-12-17T21:28:25Z,3540000,False,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
371,PT07M48.00S,2023-12-17T21:28:26.3Z,3,REGULAR,rebound,offensive,[],1641710,,,1610612753,67,58,2023-12-17T21:29:00Z,3550000,False,,,0,,A. Black REBOUND (Off:1 Def:0),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Restricted Area,0-8 Center,,,369.0,1.0,0.0,1.0,,,,,,,,,,,,,,
372,PT07M48.00S,2023-12-17T21:28:28.8Z,3,REGULAR,turnover,out-of-bounds,[],1630591,,,1610612753,67,58,2023-12-17T21:29:06Z,3560000,False,,,0,,J. Suggs step out-of-bounds TURNOVER (2 TO),[1630591],1610612753.0,ORL,step,,,Suggs,J. Suggs,,,,,Right Corner 3,24+ Right,,,,,,,,,,201639.0,2.0,,,,,,,,,
373,PT07M48.00S,2023-12-17T21:28:39.0Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,67,58,2023-12-17T21:28:39Z,3570000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,PT07M33.00S,2023-12-17T21:31:46.4Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],201950,26.62614980289093,85.5392156862745,1610612738,67,58,2023-12-17T21:31:51Z,3580000,False,-178.0,198.0,1,left,MISS J. Holiday 26' step back 3PT,[201950],1610612738.0,BOS,step back,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,26.59,Missed,,,,,,,,,,,,,,,,,,
375,PT07M31.00S,2023-12-17T21:31:48.4Z,3,REGULAR,rebound,defensive,[],1630591,,,1610612753,67,58,2023-12-17T21:31:51Z,3590000,False,,,0,,J. Suggs REBOUND (Off:0 Def:2),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,374.0,2.0,2.0,0.0,,,,,,,,,,,,,,
376,PT07M15.00S,2023-12-17T21:32:04.8Z,3,REGULAR,2pt,Jump Shot,[],1631094,89.04402102496715,68.38235294117648,1610612753,67,60,2023-12-17T21:32:12Z,3600000,False,92.0,50.0,1,right,P. Banchero 10' turnaround fadeaway Jump Shot (28 PTS),[1631094],1610612753.0,ORL,turnaround fadeaway,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,10.49,Made,,,,,,,28.0,,,,,,,,,,,
377,PT07M05.00S,2023-12-17T21:32:19.1Z,3,REGULAR,foul,personal,[],1630532,,,1610612738,67,60,2023-12-17T21:33:21Z,3610000,False,,,0,,F. Wagner personal FOUL (2 PF),"[1630532, 204001]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,,201639.0,,,,,,,2.0,0.0,Porzingis,204001.0
379,PT06M55.00S,2023-12-17T21:32:45.3Z,3,REGULAR,2pt,Jump Shot,[],1627759,13.091327201051248,25.49019607843137,1610612738,67,60,2023-12-17T21:32:55Z,3630000,False,123.0,71.0,1,left,MISS J. Brown 14' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,14.14,Missed,,,,,,,,,,,,,,,,,,
380,PT06M52.00S,2023-12-17T21:32:48.3Z,3,REGULAR,rebound,defensive,[],1630591,,,1610612753,67,60,2023-12-17T21:32:55Z,3640000,False,,,0,,J. Suggs REBOUND (Off:0 Def:3),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Right,,,379.0,3.0,3.0,0.0,,,,,,,,,,,,,,
381,PT06M38.00S,2023-12-17T21:33:02.4Z,3,REGULAR,turnover,lost ball,[],1631094,,,1610612753,67,60,2023-12-17T21:33:07Z,3650000,False,,,0,,P. Banchero lost ball TURNOVER (3 TO),"[1631094, 1628401]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,3.0,White,1628401.0,,,,,,,
382,PT06M38.00S,2023-12-17T21:33:02.4Z,3,REGULAR,steal,,[],1628401,,,1610612738,67,60,2023-12-17T21:33:04Z,3660000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
383,PT06M33.00S,2023-12-17T21:33:06.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628401,7.703679369250986,50.245098039215684,1610612738,69,60,2023-12-17T21:33:13Z,3670000,False,-1.0,20.0,1,left,D. White running Layup (8 PTS),[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Restricted Area,0-8 Center,1.99,Made,,,,,,,8.0,,,,,,,,,,,
384,PT06M18.00S,2023-12-17T21:33:33.8Z,3,REGULAR,foul,personal,[],1627759,,,1610612753,69,60,2023-12-17T21:33:49Z,3680000,False,,,0,,J. Brown personal FOUL (3 PF),"[1627759, 1631094]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1627961.0,,,,,,,3.0,0.0,Banchero,1631094.0
387,PT06M10.00S,2023-12-17T21:33:56.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,92.85479632063075,50.0,1610612753,69,62,2023-12-17T21:34:00Z,3700000,False,0.0,15.0,1,right,F. Wagner driving Layup (6 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,,,6.0,,,,,,,,,,,
388,PT05M56.00S,2023-12-17T21:34:10.5Z,3,REGULAR,turnover,lost ball,[],1627759,,,1610612738,69,62,2023-12-17T21:34:14Z,3710000,False,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1629048]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,Bitadze,1629048.0,,,,,,,
389,PT05M56.00S,2023-12-17T21:34:10.5Z,3,REGULAR,steal,,[],1629048,,,1610612753,69,62,2023-12-17T21:34:12Z,3720000,False,,,0,,G. Bitadze STEAL (2 STL),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
390,PT05M53.00S,2023-12-17T21:34:14.9Z,3,REGULAR,foul,personal,['2freethrow'],204001,,,1610612753,69,62,2023-12-17T21:34:33Z,3730000,False,,,0,,K. Porzingis shooting personal FOUL (2 PF) (Suggs 2 FT),"[204001, 1630591]",1610612738.0,BOS,shooting,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,,,,202027.0,,,,,,,2.0,0.0,Suggs,1630591.0
392,PT05M53.00S,2023-12-17T21:34:45.4Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1630591,,,1610612753,69,63,2023-12-17T21:34:45Z,3750000,False,,,0,,J. Suggs Free Throw 1 of 2 (12 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Made,,,,,,,12.0,,,,,,,,,,,
393,PT05M53.00S,2023-12-17T21:34:47.5Z,3,REGULAR,substitution,out,[],1641710,,,1610612753,69,63,2023-12-17T21:34:55Z,3760000,False,,,0,,SUB out: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
394,PT05M53.00S,2023-12-17T21:34:47.5Z,3,REGULAR,substitution,out,[],1630532,,,1610612753,69,63,2023-12-17T21:34:55Z,3770000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
395,PT05M53.00S,2023-12-17T21:34:47.5Z,3,REGULAR,substitution,in,[],1631216,,,1610612753,69,63,2023-12-17T21:34:55Z,3780000,False,,,0,,SUB in: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
396,PT05M53.00S,2023-12-17T21:34:47.5Z,3,REGULAR,substitution,in,[],203914,,,1610612753,69,63,2023-12-17T21:34:55Z,3790000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
397,PT05M53.00S,2023-12-17T21:35:07.9Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1630591,,,1610612753,69,64,2023-12-17T21:35:07Z,3800000,False,,,0,,J. Suggs Free Throw 2 of 2 (13 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Made,,,,,,,13.0,,,,,,,,,,,
398,PT05M35.00S,2023-12-17T21:35:27.2Z,3,REGULAR,3pt,Jump Shot,[],1628401,31.488173455978973,18.627450980392158,1610612738,69,64,2023-12-17T21:35:36Z,3810000,False,157.0,243.0,1,left,MISS D. White 28' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,28.97,Missed,,,,,,,,,,,,,,,,,,
399,PT05M32.00S,2023-12-17T21:35:30.2Z,3,REGULAR,rebound,defensive,[],1629048,,,1610612753,69,64,2023-12-17T21:35:52Z,3820000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:4),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,,,398.0,5.0,4.0,1.0,,,,,,,,,,,,,,
400,PT05M25.00S,2023-12-17T21:35:36.0Z,3,REGULAR,3pt,Jump Shot,[],1631216,73.40670170827858,84.31372549019608,1610612753,69,64,2023-12-17T21:35:48Z,3830000,False,172.0,197.0,1,right,MISS C. Houstan 26' 3PT,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Right Center,26.16,Missed,,,,,,,,,,,,,,,,,,
401,PT05M22.00S,2023-12-17T21:35:39.5Z,3,REGULAR,rebound,offensive,[],1631216,,,1610612753,69,64,2023-12-17T21:35:39Z,3840000,False,,,0,,C. Houstan REBOUND (Off:2 Def:1),[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Right Center,,,400.0,3.0,1.0,2.0,,,,,,,,,,,,,,
402,PT05M18.00S,2023-12-17T21:35:47.4Z,3,REGULAR,foul,personal,['2freethrow'],201950,,,1610612753,69,64,2023-12-17T21:35:56Z,3850000,False,,,0,,J. Holiday shooting personal FOUL (1 PF) (Banchero 2 FT),"[201950, 1631094]",1610612738.0,BOS,shooting,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,,,,,,,,,,1627961.0,,,,,,,1.0,0.0,Banchero,1631094.0
404,PT05M18.00S,2023-12-17T21:36:15.5Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],1631094,,,1610612753,69,64,2023-12-17T21:36:15Z,3870000,False,,,0,,MISS P. Banchero Free Throw 1 of 2,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
405,PT05M18.00S,2023-12-17T21:36:15.5Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,69,64,2023-12-17T21:36:15Z,3880000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,404.0,,,,,,,,,,,,,,,,,
406,PT05M18.00S,2023-12-17T21:36:34.4Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],1631094,,,1610612753,69,65,2023-12-17T21:36:34Z,3890000,False,,,0,,P. Banchero Free Throw 2 of 2 (29 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,29.0,,,,,,,,,,,
407,PT05M03.00S,2023-12-17T21:36:50.5Z,3,REGULAR,3pt,Jump Shot,[],1628401,33.590670170827856,60.29411764705882,1610612738,69,65,2023-12-17T21:36:58Z,3900000,False,-51.0,263.0,1,left,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,26.83,Missed,,,,,,,,,,,,,,,,,,
408,PT05M01.00S,2023-12-17T21:36:52.5Z,3,REGULAR,rebound,offensive,[],204001,,,1610612738,69,65,2023-12-17T21:36:58Z,3910000,False,,,0,,K. Porzingis REBOUND (Off:1 Def:7),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,407.0,8.0,7.0,1.0,,,,,,,,,,,,,,
409,PT05M01.00S,2023-12-17T21:36:57.4Z,3,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",204001,5.590000152587891,50.0,1610612738,71,65,2023-12-17T21:37:04Z,3920000,False,0.0,0.0,1,left,K. Porzingis tip DUNK (14 PTS),[204001],1610612738.0,BOS,tip,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,14.0,,,,,,,,,,,
410,PT05M01.00S,2023-12-17T21:37:00.5Z,3,REGULAR,foul,personal,['1freethrow'],1630591,,,1610612738,71,65,2023-12-17T21:40:52Z,3930000,False,,,0,,J. Suggs shooting personal FOUL (3 PF) (Porzingis 1 FT),"[1630591, 204001]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,,,,201639.0,,,,,,,3.0,0.0,Porzingis,204001.0
412,PT05M01.00S,2023-12-17T21:37:22.7Z,3,REGULAR,freethrow,1 of 1,['2ndchance'],204001,,,1610612738,72,65,2023-12-17T21:37:22Z,3950000,False,,,0,,K. Porzingis Free Throw 1 of 1 (15 PTS),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,Made,,,,,,,15.0,,,,,,,,,,,
413,PT04M44.00S,2023-12-17T21:37:42.5Z,3,REGULAR,3pt,Jump Shot,[],1631094,73.40670170827858,84.80392156862744,1610612753,72,65,2023-12-17T21:37:56Z,3960000,False,174.0,197.0,1,right,MISS P. Banchero 26' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,26.32,Missed,,,,,,,,,,,,,,,,,,
414,PT04M42.00S,2023-12-17T21:37:44.5Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,72,65,2023-12-17T21:37:56Z,3970000,False,,,0,,J. Tatum REBOUND (Off:2 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,413.0,5.0,3.0,2.0,,,,,,,,,,,,,,
415,PT04M42.00S,2023-12-17T21:38:02.3Z,3,REGULAR,foul,personal,[],1631216,,,1610612738,72,65,2023-12-17T21:38:08Z,3980000,False,,,0,,C. Houstan personal FOUL (2 PF),"[1631216, 1628369]",1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Mid-Range,8-16 Left,,,,,,,,,,201639.0,,,,,,,2.0,0.0,Tatum,1628369.0
417,PT04M42.00S,2023-12-17T21:38:07.2Z,3,REGULAR,substitution,out,[],1627759,,,1610612738,72,65,2023-12-17T21:38:24Z,4000000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
418,PT04M42.00S,2023-12-17T21:38:07.2Z,3,REGULAR,substitution,in,[],1630573,,,1610612738,72,65,2023-12-17T21:38:24Z,4010000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
419,PT04M21.00S,2023-12-17T21:38:26.7Z,3,REGULAR,3pt,Jump Shot,[],1628401,34.247700394218136,31.61764705882353,1610612738,72,65,2023-12-17T21:45:01Z,4020000,False,92.0,269.0,1,left,MISS D. White 28' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Right Center,28.46,Missed,,,,,,,,,,,,,,,,,,
420,PT04M17.00S,2023-12-17T21:38:30.7Z,3,REGULAR,rebound,defensive,[],1629048,,,1610612753,72,65,2023-12-17T21:38:31Z,4030000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:5),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,,,419.0,6.0,5.0,1.0,,,,,,,,,,,,,,
421,PT04M10.00S,2023-12-17T21:38:37.4Z,3,REGULAR,turnover,bad pass,[],1631094,,,1610612753,72,65,2023-12-17T21:38:41Z,4040000,False,,,0,,P. Banchero bad pass TURNOVER (4 TO),"[1631094, 1630573]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,4.0,Hauser,1630573.0,,,,,,,
