actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
412,PT03M17.00S,2025-01-09T04:14:33.8Z,3,REGULAR,3pt,Jump Shot,[],203081,27.020367936925098,83.08823529411765,1610612749,85,72,2025-01-09T04:14:39Z,4040000,False,-165.0,201.0,1,left,D. Lillard 26' 3PT step back (20 PTS) (K. Middleton 3 AST),"[203081, 203114]",1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,,Made,20.0,26.07,,,,,,,,,,K. Middleton,203114.0,3.0,,
414,PT03M17.00S,2025-01-09T04:14:39.6Z,3,REGULAR,timeout,full,['team'],0,,,1610612759,85,72,2025-01-09T04:14:39Z,4060000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,PT03M17.00S,2025-01-09T04:15:34.7Z,3,REGULAR,substitution,out,[],203081,,,1610612759,85,72,2025-01-09T04:16:11Z,4070000,False,,,0,,SUB out: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
416,PT03M17.00S,2025-01-09T04:15:34.7Z,3,REGULAR,substitution,out,[],101108,,,1610612759,85,72,2025-01-09T04:16:11Z,4080000,False,,,0,,SUB out: C. Paul,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
417,PT03M17.00S,2025-01-09T04:15:34.7Z,3,REGULAR,substitution,in,[],1629018,,,1610612759,85,72,2025-01-09T04:16:11Z,4090000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
418,PT03M17.00S,2025-01-09T04:15:34.7Z,3,REGULAR,substitution,in,[],1630200,,,1610612759,85,72,2025-01-09T04:16:11Z,4100000,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
419,PT02M54.00S,2025-01-09T04:16:38.6Z,3,REGULAR,2pt,Jump Shot,[],1630170,95.74572930354796,74.75490196078431,1610612759,85,72,2025-01-09T04:18:07Z,4110000,False,124.0,-13.0,1,right,MISS D. Vassell 12' step back Shot,[1630170],1610612759.0,SAS,step back,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Right,,,,Missed,,12.44,,,,,,,,,,,,,,
420,PT02M49.00S,2025-01-09T04:16:43.1Z,3,REGULAR,rebound,defensive,[],1629018,,,1610612749,85,72,2025-01-09T04:16:43Z,4120000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:3),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,8-16 Right,,,,,,,419.0,3.0,3.0,0.0,,,,,,,,,,
421,PT02M42.00S,2025-01-09T04:16:49.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,6.258212877792378,60.78431372549019,1610612749,87,72,2025-01-09T04:16:53Z,4130000,False,-54.0,6.0,1,left,K. Middleton driving floating bank Jump Shot (6 PTS) (A. Green 1 AST),"[203114, 1631260]",1610612749.0,MIL,driving floating bank,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,,,,Made,6.0,5.43,,,,,,,,,,A. Green,1631260.0,1.0,,
423,PT02M33.00S,2025-01-09T04:16:58.5Z,3,REGULAR,3pt,Jump Shot,[],1630170,70.12155059132719,78.92156862745098,1610612759,87,75,2025-01-09T04:17:03Z,4150000,False,145.0,228.0,1,right,D. Vassell 27' 3PT  (11 PTS) (T. Jones 4 AST),"[1630170, 1630200]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,Made,11.0,27.03,,,,,,,,,,T. Jones,1630200.0,4.0,,
425,PT02M19.00S,2025-01-09T04:17:18.8Z,3,REGULAR,violation,kicked ball,[],1629646,,,1610612749,87,75,2025-01-09T04:17:24Z,4170000,False,,,0,,C. Bassey kicked ball VIOLATION,[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,,,202027.0,,,,,,,,,,,,,,,,,,,
426,PT02M10.00S,2025-01-09T04:17:41.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,6.652431011826544,49.26470588235294,1610612749,89,75,2025-01-09T04:17:50Z,4180000,False,4.0,10.0,1,left,B. Portis cutting Layup (2 PTS) (G. Trent Jr. 2 AST),"[1626171, 1629018]",1610612749.0,MIL,cutting,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,Made,2.0,1.07,,,,,,,,,,G. Trent Jr.,1629018.0,2.0,,
428,PT01M57.00S,2025-01-09T04:17:54.4Z,3,REGULAR,turnover,bad pass,[],1630170,,,1610612759,89,75,2025-01-09T04:18:16Z,4200000,False,,,0,,D. Vassell bad pass TURNOVER (2 TO),"[1630170, 1631260]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,Green,1631260.0,,,,,,,
429,PT01M57.00S,2025-01-09T04:17:54.4Z,3,REGULAR,steal,,[],1631260,,,1610612749,89,75,2025-01-09T04:17:57Z,4210000,False,,,0,,A. Green STEAL (1 STL),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
430,PT01M41.00S,2025-01-09T04:18:09.8Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],203114,32.013797634691194,34.068627450980394,1610612749,89,75,2025-01-09T04:18:19Z,4220000,False,80.0,248.0,1,left,MISS K. Middleton 26' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,,,,Missed,,26.09,,,,,,,,,,,,,,
431,PT01M38.00S,2025-01-09T04:18:12.3Z,3,REGULAR,rebound,offensive,[],203507,,,1610612749,89,75,2025-01-09T04:18:12Z,4230000,False,,,0,,G. Antetokounmpo REBOUND (Off:3 Def:10),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,,,,430.0,13.0,10.0,3.0,,,,,,,,,,
433,PT01M30.00S,2025-01-09T04:18:38.3Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626171,29.77989487516426,19.362745098039216,1610612749,89,75,2025-01-09T04:18:47Z,4250000,False,153.0,227.0,1,left,MISS B. Portis 27' 3PT - blocked,"[1626171, 1629646]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Right Center,,,,Missed,,27.42,,,,,,,,Bassey,1629646.0,,,,,
434,PT01M30.00S,2025-01-09T04:18:38.3Z,3,REGULAR,block,,[],1629646,,,1610612749,89,75,2025-01-09T04:18:42Z,4260000,False,,,0,,C. Bassey BLOCK (1 BLK),[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
435,PT01M26.00S,2025-01-09T04:18:42.3Z,3,REGULAR,rebound,defensive,[],1630170,,,1610612759,89,75,2025-01-09T04:18:47Z,4270000,False,,,0,,D. Vassell REBOUND (Off:0 Def:8),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,,,433.0,8.0,8.0,0.0,,,,,,,,,,
436,PT01M23.00S,2025-01-09T04:18:45.6Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630577,67.88764783180025,81.37254901960785,1610612759,89,75,2025-01-09T04:20:46Z,4280000,False,157.0,249.0,1,right,MISS J. Champagnie 29' running pullup 3PT,[1630577],1610612759.0,SAS,running pullup,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,Missed,,29.46,,,,,,,,,,,,,,
437,PT01M20.00S,2025-01-09T04:18:48.6Z,3,REGULAR,rebound,defensive,[],1626171,,,1610612749,89,75,2025-01-09T04:18:52Z,4290000,False,,,0,,B. Portis REBOUND (Off:1 Def:7),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Right Center,,,,,,,436.0,8.0,7.0,1.0,,,,,,,,,,
438,PT01M12.00S,2025-01-09T04:18:56.1Z,3,REGULAR,turnover,bad pass,[],203507,,,1610612749,89,75,2025-01-09T04:19:04Z,4300000,False,,,0,,G. Antetokounmpo bad pass TURNOVER (3 TO),"[203507, 1630200]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,,,,,,,,,3.0,Jones,1630200.0,,,,,,,
439,PT01M12.00S,2025-01-09T04:18:56.1Z,3,REGULAR,steal,,[],1630200,,,1610612759,89,75,2025-01-09T04:18:59Z,4310000,False,,,0,,T. Jones STEAL (1 STL),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
440,PT01M05.00S,2025-01-09T04:19:03.4Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630170,95.74572930354796,96.32352941176471,1610612759,89,75,2025-01-09T04:19:09Z,4320000,False,232.0,-13.0,1,right,MISS D. Vassell running 3PT,[1630170],1610612759.0,SAS,running,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,,,,Missed,,23.19,,,,,,,,,,,,,,
441,PT01M03.00S,2025-01-09T04:19:06.1Z,3,REGULAR,rebound,offensive,[],1629640,,,1610612759,89,75,2025-01-09T04:19:06Z,4330000,False,,,0,,K. Johnson REBOUND (Off:2 Def:5),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,,,,,,,440.0,7.0,5.0,2.0,,,,,,,,,,
442,PT01M01.00S,2025-01-09T04:19:07.7Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630170,72.88107752956637,7.598039215686274,1610612759,89,75,2025-01-09T04:19:14Z,4340000,False,-212.0,202.0,1,right,MISS D. Vassell 29' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,,Missed,,29.31,,,,,,,,,,,,,,
443,PT00M55.30S,2025-01-09T04:19:13.5Z,3,REGULAR,rebound,defensive,[],1626171,,,1610612749,89,75,2025-01-09T04:19:13Z,4350000,False,,,0,,B. Portis REBOUND (Off:1 Def:8),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,,,,442.0,9.0,8.0,1.0,,,,,,,,,,
444,PT00M47.60S,2025-01-09T04:19:21.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.440867279894875,49.26470588235294,1610612749,89,75,2025-01-09T04:19:29Z,4360000,False,4.0,17.0,1,left,MISS G. Antetokounmpo driving Layup,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Missed,,1.78,,,,,,,,,,,,,,
445,PT00M44.60S,2025-01-09T04:19:24.9Z,3,REGULAR,rebound,defensive,[],1630577,,,1610612759,89,75,2025-01-09T04:19:29Z,4370000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,444.0,2.0,2.0,0.0,,,,,,,,,,
446,PT00M41.60S,2025-01-09T04:19:30.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,92.72339027595268,39.705882352941174,1610612759,89,77,2025-01-09T04:19:37Z,4380000,False,-51.0,16.0,1,right,K. Johnson driving Layup (8 PTS) (J. Champagnie 1 AST),"[1629640, 1630577]",1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,Made,8.0,5.39,,,,,,,,,,J. Champagnie,1630577.0,1.0,,
448,PT00M41.60S,2025-01-09T04:19:33.9Z,3,REGULAR,foul,personal,['1freethrow'],1626171,,,1610612759,89,77,2025-01-09T04:20:04Z,4400000,False,,,0,,B. Portis shooting personal FOUL (1 PF) (Johnson 1 FT),"[1626171, 1629640]",1610612749.0,MIL,shooting,,,Portis,B. Portis,,,,,In The Paint (Non-RA),0-8 Center,1204.0,1.0,0.0,,,,,,,,,,,,,,,,Johnson,1629640.0
450,PT00M41.60S,2025-01-09T04:19:46.6Z,3,REGULAR,substitution,out,[],1629646,,,1610612759,89,77,2025-01-09T04:19:52Z,4420000,False,,,0,,SUB out: C. Bassey,[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,
451,PT00M41.60S,2025-01-09T04:19:46.6Z,3,REGULAR,substitution,in,[],1641705,,,1610612759,89,77,2025-01-09T04:19:52Z,4430000,False,,,0,,SUB in: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
452,PT00M41.60S,2025-01-09T04:20:05.8Z,3,REGULAR,freethrow,1 of 1,[],1629640,,,1610612759,89,78,2025-01-09T04:20:05Z,4440000,False,,,0,,K. Johnson Free Throw 1 of 1 (9 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
453,PT00M31.10S,2025-01-09T04:20:21.0Z,3,REGULAR,foul,personal,['2freethrow'],1630577,,,1610612749,89,78,2025-01-09T04:20:36Z,4450000,False,,,0,,J. Champagnie shooting personal FOUL (1 PF) (Middleton 2 FT),"[1630577, 203114]",1610612759.0,SAS,shooting,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),8-16 Left,1204.0,1.0,0.0,,,,,,,,,,,,,,,,Middleton,203114.0
455,PT00M31.10S,2025-01-09T04:20:44.8Z,3,REGULAR,freethrow,1 of 2,[],203114,,,1610612749,90,78,2025-01-09T04:20:44Z,4470000,False,,,0,,K. Middleton Free Throw 1 of 2 (7 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
456,PT00M31.10S,2025-01-09T04:20:46.5Z,3,REGULAR,substitution,out,[],1629640,,,1610612749,90,78,2025-01-09T04:21:09Z,4480000,False,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
457,PT00M31.10S,2025-01-09T04:20:46.5Z,3,REGULAR,substitution,in,[],101108,,,1610612749,90,78,2025-01-09T04:21:09Z,4490000,False,,,0,,SUB in: C. Paul,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
458,PT00M31.10S,2025-01-09T04:21:21.6Z,3,REGULAR,freethrow,2 of 2,[],203114,,,1610612749,91,78,2025-01-09T04:21:21Z,4500000,False,,,0,,K. Middleton Free Throw 2 of 2 (8 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,
459,PT00M08.20S,2025-01-09T04:21:48.8Z,3,REGULAR,2pt,Jump Shot,[],1641705,76.42904073587385,35.049019607843135,1610612759,91,78,2025-01-09T04:22:00Z,4510000,False,-75.0,169.0,1,right,MISS V. Wembanyama 18' turnaround Shot,[1641705],1610612759.0,SAS,turnaround,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,,,,Missed,,18.49,,,,,,,,,,,,,,
460,PT00M07.40S,2025-01-09T04:21:49.6Z,3,REGULAR,rebound,defensive,[],203507,,,1610612749,91,78,2025-01-09T04:22:58Z,4520000,False,,,0,,G. Antetokounmpo REBOUND (Off:3 Def:11),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left Center,,,,,,,459.0,14.0,11.0,3.0,,,,,,,,,,
461,PT00M00.00S,2025-01-09T04:21:59.0Z,3,REGULAR,3pt,Jump Shot,[],203114,5.863994743758213,2.450980392156863,1610612749,91,78,2025-01-09T04:22:32Z,4530000,False,238.0,3.0,1,left,MISS K. Middleton 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Right Corner 3,24+ Right,,,,Missed,,23.77,,,,,,,,,,,,,,
462,PT00M00.00S,2025-01-09T04:21:59.0Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612749,91,78,2025-01-09T04:22:32Z,4540000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,461.0,,,,,,,,,,,,,
463,PT00M00.00S,2025-01-09T04:22:22.4Z,3,REGULAR,period,end,[],0,,,1610612749,91,78,2025-01-09T04:22:22Z,4550000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,PT12M00.00S,2025-01-09T04:25:12.9Z,4,REGULAR,substitution,out,['startperiod'],1631260,,,1610612749,91,78,2025-01-09T04:25:33Z,4560000,False,,,0,,SUB out: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
465,PT12M00.00S,2025-01-09T04:25:12.9Z,4,REGULAR,substitution,out,['startperiod'],203507,,,1610612749,91,78,2025-01-09T04:25:33Z,4570000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
466,PT12M00.00S,2025-01-09T04:25:12.9Z,4,REGULAR,substitution,out,['startperiod'],1630170,,,1610612749,91,78,2025-01-09T04:25:33Z,4580000,False,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
467,PT12M00.00S,2025-01-09T04:25:12.9Z,4,REGULAR,substitution,out,['startperiod'],101108,,,1610612749,91,78,2025-01-09T04:25:33Z,4590000,False,,,0,,SUB out: C. Paul,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
468,PT12M00.00S,2025-01-09T04:25:12.9Z,4,REGULAR,substitution,in,['startperiod'],203081,,,1610612749,91,78,2025-01-09T04:25:33Z,4600000,False,,,0,,SUB in: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
469,PT12M00.00S,2025-01-09T04:25:12.9Z,4,REGULAR,substitution,in,['startperiod'],201572,,,1610612749,91,78,2025-01-09T04:25:33Z,4610000,False,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
470,PT12M00.00S,2025-01-09T04:25:12.9Z,4,REGULAR,substitution,in,['startperiod'],1629640,,,1610612749,91,78,2025-01-09T04:25:33Z,4620000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
471,PT12M00.00S,2025-01-09T04:25:12.9Z,4,REGULAR,substitution,in,['startperiod'],203084,,,1610612749,91,78,2025-01-09T04:25:33Z,4630000,False,,,0,,SUB in: H. Barnes,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
472,PT12M00.00S,2025-01-09T04:25:39.9Z,4,REGULAR,period,start,[],0,,,1610612759,91,78,2025-01-09T04:25:39Z,4640000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,PT11M44.00S,2025-01-09T04:25:55.4Z,4,REGULAR,turnover,lost ball,[],1641705,,,1610612759,91,78,2025-01-09T04:26:10Z,4650000,False,,,0,,V. Wembanyama lost ball TURNOVER (2 TO),"[1641705, 1629018]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,2.0,Trent Jr.,1629018.0,,,,,,,
474,PT11M44.00S,2025-01-09T04:25:55.4Z,4,REGULAR,steal,,[],1629018,,,1610612749,91,78,2025-01-09T04:25:57Z,4660000,False,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
475,PT11M34.00S,2025-01-09T04:26:04.5Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626171,7.30946123521682,44.85294117647059,1610612749,91,78,2025-01-09T04:26:16Z,4670000,False,26.0,16.0,1,left,MISS B. Portis cutting Layup,[1626171],1610612749.0,MIL,cutting,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,Missed,,3.04,,,,,,,,,,,,,,
476,PT11M32.00S,2025-01-09T04:26:06.2Z,4,REGULAR,rebound,offensive,[],1626171,,,1610612749,91,78,2025-01-09T04:26:06Z,4680000,False,,,0,,B. Portis REBOUND (Off:2 Def:8),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,,,,475.0,10.0,8.0,2.0,,,,,,,,,,
477,PT11M31.00S,2025-01-09T04:26:07.7Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626171,7.30946123521682,47.794117647058826,1610612749,91,78,2025-01-09T04:26:19Z,4690000,False,11.0,16.0,1,left,MISS B. Portis putback Layup,[1626171],1610612749.0,MIL,putback,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,Missed,,1.96,,,,,,,,,,,,,,
478,PT11M28.00S,2025-01-09T04:26:10.8Z,4,REGULAR,rebound,defensive,[],1641705,,,1610612759,91,78,2025-01-09T04:26:10Z,4700000,False,,,0,,V. Wembanyama REBOUND (Off:3 Def:4),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,477.0,7.0,4.0,3.0,,,,,,,,,,
479,PT11M27.00S,2025-01-09T04:26:16.6Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630200,93.11760840998686,51.470588235294116,1610612759,91,80,2025-01-09T04:26:30Z,4710000,False,7.0,12.0,1,right,T. Jones running Layup (2 PTS),[1630200],1610612759.0,SAS,running,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,Made,2.0,1.43,,,,,,,,,,,,,,
480,PT11M27.00S,2025-01-09T04:26:20.1Z,4,REGULAR,foul,personal,['1freethrow'],201572,,,1610612759,91,80,2025-01-09T04:26:29Z,4720000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Jones 1 FT),"[201572, 1630200]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,1204.0,1.0,1.0,,,,,,,,,,,,,,,,Jones,1630200.0
482,PT11M27.00S,2025-01-09T04:26:38.0Z,4,REGULAR,freethrow,1 of 1,['fastbreak'],1630200,,,1610612759,91,81,2025-01-09T04:26:38Z,4740000,False,,,0,,T. Jones Free Throw 1 of 1 (3 PTS),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
483,PT11M18.00S,2025-01-09T04:26:50.0Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203081,6.1268068331143235,49.754901960784316,1610612749,93,81,2025-01-09T04:27:04Z,4750000,False,1.0,5.0,1,left,D. Lillard driving Layup (22 PTS),[203081],1610612749.0,MIL,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,,Made,22.0,0.52,,,,,,,,,,,,,,
484,PT11M08.00S,2025-01-09T04:27:00.2Z,4,REGULAR,3pt,Jump Shot,[],1641705,66.83639947437582,31.862745098039213,1610612759,93,81,2025-01-09T04:27:07Z,4760000,False,-91.0,259.0,1,right,MISS V. Wembanyama 27' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,Missed,,27.46,,,,,,,,,,,,,,
485,PT11M08.00S,2025-01-09T04:27:00.2Z,4,REGULAR,rebound,offensive,[],1629640,,,1610612759,93,81,2025-01-09T04:27:07Z,4770000,False,,,0,,K. Johnson REBOUND (Off:3 Def:5),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,484.0,8.0,5.0,3.0,,,,,,,,,,
486,PT11M08.00S,2025-01-09T04:27:04.2Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629640,94.40999984741211,50.0,1610612759,93,81,2025-01-09T04:27:04Z,4780000,False,0.0,0.0,1,right,MISS K. Johnson tip Layup,[1629640],1610612759.0,SAS,tip,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Left,,,,Missed,,0.0,,,,,,,,,,,,,,
487,PT11M08.00S,2025-01-09T04:27:07.0Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612749,93,81,2025-01-09T04:27:07Z,4790000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,486.0,,,,,,,,,,,,,
489,PT10M54.00S,2025-01-09T04:27:26.6Z,4,REGULAR,foul,personal,['2freethrow'],1630200,,,1610612749,93,81,2025-01-09T04:27:39Z,4810000,False,,,0,,T. Jones shooting personal FOUL (1 PF) (Lillard 2 FT),"[1630200, 203081]",1610612759.0,SAS,shooting,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,1204.0,1.0,0.0,,,,,,,,,,,,,,,,Lillard,203081.0
491,PT10M54.00S,2025-01-09T04:27:52.1Z,4,REGULAR,freethrow,1 of 2,[],203081,,,1610612749,94,81,2025-01-09T04:27:52Z,4830000,False,,,0,,D. Lillard Free Throw 1 of 2 (23 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,Made,23.0,,,,,,,,,,,,,,,
492,PT10M54.00S,2025-01-09T04:28:10.7Z,4,REGULAR,freethrow,2 of 2,[],203081,,,1610612749,95,81,2025-01-09T04:28:10Z,4840000,False,,,0,,D. Lillard Free Throw 2 of 2 (24 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,Made,24.0,,,,,,,,,,,,,,,
493,PT10M34.00S,2025-01-09T04:28:32.4Z,4,REGULAR,turnover,bad pass,[],1641705,,,1610612759,95,81,2025-01-09T04:28:39Z,4850000,False,,,0,,V. Wembanyama bad pass TURNOVER (3 TO),"[1641705, 1629018]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,3.0,Trent Jr.,1629018.0,,,,,,,
